ORF	hom | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002
YAR002C-A	-0.014	-0.014	0.020	0.036	0.031	0.008	0.013	0.037	-0.025	-0.000	0.035	0.094	-0.002	0.004	-0.018	0.079
YAR002W	0.010	0.021	0.152	0.211	0.256	0.245	0.259	0.217	0.039	-0.013	-0.010	0.014	0.065	0.053	0.015	0.040
YAR003W	0.022	0.000	0.022	0.011	-0.005	-0.063	-0.005	0.025	-0.017	0.009	0.039	0.082	-0.003	0.000	0.009	0.052
YAR007C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.003	0.012	0.016	0.019	0.009	0.010	0.027	-0.006
YAR008W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.022	-0.001	0.007	0.007	-0.057	-0.068	-0.077	-0.019
YAR014C	-0.004	0.011	0.023	0.057	0.014	-0.079	-0.050	0.027	-0.030	0.002	0.054	0.112	0.003	-0.002	-0.009	0.088
YAR015W	0.005	0.011	-0.045	0.003	0.022	-0.028	-0.043	-0.018	0.003	0.007	0.013	0.003	-0.006	-0.000	0.013	-0.024
YAR018C	0.003	-0.003	-0.005	0.050	-0.016	-0.060	-0.056	-0.003	0.001	-0.021	-0.008	0.045	0.009	-0.006	-0.016	0.038
YAR019C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.033	-0.011	0.057	0.100	0.003	-0.012	-0.026	0.078
YAR020C	0.009	0.018	0.029	0.032	0.041	0.003	0.016	0.032	-0.024	0.004	0.033	0.043	-0.004	-0.013	0.004	0.021
YAR023C	-0.000	0.007	0.033	0.042	0.043	-0.009	0.017	0.035	-0.031	-0.003	0.056	0.097	-0.002	-0.004	-0.009	0.066
YAR027W	0.004	0.014	0.019	0.036	0.023	-0.008	0.008	0.025	-0.029	0.003	0.045	0.080	-0.002	-0.007	0.006	0.051
YAR028W	0.019	0.005	0.003	-0.011	0.019	0.001	0.022	-0.013	0.024	-0.001	0.010	-0.013	0.017	0.024	0.011	-0.046
YAR029W	-0.005	0.015	0.042	0.060	0.053	0.001	0.020	0.051	-0.040	-0.011	0.064	0.109	0.004	-0.001	-0.017	0.088
