orf	hap a | growth (colony size) | oxygen level [0%] | Samanfar B~Golshani A, 2013
YPL087W	-2.172009727054501
YPL095C	-5.161348975098286
YPL100W	-3.3693105253547606
YPL103C	-3.676243845470949
YPL105C	-3.8910102196032397
YPL108W	-4.424882906717516
YPL121C	-4.026652140107845
YPL219W	-3.2771435793708625
YPL220W	-1.789429951272283
YPL244C	-2.036367806549897
YPR007C	-4.314456471434922
YPR015C	-3.83014525527425
YPR018W	-4.804854184028492
YPR030W	-3.319749054401155
YPR031W	-5.0022305683525
YPR051W	-2.4789430471706897
YPR065W	-3.9796991676254816
YPR066W	-2.3198246404249034
YPR095C	-1.736390482357021
YPR096C	-2.743270892256586
YPR129W	-2.307651647559106
YPR138C	-3.780583784320645
YPR160W	-3.620595878084445
YPR188C	-4.412709913851719
