orf	hap a (post-SGA) | nucleolus size (Nop10-GFP) | standard | LFD + met + NAT + G418 | Neumuller RA~Perrimon N, 2013
YBR259W	2.4072472840169548
YBR260C	0.009738098030750346
YBR261C	0.07885223495515
YBR262C	0.6941426082141565
YBR263W	-0.12210087819044377
YBR264C	0.2924897356702346
YBR267W	1.509541186830456
YBR269C	0.6204476170270938
YBR270C	1.6211038279884782
YBR271W	0.15430581925621897
YBR272C	0.6232040369471501
YBR273C	0.10775212799210464
YBR274W	-0.08991238468834165
YBR275C	0.7924978533110031
YBR276C	0.2459191604549838
YBR278W	-0.15406999223467835
YBR280C	-0.18139110797363006
YBR281C	0.2699813012451513
YBR283C	0.16195981064097217
YBR284W	1.1098559581996248
YBR285W	0.6617191473720601
YBR286W	0.5574207947033775
YBR287W	0.512590114244646
YBR288C	0.534261884430984
YBR289W	-1.9384118460677449
YBR290W	-0.04389899590818915
YBR291C	0.18335239917702673
YBR293W	-0.05780693308031735
YBR294W	2.268144100045886
YBR295W	2.336416885830654
YBR296C	0.8006810605478614
YBR297W	0.38017762905231683
YBR298C	0.7158638881415114
YBR299W	1.1983208204949953
YBR301W	-0.07572577339621385
YCL001W	-0.003911409063213855
YCL001W-A	0.37248760487284266
YCL002C	0.4474304484421944
YCL009C	1.4142904260283269
YCL010C	0.08663825913617562
YCL011C	0.9830459255298002
YCL014W	0.5715825768296434
YCL016C	4.624655443919471
YCL024W	0.796554264552307
YCL025C	0.20944609922189467
YCL026C-A	0.7728891786879513
YCL027W	0.9919094364554094
YCL028W	0.9291009078944981
YCL029C	1.280030928002811
YCL032W	0.7306609284810834
YCL033C	0.6219028448394881
YCL034W	0.6015922766692914
YCL035C	0.4718263106672761
YCL036W	0.15519601508940195
YCL037C	0.8145721427046738
YCL038C	0.82578755942628
YCL039W	0.685829479467895
YCL040W	0.1282041964131116
YCL042W	0.6612213606606916
YCL044C	0.7890186303031634
YCL045C	0.7302384920763044
YCL047C	0.4469668694375154
YCL048W	2.053967821067526
YCL049C	0.6790867798598157
YCL050C	0.9646199411244738
YCL051W	1.1129944929095208
YCL055W	0.09417772926215218
YCL056C	0.6340248489098985
YCL057W	0.7157859124733579
YCL061C	2.3972916162868088
YCL063W	0.7680793526174531
YCL064C	0.6064183868869665
YCL069W	1.1351640076070657
YCR002C	2.524624931215285
YCR005C	2.2101434205418453
YCR007C	1.3125562063255292
YCR008W	0.699271632470041
YCR009C	3.1312934964857932
YCR010C	1.5350889088582882
YCR011C	0.7326300979939531
YCR014C	0.6630987627253463
YCR015C	1.1078605862228275
YCR016W	0.8748855867155023
YCR017C	0.9621094688609481
YCR019W	1.161174225502098
YCR020C	1.9554506756903909
YCR020C-A	2.2923408657452775
YCR021C	0.8277536854123488
YCR023C	1.5715750367959365
YCR024C-A	0.8550649828812789
YCR026C	1.631125397025411
YCR027C	1.9989105721387297
YCR028C-A	-0.42763273318642414
YCR030C	1.0096621735505087
YCR031C	1.529701079963329
YCR032W	2.2879253643780197
YCR033W	2.546044321161683
YCR034W	2.102846343577187
YCR036W	1.0166128368333691
YCR037C	0.06380035255411813
YCR043C	2.6360485328156704
YCR044C	0.120377173834877
YCR045C	2.7513639486588706
YCR048W	2.1486634783873884
YCR050C	2.6505351832944797
YCR051W	1.5994859320628927
YCR053W	2.387983254276688
YCR059C	2.395869523273967
YCR060W	1.7266965069264222
