ORF	hap a | abundance of caesium (gamma-counter) | caesium chloride [50 uM], Cs-134 [4 kBq/ml] | YPD | Heuck S~Kanter U, 2010	hap a | abundance of strontium (gamma-counter) | strontium dichloride [50 uM], Sr-85 [4 kBq/ml] | YPD | Heuck S~Kanter U, 2010
YBL010C	-2.210	-0.320
YBL011W	-1.170	-1.010
YBL012C	0.910	0.170
YBL013W	-0.870	-0.830
YBL015W	-0.790	-1.050
YBL016W	1.300	2.610
YBL017C	-0.610	1.100
YBL019W	1.040	1.570
YBL021C	0.260	0.180
YBL022C	0.950	-0.960
YBL024W	3.140	0.910
YBL025W	NaN	NaN
YBL027W	3.760	-1.160
YBL028C	-0.480	-0.520
YBL029W	-2.480	-2.570
YBL031W	-0.420	0.090
YBL032W	-0.030	0.180
YBL033C	NaN	NaN
YBL036C	1.680	2.000
YBL037W	0.000	0.030
YBL038W	0.470	-0.380
YBL039C	1.300	2.380
YBL042C	1.190	-0.500
YBL043W	-0.940	-0.690
YBL044W	3.090	1.400
YBL045C	-0.670	-0.760
YBL046W	-0.520	0.190
YBL047C	5.690	0.710
YBL048W	0.150	0.280
YBL049W	-0.490	-0.230
YBL051C	-0.720	-0.130
YBL052C	0.090	-0.020
YBL053W	0.270	0.220
YBL054W	-1.070	-1.210
YBL055C	-1.050	-0.600
YBL056W	0.420	-0.900
YBL057C	0.070	0.540
YBL058W	NaN	NaN
YBL059W	-0.050	1.120
YBL060W	0.040	0.440
YBL061C	-0.710	-0.890
YBL062W	0.120	0.820
YBL063W	-0.460	-0.430
YBL064C	1.500	0.630
YBL065W	-0.220	0.850
YBL066C	0.040	0.310
YBL067C	-0.110	-1.090
YBL068W	-0.480	-0.220
YBL069W	-0.270	-0.290
YBL070C	0.650	1.100
YBL071C	0.470	1.060
YBL072C	-2.660	-1.650
YBL075C	-0.170	0.290
YBL078C	2.610	-1.360
YBL079W	1.410	-0.590
YBL080C	1.550	0.880
YBL081W	0.350	2.050
YBL082C	1.130	1.150
YBL083C	1.220	0.660
YBL085W	0.170	0.380
YBL086C	-0.900	-0.560
YBL087C	1.830	1.840
YBL088C	0.070	-0.390
YBL089W	0.320	-1.900
YBL090W	0.490	-0.220
YBL091C	-0.120	-0.330
YBL091C-A	-0.340	-1.330
YBL093C	NaN	NaN
YBL094C	2.790	0.040
YBL095W	-0.630	-0.590
YBL096C	-0.660	-0.470
YBL098W	-0.080	0.110
YBL099W	-0.710	2.500
YBL100C	-0.160	5.000
YBL101C	1.520	0.030
YBL102W	0.260	0.020
YBL103C	-1.780	3.990
YBL104C	0.410	-0.790
YBL106C	-0.130	-0.130
YBL107C	-1.040	-1.030
YBR001C	-0.140	-0.490
YBR003W	-1.430	-1.560
YBR005W	-0.660	-0.510
YBR006W	0.320	-0.080
YBR007C	-0.630	-0.530
YBR008C	-0.840	-0.430
YBR009C	1.300	1.400
YBR010W	1.150	1.340
YBR012C	0.850	1.540
YBR013C	0.080	0.080
YBR014C	-0.380	0.750
YBR015C	-0.080	-0.580
YBR016W	-1.820	-1.760
YBR018C	-0.990	-1.500
YBR019C	-1.960	-2.110
YBR020W	-1.015	-0.775
YBR021W	-1.080	-0.650
YBR022W	-1.110	-1.640
YBR023C	0.380	-0.200
YBR024W	-1.280	-1.720
YBR025C	-0.180	0.790
YBR026C	0.110	3.160
YBR027C	-0.900	-1.040
YBR028C	0.840	-0.760
YBR030W	-1.580	-1.510
YBR031W	1.920	2.410
YBR032W	-1.820	-1.760
YBR033W	-1.000	-0.960
YBR034C	-0.940	-0.960
YBR035C	-1.060	-0.250
YBR036C	0.120	1.240
YBR037C	2.400	1.970
YBR040W	0.040	-0.010
YBR041W	-1.280	1.740
YBR042C	-1.920	-0.070
YBR043C	1.190	0.100
YBR044C	-0.450	-0.410
YBR045C	1.110	0.810
YBR046C	0.390	0.270
YBR047W	-0.780	-0.390
YBR048W	0.660	3.890
YBR050C	-0.440	0.050
YBR051W	0.940	1.190
YBR052C	0.660	0.170
YBR053C	0.160	0.100
YBR054W	-1.020	-1.680
YBR056W	-1.670	-1.400
YBR057C	0.330	0.870
YBR058C	-1.520	-1.270
YBR059C	0.970	1.070
YBR061C	0.180	1.320
YBR062C	0.300	1.180
YBR063C	-0.890	-0.600
YBR064W	-0.190	0.100
YBR065C	0.460	0.530
YBR066C	1.540	0.260
YBR067C	0.020	0.110
YBR068C	-1.460	-1.330
YBR069C	-0.830	-1.060
YBR071W	-0.680	-0.320
YBR072W	-0.970	-0.610
YBR073W	0.220	1.000
YBR074W	-0.083	-0.520
YBR076W	-0.470	0.040
YBR077C	0.580	-1.490
YBR078W	3.420	0.170
YBR081C	1.510	-0.590
YBR082C	0.600	-1.060
YBR083W	-1.310	-1.680
YBR084C-A	1.330	1.400
YBR084W	0.430	1.030
YBR085W	0.090	-1.420
YBR089C-A	-0.760	-0.950
YBR090C	-0.710	-0.990
YBR092C	0.000	0.700
YBR093C	0.450	0.980
YBR094W	0.450	0.720
YBR095C	3.890	0.500
YBR097W	NaN	NaN
YBR098W	0.313	0.510
YBR099C	0.730	1.310
YBR101C	-3.950	-2.290
YBR103W	1.960	1.650
YBR104W	0.810	2.540
YBR105C	-0.770	0.800
YBR106W	0.810	-0.440
YBR107C	-0.940	-2.450
YBR108W	-0.970	-0.780
YBR111C	0.350	0.920
YBR112C	NaN	NaN
YBR113W	-1.680	-1.500
YBR114W	0.680	1.650
YBR115C	NaN	NaN
YBR116C	0.820	1.380
YBR119W	-0.260	0.180
YBR120C	2.590	2.780
YBR121C	-0.550	-0.320
YBR122C	-0.240	-1.100
YBR125C	0.150	0.380
YBR126C	2.160	1.660
YBR127C	-6.420	1.530
YBR128C	3.790	-1.460
YBR129C	-1.110	-0.060
YBR130C	-0.380	0.530
YBR131W	-1.960	3.060
YBR132C	-2.470	0.180
YBR133C	1.370	0.620
YBR134W	-0.520	-0.840
YBR137W	-0.450	-0.380
YBR138C	-0.200	-0.580
YBR139W	-1.220	-0.140
YBR141C	-0.850	-0.950
YBR144C	0.580	-0.070
YBR145W	-0.030	0.380
YBR146W	0.030	-0.190
YBR147W	-0.830	-1.270
YBR148W	-1.030	-0.070
YBR149W	0.800	0.940
YBR150C	0.030	-0.460
YBR151W	0.730	0.910
YBR156C	0.000	-0.260
YBR157C	-0.360	-0.320
YBR158W	-0.370	0.100
YBR159W	-0.660	0.150
YBR161W	-0.390	-0.900
YBR162C	0.030	1.210
YBR162W-A	0.080	-0.120
YBR163W	2.320	2.870
YBR164C	-1.340	1.000
YBR165W	-0.630	-1.160
YBR166C	-0.940	-1.540
YBR168W	1.740	1.150
YBR169C	-0.310	-0.450
YBR170C	0.680	-0.170
YBR171W	NaN	NaN
YBR172C	-0.230	-0.670
YBR173C	-1.620	-0.390
YBR174C	0.890	-0.870
YBR175W	1.680	-0.140
YBR176W	0.280	0.140
YBR177C	-1.330	-1.510
YBR178W	0.100	-0.980
YBR179C	1.060	1.190
YBR180W	1.110	0.680
YBR181C	0.200	2.080
YBR182C	-0.570	-0.680
YBR183W	-1.070	-1.430
YBR184W	-0.670	-0.800
YBR185C	0.620	0.800
YBR186W	-0.520	-0.320
YBR187W	NaN	NaN
YBR188C	-0.390	-0.440
YBR189W	-0.640	-0.470
YBR191W	5.620	2.070
YBR194W	1.650	2.990
YBR195C	1.150	2.220
YBR197C	0.960	0.010
YBR199W	-1.220	-0.990
YBR200W	2.230	-3.330
YBR201W	-2.960	-1.240
YBR203W	0.250	-0.150
YBR204C	-0.760	-0.120
YBR205W	-0.150	-0.440
YBR206W	-0.380	-0.420
YBR207W	0.100	0.700
YBR208C	0.050	-0.480
YBR209W	-0.260	-1.020
YBR210W	-1.040	-0.920
YBR212W	-1.790	-0.680
YBR213W	0.480	0.630
YBR214W	-1.410	-0.500
YBR215W	0.460	-1.000
YBR216C	-0.650	-0.540
YBR217W	2.970	-1.070
YBR218C	0.190	-0.080
YBR219C	-0.110	0.430
YBR220C	-1.030	-0.100
YBR221C	1.370	2.720
YBR222C	-2.370	-2.090
YBR223C	-0.470	-0.290
YBR224W	3.390	0.210
YBR225W	1.460	-0.630
YBR226C	0.090	-1.100
YBR227C	-1.050	-1.150
YBR228W	-0.130	-0.560
YBR229C	1.320	2.720
YBR230C	-0.200	-0.270
YBR231C	-0.210	1.510
YBR232C	-2.110	-2.480
YBR233W	-0.150	0.090
YBR235W	-1.180	-1.350
YBR238C	1.850	0.760
YBR239C	-1.470	-1.240
YBR240C	-0.280	-0.460
YBR241C	1.150	1.460
YBR242W	-0.660	-0.330
YBR244W	-1.200	-1.350
YBR245C	0.470	-0.440
YBR246W	-0.920	-1.840
YBR248C	1.190	5.070
YBR249C	0.990	0.750
YBR250W	0.560	1.130
YBR251W	-0.250	-0.670
YBR255W	2.890	0.720
YBR258C	0.620	0.890
YBR259W	-0.500	-0.950
YBR260C	0.280	0.630
YBR261C	-1.450	-0.890
YBR262C	-0.250	-0.700
YBR263W	-1.790	-2.330
YBR264C	0.500	0.400
YBR266C	2.170	1.670
YBR267W	0.250	1.980
YBR268W	0.850	0.340
YBR269C	-1.120	-0.980
YBR270C	-0.240	-0.820
YBR271W	0.100	-1.010
YBR272C	-0.200	-0.020
YBR273C	0.790	-0.060
YBR274W	1.260	0.340
YBR275C	-0.040	-0.110
YBR276C	0.730	0.990
YBR277C	2.860	3.910
YBR278W	-0.470	0.320
YBR279W	0.810	-1.080
YBR280C	-0.860	-1.190
YBR281C	1.860	2.970
YBR282W	-0.030	0.370
YBR283C	1.400	2.030
YBR284W	-1.290	-0.250
YBR285W	-0.150	-1.260
YBR286W	-1.390	-0.170
YBR287W	-0.860	-1.460
YBR288C	-2.100	-1.400
YBR289W	1.220	0.630
YBR290W	1.330	0.380
YBR291C	-1.170	-0.630
YBR292C	-0.140	-0.780
YBR293W	1.620	1.370
YBR294W	1.490	1.180
YBR295W	-0.090	1.700
YBR296C	0.400	0.210
YBR297W	0.030	1.800
YBR298C	-0.300	1.500
YBR299W	-0.790	-0.940
YBR300C	1.270	0.840
YBR301W	0.210	0.340
YCL001W	-0.480	3.250
YCL001W-A	-0.550	0.680
YCL002C	-1.210	-0.670
YCL005W	2.700	-1.080
YCL006C	-0.105	-0.195
YCL007C	-6.460	1.340
YCL008C	1.830	4.910
YCL009C	0.060	0.220
YCL010C	1.610	0.380
YCL011C	0.450	-0.260
YCL014W	-0.295	-0.725
YCL013W	0.090	-0.500
YCL016C	1.580	2.670
YCL022C	0.010	-0.090
YCL023C	0.475	-0.345
YCL024W	-0.660	-0.800
YCL025C	-0.570	-0.580
YCL026C	0.530	1.400
YCL026C-A	0.560	-0.020
YCL027W	0.390	0.490
YCL028W	0.640	0.600
YCL029C	0.670	-0.480
YCL030C	-1.770	-2.250
YCL032W	-1.500	-1.200
YCL033C	-0.420	0.160
YCL034W	0.450	0.570
YCL035C	-0.780	-1.060
YCL036W	-1.430	-1.210
YCL037C	1.480	1.000
YCL038C	-0.800	-0.300
YCL039W	-1.260	-1.100
YCL040W	0.640	0.170
YCL042W	-0.550	-1.390
YCL044C	0.580	-0.190
YCL045C	0.250	0.390
YCL046W	-1.060	-0.960
YCL047C	-1.110	-0.070
YCL048W	-0.580	-0.680
YCL049C	-0.300	-0.600
YCL050C	-0.980	-1.200
YCL051W	0.760	0.350
YCL055W	-0.440	-0.290
YCL056C	-0.360	-0.150
YCL057W	-1.200	-1.530
YCL058C	-1.070	-0.800
YCL061C	-0.595	-0.655
YCL063W	-1.155	0.930
YCL064C	-1.050	-1.630
YCL069W	0.050	-0.290
YCL074W	0.450	-0.070
YCL075W	0.250	-0.050
YCL076W	0.810	0.870
YCR001W	0.350	0.440
YCR002C	-0.450	-1.600
YCR003W	0.290	-0.260
YCR004C	-2.870	-3.520
YCR005C	-0.640	1.300
YCR006C	-1.460	-0.580
YCR007C	0.520	1.080
YCR008W	0.090	-0.760
YCR009C	2.650	4.800
YCR010C	-0.690	-1.550
YCR011C	0.310	1.010
YCR014C	-1.110	-1.190
YCR015C	-0.930	-0.880
YCR016W	0.760	1.050
YCR017C	0.730	0.460
YCR019W	0.750	1.250
YCR020C	1.040	0.460
YCR020C-A	0.250	1.420
YCR020W-B	0.750	-1.040
YCR021C	0.370	0.760
YCR022C	-1.210	-1.020
YCR023C	-0.320	-0.210
YCR024C	-0.360	0.680
YCR024C-A	-2.330	-1.210
YCR025C	-0.950	1.080
YCR026C	-0.210	0.650
YCR027C	0.440	4.350
YCR028C	-0.290	-0.380
YCR028C-A	-1.290	-0.890
YCR030C	-0.970	-1.480
YCR031C	0.680	1.770
YCR032W	-0.390	-0.640
YCR033W	1.010	1.950
YCR034W	0.030	2.780
YCR036W	-0.310	2.220
YCR037C	-1.260	-1.900
YCR043C	0.510	0.560
YCR044C	1.930	2.830
YCR045C	-0.960	0.940
YCR046C	1.070	0.890
YCR047C	0.850	5.070
YCR048W	-0.850	-1.330
YCR049C	-0.830	-1.390
YCR050C	-1.260	-0.570
YCR051W	-0.060	-1.330
YCR053W	-2.250	0.210
YCR059C	0.110	-0.840
YCR060W	-0.930	-1.160
YCR061W	1.155	2.485
YCR063W	NaN	NaN
YCR065W	2.180	1.600
YCR066W	1.060	0.160
YCR067C	-0.390	-0.590
YCR068W	0.750	1.170
YCR069W	-0.170	-0.410
YCR071C	0.280	-0.230
YCR073C	0.620	0.250
YCR073W-A	1.210	1.500
YCR075C	0.350	0.440
YCR076C	1.020	0.730
YCR077C	-2.710	-1.900
YCR079W	-0.060	1.970
YCR081W	-0.950	5.130
YCR082W	-0.500	-1.120
YCR083W	-0.110	-0.540
YCR084C	-1.810	-0.610
YCR085W	-1.400	-0.270
YCR086W	1.570	1.110
YCR087C-A	-0.460	0.550
YCR087W	-0.300	1.270
YCR088W	-0.630	0.420
YCR089W	-0.320	-0.320
YCR090C	0.940	0.080
YCR091W	1.700	0.480
YCR092C	-2.040	1.560
YCR094W	0.080	0.390
YCR095C	-0.480	-0.270
YCR098C	-0.030	-0.320
YCR099C	1.020	0.680
YCR100C	0.010	-0.510
YCR101C	-0.220	-1.030
YCR102C	-1.160	-1.730
YCR102W-A	-0.530	-1.790
YCR105W	-1.000	-2.040
YCR106W	0.370	-0.890
YCR107W	-0.850	-0.900
YDL001W	-2.590	-2.410
YDL002C	-0.840	-1.280
YDL005C	3.150	3.130
YDL006W	-0.740	-1.310
YDL009C	-0.680	-0.800
YDL010W	-0.550	-0.490
YDL011C	0.680	1.100
YDL012C	0.720	1.230
YDL013W	1.250	4.060
YDL018C	-0.220	0.280
YDL019C	1.430	1.060
YDL020C	1.520	0.650
YDL021W	0.310	-1.460
YDL022W	0.650	0.970
YDL023C	-1.710	-1.940
YDL024C	-0.660	-0.970
YDL025C	2.700	-0.610
YDL026W	0.270	0.410
YDL027C	-0.920	-0.990
YDL032W	1.290	1.840
YDL033C	0.310	0.040
YDL034W	-0.220	-0.100
YDL035C	0.310	0.400
YDL036C	-0.290	-0.260
YDL037C	0.230	0.260
YDL039C	-0.520	-0.710
YDL040C	NaN	NaN
YDL041W	-0.520	-0.820
YDL042C	1.040	-0.280
YDL044C	2.380	1.620
YDL045W-A	0.040	-0.840
YDL046W	-0.140	-0.640
YDL047W	0.200	-0.100
YDL048C	-0.850	-0.810
YDL049C	-0.050	-0.960
YDL050C	-0.030	0.160
YDL051W	1.430	0.990
YDL052C	1.400	0.580
YDL053C	0.040	0.260
YDL054C	-0.260	-0.580
YDL056W	-0.840	-1.300
YDL057W	0.750	0.030
YDL059C	-0.350	-0.830
YDL061C	0.500	4.860
YDL062W	1.700	-0.710
YDL063C	1.260	-1.090
YDL065C	0.290	0.970
YDL066W	-0.400	-0.540
YDL067C	2.960	5.460
YDL068W	0.410	0.420
YDL069C	0.270	0.630
YDL070W	-0.290	-0.890
YDL071C	-0.630	-0.910
YDL072C	-0.280	-0.080
YDL073W	0.400	-0.480
YDL074C	0.280	1.810
YDL075W	NaN	NaN
YDL076C	2.250	1.790
YDL077C	-2.650	4.860
YDL078C	-0.580	-0.760
YDL079C	-0.370	-0.980
YDL080C	-0.060	-0.690
YDL081C	NaN	NaN
YDL082W	2.930	3.020
YDL083C	0.570	3.670
YDL085W	0.230	-0.250
YDL086W	-0.170	-0.580
YDL088C	0.910	0.950
YDL089W	0.060	-0.540
YDL090C	2.000	2.340
YDL091C	-0.170	-0.090
YDL093W	-0.880	-1.200
YDL094C	0.380	-0.130
YDL095W	0.190	0.230
YDL096C	-0.270	-0.480
YDL099W	-0.830	1.780
YDL100C	0.830	0.490
YDL101C	-1.540	-1.740
YDL104C	1.580	1.610
YDL106C	-1.740	-0.800
YDL107W	0.550	0.810
YDL109C	0.400	-0.020
YDL110C	0.380	0.450
YDL112W	-0.350	-0.690
YDL113C	1.590	-0.350
YDL114W	-1.140	-1.520
YDL115C	2.170	-0.560
YDL116W	NaN	NaN
YDL117W	4.080	0.790
YDL118W	0.300	3.100
YDL119C	-0.060	1.830
YDL121C	-0.630	-0.240
YDL122W	-0.560	0.290
YDL123W	0.260	0.340
YDL124W	0.260	0.640
YDL125C	0.080	-0.360
YDL127W	-0.500	0.570
YDL128W	-1.200	-1.460
YDL129W	0.190	-0.630
YDL130W	4.520	4.230
YDL130W-A	0.340	-0.470
YDL131W	-0.150	-0.420
YDL133C-A	0.100	-0.645
YDL133W	0.840	0.310
YDL134C	3.070	-0.430
YDL135C	1.090	0.750
YDL136W	0.400	0.050
YDL137W	-0.470	-0.380
YDL138W	-0.550	-0.120
YDL142C	-0.040	1.060
YDL144C	-1.180	-0.970
YDL146W	-1.950	0.170
YDL149W	1.460	-3.070
YDL151C	1.860	2.980
YDL154W	0.170	-0.190
YDL155W	-0.170	-0.450
YDL156W	0.800	0.680
YDL157C	0.010	-0.020
YDL159W	-0.350	-0.710
YDL160C	6.500	3.460
YDL161W	0.590	-0.050
YDL162C	1.280	0.840
YDL167C	0.840	0.480
YDL168W	-0.210	-0.270
YDL169C	-0.830	-0.940
YDL170W	-0.520	-1.140
YDL171C	-0.950	-0.400
YDL172C	0.490	-0.150
YDL173W	1.980	0.790
YDL174C	-0.240	-0.220
YDL175C	1.520	0.520
YDL176W	1.450	2.640
YDL177C	0.660	0.760
YDL178W	0.980	0.930
YDL179W	-0.180	-0.340
YDL180W	-0.470	0.400
YDL181W	0.900	0.050
YDL182W	-2.210	-0.160
YDL183C	-0.840	0.010
YDL184C	-0.380	-1.160
YDL185W	-6.580	-1.280
YDL186W	0.270	-0.210
YDL187C	-1.110	-1.280
YDL188C	0.880	0.070
YDL189W	0.210	0.390
YDL190C	0.510	0.270
YDL191W	NaN	NaN
YDL192W	-4.490	-0.750
YDL194W	-0.840	-0.880
YDL197C	0.250	0.270
YDL198C	1.270	2.500
YDL199C	-0.520	-0.690
YDL200C	-0.020	-0.360
YDL201W	0.270	-0.220
YDL202W	-2.760	-3.090
YDL203C	0.400	-0.170
YDL204W	-0.110	-0.710
YDL206W	-0.530	0.310
YDL210W	0.180	-0.030
YDL211C	-0.400	-0.220
YDL213C	0.610	2.290
YDL214C	0.250	0.640
YDL215C	-0.910	-0.810
YDL216C	-0.370	-0.820
YDL218W	-1.510	-1.430
YDL219W	-1.080	-1.360
YDL222C	-0.050	-0.350
YDL223C	-0.870	-1.190
YDL224C	-0.380	0.150
YDL225W	0.520	0.070
YDL226C	-4.780	6.390
YDL227C	-0.840	-0.430
YDL229W	0.370	0.610
YDL230W	-0.440	-1.700
YDL231C	-0.630	-0.990
YDL232W	NaN	NaN
YDL233W	-1.550	-1.900
YDL234C	-1.280	-1.340
YDL236W	0.010	0.370
YDL237W	-0.670	-0.320
YDL238C	-1.470	-0.870
YDL239C	-0.510	-0.800
YDL240W	0.120	-0.430
YDL241W	-0.140	-0.350
YDL242W	0.060	-0.080
YDL243C	0.660	0.950
YDR001C	-0.080	-0.280
YDR003W	-0.790	-1.140
YDR004W	0.730	0.960
YDR005C	1.630	0.840
YDR006C	3.170	-0.500
YDR007W	-1.980	-1.390
YDR008C	-2.330	-3.070
YDR009W	-0.590	-0.190
YDR010C	-1.210	-0.140
YDR011W	-2.020	-0.240
YDR014W	0.210	0.390
YDR015C	-1.340	-1.350
YDR017C	NaN	NaN
YDR018C	-0.810	-0.880
YDR019C	-0.660	-0.700
YDR020C	1.310	0.730
YDR022C	1.090	-1.640
YDR024W	2.610	3.390
YDR025W	0.390	3.310
YDR026C	0.050	0.050
YDR027C	-3.940	0.190
YDR028C	5.820	-2.450
YDR029W	1.000	1.720
YDR030C	-0.010	0.180
YDR031W	-0.610	-0.450
YDR032C	-0.800	-1.330
YDR033W	-0.750	-0.500
YDR034C	-0.190	-0.990
YDR035W	0.590	1.510
YDR036C	0.550	1.090
YDR042C	-1.000	-1.660
YDR043C	1.100	0.830
YDR046C	-0.990	-0.200
YDR048C	0.020	0.160
YDR049W	-0.820	0.340
YDR050C	0.400	1.370
YDR051C	-0.060	0.380
YDR055W	-0.340	-0.120
YDR056C	-0.190	-0.370
YDR057W	-0.530	-0.680
YDR058C	0.370	0.310
YDR059C	-1.020	-1.180
YDR061W	-0.100	0.370
YDR063W	0.290	0.380
YDR065W	2.940	2.750
YDR066C	0.220	0.520
YDR067C	-0.010	3.060
YDR068W	0.410	1.010
YDR069C	5.630	4.540
YDR070C	0.540	1.180
YDR071C	0.050	-0.710
YDR072C	0.040	-0.270
YDR073W	0.980	-0.990
YDR074W	6.680	5.190
YDR075W	-0.940	-0.200
YDR076W	1.010	1.240
YDR077W	-1.090	-1.240
YDR078C	NaN	NaN
YDR079W	0.490	-0.280
YDR080W	-2.820	4.690
YDR083W	-2.150	1.540
YDR084C	-0.260	-0.040
YDR085C	-0.040	0.360
YDR089W	-1.110	-2.600
YDR090C	9.320	0.660
YDR092W	1.430	1.800
YDR093W	0.980	1.940
YDR094W	-0.490	-0.160
YDR095C	0.690	0.260
YDR096W	-0.330	0.160
YDR097C	-0.790	-1.460
YDR098C	-0.720	-0.890
YDR099W	1.400	0.220
YDR100W	-1.090	-0.910
YDR101C	1.500	2.460
YDR102C	0.370	0.670
YDR103W	-0.450	-0.940
YDR104C	-0.260	0.330
YDR105C	-0.290	1.070
YDR107C	-0.520	-0.070
YDR108W	-0.150	-0.110
YDR109C	-0.350	-0.450
YDR110W	-0.480	-1.030
YDR111C	-0.260	-0.290
YDR112W	0.320	0.290
YDR114C	1.570	1.040
YDR115W	0.200	0.220
YDR116C	1.170	1.160
YDR117C	-1.520	-1.590
YDR119W	0.100	-1.270
YDR120C	-1.100	-0.890
YDR121W	0.540	-0.310
YDR122W	-1.010	0.160
YDR123C	-1.840	-0.640
YDR124W	-1.240	-1.110
YDR125C	-0.790	-0.700
YDR126W	2.910	0.270
YDR127W	1.570	3.550
YDR128W	-0.280	-1.050
YDR129C	-2.500	-2.400
YDR130C	-0.060	-0.670
YDR131C	-1.250	-1.850
YDR132C	-0.820	-1.040
YDR133C	0.300	-0.300
YDR134C	-0.850	-0.390
YDR135C	-0.410	0.100
YDR136C	-0.220	1.310
YDR137W	-0.390	1.580
YDR138W	NaN	NaN
YDR139C	1.000	0.070
YDR140W	NaN	NaN
YDR142C	-0.550	-0.720
YDR143C	0.500	1.270
YDR144C	1.840	3.240
YDR146C	0.260	-1.200
YDR147W	-0.310	-0.490
YDR148C	-1.550	-1.410
YDR149C	0.040	1.100
YDR150W	-0.480	0.170
YDR151C	0.780	-0.710
YDR152W	0.210	0.230
YDR153C	-1.900	1.040
YDR154C	-0.160	0.590
YDR155C	-0.290	1.330
YDR156W	4.180	5.810
YDR157W	1.490	1.250
YDR158W	1.040	0.160
YDR159W	NaN	NaN
YDR161W	1.010	0.960
YDR162C	-0.200	-1.350
YDR163W	0.760	-0.310
YDR165W	0.100	-0.140
YDR169C	1.560	0.040
YDR171W	1.210	1.290
YDR173C	0.820	-3.840
YDR174W	-1.150	-1.680
YDR175C	1.210	-0.210
YDR176W	-1.920	-4.910
YDR178W	0.110	0.450
YDR179C	-0.470	-1.110
YDR179W-A	0.310	0.250
YDR181C	-0.880	-1.960
YDR183W	-0.060	-0.160
YDR184C	-0.270	-0.030
YDR185C	0.380	-0.020
YDR186C	-1.500	-1.500
YDR191W	0.180	-0.160
YDR192C	0.340	0.050
YDR193W	-0.560	-0.960
YDR194C	2.150	3.280
YDR195W	NaN	NaN
YDR197W	0.110	0.370
YDR198C	-0.410	-0.060
YDR199W	-1.160	-0.230
YDR200C	-2.940	-1.020
YDR202C	-2.490	0.420
YDR203W	-2.810	1.570
YDR204W	0.210	1.460
YDR205W	-0.570	-2.410
YDR206W	-0.370	-0.050
YDR207C	-2.980	-1.180
YDR209C	-0.120	-0.230
YDR210W	0.040	0.140
YDR213W	0.270	-0.440
YDR214W	-0.140	-0.570
YDR215C	-0.290	-0.460
YDR216W	-0.360	-0.580
YDR217C	-0.200	-0.080
YDR218C	0.330	0.570
YDR219C	1.000	2.120
YDR220C	0.690	-0.070
YDR221W	-0.280	0.290
YDR222W	0.190	-0.180
