orf	hap a | growth (relative abundance in pooled culture) | sodium selenide [1 uM], time [16 h] | Peyroche G~Plateau P, 2012	hap a | growth (relative abundance in pooled culture) | sodium selenide [2 uM], time [16 h] | Peyroche G~Plateau P, 2012	hap a | growth (relative abundance in pooled culture) | sodium selenide [1 uM], time [27 h] | Peyroche G~Plateau P, 2012	hap a | growth (relative abundance in pooled culture) | sodium selenide [2 uM], time [27 h] | Peyroche G~Plateau P, 2012
YMR121C	0.02152619766980536	0.07523296285765889	-0.20571279630897601	-0.01142327359450379
YMR122C	0.45157762742036656	0.2650397120813272	0.02949504675402097	-0.0953776999474759
YMR123W	-0.2908454290823916	-1.122710547707808	-0.995151381208112	-1.1468910401733876
YMR124W	-0.64697318519019	-0.13132226190594237	-0.42954043431879285	-0.536200777073974
YMR125W	0.626550710209137	0.015349384249974169	0.1517689744375136	0.4836398303645031
YMR126C	0.5294913818418016	0.5105564831603754	0.5744855944107592	0.29333127745682525
YMR127C	0.5678886777189133	0.42088034461824775	0.3823239290365514	0.3339857232100591
YMR129W	-0.6139957877363074	-0.2993638598725173	-0.5214859771293994	-0.6118711231720724
YMR130W	-0.3058034984496959	0.07959577256457133	0.07614813691238341	-0.03553313497832611
YMR132C	0.02211214762399175	-0.0016960279161005005	-0.22063271867143602	-0.20854772854559564
YMR133W	-0.01340146463167423	0.15592196451290657	0.14626091903173843	-0.01265310370082433
YMR135C	-0.1400674708148794	0.20197892180801233	-0.022438407453832267	-0.3936295097689866
YMR135W-A	0.12788749620043394	0.1609850932989315	0.003654482579985109	0.31836186072519995
YMR136W	2.571805084888567	2.89797867969934	2.2974290044951964	2.4670484782723636
YMR137C	-0.24670691527797306	-0.4870199553387349	-0.6077482288529602	-0.5838868634699583
YMR138W	-0.159378339295921	0.07773510961521579	0.15865972731640868	-0.10734397184113834
YMR139W	-0.43261954023782606	-0.4634900790928319	-0.8255978893708641	-1.0025931691163668
YMR140W	-0.022582936319963633	0.37455982129013443	0.25299267521987207	-0.3361023538731568
YMR141C	-0.19776495288447193	-0.06469985980627789	-0.0445960776646268	-0.31534490122824216
YMR142C	0.2555181802062594	0.060202525964795105	0.486722226910848	0.31817619694559485
YMR144W	0.19275051221214382	0.32138098979272184	0.26769473601059834	-0.2500914378905506
YMR145C	0.8662700543566441	0.8476415007900986	1.2574764930755349	1.188380074830979
YMR147W	-0.7489554867061652	-0.16787769215544598	-0.18727961875152185	-0.029694392760010676
YMR148W	0.17958799767350903	0.6190944884702773	0.019252581150606175	0.09716321071044981
YMR150C	0.6417784338451044	0.7552823996285668	0.1779759425343632	0.17253917077766268
YMR151W	0.21712787244635245	0.660456280488559	0.4308040733183004	-0.18342590233808637
YMR152W	0.9473892337600626	1.0329913863103213	0.5979647504796076	0.3883620330428265
YMR153C-A	0.17164311495351395	0.01909896810527297	-0.10577998401356888	-0.10538136965351252
YMR153W	0.12666910675975046	0.21055338059668666	0.11318439788373612	-0.23827590597033177
YMR154C	0.4267397357307642	0.47417925096216895	-0.4534657619793591	-1.368128379469988
YMR155W	-0.12172594700693799	0.23295984577053486	-0.269406074362241	-1.1646052020423396
YMR156C	-0.48764146826619365	-0.2819371433266552	-0.45625122996953055	-0.5102577533038284
YMR157C	-0.389267811920017	0.03750721172899605	0.04945100937316579	-0.21433764317140971
YMR158C-A	0.004283197599980556	0.15179360431041417	-0.22567927933336832	-0.3428836855681811
YMR158W	0.11227387085265787	0.4656666845565481	0.8015123905860659	0.7807959908367353
YMR158W-B	-0.632451148092335	-0.39924050268176287	-0.6540317611860572	-0.5700140285862809
YMR159C	-0.6206289214765638	-0.0028307350161929207	-0.3746233545536956	-0.29199266099966736
YMR160W	0.24961395842078632	0.037477015187275836	-0.26904912589118807	-0.2037488416639129
YMR161W	0.8866857444252874	0.8323264762365046	0.8563496136318695	0.6221681126117046
YMR162C	-0.18209576889723558	-0.3572968041772133	-0.3025043842303063	-0.6400105982383615
YMR163C	-0.20868988144393943	-0.252639674420369	-0.5547781524523745	-0.36897851378627256
YMR164C	0.32251903924654446	0.5789297675311188	0.5937045931634003	0.18619129186662298
YMR166C	0.6413642487953052	0.8682021789910713	0.12970474800534273	-0.4893032418141655
YMR167W	0.20266077478894348	0.21533780086058832	-0.36248260600348126	-0.30598029848584046
YMR169C	-0.281847577427851	-0.0994110724965285	0.1003851835598563	-0.06947686869372177
YMR170C	0.46973282608312356	0.6695577555560233	0.24251278079164373	0.14682894366693092
YMR171C	-0.6600921876482937	-0.7649225578548599	-0.46221690305048985	-0.5388009706736144
YMR172C-A	-0.47824919303002633	-0.3749005888842639	-0.31104720167101774	-0.3634012729041336
YMR172W	-0.014867092543540796	0.02125142838238924	0.017331660924885566	-0.061225278221257444
YMR173W	0.292864357745205	-0.24317988506456262	0.25103753379501426	0.10369122064992352
YMR173W-A	-0.2515882255305599	-0.11554114012551599	-0.06611956417019701	-0.19866000331396685
YMR174C	-0.5955284978316246	-0.2572806920772868	-0.41638015233000686	-0.26922927237526567
YMR175W	0.024131522696920114	-0.010106458761824321	-0.32570657632151184	-0.320910672349085
YMR176W	-0.04790418421141315	-0.045152655594372065	-0.16356967884410345	-0.2753369260929673
YMR177W	-0.05925161885609833	0.14731254272482455	-0.3980644799470211	-0.41304730274274265
YMR178W	-0.5531268498593828	-0.3161991321734956	-0.5757570593829656	-0.8134018645515048
YMR179W	1.4973541510118653	1.495897244304903	1.3032494208517365	1.2522481722996248
YMR180C	0.08698792295470127	0.4770340735833053	0.18747484856172134	-0.04662993788356489
YMR181C	-0.12666147114538467	-0.09949432252699424	0.11147344175587431	-0.3172071949635574
YMR182C	0.04453237127527678	0.3192575190929008	0.05615541311963798	-0.11100186176352779
YMR183C	0.3095403482878601	0.3620756316094165	0.2901672803924626	0.04275575383390498
YMR184W	1.1138071353354926	0.9769452747809495	0.8128405338496956	0.6918123661128791
YMR186W	-0.6236723948539988	-0.21319462316686058	-0.20053508263262415	-0.1406841230144395
YMR187C	-0.7030866278800866	-0.3657205087643427	-0.7267172519115425	-0.6720755591931593
YMR189W	-0.3976750567130409	-0.3205152175006022	-0.24675196168998564	-0.1684874537528159
YMR190C	-1.5502260405867487	-1.5891642536442594	-2.06998551596119	-2.1777256190839536
YMR191W	-0.02502213140034221	0.03280164433941033	-0.23443619332719445	-0.22237428716516558
YMR192W	0.25206612918066673	0.345612560538474	0.21933731464223372	-0.020140921809350374
YMR193C-A	0.9326493075570056	1.5252166763120678	1.6624730044788842	1.4734453925167812
YMR193W	0.6338668121697704	0.9639402876008705	1.0510024887643672	0.7282237409430271
YMR194C-A	0.07213587644974677	0.011051329719836344	-0.1625695667697022	-0.14893001932994362
YMR194W	1.171639731654763	1.82303175900074	1.8503871850147406	1.8764480573169664
YMR195W	0.04998264563586383	0.3771064994617101	0.1126413698004807	0.03144602486504004
YMR196W	-0.5328153399289368	0.09734593000496951	0.16507761816928007	-0.21994110520743015
YMR198W	-4.880725764106722	-2.450125561327459	-4.094780416475042	-3.770284084532602
YMR199W	-0.0016334289995868024	0.1539475334791254	0.20373829442493602	-0.0845581018352019
YMR201C	-0.6539795385789822	-0.35434109069057607	-0.6784120973942495	-0.7915507450393607
YMR202W	0.08334585098788491	-0.4440641381627575	-0.2841624756177492	-1.4489397011428016
YMR204C	0.24821336839971694	0.2372213620656349	0.16417895912658068	0.1347043198956099
YMR205C	1.52952756827511	1.7766306716252485	1.923547104763969	2.0301949548731164
YMR206W	-0.4609576318572377	-0.3984443059201668	-0.5652707751534544	-0.6203878185461842
YMR207C	0.196950859904673	0.5108255820933861	-0.21463541514408654	-0.7474084226448572
YMR209C	-1.4184157889816797	-1.4122620942222983	-1.3981933080955722	-1.7517019549961232
YMR210W	0.04877750084497229	0.16728107367644618	-0.07253853604970169	-0.022933413617484095
YMR214W	-0.30145495567897884	-0.11456099275396422	-0.19685784404901777	-0.6110406228687041
YMR215W	-0.09648358139552388	-0.020788177680350284	-0.1562777832482663	-0.216337000075524
YMR216C	-0.6444177981523801	-0.6542982204171831	-0.4439890918472993	-0.6802125876641333
YMR219W	0.6518483768085453	1.2008115423386794	0.8125204418166195	0.7792725962490381
YMR221C	-4.193448543869717	-4.566381246988141	-4.929178303427384	-4.867902008412704
YMR222C	-0.0501863818444528	0.14445853960832652	-0.07153727752776165	0.028466358825705383
YMR223W	-2.5936373436625444	-2.702596201875794	-1.9995088239853205	-2.1760055727503147
YMR225C	-0.06023936343105098	-0.23736912826892265	-0.21450191486775091	-0.43492779553376115
YMR226C	-0.016367283579756493	0.1339346336964282	0.07229104216031623	0.08549930492676984
YMR228W	-0.8813790208707196	-0.9838738985439894	-0.8432795589148829	0.007476183277946798
YMR230W	-0.6599971371557045	-0.6417411198647128	-0.3509853104651242	-0.899138711716961
YMR232W	-0.31275314552984446	-0.3502284860320048	-0.12304485512303702	-0.24890155068558392
YMR233W	-0.026132437811542883	-0.02676932285091576	0.10140321561444116	-0.10262147613858448
YMR234W	-0.39438158704737	-0.43581145515728076	-0.784038531628476	-0.38500530542782013
YMR237W	-1.0786797036073035	-1.0552973130267609	-0.8202369574141308	-0.9991741814854465
YMR238W	0.3825475182387795	0.5685421678453889	0.13982664551974547	0.3125083938017107
YMR241W	-0.5724504382029553	-0.4994901525296844	0.012886524822953146	-0.1697097961662102
YMR243C	-2.009758801297343	-2.045460865893185	-2.1910869942078692	-2.45236441694832
YMR244C-A	0.9354046452277217	1.2638874987177326	1.430238437828993	1.7816987397456776
YMR244W	-0.20726758810981763	-0.2467793557528855	-0.22442008766420224	-0.4646920129111074
YMR245W	0.33425444621575817	0.8391233668730146	0.5471448980924545	0.4680635007302674
YMR246W	0.3011689449978832	0.35465926478694326	0.37221543341249336	0.3392272494948603
YMR247C	-0.5258581619322215	-0.326189086555517	0.04224980426544011	-0.4813625334285766
YMR250W	0.27330792433977785	0.17781055681740968	0.4851957520924399	0.04447811352770297
YMR251W	0.7897519796361196	0.47797661749545783	0.2785328089050172	0.14401374345248907
YMR251W-A	-0.07380918137891986	0.09948959954722107	0.13105596340432882	-0.028241926641970942
YMR252C	-0.2919994243598293	0.026826379709739074	0.01679021836709295	-0.12528119442295543
YMR253C	-0.8277374064712074	-0.7460007960888829	-0.744344786300332	-0.8000106029709673
YMR254C	-0.38648610708495723	-0.25137681956202224	-0.13632798745349137	-0.22261074369003706
YMR255W	0.5931841340884267	0.6939236610379922	0.48692022066998986	0.46447514136608964
YMR256C	0.7100906672322835	0.6164384427102675	0.481526656379167	-0.2884439565646361
YMR257C	0.6574879106641929	1.1681261971858838	0.1701911038301983	0.35447019300478194
YMR258C	-0.1568428445643461	-0.04890936201912612	-0.14032839243006567	-0.17733947028876051
YMR259C	-0.44489741340629957	-0.2727107939377179	-0.44063235456081423	-0.2445944424094475
YMR261C	0.5717964494190811	0.9333033247469167	0.4503481094534372	0.4102288153373718
YMR262W	0.20160792800645636	0.31804094981687087	0.027231640465928197	-0.007624479649204267
YMR263W	1.2325570753293853	1.637115087852296	1.1328078504472239	0.8913202069839892
YMR264W	-0.3000086761510139	-0.0015877703081160171	-0.19781761546177368	-0.3540453165566441
YMR265C	-0.03266045230391216	0.305639035666437	-0.06281431919267577	0.027922245194720894
YMR267W	0.5600076500684285	0.8536882603241831	0.7159868702461407	0.572474869705014
YMR269W	0.010962505341478513	0.6012168474393975	0.7336276017240323	0.6838926909815325
YMR271C	0.5665109231045351	0.4106182218924238	0.27066958729579055	0.176481416905396
YMR272C	0.06377696536229423	0.03390716614438685	-0.15509317347634263	-0.38064220069013505
YMR273C	0.4671622454915157	0.38294244430815083	0.2724181148044689	0.5470197037281689
YMR274C	-0.4531464036189291	-0.5347856911851172	-0.36562611401715034	-0.420285323306618
YMR275C	-0.938471970788967	-0.7731054714121364	-0.5006251997716709	-0.7421429810662643
YMR276W	0.19220999374249964	0.6142823504315238	0.6355074150006156	0.5135117427480412
YMR278W	-0.36636606152459233	-0.1354838889570382	-0.22573742649297915	-0.15646906410154862
YMR279C	-0.1806013810121128	-0.04143970081261119	-0.11069277266338459	-0.26347497636692785
YMR280C	-0.5045480740632269	-0.7040999171100587	-0.25452466178848104	-0.20929640258507445
YMR282C	0.3369959586075838	0.8343235475722125	1.1851306681325204	0.7712450848947249
YMR283C	-0.5721325223593943	-0.4136421945057912	-0.19217151372758765	-0.2913095633868647
YMR284W	0.25886114097050555	-0.339459377555055	0.18188272298856006	0.018862444249414273
YMR285C	-0.3023490958380664	-0.06719202314242949	-0.30287526428592026	-0.3898019970658339
YMR286W	0.5943850613764364	0.885961328734455	0.9085289404458557	0.55593521526902
YMR287C	0.4516189850462952	0.5617404857620193	0.6507950631463	0.29996108667313853
YMR289W	0.15812905706149358	0.23473936046954005	0.232209372292598	-0.04256320004080435
YMR291W	-0.243992027464747	0.10853232367451955	0.12584843505115711	0.07756542435827679
YMR292W	0.11166943375718286	0.14075556048233182	0.10840754346580016	-0.04942016464655274
