ORF	hap a | abundance of calcium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of cadmium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of cobalt | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of copper | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of iron | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of potassium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of magnesium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of manganese | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of molybdenum | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of sodium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of nickel | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of phosphorus | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of sulphur | minimal + element supplement [standard] | Yu D~Vitek O, 2011	hap a | abundance of zinc | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of calcium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of cadmium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of cobalt | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of copper | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of iron | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of potassium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of magnesium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of manganese | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of molybdenum | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of sodium | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of nickel | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of phosphorus | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of sulphur | minimal + element supplement [standard] | Yu D~Vitek O, 2011	het | abundance of zinc | minimal + element supplement [standard] | Yu D~Vitek O, 2011
YJL131C	-0.010	-0.034	-0.029	0.030	-0.136	0.070	0.008	0.024	0.047	0.020	-0.049	0.030	0.028	0.010	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL132W	0.014	-0.014	0.012	0.022	0.066	0.039	0.018	0.022	0.029	0.083	0.009	0.025	0.030	0.010	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL133W	-0.052	0.000	0.018	0.053	-0.134	0.136	0.028	0.003	0.100	-0.046	0.029	0.034	0.011	0.018	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL134W	-0.037	-0.028	-0.031	0.038	-0.143	0.091	-0.076	0.099	0.013	0.024	-0.070	-0.030	-0.027	0.019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL135W	-0.044	-0.006	-0.003	0.034	-0.134	0.076	-0.041	0.124	0.016	-0.017	-0.050	-0.014	-0.006	0.015	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL136C	-0.068	-0.010	0.046	0.006	0.007	0.094	-0.052	-0.044	-0.204	-0.155	-0.037	-0.010	0.005	0.022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL136W-A	-0.028	-0.014	-0.017	0.034	-0.005	0.064	-0.003	0.049	0.094	-0.069	0.010	-0.015	0.019	0.026	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL137C	-0.040	0.200	0.068	0.024	0.023	-0.025	0.048	0.143	0.242	-0.199	0.153	0.040	0.040	0.021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL138C	0.027	0.089	0.016	0.027	-0.139	0.051	-0.015	0.015	0.142	-0.150	0.034	-0.002	-0.010	0.001	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL139C	0.087	0.072	0.017	0.034	-0.049	0.068	0.022	0.161	0.097	-0.024	0.019	0.039	0.016	0.022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL140W	0.055	-0.169	-0.160	0.043	-0.070	-0.009	-0.141	0.007	0.021	-0.245	-0.107	-0.055	-0.036	0.050	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL141C	0.024	0.113	0.089	0.041	-0.021	0.145	0.084	0.013	-0.053	-0.002	0.069	0.071	0.046	0.036	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL142C	0.060	0.041	0.003	0.029	-0.147	0.054	-0.026	0.035	0.041	0.007	0.046	0.003	0.009	0.024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL143W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.056	-0.001	0.001	0.012	0.204	0.019	0.014	0.017	-0.113	0.118	-0.036	-0.034	0.052	-0.002
YJL144W	0.016	0.000	0.016	0.046	-0.026	0.050	0.001	-0.030	0.070	-0.030	0.057	0.008	0.001	0.024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL145W	0.035	-0.011	0.000	0.033	-0.142	0.008	-0.012	-0.007	0.032	0.032	0.019	-0.019	0.003	0.020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL146W	0.037	0.004	-0.003	0.024	-0.140	0.036	-0.009	0.064	0.064	0.111	0.047	-0.009	0.006	0.034	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL147C	0.057	0.091	0.024	-0.008	-0.165	-0.174	-0.057	-0.025	0.053	0.086	0.012	-0.043	-0.004	-0.014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL148W	-0.045	-0.048	-0.018	0.038	0.128	0.060	0.004	0.040	0.212	0.037	0.022	0.001	0.002	-0.008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL149W	0.048	0.242	0.039	0.033	-0.059	0.016	0.014	0.144	0.042	-0.183	0.123	0.016	-0.008	-0.017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL150W	-0.041	-0.039	-0.010	0.013	0.147	0.029	-0.004	0.059	-0.044	0.005	-0.058	-0.008	-0.006	-0.008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL151C	-0.054	-0.016	0.022	0.034	-0.016	0.040	0.007	0.094	0.010	0.127	-0.024	0.013	0.022	0.049	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL152W	0.311	0.079	0.033	0.011	-0.086	0.011	-0.057	0.092	0.061	-0.056	0.002	-0.021	-0.003	0.072	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL153C	0.262	-0.391	-0.245	-0.106	-0.015	-0.253	-0.335	-0.047	0.099	-0.455	-0.214	-0.213	-0.130	0.028	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL154C	-0.011	0.153	-0.152	0.002	-0.028	-0.024	-0.163	0.002	-0.135	0.465	-0.191	-0.104	-0.032	0.015	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL155C	0.236	-0.048	-0.013	0.021	-0.032	-0.000	-0.017	0.108	0.008	-0.033	-0.034	-0.012	0.018	0.078	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL156C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.010	-0.057	-0.063	-0.024	-0.081	-0.073	0.002	0.009	-0.086	0.006	-0.062	-0.011	-0.027	-0.032
YJL157C	0.075	-0.013	0.029	0.001	-0.017	0.042	0.046	0.054	0.018	0.069	0.029	0.042	0.009	0.007	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL158C	-0.007	-0.015	0.018	0.008	-0.003	0.088	0.009	0.032	0.056	0.016	-0.028	0.014	0.008	0.008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL159W	0.006	-0.022	0.010	0.015	0.015	0.058	-0.008	0.064	0.050	0.002	0.003	0.003	-0.049	-0.013	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL160C	-0.082	0.009	0.051	0.029	0.027	0.033	0.053	0.038	0.034	0.011	0.037	0.048	0.036	0.009	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL161W	-0.090	-0.014	-0.005	0.017	0.007	0.017	-0.022	0.010	-0.027	-0.037	-0.027	-0.010	-0.026	-0.010	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL162C	0.078	0.228	0.043	-0.004	-0.061	0.020	-0.019	0.099	0.112	-0.170	0.068	0.001	-0.025	-0.008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL163C	0.068	0.162	0.037	0.025	0.010	-0.016	0.045	0.125	0.099	-0.051	0.131	0.072	0.019	-0.007	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL164C	0.161	0.349	0.047	0.024	-0.014	-0.018	0.002	0.188	0.391	-0.320	0.262	0.010	-0.023	-0.002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL165C	-0.083	-0.035	0.019	0.052	0.018	0.199	0.065	0.005	-0.038	-0.413	0.047	0.020	0.038	0.032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL166W	0.068	0.041	0.083	-0.032	-0.015	-0.219	-0.005	-0.120	-0.209	-0.138	0.038	-0.015	0.036	0.018	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL167W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.055	0.000	-0.007	0.007	0.099	-0.011	0.009	0.032	0.027	0.027	-0.047	0.023	0.020	0.019
YJL168C	0.420	0.286	0.031	-0.037	-0.016	-0.133	-0.051	0.124	0.253	-0.196	0.155	-0.035	0.029	0.025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL169W	0.145	-0.009	0.015	0.000	0.004	-0.062	0.019	0.066	0.001	0.158	-0.005	0.024	-0.003	0.028	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL170C	0.038	-0.023	-0.009	-0.011	-0.010	0.034	-0.025	0.008	0.095	-0.029	-0.013	-0.032	-0.057	-0.008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL171C	-0.059	-0.044	-0.027	-0.004	0.005	0.064	-0.040	0.029	0.003	0.063	-0.034	-0.004	-0.018	-0.022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL172W	-0.156	0.105	0.075	-0.016	0.027	0.007	0.045	-0.082	0.044	-0.201	0.050	0.008	-0.006	0.020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL173C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.051	-0.072	-0.103	-0.021	-0.092	-0.098	-0.018	0.007	-0.057	0.041	-0.077	-0.006	-0.051	-0.015
YJL174W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.043	0.006	0.040	-0.011	-0.167	-0.110	-0.033	-0.051	-0.068	-0.045	0.044	-0.024	-0.089	0.009
YJL175W	-0.149	0.110	-0.029	-0.051	0.062	-0.239	-0.185	0.066	-0.123	-0.490	0.005	-0.128	-0.043	0.026	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL176C	-0.082	-0.252	-0.106	-0.071	0.009	-0.026	-0.165	-0.030	-0.242	-0.199	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL177W	-0.126	0.106	0.033	0.009	0.024	-0.030	-0.035	0.006	-0.018	-0.223	-0.049	-0.037	0.002	-0.013	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL178C	0.106	0.115	0.036	0.015	0.020	0.002	-0.007	0.110	0.177	-0.049	0.120	0.012	0.037	0.022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL179W	-0.013	0.070	0.081	0.033	0.002	0.492	0.173	0.080	0.098	0.051	0.130	0.141	0.010	0.018	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL180C	-0.088	0.032	0.104	-0.003	0.023	-0.097	-0.016	-0.019	-0.123	-0.142	0.107	-0.035	-0.020	-0.002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL181W	-0.008	-0.042	-0.018	-0.010	-0.003	0.037	-0.045	-0.009	0.009	0.044	-0.015	-0.023	-0.028	-0.028	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL182C	0.161	0.221	0.032	-0.015	-0.008	0.009	0.047	0.204	0.278	-0.323	0.270	0.084	0.039	-0.021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL183W	0.071	-0.128	-0.055	0.045	0.058	0.064	-0.035	0.089	0.148	0.115	-0.089	0.038	0.006	0.015	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL184W	0.208	-0.274	-0.286	-0.026	-0.126	-0.027	-0.085	-0.006	-0.208	-0.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL185C	0.094	0.290	0.053	0.008	-0.005	0.059	0.012	0.142	0.291	-0.263	0.199	0.021	0.009	-0.011	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL186W	-0.029	-0.032	-0.006	-0.002	0.017	0.021	-0.040	0.069	0.060	0.037	-0.018	-0.021	-0.023	-0.016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL187C	0.032	-0.050	-0.017	0.014	0.008	0.017	-0.039	0.036	-0.004	0.071	-0.008	-0.023	-0.019	0.005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL188C	0.196	-0.123	-0.044	0.004	0.027	0.032	-0.105	-0.079	0.087	-0.210	-0.152	-0.071	-0.041	0.019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL189W	0.144	-0.123	-0.064	0.036	0.038	-0.004	-0.112	-0.102	-0.070	-0.181	-0.152	-0.075	-0.027	0.028	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL190C	0.023	-0.011	-0.004	0.013	0.049	0.060	0.042	0.018	0.004	-0.076	0.029	0.031	-0.006	0.015	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL191W	-0.024	0.097	0.006	0.015	0.042	-0.001	-0.007	0.109	0.161	-0.162	0.022	-0.000	0.014	-0.010	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL192C	0.058	0.174	0.006	-0.011	0.077	-0.018	-0.080	0.093	0.090	-0.093	0.001	-0.046	-0.047	-0.029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL193W	0.054	0.078	0.016	-0.004	0.017	0.021	-0.038	-0.072	0.139	-0.051	0.009	-0.038	-0.046	-0.013	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL194W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.042	-0.078	-0.076	-0.020	-0.046	-0.099	0.023	0.040	0.004	0.031	-0.064	0.004	-0.027	-0.018
YJL195C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.004	-0.037	-0.057	-0.009	0.024	-0.072	0.020	0.022	0.047	0.033	-0.050	0.017	-0.004	-0.026
YJL196C	-0.032	-0.023	-0.003	0.017	0.047	0.012	0.014	0.037	0.014	-0.026	0.003	-0.003	-0.007	0.026	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL197W	-0.024	-0.001	0.026	-0.017	0.062	0.094	0.010	0.091	0.034	0.019	0.031	0.024	0.017	0.008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL198W	-0.127	0.177	0.073	0.011	0.093	0.068	-0.103	0.078	0.224	-0.203	0.041	-0.087	0.019	0.008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL199C	-0.037	-0.017	-0.000	0.012	0.046	0.096	-0.012	0.050	0.101	-0.012	-0.003	-0.014	-0.011	-0.010	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL200C	-0.058	0.117	0.023	0.014	0.028	0.061	-0.009	0.077	-0.163	-0.105	0.030	0.023	-0.003	0.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL201W	0.003	0.004	0.012	-0.001	0.010	0.091	0.006	0.045	0.029	0.068	0.008	0.007	0.034	0.009	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL202C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.013	-0.057	-0.085	-0.027	-0.106	-0.091	0.000	0.015	-0.073	0.015	-0.096	-0.009	0.002	-0.049
YJL203W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.022	-0.081	-0.093	-0.042	-0.040	-0.090	-0.027	-0.006	-0.055	0.004	-0.089	-0.002	-0.039	-0.052
YJL204C	0.251	-0.047	-0.173	-0.004	0.060	-0.026	-0.022	0.155	0.210	0.039	-0.128	-0.056	-0.045	0.012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL206C	0.030	0.212	0.052	0.010	0.048	0.039	0.010	0.195	0.210	-0.265	0.223	0.038	0.030	-0.001	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL206C-A	0.141	0.237	0.062	0.058	0.013	0.088	0.024	0.166	0.188	-0.175	0.129	0.029	0.023	0.020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL207C	-0.009	0.001	0.011	-0.022	0.012	0.084	0.003	0.035	-0.018	0.016	0.013	0.014	0.004	0.013	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL208C	0.096	0.212	0.055	0.019	0.017	0.069	0.027	0.133	0.033	-0.135	0.100	0.027	0.002	0.001	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL209W	-0.019	0.026	0.074	-0.058	0.078	-0.205	0.019	-0.119	-0.213	-0.146	0.052	-0.003	0.055	-0.026	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL210W	0.135	0.207	0.049	-0.010	0.134	0.076	-0.059	0.107	0.001	-0.283	0.114	-0.013	-0.024	-0.020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL211C	0.068	-0.008	0.013	-0.022	0.156	0.169	-0.012	0.059	-0.084	-0.149	0.041	0.016	-0.015	0.024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL212C	0.146	0.216	0.049	-0.013	0.122	-0.038	0.007	0.090	0.104	-0.099	0.120	0.022	-0.013	0.001	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL213W	-0.131	0.046	0.015	0.041	-0.024	-0.051	-0.002	0.034	-0.035	-0.031	-0.008	0.014	0.034	-0.010	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL214W	0.064	0.007	0.011	-0.021	0.073	0.099	-0.022	0.045	0.066	-0.026	0.043	0.009	-0.029	0.022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL215C	0.157	0.269	0.046	-0.004	0.084	0.003	0.006	0.161	0.312	-0.207	0.152	0.017	-0.011	-0.005	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL216C	0.110	0.247	0.049	-0.028	0.024	0.019	-0.029	0.082	0.056	-0.167	0.107	-0.010	-0.018	0.020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL217W	0.053	0.022	0.027	-0.030	0.106	0.038	-0.001	0.028	-0.005	0.017	0.031	0.001	-0.032	0.001	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJL218W	0.031	-0.059	0.032	-0.014	0.161	0.091	-0.015	0.042	0.009	0.014	0.046	0.006	-0.012	0.003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJR001W	-0.050	-0.058	-0.022	-0.019	-0.077	0.083	0.024	0.019	0.015	0.034	-0.046	-0.021	-0.022	0.006	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJR002W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.092	0.001	-0.014	0.008	-0.048	0.040	-0.004	-0.012	-0.045	0.063	-0.061	-0.018	0.025	-0.009
YJR003C	-0.105	0.003	0.016	-0.031	-0.011	0.002	0.021	-0.056	-0.174	0.001	0.033	0.015	0.013	-0.002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJR004C	-0.236	-0.002	0.057	-0.029	-0.021	-0.135	0.040	-0.150	-0.460	-0.206	0.044	0.027	0.066	-0.004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJR005C-A	-0.138	-0.101	-0.055	-0.055	-0.052	0.140	-0.138	0.030	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJR005W	0.088	-0.024	0.005	-0.024	-0.130	-0.094	0.013	-0.061	-0.030	0.261	-0.031	-0.024	-0.028	-0.003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJR006W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.019	0.112	0.048	0.007	0.013	0.064	0.005	-0.057	0.100	-0.154	-0.015	0.025	-0.166	0.031
YJR007W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.074	-0.047	-0.074	0.016	-0.027	0.132	0.067	-0.058	-0.196	0.021	-0.025	0.045	0.077	0.045
YJR008W	0.203	-0.082	-0.025	-0.029	-0.058	0.010	0.033	-0.037	-0.012	0.070	-0.051	-0.018	-0.073	0.007	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJR009C	0.069	-0.061	-0.029	-0.026	-0.026	-0.032	0.016	-0.026	0.022	0.110	-0.045	-0.009	-0.038	-0.012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJR010C-A	-0.033	-0.059	-0.019	-0.038	-0.103	-0.039	0.042	-0.039	-0.077	0.075	-0.048	-0.023	-0.064	-0.015	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJR010W	-0.036	-0.112	-0.074	-0.100	-0.085	0.193	0.005	-0.003	-0.168	-0.049	-0.024	-0.001	-0.016	-0.053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJR011C	-0.083	-0.056	0.043	-0.033	-0.139	-0.054	0.106	-0.058	-0.149	0.154	0.015	0.030	-0.033	-0.014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YJR013W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.045	0.033	0.039	0.285	0.071	-0.074	0.057	0.014	0.190	0.103	0.152	0.014	0.047	0.020
