orf	hap a (post-SGA) | growth (colony size) | expression of GFP [prTDH3] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of GFP [prTDH3] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of tGFP [prPYK1] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of NES-tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of NES-tGFP [prPYK1] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of GFP [prTDH3] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of NES-tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020
YBL007C	-0.049304999999999995	-0.2761	0.076585	-0.0034399999999999986	-0.040005	-0.12511	0.7947893273921842	0.7	0.8
YBL008W	0.015295000000000003	-0.023739999999999997	0.04376	-0.011479999999999999	0.0604	0.11448	0.9766998076323263	0.95	1.0
YBL009W	0.067635	0.043480000000000005	0.11642999999999999	0.023805	0.11506999999999999	0.082115	1.0490412606697452	1.15	1.1
YBL010C	-0.00332	-0.005915000000000004	0.07269	0.07954	0.007800000000000001	0.01579	1.0526487335674126	1.15	1.15
YBL011W	0.1578	-0.028630000000000003	0.03875	-0.11784	-0.0024600000000000004	-0.130105	0.9468326115036775	0.6499999999999999	0.95
YBL013W	0.1418	0.1106	0.133815	0.18227	0.15182	0.16416	1.007117728405106	1.05	1.0
YBL015W	0.03869	0.155615	0.043980000000000005	-0.016325	-0.019385	0.021625000000000002	1.05974656742314	1.15	1.1
YBL016W	-0.123845	-0.34396000000000004	-0.17562	-0.083005	-0.150485	-0.15703999999999999	0.9083419126324874	0.75	0.7
YBL017C	0.043410000000000004	-0.033875	0.091315	-0.027949999999999996	0.06599	0.027270000000000003	1.192228586176972	1.1	0.95
YBL019W	0.034460000000000005	-0.0552	-0.037559999999999996	-0.07888	0.02352	-0.06046	1.2021843704770572	1.1	1.2999999999999998
YBL021C	0.131625	0.193085	0.152195	0.04856	0.14981	0.10408	1.0657274352043686	0.9	1.1
YBL024W	0.116085	0.09034	0.148605	0.039975000000000004	0.118425	0.08071	1.170639294403414	1.0	1.15
YBL025W	0.005305	0.30569	0.025660000000000002	0.02884	0.013414999999999996	0.11237	0.5755434015954286	0.35	0.35
YBL027W	-0.15674	-0.34263	-0.205435	-0.48397500000000004	0.08675	-0.04960999999999999	0.734888773752926	0.55	0.7
YBL028C	0.10654	0.031765	0.054785	0.00272	0.05691	0.043425000000000005	1.0915517865922895	1.1	1.4500000000000002
YBL029W	-0.030735	0.10836	-0.025509999999999998	0.07725	0.061305	0.016515	1.1056761166281759	1.1	1.25
YBL031W	-0.29766	-0.11824499999999999	-0.267415	-0.24139	-0.303475	-0.31401	0.6645474416124219	0.35	0.25
YBL032W	0.01839	0.013109999999999998	0.0068899999999999986	0.045545	0.005095000000000002	0.060340000000000005	1.022899251594355	1.0	1.0
YBL036C	-0.033335	0.10594	0.016645	0.09184	0.03979	0.1286	1.1520538744544127	1.1	1.25
