orf	hap a | growth (colony size) | indole-3-acetic acid [3 mM] | SC | Nicastro R~De Virgilio C, 2021	hap a | growth (colony size) | rapamycin [4 ng/ml] | SC | Nicastro R~De Virgilio C, 2021
YAR050W	0.7892360756183205	-0.4332168304661378
YBL001C	-0.31925247381032634	-0.34173247470798024
YBL002W	-0.5816391287351187	0.20235869374843213
YBL003C	-0.9874323037689552	-0.491554680514818
YBL004W	-0.04112261959004762	-1.4763616186841575
YBL005W	-1.1396945216577563	-0.24511815507553308
YBL006C	-0.6658317314056895	-0.4032665949500746
YBL007C	-4.070522183910426	-0.8029961162077737
YBL008W	-1.3582433085412526	-1.0606634910616568
YBL008W-A	-0.49584285744225004	-0.4332168304661378
YBL009W	-0.40839665785528845	-0.3101186147670879
YBL010C	-0.13566841161872334	-0.7552417627348534
YBL011W	-0.31925247381032634	-0.4332168304661378
YBL012C	-0.5816391287351187	0.08021577838066637
YBL013W	-0.49584285744225004	0.08021577838066637
YBL014C	-0.40839665785528845	1.0104603447891796
YBL015W	-0.31925247381032634	-0.2779193129754383
YBL016W	-0.31925247381032634	0.6717706822206315
YBL017C	-1.0642431547575024	-0.62889170250442
YBL018C	0.5683959971054569	0.6199170323312608
YBL019W	-0.6658317314056895	0.16079617393579002
YBL020W	-0.13566841161872334	-0.0714649661936839
YBL021C	0.15375748234661055	0.51974520868134
YBL022C	0.3567575885306297	0.04114649568727335
YBL023C	-4.038430756988474	1.7058376713188097
YBL024W	0.46146290645712235	-1.2938920195067019
YBL025W	0.7892360756183205	-1.38859143173804
YBL027W	-0.49584285744225004	-0.0714649661936839
YBL028C	-0.2283603645880135	-0.03467112221277708
YBL029C-A	-0.31925247381032634	-0.46264162325384933
YBL029W	0.15375748234661055	0.4240254660825265
YBL030C	-0.40839665785528845	0.33246745142279166
YBL031W	-0.04112261959004762	0.08021577838066637
YBL032W	0.3567575885306297	0.16079617393579002
YBL033C	1.139106312363421	-0.21169810740393222
YBL035C	0.5683959971054569	-0.7307869123676727
YBL036C	0.15375748234661055	-0.37277671555083886
YBL037W	-0.7484652118045849	-0.491554680514818
YBL038W	-0.40839665785528845	-0.5199692367885288
YBL039C	-0.2283603645880135	0.16079617393579002
YBL039W-B	-0.49584285744225004	-0.21169810740393222
YBL041W	-0.6658317314056895	-1.373310847174172
YBL042C	-0.6658317314056895	-0.491554680514818
YBL043W	-0.13566841161872334	0.4240254660825265
YBL044W	-0.2283603645880135	0.20235869374843213
YBL045C	-0.04112261959004762	-0.10754436660214557
YBL046W	-0.13566841161872334	-0.17764148739572894
YBL047C	-0.31925247381032634	-0.17764148739572894
YBL048W	-0.13566841161872334	0.12009061329454222
YBL049W	-0.04112261959004762	-0.34173247470798024
YBL050W	-0.40839665785528845	-1.6091938939474393
YBL051C	-0.7484652118045849	-1.5709754849243196
YBL052C	-0.13566841161872334	-0.10754436660214557
