orf	hap a | chromosome instability (ade2-101 + SUP11) | standard [standard] | Yuen KW~Spencer FA, 2007	hom | chromosome instability (diploid bimater) | standard [standard] | Yuen KW~Spencer FA, 2007	hap alpha | chromosome instability (Mat-alpha) | standard [standard] | Yuen KW~Spencer FA, 2007
YJR074W	0.0	-1.9776104106601737	-0.22406308054624607
YJR144W	-3.77554194535461	-1.9776104106601737	1.439605292509631
YJR154W		-1.9776104106601737	0.330493043805713
YKL006W		-1.9776104106601737	0.885049168157672
YKL055C			1.439605292509631
YKL074C	3.77554194535461	-1.9776104106601737	-0.22406308054624607
YKL217W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YKL221W		-1.9776104106601737	0.330493043805713
YKR024C	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YKR091W		-1.9776104106601737	0.885049168157672
YKR092C		-1.9776104106601737	0.330493043805713
YKR093W		-1.9776104106601737	0.330493043805713
YKR097W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YLL005C	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YLL028W	7.55108389070922	-1.9776104106601737	-0.22406308054624607
YLL049W	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YLR006C	3.77554194535461	-1.9776104106601737	-0.22406308054624607
YLR085C	-3.77554194535461	4.140621797319739	-0.22406308054624607
YLR242C	-3.77554194535461	2.1012110613264348	-0.22406308054624607
YLR255C	-3.77554194535461	-1.9776104106601737	0.885049168157672
YLR304C		-1.9776104106601737	2.548717541213549
YLR370C	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YLR425W	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YLR443W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YML009C	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YML090W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YML094W	-3.77554194535461	2.1012110613264348	
YML099C	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YML102W	-3.77554194535461	2.1012110613264348	-0.22406308054624607
YML124C	-3.77554194535461	2.1012110613264348	-0.22406308054624607
YMR008C	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YMR106C	-3.77554194535461	-1.9776104106601737	0.330493043805713
YMR198W	7.55108389070922		-0.22406308054624607
YMR300C	-3.77554194535461	-1.9776104106601737	1.99416141686159
YMR311C	-3.77554194535461	4.140621797319739	
YNL047C	-3.77554194535461		0.330493043805713
YNL066W	-3.77554194535461	-1.9776104106601737	0.885049168157672
YNL086W	-3.77554194535461	-1.9776104106601737	0.885049168157672
YNL089C	-3.77554194535461	-1.9776104106601737	0.330493043805713
YNL133C		-1.9776104106601737	4.7669420386213845
YNL206C	0.0	-1.9776104106601737	-0.22406308054624607
YNL213C	-3.77554194535461		3.3805517277414876
YNL257C	-3.77554194535461	-1.9776104106601737	0.330493043805713
YNL291C	-3.77554194535461	2.1012110613264348	-0.22406308054624607
YNL309W	3.77554194535461	-1.9776104106601737	
YNL315C	-3.77554194535461		1.1623272303336516
YNR042W			0.330493043805713
YNR045W	-3.77554194535461	-1.9776104106601737	0.885049168157672
YNR048W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YNR049C	-3.77554194535461	-1.9776104106601737	0.885049168157672
YNR068C	-3.77554194535461	-1.9776104106601737	7.2624445982052
YOL012C		4.140621797319739	-0.22406308054624607
YOL064C	-3.77554194535461	4.140621797319739	
YOL070C	7.55108389070922	-1.9776104106601737	-0.22406308054624607
YOR014W		-1.9776104106601737	5.044220100797364
YOR058C	-3.77554194535461	-1.9776104106601737	0.330493043805713
YOR066W	-3.77554194535461	-1.9776104106601737	0.330493043805713
YOR128C	-3.77554194535461		1.439605292509631
YOR241W	-3.77554194535461		3.3805517277414876
YOR308C	3.77554194535461	-1.9776104106601737	-0.22406308054624607
YOR349W	-3.77554194535461	4.140621797319739	-0.22406308054624607
YPL022W	-3.77554194535461		1.1623272303336516
YPL027W	-3.77554194535461		0.6077711059816925
YPL047W	0.0	-1.9776104106601737	-0.22406308054624607
YPL059W	-3.77554194535461		1.7168833546856106
YPL061W	0.0	-1.9776104106601737	-0.22406308054624607
YPL125W	-3.77554194535461	2.1012110613264348	-0.22406308054624607
YPL179W	0.0	-1.9776104106601737	-0.22406308054624607
YPL213W	-3.77554194535461	-1.9776104106601737	0.6077711059816925
YPL241C	-3.77554194535461	4.140621797319739	-0.22406308054624607
YPR042C		-1.9776104106601737	0.330493043805713
YPR047W		-1.9776104106601737	1.1623272303336516
