orf	hap a | growth (colony size) | 5-hydroxymethyl-2-furaldehyde [60 mM] | YPD + G418 [100 ug/ml] | Li Q~Wang H, 2023
YKR020W	0.23
YKR023W	0.25
YKR031C	0.21
YKR047W	0.24
YKR072C	0.47
YKR074W	0.3
YKR082W	0.68
YKR084C	-0.2
YKR103W	0.32
YLL046C	-0.21
YLR004C	0.32
YLR015W	0.25
YLR024C	0.26
YLR048W	0.38
YLR070C	-0.22
YLR085C	-0.34
YLR098C	-0.23
YLR131C	0.33
YLR172C	0.3
YLR174W	0.39
YLR176C	0.23
YLR177W	0.21
YLR179C	0.22
YLR217W	-0.39
YLR218C	0.48
YLR264W	0.29
YLR287C-A	0.25
YLR320W	0.26
YLR327C	0.24
YLR330W	-0.32
YLR332W	-0.23
YLR371W	0.22
YLR384C	0.23
YLR388W	0.39
YLR407W	0.21
YLR412W	0.33
YLR418C	0.37
YLR423C	0.36
YLR443W	0.23
YLR452C	-0.23
YML004C	0.22
YML008C	-0.27
YML009C-A	0.46
YML026C	0.21
YML034C-A	0.26
YML035C	-0.41
YML041C	-0.34
YML047W-A	0.45
YML051W	0.26
YML097C	0.23
YML101C-A	0.48
YML102W	0.3
YML128C	0.24
YMR025W	0.41
YMR026C	-0.25
YMR029C	0.24
YMR031W-A	-0.23
YMR039C	0.24
YMR067C	0.26
YMR073C	0.41
YMR100W	0.3
YMR105C	0.49
YMR106C	0.74
YMR124W	0.38
YMR145C	0.23
YMR152W	0.25
YMR163C	-0.2
YMR219W	0.3
YMR223W	0.27
YMR252C	0.37
YMR271C	0.24
YMR272C	-0.45
YMR274C	0.38
YMR275C	-0.37
YMR282C	-0.23
YMR283C	-0.66
YMR312W	0.25
YMR315W	0.29
YMR318C	-0.22
YNL008C	-0.24
YNL032W	-0.42
YNL040W	0.59
YNL045W	0.34
YNL072W	-0.24
YNL089C	-0.23
YNL099C	-0.31
YNL136W	-0.33
YNL147W	-0.27
YNL170W	0.23
YNL171C	0.23
YNL206C	0.34
YNL224C	0.26
YNL229C	-0.29
YNL254C	-0.26
YNL319W	0.28
YNR005C	-0.35
YNR029C	0.24
YNR051C	-0.4
YNR064C	0.28
YOL004W	0.66
YOL007C	0.3
YOL053W	0.29
YOL059W	0.32
YOL068C	0.49
YOL080C	0.32
YOL081W	0.2
YOL103W	0.42
YOR006C	-0.3
YOR007C	0.4
YOR012W	-0.25
YOR045W	0.36
YOR078W	0.25
YOR089C	0.36
YOR108W	0.2
YOR135C	0.36
YOR139C	0.3
YOR182C	0.23
YOR183W	0.23
YOR191W	-0.46
YOR193W	0.23
YOR301W	0.34
YOR312C	0.48
YPL032C	0.37
YPL071C	0.25
YPL086C	0.25
YPL105C	-0.2
YPL139C	0.37
YPL181W	0.28
YPL182C	0.59
YPL183C	-0.26
YPL196W	0.26
YPL213W	-0.2
YPR018W	0.23
YPR024W	-0.28
YPR132W	0.27
YPR134W	-0.29
YPR151C	0.29
