orf	hap a | biofilm formation | standard | YPD | Vandenbosch D~Coenye T, 2013	hap a | biofilm formation | miconazole [1 mg/ml] | YPD | Vandenbosch D~Coenye T, 2013
YBL094C	0.63	0.6
YBL095W	0.94	1.17
YBL096C	0.89	1.34
YBL098W	1.12	1.08
YBL099W	0.77	0.93
YBL100C	0.75	0.72
YBL100W-C	1.13	1.29
YBL101C	1.15	0.92
YBL102W	1.37	0.78
YBL103C	1.15	0.99
YBL104C	1.06	0.97
YBL106C	0.96	0.91
YBL107C	0.78	1.03
YBR001C	1.2	1.01
YBR003W	0.6	0.46
YBR005W	0.97	1.04
YBR006W	0.82	1.52
YBR007C	1.04	1.07
YBR008C	0.99	1.02
YBR009C	1.06	1.07
YBR010W	1.11	0.89
YBR012C	1.08	0.84
YBR013C	1.18	0.85
YBR014C	1.11	0.9
YBR015C	1.13	0.93
YBR016W	1.03	0.96
YBR018C	1.29	0.86
YBR019C	1.09	1.02
YBR020W	1.16	0.87
YBR021W	1.13	0.91
YBR022W	1.15	1.1
YBR023C	1.13	0.92
YBR024W	1.0	1.09
YBR025C	0.95	1.29
YBR026C	1.05	1.17
YBR027C	1.02	1.35
YBR028C	1.1	0.96
YBR030W	1.13	1.12
YBR031W	1.02	1.15
YBR032W	1.11	0.99
YBR033W	1.22	0.94
YBR034C	1.09	1.14
YBR035C	0.99	0.96
YBR036C	0.87	1.31
YBR037C	0.87	0.96
YBR040W	0.98	1.07
YBR041W	1.13	0.77
YBR042C	1.0	1.09
YBR043C	0.99	0.93
YBR044C	0.99	1.08
YBR045C	1.11	0.98
YBR046C	0.97	0.96
YBR047W	1.15	1.18
YBR048W	0.95	1.03
YBR050C	1.11	0.83
YBR051W	1.11	0.98
YBR052C	1.13	0.91
YBR053C	0.99	1.08
YBR054W	1.18	0.91
YBR056W	0.94	0.92
YBR056W-A	1.17	0.84
YBR057C	1.01	1.04
YBR058C	1.13	0.96
YBR058C-A	1.07	0.84
YBR059C	1.11	1.01
YBR061C	1.08	0.97
YBR062C	1.22	1.06
YBR063C	1.08	1.02
YBR064W	1.05	1.19
YBR065C	1.31	0.84
YBR066C	1.3	0.78
YBR067C	0.98	0.93
YBR068C	1.1	1.02
YBR069C	1.14	1.09
YBR071W	1.0	1.19
YBR072C-A	1.21	1.22
YBR072W	1.15	0.88
YBR073W	1.06	0.91
YBR074W	1.12	1.1
YBR076W	1.09	0.92
YBR077C	1.07	0.93
YBR078W	1.05	0.69
YBR081C	1.02	0.98
YBR082C	0.85	0.77
YBR083W	1.08	0.87
YBR084C-A	0.89	1.38
YBR084W	0.9	1.17
YBR085C-A	0.75	1.34
YBR085W	0.83	0.57
YBR089C-A	1.0	1.08
YBR090C	0.93	1.35
YBR092C	1.07	0.94
YBR093C	1.13	0.93
YBR094W	1.07	1.06
YBR095C	0.86	0.85
YBR097W	0.4	0.38
YBR098W	1.085	1.0050000000000001
YBR099C	1.1	1.0
YBR101C	1.18	1.16
YBR103W	0.95	1.44
YBR104W	1.3	0.92
YBR105C	0.8300000000000001	1.0150000000000001
YBR106W	1.08	1.03
YBR107C	0.98	0.91
YBR108W	0.95	1.3
YBR111C	0.95	1.02
YBR111W-A	0.96	1.24
YBR112C	0.97	0.97
YBR113W	1.22	0.96
YBR114W	1.01	0.94
YBR115C	1.09	1.21
YBR116C	0.9	1.15
YBR119W	0.93	1.22
YBR120C	0.65	1.59
YBR121C	1.19	0.94
YBR122C	1.22	0.97
YBR125C	0.91	0.81
YBR126C	0.76	1.09
YBR127C	1.15	0.96
YBR128C	1.11	0.9
YBR129C	1.17	1.01
YBR130C	1.16	0.92
YBR131W	1.0	1.29
YBR132C	0.72	1.52
YBR133C	0.98	1.24
YBR134W	0.96	1.01
YBR137W	1.06	1.06
YBR138C	0.98	1.06
YBR139W	1.04	0.86
YBR141C	1.02	1.01
YBR144C	0.85	0.88
YBR145W	0.97	1.13
YBR146W	1.16	1.04
YBR147W	1.03	0.85
YBR148W	1.15	1.01
YBR149W	1.1	0.88
YBR150C	0.62	1.1
YBR151W	1.12	0.95
YBR156C	1.17	1.2
YBR157C	1.23	0.88
YBR158W	1.11	0.96
YBR159W	0.93	1.04
YBR161W	0.9	1.18
YBR162C	1.05	1.03
YBR162W-A	1.0	1.02
YBR163W	1.09	0.81
YBR164C	1.24	1.07
YBR165W	1.12	1.1
YBR166C	1.11	1.05
YBR168W	1.0	0.95
YBR169C	1.14	1.04
YBR170C	0.98	1.2
YBR171W	0.62	0.39
YBR172C	0.87	1.02
YBR173C	0.59	0.46
YBR174C	0.61	1.15
YBR175W	0.82	0.96
YBR176W	1.09	0.9
YBR177C	0.96	0.79
YBR178W	1.0	0.9
YBR179C	0.48	1.51
YBR180W	0.95	1.11
YBR181C	0.65	1.37
YBR182C	0.92	0.8
YBR182C-A	0.78	1.04
YBR183W	0.86	0.88
YBR184W	0.93	1.12
YBR185C	0.86	1.11
YBR186W	1.01	0.99
YBR187W	1.13	0.97
YBR188C	1.04	0.98
YBR189W	0.96	1.27
YBR191W	0.98	0.78
YBR194W	1.3	1.01
YBR195C	0.97	1.03
YBR196C-A	0.9	1.12
YBR196C-B	0.7	1.39
YBR197C	0.86	0.87
YBR199W	0.86	0.94
YBR200W	0.84	1.05
YBR200W-A	1.02	1.22
YBR201W	1.15	1.22
YBR203W	0.96	0.93
YBR204C	0.94	1.2
YBR205W	0.9	0.98
YBR206W	0.8	1.05
YBR207W	1.03	1.08
YBR208C	0.76	1.25
YBR209W	0.86	0.93
YBR210W	0.9	0.94
YBR212W	0.82	1.07
YBR213W	0.92	1.0
YBR214W	0.95	0.96
YBR215W	1.05	0.88
YBR216C	1.0	0.9
YBR217W	0.97	1.06
YBR218C	0.91	1.24
YBR219C	0.8	1.31
YBR220C	1.06	1.14
YBR221C	0.49	1.8
YBR221W-A	1.19	1.16
YBR222C	1.02	1.04
YBR223C	0.95	1.18
YBR224W	1.05	1.25
YBR225W	1.04	1.21
YBR226C	1.11	0.93
YBR227C	0.78	1.13
YBR228W	0.93	0.95
YBR229C	0.99	1.31
YBR230C	1.07	0.88
YBR230W-A	0.92	1.11
YBR231C	0.81	0.93
YBR232C	0.97	1.11
YBR233W	1.09	0.94
YBR235W	0.96	1.01
YBR238C	0.77	1.33
YBR239C	0.92	1.27
YBR240C	0.95	1.23
YBR241C	0.95	1.35
YBR242W	0.88	1.04
YBR244W	0.86	1.04
YBR245C	0.94	1.05
YBR246W	0.84	0.97
YBR248C	0.75	0.95
YBR249C	1.0	0.9
YBR250W	1.03	0.85
YBR251W	1.03	1.07
YBR255W	0.97	0.99
YBR258C	0.97	0.93
YBR259W	1.04	0.95
YBR260C	0.87	1.27
YBR261C	1.07	0.97
YBR262C	1.04	1.01
YBR263W	0.88	1.11
YBR264C	1.0	0.93
YBR266C	0.83	1.32
YBR267W	1.03	1.04
YBR268W	0.85	0.81
YBR269C	0.98	1.22
YBR270C	1.01	1.24
YBR271W	1.02	1.21
YBR272C	0.82	1.26
YBR273C	0.95	1.24
YBR274W	0.96	1.22
YBR275C	0.94	1.28
YBR276C	0.88	1.69
YBR277C	0.95	0.9
YBR278W	0.94	1.2
YBR279W	0.9	1.04
YBR280C	0.9	1.36
YBR281C	0.77	1.18
YBR282W	0.84	1.07
YBR283C	0.92	1.11
YBR284W	0.99	1.29
YBR285W	1.21	1.03
YBR286W	0.92	1.26
YBR287W	1.18	1.27
YBR288C	0.95	1.32
YBR289W	1.01	1.12
YBR290W	0.8	1.07
YBR291C	0.93	1.0
YBR292C	0.89	1.11
YBR293W	0.97	1.1
YBR294W	0.98	1.08
YBR295W	1.02	1.04
YBR296C	0.72	1.26
YBR296C-A	0.78	1.13
YBR297W	1.11	1.06
YBR298C	1.12	1.05
YBR299W	1.1	1.22
YBR300C	0.5	1.2
YBR301W	1.12	1.11
YCL001W	0.84	1.15
YCL001W-A	1.16	1.21
YCL001W-B	1.11	0.91
YCL002C	0.96	1.37
YCL005W	0.82	1.18
YCL005W-A	1.03	1.19
YCL007C	0.52	1.65
