ORF	hap a | growth (culture turbidity) | butan-1-ol [1% v/v] | Gonzalez~Daran JM, 2013
YCR073C	0.610
YGR155W	0.627
YML022W	0.631
YMR135W-A	0.655
YPL224C	0.607
YOL155C	0.636
YCR030C	0.622
YCR075C	0.595
YLR192C	0.635
YML027W	0.573
YMR137C	0.567
YGR295C	0.594
YKL053C-A	0.693
YOR265W	0.607
YCR032W	0.670
YCR083W	0.610
YLR237W	0.634
YML036W	0.509
YMR138W	0.574
YHR132W-A	0.564
YKR106W	0.591
YOR266W	0.602
YCR033W	0.696
YCR084C	0.464
YLR246W	0.574
YML038C	0.600
YMR139W	0.578
YIL030C	0.529
YMR191W	0.624
YOR267C	0.680
YCR046C	0.566
YCR088W	0.571
YLR334C	0.505
YML041C	0.618
YMR160W	0.627
YIL058W	0.617
YMR322C	0.639
YOR268C	0.640
YCR047C	0.646
YCR089W	0.590
YLR346C	0.589
YMR173W	0.601
YIL092W	0.593
YNL138W	0.627
YOR269W	0.583
YCR048W	0.594
YBR191W	0.626
YLR358C	0.681
YML042W	0.573
YMR198W	0.550
YIR023W	0.666
YNL140C	0.599
YOR270C	0.688
YCR053W	1.306
YCL035C	0.585
YLR361C	0.573
YML047C	0.562
YIR030C	0.633
YNL142W	0.608
YOR271C	0.522
YCR060W	0.669
YDR071C	0.651
YLR370C	0.637
YML075C	0.680
YIR032C	0.672
YOR273C	0.762
YNL130C	0.618
YGL219C	0.078
YGR106C	0.651
YOL125W	0.606
YJL191W	0.575
YKL215C	0.591
YKR041W	0.594
YBR150C	0.614
YBR189W	0.579
YGR028W	0.576
YGR110W	0.612
YJL141C	0.624
YJL196C	0.601
YKL220C	0.585
YKR046C	0.577
YCR095C	0.582
YGR032W	0.604
YGR117C	0.621
YJL151C	0.585
YJL200C	0.552
YKR010C	0.580
YKR053C	0.584
YBR168W	0.591
YCR102W-A	0.635
YGR038W	0.611
YGR238C	0.628
YJL160C	0.630
YJL206C	0.601
YKR019C	0.583
YML035C	0.616
YBR169C	0.639
YDL133C-A	0.275
YGR040W	0.561
YGR239C	0.562
YJL161W	0.600
YJL213W	0.570
YKR023W	0.310
YAR002C-A	0.557
YBR270C	0.639
YDR058C	0.471
YGR050C	0.566
YGR248W	0.587
YJL163C	0.580
YKL096W-A	0.593
YKR027W	0.569
YBR083W	0.638
YBR272C	0.649
YDR174W	0.387
YGR053C	0.548
YGR250C	0.564
YJL165C	0.586
YKL115C	0.592
YKR028W	0.710
YBR084C-A	0.609
YBR275C	0.643
YDR202C	0.595
YGR063C	0.585
YJL129C	0.607
YKL139W	0.757
YKR029C	0.610
YBR090C	0.572
YBR276C	0.575
YDR205W	0.550
YGR086C	0.600
YJL132W	0.609
YJL172W	0.541
YKL194C	0.533
YKR034W	0.565
YBR280C	0.666
YDR445C	0.565
YGR089W	0.511
YJL136C	0.471
YJL175W	0.501
YKL201C	0.574
YKR036C	0.557
YMR119W	0.593
YBR287W	0.650
YDR537C	0.640
YGR092W	0.511
YJL137C	0.591
YJL177W	0.552
YKL202W	0.567
YKR039W	0.578
YBR125C	0.639
YBR288C	0.645
YFR039C	0.628
YGR093W	0.617
YJL139C	0.621
YJL189W	0.447
YKL204W	0.586
YKR040C	0.579
YBR131W	0.649
YBR289W	0.640
YIL112W	0.616
YIL130W	0.679
YIL148W	0.512
YIL163C	0.571
YIR005W	0.582
YNL052W	0.600
YNL078W	0.598
YNL099C	0.559
YIL113W	0.699
YIL132C	0.578
YIL149C	0.588
YIL164C	0.610
YIR007W	0.559
YNL056W	0.592
YNL079C	0.587
YIL114C	0.570
YIL133C	0.552
YIL152W	0.561
YIL165C	0.561
YIR009W	0.568
YNL065W	0.562
YNL080C	0.563
YNL100W	0.676
YIL116W	0.547
YIL134W	0.560
YIL153W	0.724
YIL166C	0.549
YIR013C	0.563
YNL066W	0.572
YNL082W	0.576
YNL104C	0.658
YIL117C	0.569
YIL135C	0.579
YIL154C	0.559
YIL167W	0.604
YIR014W	0.663
YNL067W	0.559
YNL083W	0.559
YNL105W	0.629
YIL119C	0.561
YIL137C	0.567
YIL155C	0.550
YIL168W	0.568
YIR016W	0.576
YNL068C	0.584
YNL085W	0.584
YNL106C	0.577
YIL120W	0.575
YIL138C	0.549
YIL156W	0.637
YDL194W	0.566
YNL070W	0.595
YNL087W	0.569
YNL107W	0.760
YIL121W	0.583
YIL139C	0.572
YIL157C	0.568
YIL170W	0.571
YDR007W	1.942
YNL071W	0.457
YNL090W	0.567
YNL115C	0.655
YIL123W	0.568
YIL140W	0.594
YIL159W	0.558
YIL173W	0.578
YDR048C	0.569
YNL072W	0.593
YNL091W	0.606
YNL119W	0.590
YIL124W	0.578
YIL141W	0.610
YIL160C	0.555
YIR001C	0.580
YFR011C	0.572
YNL073W	0.502
YNL093W	0.592
YNL120C	0.605
YIL125W	0.553
YIL145C	0.582
YIL161W	0.583
YIR002C	0.665
YFR013W	0.577
YNL074C	0.579
YNL095C	0.545
YNL121C	0.493
YIL128W	0.570
YIL146C	0.682
YIL162W	0.657
YIR003W	0.627
YNL051W	0.643
YNL076W	0.865
YNL097C	0.629
YNL125C	0.588
YBR014C	0.618
YBR027C	0.664
YBR043C	0.632
YBR057C	0.586
YBR069C	0.600
YNL141W	0.613
YNL116W	0.594
YNL057W	0.614
YBR015C	0.696
YBR028C	0.621
YBR044C	0.652
YBR058C	0.541
YBR071W	0.588
YNL139C	0.602
YNL108C	0.597
YBR016W	0.589
YBR030W	0.590
YBR045C	0.645
YBR059C	0.634
YBR072W	0.607
YNL136W	0.622
YNL101W	0.605
YNL058C	0.618
YBR018C	0.582
YBR031W	0.564
YBR046C	0.596
YBR061C	0.619
YBR073W	0.617
YNL135C	0.616
YNL098C	0.787
YNL054W	0.653
YBR019C	0.567
YBR032W	0.586
YBR047W	0.579
YBR062C	0.541
YBR074W	0.646
YNL134C	0.640
YNL094W	0.570
YIL099W	0.661
YBR033W	0.584
YBR048W	0.559
YNL133C	0.622
YNL092W	0.570
YIL100W	0.590
YBR021W	0.572
YBR034C	0.542
YBR050C	0.602
YBR063C	0.597
YBR076W	0.608
YNL129W	0.591
YNL089C	0.579
YIL101C	0.658
YBR022W	0.588
YBR036C	0.580
YBR051W	0.598
YBR064W	0.578
YBR077C	0.533
YNL128W	0.572
YNL081C	0.568
YIL103W	0.597
YBR023C	0.566
YBR037C	0.560
YBR052C	0.569
YBR065C	0.591
YNL146W	0.581
YNL127W	0.593
YNL077W	0.607
YIL105C	0.659
YBR024W	0.597
YBR040W	0.574
YBR053C	0.563
YBR066C	0.614
YNL145W	0.573
YNL123W	0.582
YIL107C	0.600
YBR025C	0.574
YBR041W	0.596
YBR054W	0.601
YBR067C	0.634
YNL144C	0.559
YNL122C	0.552
YNL064C	0.059
YIL108W	0.556
YBR026C	0.520
YBR042C	0.654
YBR056W	0.622
YBR068C	0.617
YNL143C	0.578
YNL117W	0.658
YNL063W	0.640
YIL110W	0.510
YOR345C	0.601
YNL016W	0.630
YNL032W	0.579
YNR001C	0.612
YNR014W	0.586
YNR030W	0.609
YNR048W	0.596
YBL107C	0.662
YOR366W	0.692
YNL020C	0.570
YNL034W	0.580
YNR002C	0.560
YNR015W	0.629
YNR031C	0.579
YNR049C	0.600
YOR379C	0.546
YNL021W	0.677
YNL035C	0.609
YNR004W	0.497
YNR018W	0.617
YNR032W	0.627
YBL095W	0.555
YBR001C	0.658
YNL001W	0.572
YNL022C	0.564
YNL037C	0.600
YNR005C	0.521
YNR019W	0.597
YNR034W	0.621
YBL096C	0.573
YBR003W	0.587
YNL004W	0.612
YNL023C	0.579
YNL040W	0.717
YNR020C	0.618
YNR036C	0.500
YBL098W	0.588
YBR005W	0.626
YNL005C	0.505
YNL024C	0.561
YNL041C	0.569
YNR006W	0.468
YNR021W	0.607
YNR037C	0.621
YBL099W	0.592
YBR006W	0.619
YNL008C	0.571
YNL025C	1.042
YNL043C	0.587
YNR007C	0.606
YNR022C	0.581
YNR039C	0.542
YBL100C	0.574
YBR007C	0.616
YNL009W	0.582
YNL027W	0.600
YNL044W	0.593
YNR008W	0.617
YNR024W	0.570
YNR040W	0.565
YBL101C	0.609
YBR008C	0.664
YNL010W	0.583
YNL028W	0.570
YNL045W	0.585
YNR009W	0.600
YNR025C	0.567
YNR041C	0.537
YBL102W	0.609
YBR009C	0.640
YNL012W	0.590
YNL029C	0.605
YNL046W	0.591
YNR010W	0.600
YNR027W	0.602
YNR042W	0.582
YBL103C	0.786
YBR010W	0.649
YNL013C	0.617
YNL030W	0.606
YNL049C	0.594
YNR012W	0.686
YNR028W	0.614
YNR045W	0.546
YBL104C	0.557
YBR012C	0.648
YNL015W	0.783
YNL031C	0.665
YNL050C	0.689
YNR013C	0.670
YNR029C	0.677
YNR047W	0.750
YBL106C	0.635
YBR013C	0.667
YJR026W	0.557
YJR053W	0.567
YDL100C	0.510
YDL118W	0.461
YDL131W	0.519
YDL151C	0.482
YDL172C	0.495
YDL184C	0.470
YJR030C	0.476
YJR054W	0.469
YDL101C	0.535
YDL119C	0.480
YDL133W	0.653
YDL154W	0.516
YDL173W	0.506
YJR031C	0.529
YDL104C	0.410
YDL121C	0.470
YDL134C	0.518
YDL155W	0.485
YDL174C	0.538
YDL186W	0.522
YJR033C	0.591
YJR056C	0.466
YDL106C	0.537
YDL134C-A	0.499
YDL156W	0.438
YDL175C	0.538
YDL187C	0.514
YJR035W	0.457
YJR058C	0.544
YDL107W	0.479
YDL122W	0.519
YDL135C	0.455
YDL157C	0.544
YDL176W	0.505
YDL188C	0.551
YJR036C	0.480
YJR059W	0.575
YDL109C	0.501
YDL123W	0.544
YDL136W	0.459
YDL159W	0.544
YDL177C	0.568
YDL189W	0.614
YJR043C	0.296
YJR060W	0.507
YDL110C	0.523
YDL124W	0.572
YDL137W	0.459
YDL161W	0.591
YDL178W	0.580
YDL190C	0.553
YJR048W	0.483
YJR061W	0.525
YDL112W	0.500
YDL125C	0.584
YDL138W	0.524
YDL162C	0.606
YDL179W	0.578
YOR300W	0.530
YJR049C	0.539
YJR062C	0.517
YDL113C	0.422
YDL127W	0.542
