orf	hap a | growth (culture turbidity) | butan-1-ol [1% v/v] | Gonzalez~Daran JM, 2013
YBL038W	-0.24011886438347663
YBL039C	-0.06074916898089074
YBL039W-B	0.10807709074214641
YBL042C	0.018969626963487377
YBL043W	-0.00731259461133344
YBL044W	-0.28643589428202454
YBL045C	-0.19410450572656912
YBL046W	-0.07911431398882156
YBL047C	-0.2975618904331071
YBL048W	-0.09992262107147408
YBL049W	0.039120913092036004
YBL051C	0.0698339844667692
YBL052C	0.0404504109483705
YBL053W	-0.05084204936305087
YBL054W	0.059374757989129646
YBL055C	-0.008281881775010212
YBL056W	-0.10133064623790085
YBL057C	-0.05928540370047001
YBL058W	-1.2798239127518467
YBL059W	-0.007593573292370487
YBL060W	-0.11051175891658775
YBL061C	-0.08352110279336265
YBL062W	-0.03957949007076749
YBL063W	0.09854690376760286
YBL064C	0.31761323868787217
YBL065W	0.1832815721507464
YBL066C	0.11425864679153679
YBL067C	0.23356787784406519
YBL068W	0.16041705126725778
YBL069W	-0.02576667986788203
YBL070C	-0.04259948422783356
YBL071C	0.17765410821763
YBL071C-B	0.05749725529896326
YBL071W-A	-0.27454931790136444
YBL072C	-0.7749649536455913
YBL075C	-0.04246230223792061
YBL078C	0.11828061941594463
YBL079W	0.25642480987634736
YBL080C	-0.17783810539614528
YBL081W	0.09823763403094522
YBL082C	0.11087282309057835
YBL083C	0.12597323606601665
YBL085W	0.03160808319439039
YBL086C	-0.013675484251568223
YBL087C	-0.07402154636488523
YBL088C	0.009353385639764945
YBL089W	0.03339654290429124
YBL090W	-0.2960671746569774
YBL091C	0.01997659158267541
YBL091C-A	-0.1522742309314158
YBL093C	-1.320473946684881
YBL094C	-0.9814999532527056
YBL095W	0.008891310319131773
YBL096C	0.0549311094550569
YBL098W	0.09075124815618604
YBL099W	0.043203562945874754
YBL100C	-0.025083567891526968
YBL100W-C	0.09193923330603306
YBL101C	0.17919739791630737
YBL102W	0.14894338319265643
YBL103C	0.3396350333455377
YBL104C	-0.02066121562842989
YBL106C	0.23509091429404164
YBL107C	0.1864900719838562
YBR001C	0.31143801621381895
YBR003W	0.09000063597697876
YBR005W	0.23090374384571904
YBR006W	0.17616822133851967
YBR007C	0.187996578938527
YBR008C	0.2916139095704649
YBR009C	0.24965884845069347
YBR010W	0.26844122924840935
YBR012C	0.25645457728629667
YBR013C	0.3393979394507404
YBR014C	0.18929976314042884
YBR015C	0.37979113926821123
YBR016W	0.10509329260445589
YBR018C	0.06190492453574879
YBR019C	-0.005316019551075148
YBR020W	0.16194262704262175
YBR021W	0.021721904325514668
YBR022W	0.07882575631156784
YBR023C	0.004726708067467721
YBR024W	0.050789641337596635
YBR025C	0.016044233961961595
YBR026C	-0.14027290683375215
YBR027C	0.321126843259885
YBR028C	0.1369757182519985
YBR030W	0.05004816487384294
YBR031W	0.007732006578003361
YBR032W	0.0408238210658822
YBR033W	0.045694106056081846
YBR034C	-0.07315284796457185
YBR035C	-0.06518491741272182
YBR036C	0.044908856797596694
YBR037C	-0.01978752064458934
YBR040W	0.02789413531067383
YBR041W	0.09647913934426185
YBR042C	0.27627168756033926
YBR043C	0.1670301241468952
YBR044C	0.21812195939103815
YBR045C	0.13465056238093845
YBR046C	0.09381305168089878
YBR047W	0.06763970266764262
YBR048W	0.06865961152730946
YBR050C	0.10571653649559025
YBR051W	0.10936610850865393
YBR052C	0.052709263439650766
YBR053C	0.00686591705399145
YBR054W	0.09351930902007072
YBR056W	0.09450873830370381
YBR056W-A	0.16370436237239308
YBR057C	0.08277981799141625
YBR058C	-0.06865691985392423
YBR058C-A	0.1976591226849679
YBR059C	0.2165533493151438
YBR061C	0.10931873247354676
YBR062C	-0.05464610299182633
YBR063C	0.12864171864639745
YBR064W	0.07232532998727384
YBR065C	0.1107835167994362
YBR066C	0.15899464024114424
YBR067C	0.20361230620711185
YBR068C	0.12394392919120871
YBR069C	0.1328695443428164
YBR071W	0.07397142470038764
YBR072C-A	0.17793923210308757
YBR072W	0.15499204748289125
YBR073W	0.20249496963889363
YBR074W	0.22007561445047852
YBR076W	0.10190090855456121
YBR077C	-0.07027257393796521
YBR078W	0.07338854247456865
YBR081C	-0.7959134533636553
YBR082C	0.0978959973801983
YBR083W	0.12159690396186999
YBR084C-A	0.04947272320233282
YBR084W	0.14528480309970612
YBR085C-A	0.055713406163893794
YBR085W	0.10157250869442375
YBR089C-A	0.20476483775659657
YBR090C	0.04503317832893925
YBR092C	0.16662339004264384
YBR093C	0.13368834968671217
YBR094W	0.17044265715454784
YBR095C	0.3451794690127251
YBR097W	-1.426362680536896
YBR098W	0.09667542932936028
