orf	hap alpha | growth (area of killing zone) | secreted K28 toxin | MBA | Carroll SY~Drubin DG, 2009
YJL117W	2.837872821433216
YJL128C	-2.725481818604178
YJL139C	2.837872821433216
YJL186W	5.619550141451913
YJR005W	5.619550141451913
YJR033C	2.837872821433216
YJR058C	5.619550141451913
YJR059W	-2.725481818604178
YJR075W	5.619550141451913
YJR090C	-2.725481818604178
YJR104C	-5.5071591386228755
YJR125C	-2.725481818604178
YKL016C	2.837872821433216
YKL034W	2.837872821433216
YKL046C	5.619550141451913
YKL048C	5.619550141451913
YKL053C-A	-5.5071591386228755
YKL114C	-2.725481818604178
YKL126W	5.619550141451913
YKL143W	-2.725481818604178
YKL166C	5.619550141451913
YKL176C	2.837872821433216
YKL206C	2.837872821433216
YKR006C	2.837872821433216
YKR101W	2.837872821433216
YLL006W	2.837872821433216
YLL007C	2.837872821433216
YLL012W	2.837872821433216
YLR006C	-2.725481818604178
YLR020C	2.837872821433216
YLR027C	2.837872821433216
YLR048W	-2.725481818604178
YLR061W	-2.725481818604178
YLR110C	2.837872821433216
YLR111W	2.837872821433216
YLR113W	-5.5071591386228755
YLR138W	-5.5071591386228755
YLR148W	-2.725481818604178
YLR226W	-2.725481818604178
YLR242C	5.619550141451913
YLR292C	2.837872821433216
YLR312W-A	2.837872821433216
YLR337C	5.619550141451913
YLR338W	5.619550141451913
YLR357W	-2.725481818604178
YLR362W	-2.725481818604178
YLR370C	5.619550141451913
YLR372W	5.619550141451913
YLR382C	2.837872821433216
YLR396C	-2.725481818604178
YLR403W	-5.5071591386228755
YLR407W	5.619550141451913
YLR412W	2.837872821433216
YLR442C	5.619550141451913
YML006C	5.619550141451913
YML009W-B	-5.5071591386228755
YML063W	-2.725481818604178
YML078W	2.837872821433216
YML121W	5.619550141451913
YMR016C	5.619550141451913
YMR080C	2.837872821433216
YMR109W	2.837872821433216
YMR125W	-5.5071591386228755
YMR182C	2.837872821433216
YMR263W	2.837872821433216
YMR285C	5.619550141451913
YMR293C	2.837872821433216
YMR307W	5.619550141451913
YNL008C	-2.725481818604178
YNL025C	5.619550141451913
YNL055C	-5.5071591386228755
YNL080C	5.619550141451913
YNL084C	5.619550141451913
YNL091W	2.837872821433216
YNL094W	2.837872821433216
YNL116W	2.837872821433216
YNL119W	-2.725481818604178
YNL120C	-2.725481818604178
YNL138W	5.619550141451913
YNL139C	-2.725481818604178
YNL187W	2.837872821433216
YNL199C	-2.725481818604178
YNL229C	-2.725481818604178
YNL243W	5.619550141451913
YNL302C	-2.725481818604178
YNL307C	-2.725481818604178
YNL322C	5.619550141451913
YNL323W	5.619550141451913
YNR052C	5.619550141451913
YOL012C	-2.725481818604178
YOL024W	2.837872821433216
YOL050C	-2.725481818604178
YOL062C	5.619550141451913
YOL081W	-2.725481818604178
YOR002W	2.837872821433216
YOR035C	5.619550141451913
YOR061W	5.619550141451913
YOR073W	-2.725481818604178
YOR078W	-2.725481818604178
YOR080W	5.619550141451913
YOR085W	5.619550141451913
YOR139C	5.619550141451913
YOR140W	2.837872821433216
YOR144C	2.837872821433216
YOR270C	-5.5071591386228755
YOR327C	2.837872821433216
YOR355W	5.619550141451913
YOR359W	2.837872821433216
YOR360C	-2.725481818604178
YPL045W	-2.725481818604178
YPL050C	5.619550141451913
YPL055C	-2.725481818604178
YPL086C	-2.725481818604178
YPL090C	-2.725481818604178
YPL106C	5.619550141451913
YPL132W	5.619550141451913
YPL157W	-2.725481818604178
YPL173W	2.837872821433216
YPL178W	-5.5071591386228755
YPL213W	-2.725481818604178
YPL221W	5.619550141451913
YPL234C	-2.725481818604178
YPR038W	-2.725481818604178
YPR051W	-2.725481818604178
YPR057W	-5.5071591386228755
YPR065W	2.837872821433216
YPR101W	-2.725481818604178
YPR120C	2.837872821433216
YPR131C	-2.725481818604178
YPR141C	5.619550141451913
YPR159W	5.619550141451913
YPR163C	-2.725481818604178
