orf	hap a | growth (colony size) | SDS [0.01-0.025%] | YPD | Zhao F~Han S, 2020	hap a | growth (colony size) | SDS [0.065-0.07%] | YPD | Zhao F~Han S, 2020
YER182W	-2.79485186585236	0.0
YFL003C	-1.39742593292618	0.0
YFL004W	-2.79485186585236	0.0
YFL010W-A	-1.39742593292618	0.0
YFL011W	-4.19227779877854	0.0
YFL014W	-1.39742593292618	0.0
YFL016C	-1.39742593292618	0.0
YFL025C	-2.79485186585236	0.0
YFL027C	-1.39742593292618	0.0
YFL031W	-1.39742593292618	0.0
YFL034W	-1.39742593292618	0.0
YFL049W	-1.39742593292618	0.0
YFR010W	-2.79485186585236	0.0
YFR018C	-1.39742593292618	0.0
YFR024C-A	-1.39742593292618	0.0
YFR036W	-2.79485186585236	0.0
YFR041C	-2.79485186585236	0.0
YFR048W	-4.19227779877854	0.0
YFR053C	-1.39742593292618	0.0
YFR057W	-1.39742593292618	0.0
YGL003C	-2.79485186585236	0.0
YGL007W	-4.19227779877854	0.0
YGL012W	-2.79485186585236	0.0
YGL013C	-2.79485186585236	0.0
YGL020C	-1.39742593292618	0.0
YGL023C	-1.39742593292618	0.0
YGL026C	-2.79485186585236	0.0
YGL032C	-2.79485186585236	0.0
YGL053W	-4.19227779877854	0.0
YGL054C	-1.39742593292618	0.0
YGL058W	-2.79485186585236	0.0
YGL083W	-2.79485186585236	0.0
YGL084C	-4.19227779877854	0.0
YGL104C	-1.39742593292618	0.0
YGL107C	-2.79485186585236	0.0
YGL110C	-2.79485186585236	0.0
YGL131C	-2.79485186585236	0.0
YGL143C	-2.79485186585236	0.0
YGL148W	-4.19227779877854	0.0
YGL161C	-2.79485186585236	0.0
YGL163C	-2.79485186585236	0.0
YGL167C	-2.79485186585236	0.0
YGL168W	-4.19227779877854	0.0
YGL192W	-1.39742593292618	0.0
YGL199C	-2.79485186585236	0.0
YGL210W	-1.39742593292618	0.0
YGL212W	-4.19227779877854	0.0
YGL217C	-1.39742593292618	0.0
YGL223C	-2.79485186585236	0.0
YGL224C	-2.79485186585236	0.0
YGL234W	-2.79485186585236	0.0
YGL240W	-4.19227779877854	0.0
YGL244W	-2.79485186585236	0.0
YGL252C	-1.39742593292618	0.0
YGL253W	-1.39742593292618	0.0
YGL258W	-1.39742593292618	0.0
YGR007W	-2.79485186585236	0.0
YGR008C	-1.39742593292618	0.0
YGR010W	-2.79485186585236	0.0
YGR012W	-1.39742593292618	0.0
YGR014W	-4.19227779877854	0.0
YGR023W	-1.39742593292618	0.0
YGR025W	-2.79485186585236	0.0
YGR031W	-4.19227779877854	0.0
YGR036C	-4.19227779877854	0.0
YGR044C	-2.79485186585236	0.0
YGR058W	-1.39742593292618	0.0
YGR062C	-2.79485186585236	0.0
YGR086C	-1.39742593292618	0.0
YGR092W	-2.79485186585236	0.0
YGR104C	-4.19227779877854	0.0
YGR108W	-2.79485186585236	0.0
YGR130C	-1.39742593292618	0.0
YGR141W	-2.79485186585236	0.0
YGR142W	-2.79485186585236	0.0
YGR150C	-1.39742593292618	0.0
YGR155W	-2.79485186585236	0.0
YGR165W	-1.39742593292618	0.0
YGR167W	-4.19227779877854	0.0
YGR170W	-1.39742593292618	0.0
YGR171C	-1.39742593292618	0.0
YGR176W	-1.39742593292618	0.0
YGR178C	-1.39742593292618	0.0
YGR180C	-4.19227779877854	0.0
YGR193C	-1.39742593292618	0.0
YGR206W	-1.39742593292618	0.0
YGR208W	-1.39742593292618	0.0
YGR212W	-2.79485186585236	0.0
YGR227W	-1.39742593292618	0.0
YGR228W	-4.19227779877854	0.0
YGR232W	-1.39742593292618	0.0
YGR241C	-2.79485186585236	0.0
YGR242W	-1.39742593292618	0.0
YGR243W	-2.79485186585236	0.0
YGR282C	-2.79485186585236	0.0
YGR283C	-1.39742593292618	0.0
YGR288W	-1.39742593292618	0.0
YHL004W	-2.79485186585236	0.0
YHL025W	-2.79485186585236	0.0
YHL030W	-1.39742593292618	0.0
YHL031C	-2.79485186585236	0.0
YHL032C	-1.39742593292618	0.0
YHR004C	-2.79485186585236	0.0
YHR011W	-1.39742593292618	0.0
YHR012W	-1.39742593292618	0.0
YHR025W	-1.39742593292618	0.0
YHR034C	-2.79485186585236	0.0
YHR035W	-2.79485186585236	0.0
YHR047C	-2.79485186585236	0.0
YHR067W	-1.39742593292618	0.0
YHR073W	-1.39742593292618	0.0
YHR078W	-1.39742593292618	0.0
YHR090C	-1.39742593292618	0.0
YHR091C	-2.79485186585236	0.0
YHR096C	-1.39742593292618	0.0
YHR120W	-2.79485186585236	0.0
YHR127W	-2.79485186585236	0.0
YHR130C	-1.39742593292618	0.0
YHR132C	-1.39742593292618	0.0
YHR139C	-1.39742593292618	0.0
YHR147C	-4.19227779877854	0.0
YHR150W	-1.39742593292618	0.0
YHR152W	-2.79485186585236	0.0
YHR153C	-1.39742593292618	0.0
YHR155W	-1.39742593292618	0.0
YHR161C	-1.39742593292618	0.0
YHR163W	-2.79485186585236	0.0
YHR168W	-1.39742593292618	0.0
YHR178W	-1.39742593292618	0.0
YHR182W	-1.39742593292618	0.0
YHR183W	-2.79485186585236	0.0
YHR187W	-1.39742593292618	0.0
YIL002C	-2.79485186585236	0.0
YIL009C-A	-1.39742593292618	0.0
YIL016W	-2.79485186585236	0.0
YIL025C	-2.79485186585236	0.0
YIL039W	-4.19227779877854	0.0
YIL052C	-4.19227779877854	0.0
YIL067C	-1.39742593292618	0.0
YIL099W	-1.39742593292618	0.0
YIL100W	-1.39742593292618	0.0
YIL110W	-2.79485186585236	0.0
YIL128W	-2.79485186585236	0.0
YIL148W	-1.39742593292618	0.0
YIL173W	-2.79485186585236	0.0
YIR037W	-1.39742593292618	0.0
YIR039C	-2.79485186585236	0.0
YJL004C	-2.79485186585236	0.0
YJL012C	-3.4935648323154505	0.0
YJL016W	-4.19227779877854	0.0
YJL020C	-2.79485186585236	0.0
YJL023C	-1.39742593292618	0.0
YJL024C	-1.39742593292618	0.0
YJL053W	-1.39742593292618	0.0
YJL056C	-1.39742593292618	0.0
YJL079C	-1.39742593292618	0.0
YJL101C	-2.79485186585236	0.0
YJL115W	-4.19227779877854	0.0
YJL121C	-1.39742593292618	0.0
YJL140W	-4.19227779877854	0.0
YJL154C	-1.39742593292618	0.0
YJL175W	-4.19227779877854	0.0
YJL180C	-2.79485186585236	0.0
YJL183W	-4.19227779877854	0.0
YJL196C	-2.79485186585236	0.0
YJL204C	-1.39742593292618	0.0
YJL214W	-1.39742593292618	0.0
YJR004C	-2.79485186585236	0.0
YJR018W	-1.39742593292618	0.0
YJR025C	-1.39742593292618	0.0
YJR050W	-1.39742593292618	0.0
YJR075W	-4.19227779877854	0.0
YJR086W	-1.39742593292618	0.0
YJR101W	-1.39742593292618	0.0
YJR104C	-4.19227779877854	0.0
YJR113C	-2.79485186585236	0.0
YJR114W	-2.79485186585236	0.0
YJR122W	-4.19227779877854	0.0
YKL002W	-1.39742593292618	0.0
YKL003C	-1.39742593292618	0.0
YKL006W	-2.79485186585236	0.0
YKL016C	-1.39742593292618	0.0
YKL023W	-1.39742593292618	0.0
YKL037W	-1.39742593292618	0.0
YKL039W	-2.79485186585236	0.0
YKL043W	-1.39742593292618	0.0
YKL051W	-2.79485186585236	0.0
YKL053C-A	-1.39742593292618	0.0
YKL055C	-1.39742593292618	0.0
YKL061W	-1.39742593292618	0.0
YKL081W	-4.19227779877854	0.0
YKL085W	-1.39742593292618	0.0
YKL094W	-2.79485186585236	0.0
YKL096C-B	-2.79485186585236	0.0
YKL101W	-2.79485186585236	0.0
YKL102C	-2.79485186585236	0.0
YKL113C	-2.79485186585236	0.0
YKL127W	-2.79485186585236	0.0
YKL134C	-2.79485186585236	0.0
YKL135C	-1.39742593292618	0.0
YKL136W	-1.39742593292618	0.0
YKL139W	-1.39742593292618	0.0
YKL149C	-2.79485186585236	0.0
YKL161C	-2.79485186585236	0.0
YKL164C	-1.39742593292618	0.0
YKL166C	-2.79485186585236	0.0
YKL177W	-4.19227779877854	0.0
YKL194C	-2.79485186585236	0.0
YKL204W	-2.79485186585236	0.0
YKL212W	-4.19227779877854	0.0
YKL215C	-1.39742593292618	0.0
YKL220C	-1.39742593292618	0.0
YKR006C	-1.39742593292618	0.0
YKR009C	-1.39742593292618	0.0
YKR028W	-2.79485186585236	0.0
YKR035C	-4.19227779877854	0.0
YKR046C	-2.79485186585236	0.0
YKR047W	-1.39742593292618	0.0
YKR051W	-1.39742593292618	0.0
YKR054C	-1.39742593292618	0.0
YKR055W	-4.19227779877854	0.0
YKR059W	-1.39742593292618	0.0
YKR060W	-2.79485186585236	0.0
YKR064W	-2.79485186585236	0.0
YKR067W	-1.39742593292618	0.0
YKR072C	-2.79485186585236	0.0
YKR073C	-1.39742593292618	0.0
YKR078W	-2.79485186585236	0.0
YKR100C	-2.79485186585236	0.0
YLL002W	-1.39742593292618	0.0
YLL005C	-1.39742593292618	0.0
YLL018C-A	-1.39742593292618	0.0
YLL023C	-1.39742593292618	0.0
YLL027W	-4.19227779877854	0.0
YLL028W	-4.19227779877854	0.0
YLL055W	-1.39742593292618	0.0
YLL058W	-1.39742593292618	0.0
YLL060C	-1.39742593292618	0.0
YLR012C	-1.39742593292618	0.0
YLR017W	-1.39742593292618	0.0
YLR024C	-4.19227779877854	0.0
YLR025W	-4.19227779877854	0.0
YLR027C	-1.39742593292618	0.0
YLR038C	-1.39742593292618	0.0
YLR039C	-4.19227779877854	0.0
YLR046C	-1.39742593292618	0.0
YLR049C	-1.39742593292618	0.0
YLR050C	-1.39742593292618	0.0
YLR056W	-4.19227779877854	0.0
YLR057W	-1.39742593292618	0.0
YLR068W	-1.39742593292618	0.0
YLR069C	-1.39742593292618	0.0
YLR073C	-2.79485186585236	0.0
YLR079W	-1.39742593292618	0.0
YLR087C	-2.79485186585236	0.0
YLR091W	-2.79485186585236	0.0
YLR097C	-1.39742593292618	0.0
YLR108C	-1.39742593292618	0.0
YLR111W	-1.39742593292618	0.0
YLR112W	-1.39742593292618	0.0
YLR114C	-1.39742593292618	0.0
YLR134W	-1.39742593292618	0.0
YLR136C	-1.39742593292618	0.0
YLR139C	-2.79485186585236	0.0
YLR148W	-2.79485186585236	0.0
YLR182W	-1.39742593292618	0.0
YLR200W	-4.19227779877854	0.0
YLR216C	-2.79485186585236	0.0
YLR218C	-2.79485186585236	0.0
YLR226W	-1.39742593292618	0.0
YLR235C	-4.19227779877854	0.0
YLR242C	-2.79485186585236	0.0
YLR258W	-2.79485186585236	0.0
YLR261C	-4.19227779877854	0.0
YLR262C	-2.79485186585236	0.0
YLR267W	-1.39742593292618	0.0
YLR270W	-1.39742593292618	0.0
YLR284C	-2.79485186585236	0.0
YLR288C	-2.79485186585236	0.0
YLR304C	-1.39742593292618	0.0
YLR306W	-1.39742593292618	0.0
YLR337C	-2.79485186585236	0.0
YLR350W	-1.39742593292618	0.0
YLR354C	-2.79485186585236	0.0
YLR356W	-1.39742593292618	0.0
YLR357W	-1.39742593292618	0.0
YLR358C	-2.79485186585236	0.0
YLR369W	-2.79485186585236	0.0
YLR372W	-4.19227779877854	0.0
YLR374C	-2.79485186585236	0.0
YLR382C	-1.39742593292618	0.0
YLR412W	-2.79485186585236	0.0
YLR417W	-4.19227779877854	0.0
YLR420W	-1.39742593292618	0.0
YLR425W	-1.39742593292618	0.0
YLR426W	-2.79485186585236	0.0
YLR427W	-1.39742593292618	0.0
YLR437C	-1.39742593292618	0.0
YLR439W	-1.39742593292618	0.0
YLR451W	-1.39742593292618	0.0
YML007C-A	-1.39742593292618	0.0
YML007W	-2.79485186585236	0.0
YML009W-B	-4.19227779877854	0.0
YML019W	-1.39742593292618	0.0
YML022W	-1.39742593292618	0.0
YML024W	-2.79485186585236	0.0
YML071C	-1.39742593292618	0.0
YML082W	-2.79485186585236	0.0
YML094C-A	-1.39742593292618	0.0
YML097C	-1.39742593292618	0.0
YMR016C	-2.79485186585236	0.0
YMR020W	-2.79485186585236	0.0
YMR021C	-2.79485186585236	0.0
YMR026C	-2.79485186585236	0.0
YMR032W	-2.79485186585236	0.0
YMR038C	-2.79485186585236	0.0
YMR066W	-2.79485186585236	0.0
YMR071C	-2.79485186585236	0.0
YMR072W	-2.79485186585236	0.0
YMR091C	-1.39742593292618	0.0
YMR097C	-2.79485186585236	0.0
YMR098C	-2.79485186585236	0.0
YMR099C	-1.39742593292618	0.0
YMR115W	-1.39742593292618	0.0
YMR123W	-2.79485186585236	0.0
YMR148W	-1.39742593292618	0.0
YMR158W	-1.39742593292618	0.0
YMR159C	-1.39742593292618	0.0
YMR171C	-1.39742593292618	0.0
YMR179W	-2.79485186585236	0.0
YMR188C	-1.39742593292618	0.0
YMR199W	-2.79485186585236	0.0
YMR202W	-4.19227779877854	0.0
YMR219W	-1.39742593292618	0.0
YMR226C	-1.39742593292618	0.0
YMR238W	-1.39742593292618	0.0
YMR255W	-1.39742593292618	0.0
YMR273C	-1.39742593292618	0.0
YMR279C	-1.39742593292618	0.0
YMR284W	-2.79485186585236	0.0
YMR285C	-1.39742593292618	0.0
YMR302C	-1.39742593292618	0.0
YMR307W	-4.19227779877854	0.0
YNL003C	-2.79485186585236	0.0
YNL027W	-4.19227779877854	0.0
YNL052W	-1.39742593292618	0.0
YNL071W	-1.39742593292618	0.0
YNL073W	-2.79485186585236	0.0
YNL078W	-1.39742593292618	0.0
YNL079C	-1.39742593292618	0.0
YNL080C	-1.39742593292618	0.0
YNL082W	-1.39742593292618	0.0
YNL084C	-2.79485186585236	0.0
YNL087W	-2.79485186585236	0.0
YNL089C	-1.39742593292618	0.0
YNL090W	-1.39742593292618	0.0
YNL100W	-2.79485186585236	0.0
YNL105W	-1.39742593292618	0.0
YNL106C	-1.39742593292618	0.0
YNL111C	-2.79485186585236	0.0
YNL115C	-2.79485186585236	0.0
YNL133C	-4.19227779877854	0.0
YNL139C	-1.39742593292618	0.0
YNL162W	-2.79485186585236	0.0
YNL169C	-2.79485186585236	0.0
YNL170W	-4.19227779877854	0.0
YNL177C	-2.79485186585236	0.0
YNL192W	-1.39742593292618	0.0
YNL202W	-1.39742593292618	0.0
YNL206C	-2.79485186585236	0.0
YNL238W	-2.79485186585236	0.0
YNL242W	-1.39742593292618	0.0
YNL268W	-2.79485186585236	0.0
YNL275W	-1.39742593292618	0.0
YNL297C	-1.39742593292618	0.0
YNL298W	-2.79485186585236	0.0
YNL314W	-1.39742593292618	0.0
YNL315C	-1.39742593292618	0.0
YNL322C	-2.79485186585236	0.0
YNL323W	-2.79485186585236	0.0
YNR005C	-1.39742593292618	0.0
YNR006W	-2.79485186585236	0.0
YNR019W	-2.79485186585236	0.0
YNR020C	-1.39742593292618	0.0
YNR037C	-1.39742593292618	0.0
YNR052C	-2.79485186585236	0.0
YNR060W	-1.39742593292618	0.0
YNR061C	-2.79485186585236	0.0
YNR062C	-1.39742593292618	0.0
YNR073C	-1.39742593292618	0.0
YOL002C	-1.39742593292618	0.0
YOL004W	-2.79485186585236	0.0
YOL009C	-1.39742593292618	0.0
YOL013W-A	-1.39742593292618	0.0
YOL018C	-2.79485186585236	0.0
YOL024W	-2.79485186585236	0.0
YOL030W	-2.79485186585236	0.0
YOL033W	-1.39742593292618	0.0
YOL035C	-2.79485186585236	0.0
YOL039W	-1.39742593292618	0.0
YOL043C	-1.39742593292618	0.0
YOL051W	-1.39742593292618	0.0
YOL057W	-2.79485186585236	0.0
YOL076W	-2.79485186585236	0.0
YOL100W	-1.39742593292618	0.0
YOL126C	-1.39742593292618	0.0
YOR001W	-2.79485186585236	0.0
YOR002W	-2.79485186585236	0.0
YOR008C	-2.79485186585236	0.0
YOR009W	-2.79485186585236	0.0
YOR014W	-4.19227779877854	0.0
YOR034C	-1.39742593292618	0.0
YOR036W	-4.19227779877854	0.0
YOR054C	-1.39742593292618	0.0
YOR070C	-1.39742593292618	0.0
YOR080W	-1.39742593292618	0.0
YOR089C	-1.39742593292618	0.0
YOR097C	-2.79485186585236	0.0
YOR105W	-2.79485186585236	0.0
YOR123C	-2.79485186585236	0.0
YOR127W	-2.79485186585236	0.0
YOR136W	-2.79485186585236	0.0
YOR172W	-2.79485186585236	0.0
YOR187W	-2.79485186585236	0.0
YOR193W	-2.79485186585236	0.0
YOR199W	-4.19227779877854	0.0
YOR200W	-2.79485186585236	0.0
YOR212W	-2.79485186585236	0.0
YOR216C	-4.19227779877854	0.0
YOR219C	-1.39742593292618	0.0
YOR233W	-2.79485186585236	0.0
YOR237W	-1.39742593292618	0.0
YOR246C	-1.39742593292618	0.0
YOR248W	-1.39742593292618	0.0
YOR252W	-4.19227779877854	0.0
YOR263C	-1.39742593292618	0.0
YOR266W	-1.39742593292618	0.0
YOR270C	-2.79485186585236	0.0
YOR275C	-1.39742593292618	0.0
YOR290C	-1.39742593292618	0.0
YOR298C-A	-2.79485186585236	0.0
YOR300W	-1.39742593292618	0.0
YOR308C	-2.79485186585236	0.0
YOR314W	-1.39742593292618	0.0
YOR320C	-1.39742593292618	0.0
YOR323C	-2.79485186585236	0.0
YOR330C	-1.39742593292618	0.0
YOR355W	-1.39742593292618	0.0
YOR363C	-1.39742593292618	0.0
YOR374W	-1.39742593292618	0.0
YOR375C	-1.39742593292618	0.0
YOR376W	-1.39742593292618	0.0
YPL005W	-2.79485186585236	0.0
YPL029W	-2.79485186585236	0.0
YPL031C	-4.19227779877854	0.0
YPL041C	-2.79485186585236	0.0
YPL051W	-1.39742593292618	0.0
YPL055C	-1.39742593292618	0.0
YPL065W	-4.19227779877854	0.0
YPL068C	-1.39742593292618	0.0
YPL073C	-1.39742593292618	0.0
YPL077C	-1.39742593292618	0.0
YPL081W	-1.39742593292618	0.0
YPL084W	-4.19227779877854	0.0
YPL087W	-2.79485186585236	0.0
YPL088W	-4.19227779877854	0.0
YPL097W	-2.79485186585236	0.0
YPL104W	-4.19227779877854	0.0
YPL106C	-2.79485186585236	0.0
YPL112C	-1.39742593292618	0.0
YPL148C	-2.79485186585236	0.0
YPL155C	-1.39742593292618	0.0
YPL158C	-1.39742593292618	0.0
YPL161C	-2.79485186585236	0.0
YPL170W	-1.39742593292618	0.0
YPL174C	-2.79485186585236	0.0
YPL183W-A	-1.39742593292618	0.0
YPL187W	-2.79485186585236	0.0
YPL191C	-1.39742593292618	0.0
YPL192C	-1.39742593292618	0.0
YPL195W	-2.79485186585236	0.0
YPL199C	-2.79485186585236	0.0
YPL225W	-2.79485186585236	0.0
YPL227C	-1.39742593292618	0.0
YPL234C	-4.19227779877854	0.0
YPL247C	-1.39742593292618	0.0
YPL253C	-2.79485186585236	0.0
YPL258C	-1.39742593292618	0.0
YPL259C	-1.39742593292618	0.0
YPL260W	-1.39742593292618	0.0
YPL261C	-2.79485186585236	0.0
YPL268W	-2.79485186585236	0.0
YPL271W	-2.79485186585236	0.0
YPL272C	-2.79485186585236	0.0
YPR021C	-1.39742593292618	0.0
YPR036W	-4.19227779877854	0.0
YPR053C	-2.79485186585236	0.0
YPR064W	-2.79485186585236	0.0
YPR072W	-2.79485186585236	0.0
YPR089W	-2.79485186585236	0.0
YPR119W	-2.79485186585236	0.0
YPR120C	-2.79485186585236	0.0
YPR123C	-2.79485186585236	0.0
YPR124W	-4.19227779877854	0.0
YPR130C	-1.39742593292618	0.0
YPR135W	-2.79485186585236	0.0
YPR138C	-1.39742593292618	0.0
YPR139C	-1.39742593292618	0.0
YPR140W	-1.39742593292618	0.0
YPR145W	-1.39742593292618	0.0
YPR146C	-2.79485186585236	0.0
YPR153W	-2.79485186585236	0.0
YPR166C	-2.79485186585236	0.0
YPR173C	-4.19227779877854	0.0
YBR021W	0.0	8.251579296450398
