orf	het | growth (pooled culture, microarray) | risedronate [0.5 mM] | F1 | Bivi N~Delneri D, 2009	het | growth (pooled culture, microarray) | alendronate [5 mM] | F1 | Bivi N~Delneri D, 2009	het | growth (pooled culture, microarray) | ibandronate [0.5 mM] | F1 | Bivi N~Delneri D, 2009
YHR026W	-0.24696540723646268	-0.23767903941147794	-2.0
YHR031C			0.0537095026257622
YHR033W	-2.0	-2.0	-2.0
YHR038W			-0.09192903769779152
YHR046C			-2.0
YHR065C	-0.3943376346917904	-2.0	-2.0
YHR066W			0.0800059616654618
YHR080C			0.117494944419461
YHR085W		-2.0	
YHR092C			-0.08539693971716157
YHR103W		-0.05756088065906971	-0.06547493313501909
YHR106W		-2.0	-2.0
YHR129C			0.062842536833342
YHR156C		-0.12039906091225983	-0.27126695926732763
YHR161C			-0.09741492280798697
YHR168W			-0.24391867102319573
YHR185C	-2.0	-2.0	-2.0
YHR200W			-0.10298530451867681
YIL001W	-2.0	-2.0	-2.0
YIL002C			0.0514814402082407
YIL020C			-0.14519469855068282
YIL026C	-2.0	-2.0	-2.0
YIL033C	-2.0	-2.0	-2.0
YIL046W	-2.0	-2.0	-2.0
YIL048W			-0.10132021548262889
YIL055C	-2.0	-2.0	-2.0
YIL076W			-0.22086969356960093
YIL079C	-2.0	-2.0	-2.0
YIL087C			0.077848000272228
YIL102C			-0.08377374233720038
YIL109C			-0.11511091718919608
YIL110W			-2.0
YIL126W	-0.06367738396048245	-0.06712857420709915	-0.06980313102919736
YIL130W		0.05193171473460987	
YIR011C	-0.5355051669408396	-0.6143576646351322	-0.6440353760569721
YIR019C			0.0992429245334128
YIR023W			0.149507205804059
YJL002C	-0.19100542790302918	-0.12049950908296367	-0.2020689685597152
YJL005W			-0.09229497964526272
YJL008C	-2.0	-2.0	-2.0
YJL011C			-0.050525994930679705
YJL026W	-2.0	-2.0	-2.0
YJL041W			-0.036006899396642325
YJL051W		0.06741176525326432	0.0793488735192295
YJL071W	-0.19183449958474794	-2.0	-2.0
YJL073W	-0.05890058312380037	-2.0	-2.0
YJL082W			-0.2524680616588006
YJL102W	-0.06189922665025057	-0.05367458652489611	-0.12743254290975164
YJL111W		0.057759821803569915	0.104669547391584
YJL129C			0.0361978019284606
YJL134W			0.0601950721365504
YJL140W	-2.0	-2.0	-2.0
YJL153C	-2.0	-2.0	-2.0
YJL157C			0.0701998868811673
YJL161W	-2.0	-2.0	-2.0
YJL167W	-2.0		-0.09625416203649524
YJL172W	-2.0	-2.0	-2.0
YJL173C			0.105470520891694
YJL191W	-2.0	-2.0	-2.0
YJL194W			-0.3422967023098439
YJR010W	-2.0	-2.0	-2.0
YJR033C			0.0818209245551037
YJR035W	-2.0	-2.0	-2.0
YJR039W	-0.11025333125422838	-0.09389910386993852	-0.15281071364403714
YJR049C	-1.1344181175006418	-2.0	-2.0
YJR051W			-2.0
YJR056C	-2.0	-2.0	-2.0
YJR057W	-2.0	-2.0	-2.0
YJR058C	-2.0	-2.0	-2.0
YJR108W	-2.0	-2.0	-2.0
YJR116W			0.0571422006191891
YJR130C	-2.0	-2.0	-2.0
YJR148W			0.0375047655080987
YKL003C	-2.0	-2.0	-2.0
YKL009W	-2.0	-2.0	-2.0
YKL023W			-0.11362906421332539
