orf	het | growth (pooled culture, microarray) | risedronate [0.5 mM] | F1 | Bivi N~Delneri D, 2009	het | growth (pooled culture, microarray) | alendronate [5 mM] | F1 | Bivi N~Delneri D, 2009	het | growth (pooled culture, microarray) | ibandronate [0.5 mM] | F1 | Bivi N~Delneri D, 2009
YDL078C			0.0686263670819229
YDL080C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDL085W			0.16129373903665453
YDL102W			-0.11761687500775682
YDL106C			-0.4289214563219973
YDL168W		-4.626684684055238	
YDL175C			-0.41540751703919687
YDL192W			-0.22644693338317867
YDL193W	-5.172046592336727	-4.626684684055238	
YDL200C			0.20699498427854632
YDL209C			0.07432747462770599
YDL211C			0.07995913591301626
YDL215C	-0.1322402829003985		
YDL216C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDR002W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDR022C			0.17389677966804307
YDR026C			0.10152780214636893
YDR028C			0.0925674098297302
YDR030C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDR033W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDR049W	-0.42815935443169795	-4.626684684055238	-4.480176754022081
YDR052C			0.06926002020356742
YDR054C			-0.22590206688457146
YDR057W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDR064W	-0.21894736403458342		
YDR066C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDR071C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDR076W			0.04782274180329097
YDR082W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDR084C			0.15439173820549704
YDR165W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDR166C			-4.480176754022081
YDR176W			-0.8105603633284418
YDR204W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDR213W			-0.48054464063629454
YDR214W			-0.29800817436969657
YDR254W			-0.7248367878807014
YDR272W			0.1131739345737891
YDR283C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDR293C		-4.626684684055238	-4.480176754022081
YDR311W			-0.190582773839531
YDR319C			-0.3801338595282771
YDR335W			-0.19994794717730174
YDR339C			-0.0947719791616159
YDR351W			-0.17022044781793594
YDR364C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDR384C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDR398W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDR402C			-0.1716933753864065
YDR416W			0.1270971324110705
YDR450W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDR454C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YDR469W	-0.2554510472507711	-4.626684684055238	-4.480176754022081
YDR475C	-1.4451749049120715	-4.626684684055238	-4.480176754022081
YDR481C	-0.5877485808389603	-4.626684684055238	-4.480176754022081
YDR487C	-2.7594504108739186	-2.488398503273781	-4.480176754022081
YDR531W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YEL005C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YEL007W			0.27541591913610175
YEL019C			0.05489408914395764
YEL042W		-4.626684684055238	-4.480176754022081
YER002W			-0.24062442328255595
YER004W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YER016W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YER037W			0.04383291341028882
YER038C			0.10760933514316556
YER047C	-5.172046592336727		
YER050C		-0.37662316739003415	
YER056C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YER070W			0.26159936404556833
YER080W		-0.2137687575682224	
YER082C			0.10976860667421841
YER088C		-0.3293720682524564	-0.44522708539417283
YER091C			-0.6890681389573944
YER093C		-0.42181577621778843	-0.6221111456891549
YER107C			-0.29703819274293475
YER116C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YER117W			0.14615845584299073
YER120W		-0.16653124024602683	-0.21739782622968296
YER125W			-0.1488709455743547
YER130C		-0.2231894327320121	
YER133W		-0.2649449334619925	
YER136W		-0.207950785397825	
YER143W		-0.29702251654882394	-0.4178692240168817
YER148W		-0.31611315305045873	
YER151C		-0.29678316044820285	-0.34107079279689084
YER157W		-4.626684684055238	
YER172C	-0.4537348492471523	-0.46045179045054335	-4.480176754022081
YER175C		-0.11834301436691234	-0.16449907491847074
YER177W	-0.24774730311316814	-4.626684684055238	-4.480176754022081
YER179W		-0.13984018647675384	
YER183C		-0.3249174909588525	-0.28561856487621445
YER184C		-0.1600148367214586	
YER186C	-5.172046592336727	-4.626684684055238	
YFL001W			-0.23616592522186552
YFL002C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YFL010C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YFL021W		0.07072474869011214	
YFL028C			-4.480176754022081
YFL029C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YFL031W			0.05623178096315887
YFL036W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YFL042C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YFL060C			-0.2473557305184812
YFR029W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YFR037C			-0.1734000585016301
YGL002W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YGL003C			-4.480176754022081
YGL030W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YGL032C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YGL036W			-4.480176754022081
YGL038C			0.06734079410056268
YGL058W			0.6179554143478728
YGL079W			0.11156647562075651
YGL087C			-4.480176754022081
YGL092W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YGL093W			-0.1940494166423164
YGL110C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YGL111W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YGL116W			0.2052429155394362
YGL138C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YGL150C	-0.17898295748427057	-0.215809751044396	-4.480176754022081
YGL168W			0.12583055201238166
YGL198W			-0.24892649151219717
YGL201C			-0.1683314093236252
YGL207W			-0.6496250487967788
YGL210W			-4.480176754022081
YGL225W		-4.626684684055238	-4.480176754022081
YGL228W			-0.7071871975156822
YGL244W			-0.5588940844529711
YGL248W			-0.28937566765421474
YGL251C	-5.172046592336727		
YGL252C			-0.3662818291474777
YGL253W	-0.6157392252692403	-0.526200103661534	-0.5454713609245494
YGR037C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YGR061C			0.08499778411669799
YGR068C		-4.626684684055238	-4.480176754022081
YGR075C			0.13176064788954922
YGR086C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YGR091W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YGR112W			-4.480176754022081
YGR132C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YGR133W			-0.2734840888362698
YGR147C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YGR148C			0.14524495927679493
YGR152C			-4.480176754022081
YGR184C			0.29201588802681366
YGR201C		-4.626684684055238	-4.480176754022081
YGR207C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YGR216C	-0.3689300959830085	-4.626684684055238	-4.480176754022081
YGR222W			0.13937797332148216
YGR232W			0.05360018826599893
YGR257C		-4.626684684055238	-4.480176754022081
YGR278W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YGR292W	-0.3566178637003879	-0.36793472866051025	-4.480176754022081
YHL016C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YHL027W	-0.657685962844019	-4.626684684055238	-4.480176754022081
YHL031C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YHL034C			0.1127555356557859
YHL035C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YHR001W-A			-0.3101413629756892
YHR005C-A			0.1427066230011481
YHR011W			-0.1314965372196334
YHR012W	-0.2827351735940024	-4.626684684055238	-4.480176754022081
YHR026W	-0.6386582964611994	-0.5697097530565092	-4.480176754022081
YHR031C			0.09664153463170821
YHR033W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YHR038W			-0.22792293470217467
YHR046C			-4.480176754022081
YHR065C	-1.0197663098688998	-4.626684684055238	-4.480176754022081
YHR066W			0.15524481542962734
YHR080C			0.23879132562114022
YHR085W		-4.626684684055238	
YHR092C			-0.2133657514867287
YHR103W		-0.15506629649105888	-0.16896833113333704
YHR106W		-4.626684684055238	-4.480176754022081
YHR129C			0.11699506464104419
YHR156C		-0.29972378380349346	-0.6275885535441701
YHR161C			-0.24014856801092377
YHR168W			-0.5666412064928539
YHR185C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YHR200W			-0.25256250720518264
YIL001W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YIL002C			0.09167616011903411
YIL020C			-0.34662874505999297
YIL026C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YIL033C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YIL046W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YIL048W			-0.24885175359437375
YIL055C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YIL076W			-0.5152751386972351
YIL079C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YIL087C			0.15043566537304265
YIL102C			-0.20974835601516717
YIL109C			-0.2795851828857546
YIL110W			-4.480176754022081
YIL126W	-0.1646711983608653	-0.17709173552281804	-0.1786139870811041
YIL130W		0.09699262159262703	
YIR011C	-1.3848288369275399	-1.43684790425066	-1.4583259607646384
YIR019C			0.19811557361603277
YIR023W			0.31013262446543555
YJL002C	-0.4939444862518403	-0.2999550218807357	-0.47337656348239576
YJL005W			-0.22873845890149808
YJL008C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YJL011C			-0.13565370037270633
YJL026W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YJL041W			-0.10329700051328956
YJL051W		0.13262868238362074	0.15378045396999127
YJL071W	-0.49608848493495844	-4.626684684055238	-4.480176754022081
YJL073W	-0.15231828011604892	-4.626684684055238	-4.480176754022081
YJL082W			-0.5856940508059632
YJL102W	-0.1600728421323536	-0.1461198002344607	-0.30704468573739135
YJL111W		0.110409294720121	0.21020913734116034
YJL129C			0.057615629597735044
YJL134W			0.11109502628247937
YJL140W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YJL153C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YJL157C			0.13339137298546283
YJL161W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YJL167W	-5.172046592336727		-0.2375617410420059
YJL172W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YJL173C			0.21199415618600836
YJL191W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YJL194W			-0.7858827166571736
YJR010W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YJR033C			0.15928957216660522
YJR035W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YJR039W	-0.28511768310360214	-0.2387191973532828	-0.36360150441147915
YJR049C	-2.93363167945212	-4.626684684055238	-4.480176754022081
YJR051W			-4.480176754022081
YJR056C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YJR057W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YJR058C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YJR108W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YJR116W			0.10429151382090435
YJR130C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YJR148W			0.06052827854163102
YKL003C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YKL009W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YKL023W			-0.27628278213609175
YKL033W-A			-0.1242349214159475
YKL050C			0.13983803829174224
YKL059C	-0.7328188821537555	-4.626684684055238	-4.480176754022081
YKL068W	-5.172046592336727		
YKL071W			0.07282657199177717
YKL072W			0.16706500647971295
YKL077W	-0.5191044000011056	-4.626684684055238	-4.480176754022081
YKL095W			0.12631312041359746
YKL096W-A			-4.480176754022081
YKL105C	-0.3664860751889892	-4.626684684055238	-4.480176754022081
YKL107W			0.06724811451275413
YKL108W			0.09666484241206749
YKL112W			0.11831723714729554
YKL119C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YKL124W	-0.4321871208326514	-4.626684684055238	-4.480176754022081
YKL138C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YKL141W			0.060594761165018954
YKL142W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YKL143W	-0.43817554036687917	-4.626684684055238	-4.480176754022081
YKL155C			0.12967818958228777
YKL157W			0.08420121490127104
YKL168C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YKL191W			-0.7136771239200154
YKL197C			0.389484016298579
YKL217W			0.12028273201385689
YKR024C			0.1307446282448242
YKR026C			0.10665737902739864
YKR029C			0.09916930473150214
YKR057W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YKR060W	-5.172046592336727		
YKR065C	-0.8726186722973788	-4.626684684055238	-4.480176754022081
YKR094C			0.052644649896277936
YLL004W		0.2984957860680792	0.39202794233113386
YLL009C			-1.0384770186977574
YLL025W		0.17209336138936507	0.34494359922795703
YLL029W	-5.172046592336727	-4.626684684055238	
YLL052C			-0.1576211677841558
YLR012C			0.11091819131486419
YLR014C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YLR022C			0.15099593943707318
YLR029C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YLR048W			-0.6660245331961948
YLR060W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YLR068W			-0.2723356548515029
YLR074C			-0.3826863869647437
YLR075W		-4.626684684055238	-4.480176754022081
YLR078C			-0.17111920262283753
YLR088W			-4.480176754022081
YLR094C			-0.2462425415723257
YLR104W			-0.23990085885478926
YLR118C	-5.172046592336727	-4.626684684055238	
YLR133W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YLR150W			-0.21738322323972817
YLR153C			0.10862781007114054
YLR181C		0.19615671781505398	
YLR194C			-0.46114049983059835
YLR197W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YLR228C			0.3424216772687473
YLR234W			-4.480176754022081
YLR257W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YLR272C			0.16686180060933653
YLR274W			0.23601179969436303
YLR281C			-0.21236853635768405
YLR286C			-0.4906109424821507
YLR287C-A			-0.39364367675139583
YLR295C			-4.480176754022081
YLR299W			-0.6773791907744731
YLR300W			-0.1506139782503059
YLR303W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YLR307W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YLR312C			-0.405767812948147
YLR315W			-0.13157363786548473
YLR320W			-0.2980725907471816
YLR321C			-4.480176754022081
YLR325C			0.04846093698144739
YLR336C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YLR342W			-0.13505519477479513
YLR347C			0.0970844881620241
YLR353W			-0.2793467602162109
YLR403W			-4.480176754022081
YLR406C			-0.5304062567353075
YLR413W			-0.24037386913211412
YLR418C			0.06387217871272695
YLR433C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YLR454W		0.09821647598379024	
YML010W			-0.6252055959957264
YML015C			0.04855053803654879
YML035C	-5.172046592336727	-4.626684684055238	
YML081C-A		-4.626684684055238	-4.480176754022081
YML110C			-0.4172336348969714
YML115C		-4.626684684055238	-4.480176754022081
YML124C		-0.6623446835978354	
YML126C		-0.27994169067329	
YML127W		-0.5252453877024957	-0.8516427556876466
YMR001C		-0.1612779539655351	-0.19714252706967766
YMR002W		-4.626684684055238	-4.480176754022081
YMR014W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YMR023C			-0.21257293440664402
YMR026C		-4.626684684055238	
YMR033W		-0.22122597066504399	-0.3678807006546934
YMR047C			-0.21939178291810427
YMR048W			-0.13122804146443182
YMR052W		-0.3412095646917883	
YMR053C		-0.9786045745131218	
YMR054W		-0.2945589214363541	
YMR055C		-0.25635821046167157	
YMR058W		-0.1577951382216959	
YMR061W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YMR071C			0.2020524417943805
YMR073C			0.0669801709857636
YMR086W			-0.39251496631537924
YMR091C		-0.23695107007819732	-0.4839665559155716
YMR102C		-0.260553584342547	
YMR104C		-0.27804971888380003	
YMR110C		-0.24667606514628332	
YMR117C		-4.626684684055238	
YMR118C		-0.3528175047941902	
YMR157C			0.21879964083766856
YMR198W			-0.1594240791301393
YMR210W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YMR215W	-0.687886219142539	-4.626684684055238	-4.480176754022081
YMR230W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YMR236W			-0.4159846511922911
YMR275C			-0.12609818773929876
YMR285C			0.20589975802290203
YMR289W	-5.172046592336727		
YMR296C			-0.6056421349114313
YMR310C			-0.25516757393176187
YMR313C			-0.0996986408361066
YNL005C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNL006W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNL007C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNL008C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNL011C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNL012W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNL014W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNL016W	-0.38447645163354266	-0.24105286706138013	
YNL023C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNL029C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNL030W	-1.2851368169656152	-4.626684684055238	-4.480176754022081
YNL039W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNL103W		0.12243706859880918	0.24117118919901842
YNL123W			-0.1782167816326726
YNL131W			-0.5308243253609156
YNL137C			-0.29333907523048436
YNL141W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNL148C			-0.4591987149688016
YNL149C		-4.626684684055238	-4.480176754022081
YNL156C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNL164C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNL177C	-5.172046592336727		
YNL181W			0.09709732115213167
YNL214W			0.0647989912481382
YNL216W			-1.0420710413576766
YNL223W	-5.172046592336727		
YNL232W	-0.36086882014798016	-4.626684684055238	-4.480176754022081
YNL245C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNL247W			-0.23354071372116308
YNL256W			0.12260074274668886
YNL262W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNL273W			-0.295026837828794
YNL281W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNL309W	-1.3940353508936623	-1.2990655465985068	-4.480176754022081
YNL317W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNR002C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNR006W	-0.6387245513299897	-4.626684684055238	-4.480176754022081
YNR008W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNR016C			0.13190335252572355
YNR019W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNR020C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNR021W		-4.626684684055238	-4.480176754022081
YNR024W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNR026C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNR027W		-4.626684684055238	-4.480176754022081
YNR028W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNR029C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNR032C-A			0.17999235553645113
YNR035C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNR038W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNR039C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNR043W	-0.7935416613110201	-0.4147767299809863	-4.480176754022081
YNR045W	-0.5436758316012501	-4.626684684055238	-4.480176754022081
YNR052C	-1.1823630778288265	-4.626684684055238	-4.480176754022081
YNR057C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YNR066C			0.1259445777399833
YNR069C	-0.7173942323819711	-4.626684684055238	-4.480176754022081
YOL002C	-0.12284517511751768	-0.1126017206841512	
YOL008W			-0.40359112460679814
YOL013W-A			-4.480176754022081
YOL019W			-0.14664876514355504
YOL020W			-0.17904636307772448
YOL023W			0.17829105835190692
YOL030W	-0.4639832346819099	-4.626684684055238	-4.480176754022081
YOL052C	-5.172046592336727	-4.626684684055238	
YOL067C			-0.23372412348988086
YOL090W			-0.09336291041844448
YOL105C			-0.2895806040751901
YOL127W	-0.43388086512494356	-0.39522897985736083	
YOL133W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YOL135C			-4.480176754022081
YOL146W		-0.0795627321331486	-0.09346216962729798
YOL148C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YOL149W			-0.13137708570967624
YOL163W			-0.37561076085617184
YOR002W			-4.480176754022081
YOR008C			-4.480176754022081
YOR023C		0.187639148663267	
YOR039W	-0.5693753498041783	-0.5731977618290395	-4.480176754022081
YOR049C			-4.480176754022081
YOR058C			0.07282495198756712
YOR061W	-0.31067078539092813	-0.24450258992360444	-4.480176754022081
YOR063W			0.0678665577672779
YOR069W			-0.5294283288987293
YOR096W		-0.07362524317461738	
YOR165W			0.0720048772557917
YOR184W			0.06274493960447629
YOR188W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YOR208W			0.062354843965980684
YOR219C			-4.480176754022081
YOR231W			0.10406537588026474
YOR236W			0.10159306409668535
YOR241W			0.10421960809739207
YOR253W			0.052257527156816086
YOR257W			0.06392813247920708
YOR260W			0.052469916267480245
YOR285W			0.14696766606708028
YOR286W			0.07736644992478267
YOR293W			-4.480176754022081
YOR294W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YOR315W			-0.41925848687634537
YOR321W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YOR327C			-0.3610760830688143
YOR334W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YOR335C			0.0840662878166315
YOR344C			0.3210272501001508
YOR353C	-5.172046592336727		
YOR359W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YOR372C			0.04643044799599233
YOR373W			0.1265959556987243
YOR386W			-0.20876688257519485
YPL001W	-0.5262786623902376	-4.626684684055238	-4.480176754022081
YPL013C	-1.1687604347428597	-4.626684684055238	-4.480176754022081
YPL014W		0.1771194616631549	
YPL029W		0.08663987845240378	
YPL030W			-0.22932360733173923
YPL031C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YPL037C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YPL038W		-4.626684684055238	-4.480176754022081
YPL051W	-5.172046592336727	-4.626684684055238	-4.480176754022081
YPL056C			-0.12168552423847379
YPL057C			-0.5263953551493292
YPL085W		-4.626684684055238	
YPL090C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YPL093W			0.1453226735466113
YPL125W			0.08320328788395527
YPL131W			0.09978023782989817
YPL173W			0.07463826334202407
YPL174C		0.10544481208389106	
YPL183W-A	-0.19554664882445705	-0.13626168061627414	
YPL188W			-0.13971931486464703
YPL202C	-5.172046592336727	-4.626684684055238	-4.480176754022081
YPL206C			-0.6730193475796943
YPL219W			0.15463443545196837
