ORF	hap a | growth (colony size) | streptomycin [40 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | neomycin [5.5 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | amitrole [22 mg/ml] | Alamgir M~Golshani A, 2010	hap a | growth (colony size) | cycloheximide [45 ng/ml] | Alamgir M~Golshani A, 2010
YAL023C	-5.109	-5.786	4.864	-15.176
YBL078C	7.008	9.473	-13.306	15.861
YAL022C	9.150	8.748	-0.412	2.369
YBL079W	18.676	-0.095	16.081	-14.198
YAL021C	-6.079	-56.292	-9.579	-48.795
YBL080C	-14.372	-0.000	-13.495	-0.000
YAL020C	-4.993	-10.509	5.171	-4.600
YBL081W	-11.553	2.393	-5.061	0.015
YAL019W	-0.582	1.179	11.356	20.504
YBL082C	1.021	-27.609	4.830	8.024
YAL018C	-2.342	-1.226	3.912	-0.954
YDR076W	-13.698	-28.422	-2.511	-8.121
YBR249C	7.752	-18.076	9.588	5.690
YDR077W	11.415	4.229	-6.268	13.049
YBR250W	16.966	1.313	-15.179	21.550
YDR078C	-0.112	-0.000	-0.000	-0.000
YBR251W	6.940	-0.000	-0.000	-0.000
YDR079W	-3.552	-0.000	-0.000	-0.000
YBR255W	0.029	-6.269	2.062	2.313
YDR080W	-6.703	-0.000	-8.945	-22.915
YBR258C	-1.641	1.073	-4.065	2.371
YDR083W	23.094	-15.023	31.117	17.848
YBR259W	14.941	0.884	12.998	9.605
YDR084C	19.178	1.527	15.293	-5.312
YBR260C	12.677	-1.730	-6.653	7.515
YDR085C	1.828	8.454	21.669	16.780
YBR261C	4.276	6.839	-5.612	-0.876
YDR089W	17.951	7.678	20.653	15.965
YBR262C	-3.099	3.584	-15.502	-4.863
YDR090C	-2.041	17.214	30.703	19.393
YBR263W	-7.728	-23.884	-0.544	-10.187
YDR092W	5.937	-9.807	-11.927	16.251
YBR264C	5.189	-2.978	17.317	-5.015
YDR093W	1.187	-9.717	-4.330	14.076
YBR266C	3.993	-5.843	13.324	15.926
YBL055C	9.711	-19.792	-5.797	-9.182
YAL051W	20.670	-27.967	-2.005	19.474
YBL056W	28.720	5.212	3.034	21.925
YAL049C	17.991	-3.398	-6.239	8.061
YBL057C	33.477	-11.251	-2.198	-4.080
YAL045C	49.530	-0.761	5.838	-0.198
YBL058W	-14.610	-28.021	-47.776	-49.000
YAL044C	-37.052	-10.675	2.030	-3.697
YBL059W	28.701	8.820	5.435	22.123
YAL042W	14.241	-10.364	7.964	10.256
YBL060W	21.197	0.654	0.097	-13.768
YAL043C-A	-17.678	-10.160	1.463	2.798
YBL061C	22.514	-9.751	-3.037	-38.873
YAL040C	23.676	-2.079	3.757	-7.189
YBL062W	-9.705	1.902	16.765	11.195
YAL039C	-9.410	-1.349	2.000	3.001
YBL063W	18.820	8.264	5.744	-7.378
YAL037W	12.794	-1.320	0.055	-9.765
YBL064C	-10.079	-0.263	27.820	12.904
YAL036C	4.315	2.970	-10.354	-6.781
YBL065W	8.888	-6.841	0.893	8.227
YAL035W	3.868	0.308	-18.542	26.814
YBL066C	14.849	-9.531	-4.187	0.564
YAL034C	-4.203	-32.724	-21.023	-2.579
YDR059C	12.950	-29.795	-19.577	10.667
YBR231C	-11.287	-12.134	-25.269	-19.399
YDR061W	-1.856	-1.783	11.829	9.771
YBR233W	18.190	-9.536	-4.635	11.042
YDR063W	4.523	-6.346	-0.259	16.854
YBR235W	7.305	-19.607	5.646	8.514
YDR065W	-6.619	13.659	4.091	-15.145
YBR238C	3.682	-7.240	-8.833	-2.854
YDR066C	23.897	-3.040	5.745	12.974
YBR239C	30.164	-15.222	8.890	26.698
YDR067C	30.745	2.969	-8.990	-13.900
YBR240C	19.140	1.219	9.172	-2.217
YDR068W	20.749	0.322	3.126	21.831
YBR241C	14.964	5.202	5.496	27.120
YDR069C	-0.000	-0.000	-0.000	-0.000
YBR242W	10.413	-11.053	3.073	4.764
YDR070C	9.463	8.118	-3.302	-7.248
YBR244W	3.739	0.839	5.352	8.482
YDR072C	9.048	-44.219	-5.643	34.959
YBR245C	-1.000	-0.579	-4.058	-8.112
YDR073W	7.932	-5.683	-5.337	6.575
YBR246W	-6.175	-29.415	13.707	-0.309
YDR075W	-15.084	-11.037	-15.244	-6.758
YBR248C	3.078	6.525	2.658	14.720
YBL042C	3.455	-15.532	14.105	19.908
YAL068C	-27.608	-17.235	-17.929	6.288
YBL043W	-50.961	-4.864	5.394	5.475
YAL067C	102.142	-31.898	4.662	9.847
YBL044W	-0.000	-0.000	-0.000	-0.000
YAL066W	-9.546	-14.130	-1.229	-7.671
YBL045C	-4.665	-0.000	-0.000	-0.000
YAL065C	30.288	-17.878	-0.660	15.527
YBL046W	17.218	-25.341	17.514	-30.078
YAL062W	26.802	-6.542	12.829	34.232
YBL047C	13.243	-12.269	8.812	7.620
YAL061W	27.289	-4.399	14.820	22.803
YBL048W	1.511	-13.921	14.115	0.849
YAL060W	-3.370	-13.126	45.258	-13.497
YBL049W	13.258	-1.023	14.307	14.935
YAL059W	7.896	4.081	27.511	21.848
YBL051C	-8.272	-13.633	-26.006	-29.800
YAL058W	2.394	3.755	29.175	-2.060
YBL052C	-3.862	-2.180	25.560	-4.878
YAL056W	3.589	-9.298	18.953	-10.384
YBL053W	-12.343	-5.224	15.336	9.086
YAL055W	-0.400	-5.023	-4.059	14.693
YBL054W	4.055	-2.077	11.688	25.965
YAL053W	9.658	-7.030	3.868	6.878
YGL089C	-21.337	-20.722	-21.622	-8.244
YER050C	-3.012	10.124	4.302	18.436
YGL090W	-6.363	-24.055	19.618	14.591
YER051W	14.655	19.119	7.176	0.058
YGL194C	-13.479	-9.677	11.845	-28.743
YER052C	-11.913	9.551	-108.529	-15.276
YGL195W	-11.022	20.148	23.406	-8.371
YER053C	-14.000	2.796	0.021	-40.027
YGL196W	9.063	33.838	40.344	-12.244
YER054C	-4.265	4.741	8.421	-19.096
YGL197W	3.225	55.144	51.315	-19.928
YER055C	-5.836	7.299	11.369	-9.194
YGL198W	-11.820	39.940	32.405	-12.447
YER056C	-7.566	23.612	21.035	-37.562
YGL200C	-0.000	-0.000	-0.000	-0.000
YER056C-A	-18.679	16.323	-3.954	-22.347
YGL202W	-10.231	32.314	32.730	-33.492
YER057C	-5.517	26.576	20.984	-15.894
YGL203C	-18.055	3.977	8.756	-36.643
YER058W	3.053	12.309	-2.775	19.162
YGL205W	-24.793	9.888	-10.045	-53.634
YER059W	-10.091	29.338	4.462	-24.293
YGL206C	-6.133	-0.000	-0.000	-0.000
YER060W	-20.756	-17.552	-22.147	-18.828
YDR431W	-14.379	5.031	-40.643	-14.211
YDR294C	-4.002	-10.907	20.562	16.450
YDR432W	-3.984	-18.091	7.673	7.823
YDR295C	-3.711	-0.000	-3.488	-0.000
YDR433W	-7.379	-32.631	4.858	-45.821
YDR296W	-2.579	-18.745	6.026	-34.943
YDR435C	-5.943	-4.109	7.575	-13.991
YDR297W	1.469	8.913	-2.113	-40.163
YDR436W	-8.133	8.687	9.042	-12.991
YDR298C	-10.906	1.411	-0.283	-4.326
YEL001C	-14.055	-0.566	0.775	10.679
YDR300C	-21.769	0.306	24.771	-13.510
YEL003W	4.639	7.964	-10.014	-22.010
YDR304C	-20.219	16.967	0.243	-1.277
YEL004W	-17.468	-9.631	-4.084	-0.533
YDR305C	-13.076	2.512	-14.059	-22.106
YEL005C	-31.889	6.624	2.621	-16.363
YDR306C	-25.903	15.658	10.500	-0.703
YEL006W	-24.169	44.859	17.695	-15.147
YDR307W	-23.644	43.054	13.446	-36.980
YEL007W	-19.892	2.871	-41.040	-46.402
YDR309C	-13.356	47.988	-9.012	-5.394
YEL008W	-47.744	-3.904	-31.855	-27.312
YDR310C	-15.498	-0.976	-20.342	-18.595
YGL072C	-15.422	-9.699	-31.364	-36.764
YER038W-A	0.645	-8.995	10.058	9.873
YGL077C	1.082	-34.700	-15.200	-14.233
YER039C	-15.953	-27.189	12.609	-25.004
YGL078C	11.313	-15.355	23.135	14.979
YER040W	-4.965	-25.215	-28.706	-7.428
YGL079W	-4.897	1.873	27.596	-22.208
YER041W	2.480	8.365	1.261	-2.656
YGL080W	-10.153	-5.789	36.475	-15.946
YER042W	-10.708	5.896	17.528	6.442
YGL081W	2.231	2.271	23.759	-4.253
YER044C	-26.505	-9.324	-9.081	-34.622
YGL082W	0.856	-1.579	16.977	-20.442
YER044C-A	-5.411	-4.167	12.985	-26.331
YGL083W	14.399	12.178	26.426	-0.886
YER045C	-5.198	4.002	0.676	3.098
YGL084C	-27.582	-33.758	-34.917	-36.549
YER046W-A	-12.355	3.684	2.921	6.360
YGL085W	-18.911	17.605	-3.678	2.752
YER047C	-6.736	10.234	-4.896	9.318
YGL086W	-24.181	7.190	-5.248	-14.550
YER048C	-26.258	31.674	-12.737	-12.634
YGL087C	-36.186	-27.027	-17.240	-13.867
YER049W	-7.593	3.344	-21.785	4.885
YDR414C	-8.361	-50.095	-6.973	-22.098
YDR278C	7.983	5.001	-22.310	35.094
YDR415C	7.542	-11.168	-20.419	-12.467
YDR279W	6.835	-6.866	4.002	7.522
YDR418W	-11.942	-2.715	-14.050	-2.000
YDR281C	2.578	-9.884	5.213	7.375
YDR419W	3.964	5.806	8.098	16.397
YDR282C	5.467	-11.642	-3.130	20.009
YDR420W	6.595	-6.224	5.131	-7.478
