orf	hom | growth (pooled culture, microarray) | standard | SC - Ade | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | SC - Arg | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | SC - Lys | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | SC - Met | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | SC - Trp | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | 16001701 | YPD + DMSO [2%] | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | CCCP [32 uM] | YPD + DMSO [2%] | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | cisplatin [200 uM] | YPD | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | FCCP [6 uM] | YPD + DMSO [2%] | Acton E~Giaever G, 2017	hom | growth (pooled culture, microarray) | standard | YPG [3%] | Acton E~Giaever G, 2017
YAL026C	-0.095368538	-0.310064407	0.021201557	-0.066122417	-0.233653355	-0.054699414	0.144446213	-0.274365132	-0.146617012	0.12446682
YAL027W	-0.065310789	-0.132456142	-0.056196836	0.047474304	-0.102944697	0.094168638	-0.106473427	-0.33726038	-0.20566356	-0.004881456
YAL028W	-0.005304548	0.06004583	-0.068164864	0.083139596	-0.038885616	0.093668637	-0.08096272	-0.004306376	-0.064878132	0.10198394
YAL029C	0.003887302	0.024114433	0.016701408	-0.030196528	-0.036824545	-0.049842678	-0.122383853	-0.118264401	-0.091182963	-0.005792713
YAL030W	0.168722934	0.128381924	0.123523731	0.018686743	0.44648263	0.029985942	-0.028472062	0.143530007	-0.059326135	-0.132779502
YAL031C	0.243705088	0.015178865	0.137790388	0.080750031	0.124172135	0.083520638	0.088893523	-0.129371488	-0.011345231	-0.221945481
YAL034C	-0.13160841	-0.000953856	-0.11652891	-0.253723567	0.00549339	-0.167132784	0.406512141	-0.20607485	0.306932976	-0.172334205
YAL036C	-0.063259261	-0.092287222	-0.078029982	0.061710606	-0.001210172	0.061282807	0.029396163	0.142104352	-0.054386972	-0.019464958
YAL037C-A										
YAL037W	0.142502131	0.04660594	0.267359206	-0.047513533	0.073741738	-0.153561233	-0.300944203	-0.196568171	-0.21911172	-0.088846163
YAL039C										
YAL040C	0.486920372	0.44988094	0.330049565	-0.077112579	-0.210002346					
YAL042C-A	0.18941944	0.044998955	0.187373594	0.124109606	0.109213477	-0.034001187	0.050287027	0.011731392	0.243968735	-0.013689502
YAL042W	0.011429501	0.005863121	-0.052469641	0.027769487	-0.036623201	0.007838344	0.103759645	-0.230172039	0.209069337	-0.018437583
YAL044C	0.085904368	-0.563185981	-0.271066728	-0.041054944	0.100946267	0.001096435	-0.485540236	-0.103036418	-0.518672543	-1.447885397
YAL044W-A										
YAL045C	-0.052881094	0.040523898	-0.111817244	-0.002336236	-0.142885688	0.19311292	-0.035463977	0.121661416	0.014035026	0.259008867
YAL046C	0.227529049	0.182337647	0.05440447	0.395418941	0.3922842	-0.143568887	-0.19442086	0.032304259	-0.147368354	-0.268924482
YAL047C	0.002408596	0.103236205	-0.031080199	0.068602399	0.155518087	0.049519728	0.099282251	-0.069059359	-0.023703593	0.366507932
YAL048C	0.058991643	0.062948087	-0.01307989	-0.004285114	0.128097689	-0.011722862	0.286446235	0.062986536	0.168987113	-0.001957689
YAL049C	-0.079954143	-0.044457064	-0.051650051	-0.018844369	0.006295688	0.049857925	0.07663777	0.045785302	0.07674072	-0.001885824
YAL051W	-1.64e-05	0.05459962	0.047066806	0.027922168	0.061673565	-0.052112761	-0.135143319	-0.14265653	-0.022783312	-0.013916798
YAL053W	-0.017597674	-0.113388553	0.032260136	0.126497759	0.009676815	-0.113771379	-0.159849614	0.059289509	-0.136882216	0.003059212
YAL054C	-0.070129011	-0.147344592	-0.10709664	-0.166364022	-0.132764813	0.063261202	0.098364526	-0.173651815	0.479971253	-0.132682491
YAL055W	-0.017129931	0.128147825	0.125848703	0.157032921	0.173252452	-0.22098787	-0.374546014	-0.177583297	-0.170366149	0.189554526
YAL056C-A	-0.049698548	-0.062448468	0.01791873	-0.006779495	0.088708612	0.197192501	-0.003196706	-0.126749414	-0.114309008	0.207109742
YAL056W	0.131327096	0.094781588	0.058069928	0.049595815	0.249845439	0.100417572	-0.184129173	-0.183761315	-0.050581065	0.204840231
YAL058W	-0.091316132	0.120415771	0.01790226	-0.005703828	0.070689085	0.022308581	0.161996117	-0.132603784	0.060588279	0.350250381
YAL059W	-0.061567633	-0.020671655	-0.055541444	-0.123959809	-0.0108754	0.112921113	0.202911839	0.125206287	0.294800043	0.348288009
YAL060W	-0.011436044	0.017797485	-0.014078243	-0.04444542	0.105415825	0.068507766	-0.010436718	0.006975508	-0.018516616	-0.026155047
YAL061W	-0.101390747	-0.136184852	-0.092077348	-0.083148243	-0.100927036	-0.023582836	0.107963662	0.089054452	0.00665103	-0.039708746
YAL062W	0.069588412	0.058268913	0.029491373	0.066738788	0.0403557	-0.046618571	0.0155191	-0.291372882	0.096960682	-0.00890708
YAL064C-A	0.049195879	0.045693772	0.092212718	0.168784014	-0.006033013	-0.03553094	-0.190173223	-0.130747644	-0.099897477	0.219548367
YAL065C	0.177384024	0.221428643	0.234692134	-0.003858038	0.121292462	-0.173177356	-0.190651029	-0.047565813	-0.198875443	-0.145372296
YAL066W	0.347573447	0.458495542	0.273048947	0.28950747	0.329476988	-0.258795049	-0.358999588	-0.125632998	-0.076676044	-0.204825925
YAL067C	-0.005013009	0.107246913	0.031214194	0.159240713	0.146836479	-0.116236617	-0.085148913	-0.138589695	-0.020777952	0.270481384
YAL067W-A										
YAL068C	-0.033821434	0.04744878	-0.023716032	0.001833756	-0.047956496	-0.029281965	0.018164974	-0.161573876	-0.085140679	0.16664724
YAR002C-A	0.101464135	-0.093680658	0.078740603	0.150615247	0.161811274	-0.123779387	-0.250134269	0.091391692	-0.025563992	-0.008224348
YAR002W	-0.145486141	-0.137468138	-0.291553911	-0.080849757	-0.041046183	-0.00073431	-0.027257944	-0.00139682	-0.018412566	0.003050405
YAR003W	0.05058337	-0.090171606	-0.131883259	0.082370352	-0.157778313	0.185418281	0.097305639	-0.02682324	0.100483345	0.076762735
YAR014C	0.038450488	-0.061394127	-0.061579401	-0.058793925	0.137373336	0.00808985	0.352641754	0.113284952	0.205171988	-0.179738181
YAR015W	-3.668560298	0.716485715	0.41288811	0.956502666	0.242662031	-2.365884995	1.82834338	1.133330227	1.124249763	-0.485447041
YAR018C	0.039781016	-0.120629121	-0.076602344	-0.070867772	-0.096013835	-0.096166032	0.451706038	-0.075180865	0.067813596	-0.310306853
YAR020C	0.125164722	-0.075741247	-0.037536325	-0.017672689	0.253206879	-0.112729244	-0.206282156	-0.04784346	-0.135887235	-0.001310961
YAR023C	0.153863999	0.017841923	0.165457675	0.242392865	0.376123712	-0.015236882	0.006410496	-0.014808185	-0.042297649	-0.121836555
YAR027W	0.060445273	-0.102098846	0.052176534	0.234676141	0.321806372	-0.224881922	-0.177257235	-0.033870748	-0.301658449	0.058882763
YAR028W	0.019185938	0.028344159	-0.046658758	-0.033097444	0.001540717	0.016649633	-0.052402889	-0.154770826	-0.062718476	0.008056627
YAR029W	0.171951397	0.001103949	0.102163653	0.018265821	0.293201137	-0.046451078	-0.098158397	0.087813506	-0.032758876	-0.167902391
YAR030C	-0.072428666	-0.036253882	-0.087095993	-0.033562316	-0.02363498	0.075346755	-0.155793266	0.005894675	-0.088982936	-0.026451134
YAR031W	0.26468231	0.04798267	0.097458294	0.089368608	0.481831024	-0.007972109	-0.161242716	0.1133431	-0.141304291	-0.078992594
YAR035C-A										
YAR035W	-0.110158507	0.015157575	-0.036526176	-0.060679309	0.034009112	0.113485902	0.065072532	0.064567707	-0.001392742	-0.184525836
YAR042W	-0.022598981	-0.015263526	-0.04271015	-0.031218352	-0.065052107	-0.056303936	0.043741986	0.033039181	0.130841772	0.008601334
YAR047C	-0.059018935	0.03885112	-0.059214516	8.49e-05	0.109496764	0.106197593	-0.172117848	0.039655329	-0.121627184	-0.094884513
YAR050W	-0.122904474	-0.361145949	-0.205901946	0.084031893	-0.230278589	-0.000497051	-0.316281913	-0.160687834	-0.14819374	0.009736695
YBL001C	-0.099650767	0.072207805	0.208542234	0.153494044	0.061555152	-0.240714766	-0.298338336	0.11225169	-0.069678812	-0.136160294
YBL002W	-0.296745732	0.015857103	0.110882129	-0.122693195	-0.021728259	-0.064424234	-0.070322283	-0.071232974	-0.016894892	-0.021860753
YBL003C	-0.054911687	-0.427726769	-0.187949909	-0.155679417	-0.322830034	-0.080424841	0.366887511	0.044882125	0.152190246	-0.054282218
YBL005W	0.304322903	-0.233478283	0.002837529	-0.245053016	0.349630942					
YBL006C	-0.184343134	-0.083881571	-0.204942873	-0.037972402	0.064207891	0.636278521	-0.146462083	-0.086927191	-0.018074183	0.479943837
YBL007C	-0.191749358	0.115681604	-0.323177566	0.32583856	-0.045060878	-0.438713693	-1.844338165	-0.285156983	-1.19190554	-0.809942543
YBL008W						0.094793387	-0.319305205	0.106018364	-0.372623015	-0.326668388
YBL008W-A										
YBL009W	0.183458176	-0.085657178	0.195209726	0.209259347	0.334191954	-0.292558594	-0.098483257	-0.435797896	-0.388673405	-0.081879155
YBL010C	-0.051820667	0.153326476	-0.089934102	-0.168822313	-0.165634721	0.046227632	0.078637199	-0.183249193	0.148025428	0.149745973
YBL011W	-0.080738335	0.181635597	0.088142525	0.101988698	0.180343685	0.046917447	0.056983066	-0.081390576	-0.043734726	0.089316207
YBL012C	-0.013560873	0.051586649	0.001352469	-0.199047389	-0.153215774	0.177510224	0.055614694	-0.056041532	0.171608423	0.055158039
YBL013W	-0.069972638	-0.303041357	-0.063032195	-0.184291718	-0.189430216	0.032070945	-0.425378442	-0.198547658	-0.078977029	-0.643555393
YBL015W	-0.168841318	-0.200590699	-0.139699841	0.090415215	-0.04012685	0.099347788	-0.035809018	0.140394211	0.306467416	-0.047120787
YBL016W										
YBL017C	-0.047879127	0.095488486	0.087010158	-0.189602518	-0.033903522	0.128831608	0.101349389	0.032596129	-0.245972788	-0.256318722
YBL019W	-0.158767486	-0.107487447	0.061153776	-0.11197848	-0.01308692	0.108438911	0.076903926	-0.218029944	0.129335664	-0.172105848
YBL021C						-0.024130288	-0.853726944	0.219095954	-0.197213943	-1.33388495
YBL022C										
YBL024W	-0.42498253	0.036824551	-0.399219878	-0.277044524	-0.322001909	-0.073311611	-0.051643042	-0.021822579	-0.083653493	-0.029283293
YBL027W	-0.605575929	-0.043366829	-0.050603623	0.020436718	-0.358536962	-0.038871106	-0.030514413	-0.061517718	-0.037933014	-0.017166711
YBL028C	0.26050845	0.064457785	0.124880129	0.202993351	0.305941776	-0.092323163	-0.414581609	-0.091440858	-0.086317668	0.063421022
YBL029C-A										
YBL029W	0.518011716	0.438939296	0.07835681	0.097555401	0.061227842	0.083702114	-0.192144717	0.02251227	-0.204493318	-0.038398561
YBL031W	-0.083441185	0.018735665	-0.105942848	-0.133477407	0.064485053	0.119955381	0.104972161	-0.564564865	-0.070490911	0.251001698
YBL032W						-0.094258671	-0.416957553	-0.067157455	-0.60807543	-0.253817057
YBL036C	-0.383643917	-0.302286319	-0.348557117	-0.231901862	-0.347830038	-0.241391781	-0.227690194	-0.35655202	0.089709264	0.022982318
YBL037W	-0.008039025	0.131046584	0.083936963	0.036528854	-0.031181342	-0.027792558	-0.090398092	-0.041209084	0.145508899	0.173766133
YBL038W										
YBL039C	-0.061870381	0.027429148	0.01927592	-0.003442324	0.206122785	-0.103678979	-0.080402666	-0.094793811	0.018332129	-0.063288595
YBL039W-B										
YBL042C										
YBL043W	0.064037953	0.068566149	-0.194761562	-0.065149657	0.099807305	-0.031360344	-0.000270036	0.058708527	-0.024761895	-0.105804023
YBL044W	-0.129512557	-0.043771885	-0.149145707	-0.091349429	0.061206176	-0.075276981	-0.037873133	-0.030394542	-0.084005425	-0.111898214
YBL045C										
YBL046W	-0.088053082	-0.24507358	0.19699018	0.015109721	-0.223130532					
YBL048W	-0.05280578	0.147764579	-0.087972923	0.052098506	0.085595053	0.146922229	-0.281704539	0.297858908	-0.282412398	0.112864894
YBL049W	-0.106122799	-0.145865208	-0.062370406	-0.01449972	-0.16564316	0.041036134	-0.303000365	-0.110349487	-0.169291301	-0.117812344
YBL051C	0.351087018	0.398571897	0.405177314	0.458010156	0.17627645	0.023359418	0.019169452	-0.050894749	0.015881409	-0.014632896
YBL052C	0.162635427	0.07195787	-0.068836989	0.185951556	-0.350481607	0.312774233	0.290127532	0.139848196	0.139889444	0.060911483
YBL053W	0.205882018	0.144162704	0.18822895	0.247630935	0.334544063	0.191769612	0.003387812	0.183864732	-0.067390124	-0.01648529
YBL054W	0.118534891	-0.093379637	-0.296855301	0.069090929	0.368343718	0.06493163	0.259093131	0.202683883	0.133869182	-0.233264148
YBL055C	-0.116825102	-0.019675638	-0.105697261	-0.25323985	-0.183653648	-0.109871193	0.102973889	-0.479632956	-0.043565082	0.086541332
YBL056W	0.022964817	-0.052895501	-0.19791213	-0.168985496	-0.397714993	-0.067963045	0.016510796	-0.361074104	-0.037406412	0.077145251
YBL057C	-0.080539984	-0.10092443	-0.060111544	-0.036436346	0.113423153	-0.08832229	0.049076939	-0.003992627	0.125441318	0.019835068
YBL059W	-0.236544012	-0.169468313	-0.352303047	-0.332654831	-0.845080308	-0.096242472	0.307178655	0.21875528	-0.130233996	-0.560921733
YBL060W	-0.293549384	-0.013277929	-0.015420663	-0.195985439	-0.25600986	0.163474339	-0.070501544	-0.098150578	-0.129549949	0.016771399
YBL061C	0.031463464	0.162815281	0.147587554	-0.016539505	0.142457453	0.291144729	-0.28066378	0.147140031	-0.273755352	0.327656139
YBL062W	0.29193416	0.078719152	-0.128868587	-0.090993149	0.142467135	0.046284843	0.044769894	-0.048071043	0.057250214	0.373885227
YBL063W	0.2660636	0.068075771	0.279329992	0.031205217	0.250911194	0.00010112	0.034054364	-0.008506865	-0.018294509	0.008431818
YBL064C	-0.124965061	-0.131538694	0.0651401	0.16339586	-0.01486622	0.2508271	-0.005282976	0.068801867	0.012701396	-0.048437623
YBL066C	0.149986128	0.165913019	0.127393129	0.318074057	0.067981998	0.003824235	0.295283559	-0.219411212	0.0394496	-0.160521739
YBL067C						-0.006671207	-0.437966319	0.186546972	-0.562099533	0.003357802
