orf	hap alpha | growth (culture turbidity) | DiKU+Trp (DiKU+Trp [unknown]) | Cai H~Becker JM, 2006	hap alpha | growth (culture turbidity) | DiKU-Trp (DiKU-Trp [unknown]) | Cai H~Becker JM, 2006	hap alpha | growth (culture turbidity) | HLKU [unknown] | Cai H~Becker JM, 2006
YBR083W	1.036	1.045	0.988
YBR084C-A	0.787	0.6509999999999999	1.177
YBR084W	0.907	0.364	1.1059999999999999
YBR085W	1.2570000000000001	1.585	1.078
YBR089C-A	1.186	1.962	1.126
YBR090C	1.235	2.29	1.097
YBR092C	1.3130000000000002	1.455	1.177
YBR093C	1.469	1.3119999999999998	1.265
YBR094W	1.331	1.001	1.0979999999999999
YBR095C	0.342	0.078	0.865
YBR096W	1.212	0.78	1.25
YBR097W	0.125	0.563	0.292
YBR098W	1.0965	0.663	0.9675
YBR099C	1.16	2.001	0.955
YBR101C	1.3130000000000002	1.182	1.03
YBR103W	0.6990000000000001	0.377	0.82
YBR104W	1.484	1.455	1.083
YBR105C	1.607	1.338	1.041
YBR106W	1.324	1.962	1.2429999999999999
YBR107C	0.8590000000000001	0.91	1.046
YBR108W	0.9520000000000001	1.143	1.147
YBR111C	1.16	0.9490000000000001	1.075
YBR112C	1.469	2.838	1.1420000000000001
YBR113W	1.038	1.143	1.127
YBR114W	0.941	0.8320000000000001	1.124
YBR115C	1.015	1.001	1.073
YBR116C	1.171	2.82	1.128
YBR117C	1.157	1.247	1.196
YBR119W	0.993	1.78	0.8240000000000001
YBR120C	0.703	1.2209999999999999	1.054
YBR125C	0.644	0.237	0.978
YBR126C	1.09	1.092	1.2990000000000002
YBR127C	0.531	0.8170000000000001	0.524
YBR128C	0.39	0.423	0.7390000000000001
YBR129C	1.338	0.919	1.002
YBR130C	1.295	1.094	0.978
YBR131W	0.44299999999999995	0.126	0.621
YBR132C	1.153	1.415	0.961
YBR133C	1.141	0.496	0.996
YBR134W	0.8740000000000001	0.292	0.895
YBR137W	1.204	1.254	1.018
YBR138C	1.2830000000000001	2.713	1.162
YBR139W	1.3969999999999998	1.006	1.125
