ORF	hap a | mitotic recombination (frequency of Rad52 foci) | standard [standard] | Styles EB~Andrews BJ, 2016	hap a | mitotic recombination (frequency of Rad52 foci) | phleomycin [2.5 ng/uL] | Styles EB~Andrews BJ, 2016
YBR228W	1.186	-0.537
YBR229C	0.388	2.051
YBR230C	0.079	1.142
YBR231C	-1.951	-0.792
YBR232C	-1.332	-0.341
YBR233W	0.465	0.169
YBR235W	-0.273	0.452
YBR238C	-0.249	-0.191
YBR239C	-0.813	-0.158
YBR240C	-0.434	-0.965
YBR241C	-0.039	-0.278
YBR242W	-0.344	-1.379
YBR244W	-0.053	-0.408
YBR245C	0.414	0.834
YBR246W	-0.567	-0.229
YBR248C	-2.340	9.867
YBR249C	0.030	-0.249
YBR250W	-0.657	1.098
YBR255W	0.628	2.558
YBR258C	0.257	0.859
YBR259W	-0.016	-0.284
YBR260C	0.596	1.174
YBR261C	1.080	1.927
YBR262C	-0.104	-1.619
YBR263W	-0.304	0.087
YBR264C	-0.909	-0.684
YBR266C	1.548	0.742
YBR267W	-1.977	-0.507
YBR269C	0.131	0.263
YBR270C	-1.042	-1.272
YBR271W	-0.279	0.837
YBR272C	0.058	-0.230
YBR273C	-0.540	-0.436
YBR274W	0.830	0.710
YBR275C	0.349	-1.381
YBR276C	-0.906	-0.715
YBR277C	1.281	0.933
YBR278W	1.096	1.134
YBR280C	-0.452	0.578
YBR281C	-0.321	-1.438
YBR283C	-0.272	-0.010
YBR284W	0.579	-0.539
YBR285W	0.010	0.621
YBR286W	1.173	0.082
YBR287W	0.048	0.088
YBR288C	0.049	1.925
YBR289W	6.043	0.503
YBR290W	-0.375	-0.811
YBR291C	-1.166	-1.110
YBR292C	-1.267	0.216
YBR293W	0.165	0.154
YBR294W	2.149	3.974
YBR295W	-0.592	-0.234
YBR296C	-0.653	-0.053
YBR297W	0.659	0.940
YBR298C	0.030	0.126
YBR299W	-1.158	-1.923
YBR300C	-0.846	-1.192
YBR301W	-0.074	-1.119
YCL001W	-0.729	-0.504
YCL001W-A	-0.351	0.760
YCL002C	0.209	-0.686
YCL006C	0.158	-0.751
YCL009C	-0.058	1.096
YCL010C	0.591	1.977
YCL011C	-0.779	20.818
YCL012W	-1.445	0.050
YCL013W	-0.537	-0.518
YCL014W	0.641	-0.166
YCL016C	4.044	3.207
YCL022C	-0.082	0.494
YCL023C	-0.442	0.757
YCL024W	0.749	0.035
YCL025C	0.550	-0.863
YCL026C	-1.443	-0.776
YCL026C-A	-0.682	-0.876
YCL027W	0.034	-0.228
YCL028W	-0.449	-0.334
YCL029C	0.531	1.387
YCL030C	NaN	NaN
YCL032W	-0.258	-0.258
YCL033C	-0.794	-0.120
YCL034W	0.114	-0.016
YCL035C	-0.196	-0.694
YCL036W	-0.171	-0.992
YCL037C	-2.201	-0.195
YCL038C	0.052	1.277
YCL039W	-0.325	0.235
