ORF	hom | growth (pooled culture) | glyoxal [20 mM] | YPD | Hoon S~Nislow C, 2011	hom | growth (pooled culture) | methylglyoxal [8 mM] | YPD | Hoon S~Nislow C, 2011	hom | growth (pooled culture) | glyoxal [80 mM] | YPD | Hoon S~Nislow C, 2011
YCR020C-A	0.000	0.000	-1.636
YCR021C	0.000	0.000	-1.902
YCR022C	0.000	0.000	-1.702
YCR023C	0.000	0.000	-2.047
YCR024C	0.000	0.000	-0.323
YCR024C-A	0.000	0.000	-1.187
YCR025C	0.000	0.000	-1.623
YCR026C	-1.917	0.000	-0.814
YCR027C	-2.250	0.000	-0.110
YCR030C	0.000	0.000	-1.893
YCR031C	0.000	0.000	0.323
YCR032W	0.000	0.000	-1.408
YCR033W	0.000	0.000	-1.584
YCR034W	-3.499	-1.463	0.933
YCR036W	-1.733	0.000	-0.198
YCR037C	0.000	0.000	-0.670
YCR043C	0.000	0.000	-2.171
YCR044C	-4.836	0.000	0.000
YCR045C	-1.876	0.000	-1.118
YCR048W	0.000	0.000	-1.314
YCR049C	0.000	0.000	-1.671
YCR050C	-1.667	0.000	-0.379
YCR051W	0.000	0.000	-0.133
YCR053W	0.000	0.000	-1.907
YCR059C	-1.761	0.000	-1.319
YCR060W	0.000	0.000	-0.898
YCR061W	-2.064	0.000	-0.793
YCR064C	0.000	0.000	8.551
YCR065W	-1.875	0.000	-0.149
YCR066W	-3.853	0.000	0.536
YCR067C	0.000	0.000	-2.014
YCR068W	-1.702	0.000	-1.304
YCR069W	0.000	0.000	-1.740
YCR073C	0.000	0.000	-2.265
YCR073W-A	0.000	0.000	-1.047
YCR075C	0.000	0.000	-2.044
YCR076C	0.000	0.000	-1.723
YCR077C	-4.572	0.000	0.843
YCR079W	-1.644	0.000	-1.796
YCR081W	-2.455	0.000	1.697
YCR082W	0.000	0.000	-1.559
YCR083W	0.000	0.000	-1.677
YCR085W	0.000	0.000	-1.626
YCR086W	0.000	0.000	-0.827
YCR087C-A	-1.536	0.000	-1.378
YCR087W	-2.224	0.000	-1.066
YCR088W	0.000	0.000	-1.247
YCR089W	0.000	0.000	-1.106
YCR090C	0.000	0.000	-1.726
YCR091W	0.000	0.000	-1.912
YCR092C	0.000	0.000	-1.609
YCR094W	0.000	0.000	-0.921
YCR095C	0.000	0.000	-1.208
YCR098C	-1.335	0.000	0.873
YCR099C	0.000	0.000	-2.064
YCR100C	0.000	0.000	-1.881
YCR101C	0.000	0.000	-1.274
YCR102C	0.000	0.000	-1.918
YCR102W-A	0.000	0.000	-1.164
YCR105W	0.000	0.000	-1.309
YCR106W	0.000	0.000	-2.299
YCR107W	0.000	0.000	-0.487
YDL001W	0.000	0.000	-0.289
YDL002C	0.000	0.000	-1.177
YDL006W	-3.256	0.000	3.510
YDL009C	0.000	0.000	-0.484
YDL010W	0.000	0.000	-1.042
YDL011C	0.000	0.000	-0.930
YDL012C	0.000	0.000	-1.936
YDL013W	-1.846	0.000	0.000
YDL018C	0.000	0.000	-1.455
YDL019C	0.000	0.000	-1.117
YDL020C	-2.187	0.000	4.706
YDL021W	0.000	-2.464	-1.473
YDL022W	0.000	0.000	1.900
YDL023C	-1.823	0.000	1.269
YDL024C	0.000	0.000	-0.756
YDL025C	0.000	0.000	-0.558
YDL026W	0.000	0.000	-2.253
YDL027C	0.000	0.000	-1.861
YDL033C	0.000	0.000	4.257
YDL034W	0.000	0.000	-1.588
YDL035C	0.000	0.000	2.081
YDL036C	0.000	0.000	-1.384
YDL037C	-1.557	0.000	-1.160
YDL039C	0.000	0.000	-0.797
YDL040C	-4.244	-2.959	1.030
YDL041W	-5.120	0.000	3.432
YDL046W	0.000	0.000	-1.994
YDL048C	0.000	0.000	-1.107
YDL049C	0.000	0.000	-1.632
YDL050C	0.000	0.000	-1.701
YDL051W	0.000	0.000	-2.012
YDL052C	0.000	0.000	-0.251
YDL053C	0.000	0.000	-1.959
YDL054C	0.000	0.000	-1.747
YDL056W	0.000	0.000	3.693
YDL057W	0.000	0.000	-0.031
YDL059C	-1.440	0.000	0.566
YDL061C	0.000	0.000	1.168
YDL062W	0.000	0.000	0.284
YDL063C	0.000	0.000	0.371
YDL065C	0.000	-1.652	-1.868
YDL066W	0.000	-1.866	-1.171
YDL067C	0.000	0.000	-1.843
YDL068W	0.000	0.000	-0.274
YDL069C	0.000	0.000	-0.820
YDL070W	0.000	0.000	-1.761
YDL071C	0.000	0.000	-1.682
YDL072C	0.000	0.000	-2.007
YDL073W	0.000	0.000	-1.071
YDL074C	0.000	0.000	-0.352
YDL076C	0.000	0.000	-1.643
YDL077C	0.000	0.000	1.780
YDL078C	0.000	0.000	-1.646
YDL079C	0.000	0.000	-1.674
YDL080C	0.000	0.000	-1.571
YDL082W	0.000	0.000	0.975
YDL085W	0.000	0.000	-1.881
YDL086W	0.000	0.000	-1.682
YDL088C	0.000	0.000	-0.297
YDL089W	0.000	0.000	-0.587
YDL091C	0.000	0.000	-1.096
YDL093W	0.000	0.000	-0.839
YDL094C	0.000	0.000	-1.529
YDL095W	0.000	0.000	3.361
YDL096C	0.000	0.000	2.906
YDL099W	0.000	0.000	-1.181
YDL100C	-1.323	0.000	-0.615
YDL101C	0.000	0.000	-0.631
YDL104C	0.000	0.000	-0.507
YDL107W	0.000	0.000	1.622
YDL109C	0.000	0.000	-2.014
YDL110C	0.000	0.000	-2.321
YDL112W	0.000	0.000	-1.115
YDL113C	0.000	0.000	2.184
YDL114W	0.000	0.000	-2.125
YDL116W	-1.614	0.000	0.000
YDL117W	0.000	-1.929	-0.151
YDL118W	0.000	-3.716	0.000
YDL119C	0.000	-3.718	0.193
YDL121C	0.000	0.000	-2.377
YDL122W	0.000	0.000	-0.896
YDL123W	0.000	0.000	-0.658
YDL124W	0.000	0.000	-2.049
YDL125C	0.000	0.000	-1.357
YDL127W	0.000	0.000	-0.887
YDL128W	0.000	0.000	-1.275
YDL129W	0.000	0.000	-1.717
YDL130W	0.000	0.000	0.492
YDL130W-A	0.000	0.000	-0.934
YDL131W	0.000	0.000	-1.939
YDL133C-A	0.000	0.000	-1.366
YDL133W	0.000	-3.247	0.223
YDL134C	0.000	0.000	-0.344
YDL135C	0.000	0.000	-1.532
YDL136W	0.000	0.000	0.547
YDL137W	0.000	0.000	-0.932
YDL138W	0.000	0.000	-1.506
YDL142C	0.000	0.000	-1.150
YDL144C	0.000	0.000	-1.333
YDL146W	0.000	0.000	0.098
YDL149W	0.000	0.000	-1.601
YDL154W	0.000	0.000	-1.732
YDL155W	0.000	0.000	-1.561
YDL156W	0.000	0.000	-2.256
YDL157C	0.000	0.000	0.395
YDL160C	-4.363	0.000	0.000
YDL161W	0.000	0.000	-1.454
YDL162C	0.000	0.000	0.161
YDL167C	0.000	0.000	-1.566
YDL168W	-4.387	0.000	-0.895
YDL169C	0.000	0.000	-1.061
YDL170W	0.000	0.000	-1.525
YDL171C	0.000	0.000	-2.223
YDL172C	0.000	-1.970	-1.052
YDL173W	0.000	-2.438	-1.548
YDL174C	0.000	0.000	-2.055
YDL175C	0.000	0.000	-2.031
YDL176W	0.000	0.000	-0.394
YDL177C	0.000	0.000	-0.872
YDL178W	0.000	0.000	-1.918
YDL179W	0.000	0.000	-1.747
YDL180W	0.000	0.000	-1.971
YDL182W	0.000	0.000	-1.843
YDL183C	0.000	0.000	-0.514
YDL184C	0.000	0.000	-1.551
YDL186W	0.000	0.000	-2.295
YDL187C	0.000	0.000	-1.806
YDL188C	0.000	0.000	-1.733
YDL189W	0.000	0.000	-1.166
YDL190C	0.000	0.000	-1.867
YDL192W	0.000	0.000	4.012
YDL194W	0.000	0.000	0.249
YDL197C	0.000	0.000	-1.560
YDL199C	0.000	0.000	-1.842
YDL200C	0.000	0.000	-0.943
YDL201W	0.000	0.000	-0.561
YDL203C	0.000	0.000	-2.408
YDL204W	0.000	0.000	-2.244
YDL210W	0.000	0.000	-1.587
YDL211C	0.000	0.000	-1.838
YDL213C	0.000	-1.514	-1.757
YDL214C	0.000	0.000	-1.549
YDL215C	0.000	0.000	-2.340
YDL216C	0.000	0.000	-2.069
YDL218W	0.000	0.000	-2.721
YDL219W	0.000	0.000	-1.864
YDL222C	0.000	0.000	-1.454
YDL223C	0.000	0.000	-1.825
YDL224C	0.000	0.000	-1.557
YDL225W	0.000	0.000	-1.685
YDL226C	0.000	0.000	0.053
YDL227C	0.000	0.000	-0.833
YDL229W	0.000	0.000	-2.388
YDL230W	0.000	0.000	-1.373
YDL231C	0.000	0.000	-1.935
YDL233W	0.000	0.000	-2.171
YDL234C	0.000	0.000	-2.110
YDL236W	0.000	0.000	-2.179
YDL237W	0.000	0.000	-1.414
YDL238C	0.000	0.000	-2.198
YDL239C	0.000	0.000	-2.440
YDL240W	0.000	0.000	2.149
YDL241W	0.000	0.000	-1.734
YDL242W	0.000	0.000	-2.252
YDL243C	0.000	0.000	-1.776
YDR001C	0.000	-3.186	-1.597
YDR003W	0.000	0.000	-2.054
YDR004W	-1.786	0.000	0.134
YDR005C	-1.761	0.000	-2.021
YDR006C	0.000	0.000	-2.883
YDR007W	0.000	0.000	-1.827
YDR008C	0.000	0.000	-0.067
YDR009W	0.000	0.000	-1.578
YDR010C	0.000	0.000	-2.187
YDR011W	0.000	0.000	-2.325
YDR014W	0.000	0.000	-1.233
YDR015C	0.000	0.000	-1.349
YDR018C	0.000	0.000	-2.088
YDR019C	0.000	0.000	-1.869
YDR020C	0.000	0.000	-1.145
YDR022C	0.000	0.000	-2.049
YDR024W	0.000	0.000	1.904
YDR026C	0.000	0.000	-2.325
YDR028C	-1.445	-3.237	0.615
YDR029W	0.000	0.000	-2.240
YDR030C	0.000	0.000	-1.813
YDR031W	0.000	0.000	-1.734
YDR032C	0.000	0.000	-1.741
YDR033W	0.000	0.000	-0.179
YDR034C	0.000	0.000	-1.989
YDR035W	0.000	0.000	-1.962
YDR036C	0.000	0.000	-1.645
YDR042C	0.000	0.000	-1.628
YDR043C	0.000	-1.300	0.322
YDR046C	0.000	0.000	-1.763
YDR048C	-3.280	0.000	0.000
YDR049W	-4.166	0.000	-0.127
YDR051C	0.000	0.000	-1.644
YDR055W	0.000	0.000	-1.818
YDR056C	0.000	0.000	-1.706
YDR057W	0.000	0.000	-0.410
YDR058C	0.000	0.000	-1.965
YDR059C	0.000	0.000	-1.950
YDR061W	0.000	0.000	-1.545
YDR063W	0.000	0.000	-1.811
YDR066C	0.000	0.000	-1.741
YDR067C	0.000	0.000	-1.551
YDR068W	0.000	0.000	-2.196
YDR069C	-3.136	-2.184	0.000
YDR070C	0.000	0.000	-2.147
YDR071C	0.000	-1.657	-2.330
YDR072C	0.000	0.000	-1.587
YDR073W	0.000	0.000	-0.510
YDR074W	-1.404	0.000	0.000
YDR075W	0.000	-1.985	-1.986
YDR076W	-1.553	0.000	2.059
YDR077W	0.000	0.000	-1.951
YDR078C	0.000	0.000	-0.884
