orf	hom | growth (pooled culture) | glyoxal [20 mM] | YPD | Hoon S~Nislow C, 2011	hom | growth (pooled culture) | methylglyoxal [8 mM] | YPD | Hoon S~Nislow C, 2011	hom | growth (pooled culture) | glyoxal [80 mM] | YPD | Hoon S~Nislow C, 2011
YIL053W	-4.893094054648639	-3.3338685544356172	0.8987332179614743
YIL065C	-4.673473072283682	0.0	0.31433084308031967
YIL077C	-4.655043339497811	0.0	0.484564812234263
YIL098C	-4.50146223294889	0.0	1.0941640068084313
YIL110W	-2.6968842309990615	0.0	1.6311816954564389
YIL148W	-2.1317057588990305	0.0	1.1387446408000708
YIR009W	-4.444637223525788	0.0	1.69492324374791
YJL020C	-2.1747084687327285	0.0	0.08044560538323961
YJL047C	-2.0656658830829944	0.0	3.191433572811379
YJL062W	-2.274536187989528	0.0	
YJL092W	-2.306788220364801	0.0	1.1642140930858016
YJL101C	-2.570947723628946	0.0	-0.16799002460171436
YJL124C	-7.523938409831665	0.0	1.2244764593317239
YJL128C	-4.865449455469833	-8.720305435296147	0.0933029243384324
YJL140W	-4.240374351815723	0.0	
YJL162C	-2.378971340442794	0.0	-0.10442678318722225
YJL175W	-2.3052524092993116	0.0	3.4737655522499917
YJL176C	-3.2697417584265387	0.0	
YJL183W	-4.235766918619255	-4.01628088114312	
YJR018W	-5.590352278380743	0.0	1.422912133494063
YJR074W	-2.1747084687327285	0.0	1.8143859426014635
YJR090C	-3.3342458231770857	0.0	
YJR102C	-2.564804479366989	0.0	3.2593183448147456
YJR104C	-5.338479263640512	0.0	
YJR139C	-3.9454986272417933	-4.588512050934309	0.105875888330485
YKL007W	-2.79824776132135	0.0	0.6085916466302452
YKL054C	-2.421974050276492	0.0	2.7629918688882027
YKL126W	-6.107920607450608	0.0	0.9071368016091205
YKL212W	-2.5770909678909026	0.0	3.318658471063693
YKL213C	-2.179315901929196	0.0	0.394109884446363
YKR082W	-5.10503598168615	0.0	
YLR006C	-1.9811962744810874	-6.163036325577143	-0.09468584328699697
YLR025W	-2.357469985525945	0.0	3.604006336475006
YLR027C	-7.5085802991767725	-7.799759640414672	0.3807833426228285
YLR032W	-6.393581465631603	0.0	0.5601745388661822
YLR056W	-3.727413455942325	0.0	2.2519227625468825
YLR079W	-3.868708073967333	0.0	
YLR087C	-4.060684457153485	-3.3800735557231043	0.13531974907195896
YLR113W	-3.4386809756303522	-7.616716750698856	-0.09097667533217406
YLR119W	-2.4450112162588304	0.0	1.2739818229768718
YLR148W	-3.5600100498040006	0.0	5.1471798573681475
YLR200W	-2.8596802039409184	0.0	2.622110409092789
YLR204W	-3.868708073967333	-3.147271433851534	0.15374092930985694
YLR235C	-3.070086319912941	0.0	
YLR240W	-4.278769628452953	0.0	
YLR268W	-5.304691420199749	0.0	0.7204275438374464
YLR320W	-2.371292285115348	0.0	
YLR322W	-3.665981013322756	0.0	
YLR337C	-5.20332788987746	0.0	
YLR338W	-3.0516565871270704	0.0	
YLR358C	-3.392606643665676	0.0	
YLR370C	-6.694600434467488	0.0	
YLR382C	-2.062594260952016	0.0	
YLR386W	-2.830499793696623	-2.471967568880567	
YLR396C	-4.59821833007471	0.0	5.7156142204636
YLR398C	-5.049746783328539	0.0	0.6143990314104558
YLR417W	-3.191415394086589	0.0	2.8133565085294885
YLR423C	-6.306040234898717	0.0	
YLR426W	-2.527945013795248	-2.678112959240125	1.5688834202831436
YML004C	-12.261915546865893	-4.277516849960837	-0.16321797007493125
YML007W	-7.301245805335728	-3.579110484346126	0.7667627279962064
YML008C	-2.514122714205845	0.0	
YML013W	-3.6613735801262886	0.0	1.0116038986697513
YML016C	-3.3849275883382304	-7.943705990579535	0.43124289847239244
YML032C	-3.9746790374860885	0.0	
YML034W	-2.0748807494759296	0.0	0.36535989617955095
YML073C	-3.4816836854640503	0.0	1.3693734870999263
YML094C-A	-4.856234589076898	0.0	2.2568719648356588
YML094W	-2.99329576663848	0.0	
YMR031W-A	-4.252660840339637	0.0	-0.019411603898161423
YMR067C	-10.053419234692402	0.0	-0.01929744200709913
YMR077C	-2.69995585313004	0.0	3.099856927898462
YMR116C	-3.0455133428651138	0.0	
YMR165C	-2.9794734670490772	0.0	
YMR190C	-3.822633742002656	0.0	1.8097816316962223
YMR201C	-3.5461877502145978	0.0	0.09871314821027266
YMR202W	-3.1837363387591426	0.0	
YMR224C	-3.9454986272417933	0.0	
YMR242C	-3.9838939038790238	0.0	0.5002852545550555
YNL001W	-2.378971340442794	0.0	-0.1372516073817622
YNL054W	-3.953177682569239	0.0	
YNL059C	-6.101777363188651	0.0	
YNL064C	-4.212729752636917	-3.0904037399592426	
YNL084C	-3.357282989159424	0.0	1.9713906918504984
YNL138W	-3.7181985895493894	0.0	
YNL139C	-4.418528435412472	0.0	
YNL147W	-3.851814152246951	0.0	4.675446302226972
YNL204C	-2.1025253486547353	0.0	0.4477727529748357
YNL224C	-2.418902428145514	-4.115799345454632	0.6235488226678811
YNL229C	-2.529480824860737	-6.472254411116481	1.30395172509109
YNL243W	-2.891932236316192	0.0	
