ORF	chronological life span;standard
YDR255C	0.981
YHR142W	0.981
YGL214W	0.981
YML081C-A	0.981
YKR097W	0.981
YJL138C	0.982
YMR286W	0.982
YMR285C	0.982
YML088W	0.982
YNL136W	0.982
YNL041C	0.982
YDL104C	0.982
YGR231C	0.982
YDR185C	0.982
YBL022C	0.982
YPL181W	0.982
YKL003C	0.982
YKR020W	0.982
YMR139W	0.982
YPR032W	0.982
YLL007C	0.982
YOL053W	0.982
YNL297C	0.982
YHR004C	0.982
YGR004W	0.983
YLR193C	0.983
YNL162W	0.983
YFR018C	0.983
YDR027C	0.983
YML128C	0.983
YPL154C	0.983
YHR168W	0.983
YDR231C	0.983
YLR176C	0.983
YKR006C	0.983
YDL076C	0.983
YOR311C	0.983
YMR039C	0.983
YNR018W	0.983
YFR048W	0.983
YPL045W	0.983
YHR082C	0.983
YMR024W	0.983
YNR001C	0.983
YGR127W	0.983
YCL033C	0.983
YLL021W	0.983
YGR044C	0.983
YDR516C	0.983
YGL054C	0.983
YLR330W	0.983
YLL041C	0.984
YDR148C	0.984
YDR395W	0.984
YMR150C	0.984
YKR048C	0.984
YPR066W	0.984
YBR036C	0.984
YLR149C	0.984
YMR294W	0.984
YIL125W	0.984
YLR422W	0.984
YGL080W	0.984
YNL052W	0.984
YER178W	0.984
YNL115C	0.984
YPR024W	0.984
YKR047W	0.984
YER092W	0.984
YOL143C	0.984
YGR259C	0.984
YPL152W	0.984
YOR223W	0.984
YPL149W	0.984
YJL093C	0.984
YJL053W	0.984
YLR270W	0.985
YML120C	0.985
YOR226C	0.985
YDR173C	0.985
YGL213C	0.985
YPR013C	0.985
YDR491C	0.985
YNL070W	0.985
YDL012C	0.985
YGL019W	0.985
YML090W	0.985
YNL196C	0.985
YOL086C	0.985
YML081W	0.985
YKL110C	0.985
YNR020C	0.985
YDR186C	0.985
YGR281W	0.985
YKL109W	0.985
YPL225W	0.985
YGL215W	0.985
YFR017C	0.985
YNL027W	0.985
YER084W	0.985
YKL010C	0.985
YDR493W	0.985
YNL004W	0.985
YAR018C	0.985
YBR179C	0.985
YNL051W	0.985
YOR076C	0.985
YCR065W	0.985
YLR059C	0.985
YPR197C	0.985
YGR261C	0.985
YKL159C	0.985
YGL162W	0.985
YOR052C	0.986
YPL032C	0.986
YOR277C	0.986
YDR389W	0.986
YNR022C	0.986
YML068W	0.986
YMR105C	0.986
YPL090C	0.986
YBL015W	0.986
YJL139C	0.986
YML038C	0.986
YHR031C	0.986
YNL211C	0.986
YLR386W	0.986
YEL008W	0.986
YML009C	0.986
YOR129C	0.986
YML095C	0.986
YGR178C	0.986
YLL042C	0.986
YDL056W	0.986
YBL062W	0.986
YOR364W	0.986
YGL084C	0.986
YLR242C	0.986
YKL015W	0.986
YKL151C	0.986
YER161C	0.986
YER054C	0.986
YMR119W	0.986
YNL238W	0.986
YLL013C	0.986
YDR165W	0.987
YHR135C	0.987
YML017W	0.987
YMR244C-A	0.987
YMR022W	0.987
YOR127W	0.987
YOR069W	0.987
YDR110W	0.987
YBR130C	0.987
YMR006C	0.987
YGL163C	0.987
YKL171W	0.987
YOR347C	0.987
YMR067C	0.987
YCR019W	0.987
YDR512C	0.987
YHR154W	0.987
YDR309C	0.987
YMR023C	0.987
YGR016W	0.987
YKL037W	0.987
YDR151C	0.987
YIL099W	0.987
YBR162C	0.987
YDL100C	0.988
YNL008C	0.988
YOL002C	0.988
YPL205C	0.988
YDR488C	0.988
YMR037C	0.988
YDR414C	0.988
YNL094W	0.988
YGR161C	0.988
YJL210W	0.988
YKL200C	0.988
YNL292W	0.988
YKR101W	0.988
YKR003W	0.988
YGR133W	0.988
YBR022W	0.988
YIL070C	0.988
YGR045C	0.988
YDL199C	0.988
YOR276W	0.988
YDR219C	0.988
YLR353W	0.988
YOR178C	0.988
YGL062W	0.988
YOR286W	0.988
YJL099W	0.988
YNR067C	0.988
YNL054W	0.988
YOR269W	0.988
YDR349C	0.988
YNL053W	0.988
YDL225W	0.988
YLR269C	0.988
YIL036W	0.988
YLR038C	0.988
YNL073W	0.988
YGL049C	0.988
YGL117W	0.988
YER152C	0.988
YMR264W	0.989
YDR108W	0.989
YJR147W	0.989
YOR195W	0.989
YKR035C	0.989
YBR044C	0.989
YHR200W	0.989
YER167W	0.989
YOL159C	0.989
YMR089C	0.989
YIL168W	0.989
YBR075W	0.989
YLR456W	0.989
YHR075C	0.989
YKR051W	0.989
YDL001W	0.989
YHR095W	0.989
YER169W	0.989
YMR276W	0.989
YER093C-A	0.989
YDR316W	0.989
YBR074W	0.989
YLR268W	0.989
YDR438W	0.989
YNL078W	0.989
YPL137C	0.989
YDR213W	0.989
YKL023W	0.989
YPR073C	0.989
YGR212W	0.989
YHL009C	0.989
YER134C	0.989
YDR536W	0.989
YER072W	0.989
YLR241W	0.989
YGR170W	0.989
YIL123W	0.989
YDR120C	0.989
YJR127C	0.989
YOR380W	0.989
YNL086W	0.989
YHL040C	0.989
YPL057C	0.989
YPR022C	0.989
YGR223C	0.989
YDR359C	0.990
YOR067C	0.990
YHR194W	0.990
YLR360W	0.990
YNL072W	0.990
YLR414C	0.990
YMR293C	0.990
YOR101W	0.990
YLR058C	0.990
YBR020W	0.990
YDR347W	0.990
YOL109W	0.990
YJL078C	0.990
YHR077C	0.990
YIL139C	0.990
YPL192C	0.990
YDL167C	0.990
YMR147W	0.990
YFL021W	0.990
YIL032C	0.990
YLR232W	0.990
YDL122W	0.990
YNL329C	0.990
YPR184W	0.990
YPL203W	0.990
YIR024C	0.990
YER119C-A	0.990
YJL051W	0.990
YIL135C	0.990
YDR001C	0.990
YML104C	0.990
YMR101C	0.990
YKL011C	0.990
YMR088C	0.990
YNR042W	0.990
YPL098C	0.990
YGL110C	0.990
YDL101C	0.990
YBR217W	0.990
YJR087W	0.990
YPL184C	0.990
YNL119W	0.990
YNR007C	0.990
YGR151C	0.990
YJL147C	0.990
YFL006W	0.990
YDR330W	0.990
YLR271W	0.990
YGR084C	0.990
YGL222C	0.990
YBL081W	0.990
YPL089C	0.990
YMR214W	0.990
YHR112C	0.990
YDR075W	0.990
YDR261C	0.990
YDR479C	0.990
YKL137W	0.990
YBL021C	0.990
YLR246W	0.990
YPR059C	0.990
YBR023C	0.990
YIL156W	0.990
YDR525W-A	0.990
YLR234W	0.990
YDR134C	0.990
YPL249C	0.991
YJR092W	0.991
YIL027C	0.991
YPL041C	0.991
YPL023C	0.991
YER111C	0.991
YGL032C	0.991
YOR342C	0.991
YBR134W	0.991
YOL129W	0.991
YDL134C	0.991
YGL027C	0.991
YNL093W	0.991
YCR025C	0.991
YML012W	0.991
YGL118C	0.991
YDL119C	0.991
YER137C	0.991
YMR007W	0.991
YMR133W	0.991
YHR191C	0.991
YLR398C	0.991
YLR235C	0.991
YCL026C	0.991
YGL263W	0.991
YCR006C	0.991
YPR189W	0.991
YDR304C	0.991
YJR003C	0.991
YKL129C	0.991
YHR061C	0.991
YOL063C	0.991
YKR072C	0.991
YBR033W	0.991
YPL072W	0.991
YGR131W	0.991
YDL034W	0.991
YNR048W	0.991
YMR284W	0.991
YJR116W	0.991
YCR044C	0.991
YPR123C	0.991
YKR005C	0.991
YOL100W	0.991
YGL151W	0.991
YDR004W	0.991
YIR003W	0.991
YDR439W	0.991
YBL027W	0.991
YJR080C	0.991
YGL057C	0.991
YDR541C	0.991
YOR298C-A	0.991
YPR164W	0.991
YMR148W	0.991
YLR394W	0.991
YGL077C	0.991
YDL036C	0.991
YOR327C	0.991
YPR054W	0.991
YLR315W	0.991
YHR079C	0.991
YPR141C	0.991
YNR024W	0.991
YGR038W	0.991
YML119W	0.991
YHR015W	0.991
YDR032C	0.991
YMR280C	0.991
YGL203C	0.991
YOL104C	0.991
YNL250W	0.991
YOL160W	0.991
YDR262W	0.991
YIL011W	0.991
YGL241W	0.991
YDR431W	0.991
YOL098C	0.991
YOR033C	0.991
YGR144W	0.991
YFL025C	0.991
YML048W	0.991
YGR123C	0.991
YML032C	0.991
YJR078W	0.991
YDL094C	0.991
YDR209C	0.991
YPL256C	0.991
YBR255W	0.991
YJL029C	0.991
YFL028C	0.991
YOR133W	0.991
YHR158C	0.991
YML066C	0.991
YDR112W	0.992
YER030W	0.992
YMR263W	0.992
YDR419W	0.992
YOR131C	0.992
YDR169C	0.992
YOR118W	0.992
YMR080C	0.992
YLL043W	0.992
YML086C	0.992
YGL166W	0.992
YNL139C	0.992
YHR139C-A	0.992
YKL142W	0.992
YKR054C	0.992
YIL043C	0.992
YOR070C	0.992
YMR195W	0.992
YBR106W	0.992
YOL036W	0.992
YDL050C	0.992
YBR214W	0.992
YIL155C	0.992
YKL093W	0.992
YIL159W	0.992
YPL220W	0.992
YKR090W	0.992
YDL171C	0.992
YGL086W	0.992
YER016W	0.992
YMR055C	0.992
YAL002W	0.992
YLR255C	0.992
YER139C	0.992
YCL062W	0.992
YOR180C	0.992
YGL006W	0.992
YFL033C	0.992
YJR140C	0.992
YAL007C	0.992
YOR158W	0.992
YGL126W	0.992
YBR128C	0.992
YML053C	0.992
YGL005C	0.992
YKL190W	0.992
YOR381W	0.992
YMR119W-A	0.992
YLL019C	0.992
YOR357C	0.992
YIL105C	0.992
YBL107C	0.992
YLR380W	0.992
YMR008C	0.992
YOR202W	0.992
YGL209W	0.992
YNL079C	0.992
YPR020W	0.992
YMR016C	0.992
YNL144C	0.992
YGL067W	0.992
YIL122W	0.992
YPR049C	0.992
YLR087C	0.992
YDL095W	0.992
YLR319C	0.992
YOL031C	0.992
YBR209W	0.992
YER101C	0.992
YJL062W	0.992
YPR167C	0.992
YKL163W	0.992
YML052W	0.992
YCR033W	0.992
YNL154C	0.992
YBR213W	0.992
YER154W	0.992
YPL202C	0.992
YPR119W	0.992
YHL014C	0.992
YLR257W	0.992
YDR042C	0.992
YDR200C	0.992
YGL231C	0.992
YDR117C	0.992
YNL288W	0.992
YBR263W	0.992
YOR017W	0.992
YPL125W	0.992
YOL070C	0.992
YKL101W	0.992
YHR193C	0.992
YKL178C	0.992
YML058C-A	0.992
YDR337W	0.992
YML010C-B	0.992
YBR148W	0.992
YMR114C	0.992
YDR043C	0.993
YPL109C	0.993
YCR060W	0.993
YBR166C	0.993
YBR047W	0.993
YLR416C	0.993
YER123W	0.993
YOR062C	0.993
YDR260C	0.993
YMR106C	0.993
YHR171W	0.993
YAL053W	0.993
YLR387C	0.993
YKL218C	0.993
YHR127W	0.993
YGL085W	0.993
YHL031C	0.993
YGL090W	0.993
YDR388W	0.993
YER071C	0.993
YKL061W	0.993
YDR484W	0.993
YJL161W	0.993
YML067C	0.993
YOR051C	0.993
YLR205C	0.993
YGR017W	0.993
YMR183C	0.993
YFR023W	0.993
YGL210W	0.993
YOL118C	0.993
YBR077C	0.993
YMR044W	0.993
YNL108C	0.993
YNL323W	0.993
YDR008C	0.993
YDR259C	0.993
YKR059W	0.993
YDL240W	0.993
YJL079C	0.993
YJR117W	0.993
YOR068C	0.993
YKL148C	0.993
YNL201C	0.993
YMR193W	0.993
YOR208W	0.993
YER020W	0.993
YER065C	0.993
YDR329C	0.993
YOR134W	0.993
YMR053C	0.993
YBR197C	0.993
YGR031W	0.993
YGR079W	0.993
YDR312W	0.993
YBR122C	0.993
YJR051W	0.993
YPR057W	0.993
YIL044C	0.993
YKL146W	0.993
YGL250W	0.993
YOL163W	0.993
YER051W	0.993
YGL179C	0.993
YIL140W	0.993
YOL035C	0.993
YFL023W	0.993
YHR124W	0.993
YHR117W	0.993
YDL027C	0.993
YGR132C	0.993
YMR184W	0.993
YDL125C	0.993
YPR084W	0.993
YBR296C	0.993
YML029W	0.993
YHR126C	0.993
YHR125W	0.993
YNR008W	0.993
YGL050W	0.993
YFL044C	0.993
YER106W	0.993
YOR037W	0.993
YKL114C	0.993
YBR028C	0.993
YMR234W	0.993
YGL152C	0.993
YFL011W	0.993
YBR129C	0.993
YPL261C	0.993
YBR244W	0.993
YIL084C	0.993
YKR050W	0.993
YDR290W	0.993
YCL013W	0.993
YLR063W	0.993
YNL169C	0.993
YOR248W	0.993
YPR063C	0.993
YJR069C	0.993
YMR313C	0.993
YDR085C	0.993
YNL230C	0.993
YBR293W	0.993
YBL043W	0.993
YER075C	0.993
YLR013W	0.993
YLR343W	0.993
YJR030C	0.993
YLR324W	0.993
YBL033C	0.993
YNL233W	0.993
YHR108W	0.993
YAL035W	0.993
YBR182C	0.993
YDR357C	0.993
YFL041W	0.993
YGL254W	0.993
YPL008W	0.993
YNR009W	0.993
YCL044C	0.994
YDR539W	0.994
YGR174C	0.994
YOR378W	0.994
YMR243C	0.994
YPL195W	0.994
YDR411C	0.994
YDR350C	0.994
YOR066W	0.994
YPR196W	0.994
YIL060W	0.994
YBL011W	0.994
YDR018C	0.994
YIL015C-A	0.994
YCL001W-A	0.994
YJL169W	0.994
YDR494W	0.994
YOR025W	0.994
YKL016C	0.994
YNL171C	0.994
YGR181W	0.994
YAL065C	0.994
YHR048W	0.994
YMR086W	0.994
YMR126C	0.994
YJL037W	0.994
YAL034C	0.994
YBL012C	0.994
YGL262W	0.994
YLR146C	0.994
YKL040C	0.994
YMR123W	0.994
YFR019W	0.994
YLR102C	0.994
YPR098C	0.994
YLR190W	0.994
YKR105C	0.994
YER047C	0.994
YMR104C	0.994
YGL026C	0.994
YJL192C	0.994
YDR502C	0.994
YBR069C	0.994
YLR077W	0.994
YOL051W	0.994
YGR129W	0.994
YDL169C	0.994
YML117W	0.994
YBR107C	0.994
YCR088W	0.994
YCL024W	0.994
YDR424C	0.994
YBR273C	0.994
YDL222C	0.994
YCR075C	0.994
YMR190C	0.994
YOR090C	0.994
YPR071W	0.994
YNR064C	0.994
YFL015C	0.994
YML099C	0.994
YBL044W	0.994
YKL055C	0.994
YBR185C	0.994
YPL134C	0.994
YFL055W	0.994
YPL051W	0.994
YMR304W	0.994
YGL020C	0.994
YER004W	0.994
YKL138C	0.994
YPR079W	0.994
YLR125W	0.994
YCL046W	0.994
YCR107W	0.994
YFL043C	0.994
YOL047C	0.994
YMR002W	0.994
YMR278W	0.994
YGR143W	0.994
YML054C	0.994
YDR161W	0.994
YBR295W	0.994
YGL226W	0.994
YOR092W	0.994
YDR369C	0.994
YPL077C	0.994
YLR224W	0.994
YBR240C	0.994
YJL168C	0.994
YDL019C	0.994
YLR240W	0.994
YBL096C	0.994
YBR171W	0.994
YGR234W	0.994
YNR071C	0.994
YLR335W	0.994
YIR037W	0.994
YJR053W	0.994
YNL309W	0.994
YBR274W	0.994
YDR426C	0.994
YBR046C	0.994
YHR152W	0.994
YDR263C	0.994
YPR163C	0.994
YPR200C	0.994
YHR198C	0.994
YKL140W	0.994
YGL141W	0.994
YDR535C	0.994
YDR345C	0.994
YCL048W	0.994
YBR184W	0.994
YJL119C	0.994
YOR104W	0.994
YPR140W	0.994
YKL096W	0.994
YBL054W	0.994
YKL123W	0.994
YIL010W	0.994
YKL222C	0.994
YJR005W	0.994
YMR265C	0.994
YOR022C	0.994
YPL003W	0.994
YDR098C	0.994
YPR064W	0.994
YDR379W	0.994
YNR040W	0.994
YGR279C	0.994
YKL070W	0.994
YLR402W	0.994
YDR294C	0.994
YOR113W	0.994
YKL116C	0.995
YMR209C	0.995
YOR383C	0.995
YOR331C	0.995
YPL259C	0.995
YBR064W	0.995
YBR050C	0.995
YDR277C	0.995
YER059W	0.995
YIL173W	0.995
YDR132C	0.995
YPR029C	0.995
YDL154W	0.995
YKR075C	0.995
YPR004C	0.995
YBR150C	0.995
YPR039W	0.995
YGL104C	0.995
YDR022C	0.995
YER114C	0.995
YDR218C	0.995
YBR262C	0.995
YDR163W	0.995
YDR415C	0.995
YGR225W	0.995
YKR094C	0.995
YOL080C	0.995
YCR008W	0.995
YOR032C	0.995
YPR062W	0.995
YKL046C	0.995
YGL249W	0.995
YCR086W	0.995
YOL106W	0.995
YBR270C	0.995
YDR496C	0.995
YDR453C	0.995
YDR109C	0.995
YDR093W	0.995
YOR385W	0.995
YGL148W	0.995
YPL025C	0.995
YBR292C	0.995
YLL026W	0.995
YMR122C	0.995
YLR371W	0.995
YMR011W	0.995
YHR134W	0.995
YDR372C	0.995
YNL334C	0.995
YDL051W	0.995
YMR177W	0.995
YGL094C	0.995
YBR059C	0.995
YJL004C	0.995
YOR379C	0.995
YLR109W	0.995
YEL047C	0.995
YPR012W	0.995
YOR237W	0.995
YKR015C	0.995
YJR146W	0.995
YKR026C	0.995
YJR135C	0.995
YOL113W	0.995
YPR125W	0.995
YMR110C	0.995
YHR037W	0.995
YLR137W	0.995
YNL104C	0.995
YJL178C	0.995
YIL146C	0.995
YFR022W	0.995
YPR133W-A	0.995
YMR036C	0.995
YDR445C	0.995
YOL071W	0.995
YPL165C	0.995
YML028W	0.995
YFL007W	0.995
YIL034C	0.995
YER153C	0.995
YOR071C	0.995
YBL055C	0.995
YJL177W	0.995
YER119C	0.995
YDR244W	0.995
YER103W	0.995
YIL059C	0.995
YER118C	0.995
YCR073C	0.995
YER062C	0.995
YLR154C	0.995
YOR144C	0.995
YHR109W	0.995
YIR036C	0.995
YPL121C	0.995
YCL012W	0.995
YDR089W	0.995
YAL018C	0.995
YDR338C	0.995
YLR191W	0.995
YMR098C	0.995
YFL040W	0.995
YDR384C	0.995
YGR247W	0.995
YDR293C	0.995
YPL168W	0.995
YOR355W	0.995
YGL232W	0.995
YNL034W	0.995
YDR178W	0.995
YBR100W	0.995
YNL123W	0.995
YDR538W	0.995
YNL326C	0.995
YKL047W	0.995
YKL053W	0.995
YKL106W	0.995
YJR133W	0.995
YBR250W	0.995
YHL035C	0.995
YDL197C	0.995
YGL208W	0.995
YPL112C	0.995
YJL024C	0.995
YNL225C	0.995
YIL087C	0.995
YJL131C	0.995
YMR206W	0.995
YLR090W	0.995
YOR165W	0.995
YJL070C	0.995
YDR006C	0.995
YDR533C	0.995
YBR024W	0.995
YIR007W	0.995
YHR184W	0.995
YDR072C	0.995
YER149C	0.995
YDR391C	0.995
YLR438W	0.995
YLR097C	0.995
YDL190C	0.995
YGR003W	0.995
YMR306W	0.995
YJL217W	0.995
YDL227C	0.995
YDR501W	0.995
YDR015C	0.995
YKL211C	0.995
YLL016W	0.995
YBR132C	0.995
YDR220C	0.995
YJL146W	0.996
YGR034W	0.996
YHL041W	0.996
YJR043C	0.996
YLR081W	0.996
YNL291C	0.996
YJL077C	0.996
YBR149W	0.996
YOR084W	0.996
YML123C	0.996
YGL164C	0.996
YKR055W	0.996
YDR233C	0.996
YIR039C	0.996
YGL217C	0.996
YKL179C	0.996
YOL090W	0.996
YCL001W	0.996
YBL006C	0.996
YGL177W	0.996
YKR073C	0.996
YOR201C	0.996
YPL108W	0.996
YDR222W	0.996
YHR043C	0.996
YJR056C	0.996
YMR182C	0.996
YDR216W	0.996
YMR283C	0.996
YGR286C	0.996
YLR188W	0.996
YLR258W	0.996
YOR164C	0.996
YLR454W	0.996
YGL139W	0.996
YPL164C	0.996
YGR053C	0.996
YCR048W	0.996
YDL134C-A	0.996
YOR094W	0.996
YJL201W	0.996
YMR132C	0.996
YKL077W	0.996
YOL119C	0.996
YGL180W	0.996
YOR044W	0.996
YLR220W	0.996
YPR195C	0.996
YOR059C	0.996
YDL194W	0.996
YDR451C	0.996
YER116C	0.996
YHR181W	0.996
YKR017C	0.996
YOR296W	0.996
YBR090C-A	0.996
YLL046C	0.996
YGL216W	0.996
YPL263C	0.996
YLR123C	0.996
YFR024C-A	0.996
YPR129W	0.996
YPL250C	0.996
YLR133W	0.996
YLR064W	0.996
YDR363W-A	0.996
YMR103C	0.996
YGR292W	0.996
YKR056W	0.996
YMR111C	0.996
YKL079W	0.996
YPR158W	0.996
YKL157W	0.996
YKL113C	0.996
YGR232W	0.996
YOR376W	0.996
YFL054C	0.996
YGL248W	0.996
YJL060W	0.996
YGR203W	0.996
YOR273C	0.996
YMR042W	0.996
YPL074W	0.996
YLL032C	0.996
YJL049W	0.996
YNL231C	0.996
YPR040W	0.996
YLR237W	0.996
YOL111C	0.996
YDR096W	0.996
YKR088C	0.996
YNL003C	0.996
YNR027W	0.996
YCR049C	0.996
YFL004W	0.996
YPL086C	0.996
YIL141W	0.996
YDL144C	0.996
YBR116C	0.996
YDR505C	0.996
YLR072W	0.996
YKR023W	0.996
YGR078C	0.996
YER057C	0.996
YHR093W	0.996
YMR155W	0.996
YGR164W	0.996
YOR166C	0.996
YKL187C	0.996
YBR216C	0.996
YOR027W	0.996
YPL145C	0.996
YMR199W	0.996
YCR007C	0.996
YJL193W	0.996
YEL063C	0.996
YBL072C	0.996
YJR111C	0.996
YGL230C	0.996
YPR052C	0.996
YFR033C	0.996
YLR405W	0.996
YDL233W	0.996
YDR386W	0.996
YMR192W	0.996
YPL227C	0.996
YMR170C	0.996
YKR092C	0.996
YDR152W	0.996
YOL099C	0.996
YOR359W	0.996
YMR169C	0.996
YAL015C	0.996
YDL189W	0.996
YML027W	0.996
YNL142W	0.996
YML047C	0.996
YDR465C	0.996
YNL176C	0.996
YOR086C	0.996
YDL123W	0.996
YHR046C	0.996
YMR109W	0.996
YDR019C	0.996
YNL100W	0.996
YOL126C	0.996
YGR139W	0.996
YKL127W	0.996
YMR247C	0.996
YAL014C	0.996
YDL011C	0.996
YHR033W	0.996
YOR039W	0.996
YKR035W-A	0.996
YOR284W	0.996
YOR245C	0.996
YER091C-A	0.996
YLR108C	0.996
YNL022C	0.996
YJR126C	0.996
YJR108W	0.996
YBL039C	0.996
YIR044C	0.996
YDR287W	0.996
YOR349W	0.996
YOL103W	0.996
YCR073W-A	0.996
YKL043W	0.996
YKL128C	0.996
YML100W-A	0.996
YAL068C	0.996
YHR103W	0.996
YJR037W	0.996
YBL007C	0.996
YPL272C	0.996
YML055W	0.996
YER044C-A	0.996
YCL011C	0.996
YNL208W	0.996
YML050W	0.997
YCL045C	0.997
YBR137W	0.997
YMR097C	0.997
YDL215C	0.997
YOR252W	0.997
YKR077W	0.997
YBL101C	0.997
YGR142W	0.997
YDR300C	0.997
YBR105C	0.997
YOL125W	0.997
YDR409W	0.997
YOR111W	0.997
YNL068C	0.997
YMR060C	0.997
YJL027C	0.997
YML107C	0.997
YMR173W-A	0.997
YMR145C	0.997
YGL257C	0.997
YHR050W	0.997
YPL147W	0.997
YMR127C	0.997
YDR130C	0.997
YGR162W	0.997
YPL176C	0.997
YLR093C	0.997
YLR377C	0.997
YKR043C	0.997
YNR015W	0.997
YPL183C	0.997
YPR185W	0.997
YGL082W	0.997
YMR099C	0.997
YPL056C	0.997
YIL085C	0.997
YDR143C	0.997
YKR069W	0.997
YOR384W	0.997
YNR025C	0.997
YGL176C	0.997
YKL221W	0.997
YKL066W	0.997
YPL099C	0.997
YLR150W	0.997
YNL087W	0.997
YDR313C	0.997
YAL004W	0.997
YKR010C	0.997
YEL066W	0.997
YLR309C	0.997
YMR167W	0.997
