orf	hom | growth (spot assay) | doxorubicin [25-50 ug/ml] | YPD | Westmoreland TJ~Bennett CB, 2009
YOL076W	-5.053744133637055
YOL086C	-4.042995306909644
YOL093W	-1.010748826727411
YOL115W	-1.010748826727411
YOL148C	-3.032246480182233
YOR014W	-4.042995306909644
YOR039W	-3.032246480182233
YOR078W	-2.021497653454822
YOR080W	-2.021497653454822
YOR135C	-2.021497653454822
YOR136W	-2.021497653454822
YOR144C	-2.021497653454822
YOR152C	-5.053744133637055
YOR156C	-5.053744133637055
YOR184W	-5.053744133637055
YOR191W	-5.053744133637055
YOR200W	-1.010748826727411
YOR241W	-5.053744133637055
YOR243C	-5.053744133637055
YOR263C	-2.021497653454822
YOR271C	-1.010748826727411
YOR290C	-5.053744133637055
YOR293W	-5.053744133637055
YOR295W	-5.053744133637055
YOR309C	-1.010748826727411
YOR312C	-5.053744133637055
YOR330C	-5.053744133637055
YOR331C	-5.053744133637055
YOR332W	-5.053744133637055
YOR359W	-2.021497653454822
YOR364W	-2.021497653454822
YOR377W	-2.021497653454822
YPL024W	-2.021497653454822
YPL029W	-5.053744133637055
YPL031C	-5.053744133637055
YPL037C	-5.053744133637055
YPL050C	-5.053744133637055
YPL055C	-5.053744133637055
YPL090C	-2.021497653454822
YPL097W	-5.053744133637055
YPL104W	-5.053744133637055
YPL129W	-5.053744133637055
YPL133C	-4.042995306909644
YPL161C	-5.053744133637055
YPL173W	-2.021497653454822
YPL178W	-5.053744133637055
YPL180W	-5.053744133637055
YPL181W	-5.053744133637055
YPL182C	-5.053744133637055
YPL193W	-5.053744133637055
YPL205C	-5.053744133637055
YPL212C	-5.053744133637055
YPL226W	-5.053744133637055
YPL234C	-5.053744133637055
YPL239W	-5.053744133637055
YPL254W	-5.053744133637055
YPL260W	-5.053744133637055
YPL261C	-5.053744133637055
YPL268W	-5.053744133637055
YPR036W	-5.053744133637055
YPR043W	-3.032246480182233
YPR044C	-5.053744133637055
YPR047W	-2.021497653454822
YPR067W	-2.021497653454822
YPR072W	-5.053744133637055
YPR074C	-1.010748826727411
YPR120C	-1.010748826727411
YPR123C	-2.021497653454822
YPR131C	-2.021497653454822
YPR132W	-1.010748826727411
YPR135W	-5.053744133637055
YPR159W	-5.053744133637055
YPR164W	-5.053744133637055
