ORF	hom | growth (culture turbidity) | dessication [unknown] | Shima J~Takagi H, 2008
YCL050C	0.973
YCL051W	0.987
YCL055W	0.995
YCL056C	1.010
YCL057W	1.009
YCL058C	0.823
YCL060C	0.924
YCL061C	0.921
YCL062W	1.011
YCL063W	0.977
YCL064C	0.994
YCL069W	0.994
YCL074W	0.972
YCL075W	0.979
YCL076W	0.975
YCR001W	1.003
YCR002C	0.852
YCR003W	0.494
YCR004C	0.976
YCR005C	0.993
YCR006C	0.996
YCR007C	0.999
YCR008W	0.952
YCR009C	0.755
YCR010C	0.998
YCR011C	1.002
YCR014C	1.018
YCR015C	1.010
YCR016W	0.991
YCR017C	0.962
YCR019W	0.980
YCR020C	0.996
YCR020C-A	0.986
YCR020W-B	0.501
YCR021C	0.997
YCR022C	1.007
YCR023C	1.002
YCR024C	NaN
YCR024C-A	0.953
YCR025C	0.974
YCR026C	0.907
YCR027C	0.967
YCR028C	0.790
YCR028C-A	NaN
YCR030C	1.004
YCR031C	0.965
YCR032W	1.037
YCR033W	1.015
YCR034W	0.855
YCR036W	0.897
YCR037C	0.994
YCR043C	0.977
YCR044C	0.862
YCR045C	0.869
YCR046C	NaN
YCR047C	NaN
YCR048W	0.986
YCR049C	0.981
YCR050C	0.913
YCR051W	0.922
YCR053W	0.983
YCR059C	0.967
YCR060W	1.027
YCR061W	0.909
YCR062W	1.002
YCR063W	0.565
YCR065W	0.861
YCR066W	0.873
YCR067C	1.006
YCR068W	0.898
YCR069W	1.007
YCR071C	0.598
YCR073C	0.999
YCR073W-A	0.995
YCR075C	0.985
YCR076C	1.005
YCR077C	0.931
YCR079W	0.979
YCR081W	0.500
YCR082W	0.981
YCR083W	0.958
YCR084C	0.957
YCR085W	0.978
YCR086W	0.938
YCR087C-A	0.929
YCR087W	0.933
YCR088W	0.985
YCR089W	0.998
YCR090C	1.013
YCR091W	0.975
YCR092C	0.986
YCR094W	0.902
YCR095C	0.993
YCR098C	0.961
YCR099C	1.000
YCR100C	0.985
YCR101C	1.007
YCR102C	0.993
YCR102W-A	1.016
YCR105W	0.988
YCR106W	0.990
YCR107W	NaN
YDL001W	1.017
YDL002C	0.984
YDL005C	0.663
YDL006W	0.942
YDL009C	0.982
YDL010W	0.981
YDL011C	1.011
YDL012C	0.998
YDL013W	0.493
YDL018C	0.987
YDL019C	1.045
YDL020C	0.912
YDL021W	0.930
YDL022W	0.990
YDL023C	0.986
YDL024C	0.998
YDL025C	0.986
