orf	hom | growth (pooled culture, microarray) | time [5 gen], benzo[a]pyrene [82.5 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012	hom | growth (pooled culture, microarray) | time [5 gen], benzo[a]pyrene [165 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012	hom | growth (pooled culture, microarray) | time [5 gen], benzo[a]pyrene [330 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012	hom | growth (pooled culture, microarray) | time [15 gen], benzo[a]pyrene [82.5 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012	hom | growth (pooled culture, microarray) | time [15 gen], benzo[a]pyrene [165 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012	hom | growth (pooled culture, microarray) | time [15 gen], benzo[a]pyrene [330 uM] | YPD + DMSO [1%] | O'Connor STF~Vulpe CD, 2012
YPL226W	-1.5	-1.6	0.0	0.0	0.0	0.0
YPL236C	0.0	0.0	0.0	0.0	1.0	0.0
YPL263C	-2.0	-1.8	-2.0	2.4	2.1	2.1
YPL264C	0.0	0.0	-1.1	0.0	0.0	0.0
YPL265W	-1.4	-1.6	-1.4	0.0	0.0	0.0
YPL268W	-1.6	-1.5	0.0	0.0	0.0	0.0
YPL271W	-2.0	-2.4	-2.2	0.0	0.0	0.0
YPL274W	0.0	0.0	0.0	0.0	-1.7	-1.9
YPR002W	0.0	0.0	0.0	0.0	0.0	-1.0
YPR004C	-1.0	0.0	-1.1	0.0	0.0	0.0
YPR011C	-3.4	-3.4	-3.4	0.0	0.0	0.0
YPR012W	-2.4	-2.5	-2.4	2.6	2.7	2.4
YPR014C	-2.4	-2.4	-2.4	3.0	2.9	2.9
YPR028W	-1.3	-1.4	-1.4	0.0	0.0	0.0
YPR039W	0.0	0.0	0.0	1.1	0.0	1.2
YPR049C	0.0	0.0	0.0	1.4	0.0	0.0
YPR051W	0.0	0.0	0.0	1.4	0.0	1.3
YPR057W	0.0	0.0	0.0	0.0	1.2	0.0
YPR061C	0.0	0.0	0.0	0.0	-1.1	0.0
YPR063C	0.0	0.0	0.0	1.3	1.2	1.3
YPR076W	-1.9	-2.0	-1.8	0.0	0.0	0.0
YPR083W	0.0	0.0	0.0	-2.5	-2.7	-2.8
YPR091C	-1.2	-1.3	-1.2	0.0	0.0	0.0
YPR096C	-2.5	-2.4	-2.5	2.7	2.7	2.5
YPR098C	-2.7	-2.6	-2.6	3.7	2.7	0.0
YPR106W	-1.2	-1.4	0.0	0.0	0.0	0.0
YPR109W	-3.4	-3.4	-3.4	0.0	0.0	0.0
YPR116W	-2.9	-3.1	-3.0	0.0	-1.7	0.0
YPR120C	-1.3	0.0	0.0	0.0	0.0	0.0
YPR121W	-1.5	-1.4	-1.4	0.0	0.0	0.0
YPR122W	-1.5	-1.5	-1.5	2.4	2.2	2.1
YPR124W	-1.3	-1.5	-1.1	0.0	0.0	0.0
YPR126C	-1.5	-1.5	-1.6	2.0	1.9	1.8
YPR128C	-3.3	-3.4	-3.3	0.0	0.0	0.0
YPR140W	-2.2	-1.8	-2.1	2.2	2.2	1.6
YPR149W	-1.2	0.0	0.0	0.0	0.0	0.0
YPR151C	0.0	0.0	0.0	1.1	1.1	0.0
YPR160W	-1.8	-1.8	-1.7	0.0	0.0	0.0
YPR166C	-3.9	-4.0	-3.9	0.0	0.0	0.0
YPR167C	-2.1	-2.2	-2.3	0.0	0.0	0.0
YPR170C	0.0	0.0	0.0	1.7	1.9	0.0
YPR171W	-1.3	0.0	-1.3	0.0	0.0	0.0
YPR174C	0.0	0.0	-1.2	-1.6	0.0	-1.3
YPR184W	0.0	0.0	0.0	-1.1	0.0	0.0
YPR192W	-1.3	-1.3	-1.3	0.0	0.0	0.0
YPR196W	-2.0	-2.0	-2.0	1.8	1.9	1.9
YPR198W	0.0	-1.5	-1.4	0.0	0.0	0.0
