ORF	hom | growth (relative abundance in pooled culture) | Macbecin II [200-400 uM], temperature [30°C] | McClellan AJ~Frydman J, 2007	hom | growth (relative abundance in pooled culture) | Macbecin II [200-400 uM], temperature [37ºC] | McClellan AJ~Frydman J, 2007
YDR225W	1.564	3.410
YDR229W	1.062	0.945
YDR230W	1.268	1.297
YDR231C	NaN	1.907
YDR233C	0.932	1.012
YDR234W	1.182	1.144
YDR237W	NaN	5.195
YDR239C	1.042	1.071
YDR241W	NaN	4.556
YDR244W	1.262	0.993
YDR247W	1.022	0.981
YDR248C	1.024	0.964
YDR249C	1.152	0.951
YDR250C	1.008	1.314
YDR251W	1.130	0.934
YDR252W	1.054	0.831
YDR253C	0.814	0.482
YDR254W	0.996	0.740
YDR255C	0.986	1.256
YDR256C	1.130	0.989
YDR257C	0.876	0.640
YDR258C	1.234	0.873
YDR259C	1.150	0.957
YDR260C	1.098	0.348
YDR261C	1.190	1.129
YDR262W	1.226	0.910
YDR263C	1.032	1.063
YDR265W	1.156	1.260
YDR269C	0.882	0.662
YDR270W	1.012	0.772
YDR271C	0.730	0.661
YDR272W	1.170	0.932
YDR273W	1.336	0.994
YDR274C	1.202	0.875
YDR275W	1.264	0.899
YDR276C	0.486	0.416
YDR277C	1.442	0.560
YDR278C	1.230	1.480
YDR279W	1.152	1.317
YDR281C	1.502	3.134
YDR282C	1.084	1.020
YDR283C	1.178	1.132
YDR284C	1.146	0.998
YDR285W	1.192	1.191
YDR286C	1.088	1.152
YDR287W	1.246	0.989
YDR289C	0.744	0.650
YDR290W	0.612	1.144
YDR291W	1.324	1.053
YDR293C	0.700	NaN
YDR294C	1.280	0.999
YDR295C	0.620	0.609
YDR297W	0.738	0.718
YDR298C	NaN	6.083
YDR304C	1.194	1.227
YDR305C	1.056	0.885
YDR306C	1.044	1.117
YDR307W	1.206	0.900
YDR309C	1.098	1.085
YDR310C	1.008	0.634
YDR312W	1.086	1.066
YDR313C	1.160	1.027
YDR314C	0.994	0.823
YDR316W	1.012	1.027
YDR317W	0.974	1.205
YDR318W	NaN	0.780
YDR319C	0.922	0.826
YDR321W	0.962	1.146
YDR326C	0.994	0.910
YDR329C	0.992	0.740
YDR330W	1.006	1.018
YDR332W	NaN	5.589
YDR333C	0.910	0.990
YDR334W	NaN	2.525
YDR335W	NaN	0.436
YDR336W	1.180	1.292
YDR337W	NaN	3.582
YDR338C	1.226	1.361
YDR340W	1.256	1.432
YDR344C	1.074	1.008
YDR345C	1.080	1.117
YDR346C	1.180	0.781
YDR347W	NaN	4.968
YDR348C	0.872	0.976
YDR349C	1.136	1.784
YDR351W	1.068	1.052
