ORF	hom | growth (relative abundance in pooled culture) | Macbecin II [200-400 uM], temperature [30°C] | McClellan AJ~Frydman J, 2007	hom | growth (relative abundance in pooled culture) | Macbecin II [200-400 uM], temperature [37ºC] | McClellan AJ~Frydman J, 2007
YIR034C	1.320	1.325
YIR035C	1.150	1.230
YIR036C	1.132	1.099
YIR037W	0.932	1.094
YIR038C	1.190	1.319
YIR039C	1.024	1.102
YIR042C	1.092	0.964
YIR043C	1.118	0.813
YIR044C	1.078	1.113
YJL003W	1.024	1.119
YJL004C	0.296	0.553
YJL007C	1.300	1.103
YJL012C	0.952	0.990
YJL013C	0.942	0.726
YJL016W	1.089	1.024
YJL020C	1.228	1.159
YJL022W	1.578	1.405
YJL023C	2.082	3.365
YJL024C	0.514	0.550
YJL027C	0.996	0.825
YJL028W	1.010	1.080
YJL030W	0.744	0.559
YJL036W	1.250	1.054
YJL037W	0.940	1.448
YJL038C	1.094	1.117
YJL042W	1.082	0.887
YJL043W	0.918	0.949
YJL044C	1.124	1.017
YJL045W	1.092	1.067
YJL046W	NaN	1.093
YJL047C	NaN	1.788
YJL048C	0.988	1.029
YJL049W	1.082	1.061
YJL051W	1.074	0.973
YJL052W	0.894	0.490
YJL053W	0.748	0.879
YJL055W	1.040	1.240
YJL057C	1.028	1.267
YJL058C	1.208	1.073
YJL059W	NaN	0.929
YJL060W	1.434	0.821
YJL064W	1.212	1.261
YJL065C	1.230	1.045
YJL066C	1.146	0.910
YJL067W	1.182	1.044
YJL068C	0.904	0.694
YJL070C	1.104	1.047
YJL071W	1.154	1.176
YJL073W	0.890	0.537
YJL077C	1.042	1.111
YJL078C	1.036	0.929
YJL079C	0.988	0.881
YJL080C	NaN	8.335
YJL082W	1.060	0.721
YJL083W	0.962	1.187
YJL084C	1.104	0.994
YJL088W	1.066	1.184
YJL089W	1.124	1.136
YJL092W	NaN	2.563
YJL093C	0.920	1.007
YJL094C	0.996	0.706
YJL095W	1.008	1.291
YJL096W	NaN	4.443
YJL098W	1.008	1.643
YJL099W	0.946	0.846
YJL100W	1.204	0.920
YJL101C	1.132	0.811
YJL102W	NaN	5.040
YJL103C	1.070	0.919
YJL105W	1.222	0.849
YJL106W	1.030	0.990
YJL107C	0.940	0.935
YJL108C	1.066	0.880
YJL110C	1.014	0.692
YJL112W	1.190	0.928
YJL116C	1.268	1.013
YJL118W	1.158	1.051
YJL119C	1.074	1.167
YJL122W	1.060	1.131
YJL123C	0.818	1.625
YJL124C	NaN	0.875
YJL126W	0.834	1.011
YJL128C	1.296	1.358
YJL130C	1.138	1.144
YJL131C	1.422	2.724
YJL132W	1.340	0.984
YJL133W	1.088	0.978
YJL134W	1.182	0.553
YJL135W	1.118	0.702
YJL136C	NaN	4.143
YJL137C	1.050	0.861
YJL138C	1.270	2.860
YJL141C	1.302	0.975
YJL142C	1.004	1.051
YJL144W	1.292	1.421
YJL145W	0.994	1.026
YJL146W	1.230	0.953
YJL147C	1.034	0.952
YJL148W	1.108	1.531
YJL149W	1.174	1.479
YJL150W	0.998	0.998
YJL152W	0.956	0.943
YJL153C	1.290	1.038
YJL154C	0.616	0.978
YJL155C	1.006	0.607
YJL157C	1.296	1.000
YJL158C	1.338	1.066
YJL159W	1.094	0.963
YJL162C	2.290	0.860
YJL164C	2.802	0.575
YJL166W	2.794	0.965
YJL168C	2.104	3.631
YJL169W	2.302	2.609
YJL170C	2.554	1.123
YJL171C	1.170	0.938
YJL177W	1.452	1.360
YJL178C	1.108	1.271
YJL179W	0.618	0.399
YJL180C	NaN	2.347
YJL181W	1.274	1.034
YJL182C	1.146	1.062
YJL185C	1.138	1.004
YJL186W	0.864	0.882
YJL187C	1.450	1.169
YJL190C	1.296	1.389
YJL192C	0.902	0.690
YJL193W	0.826	0.629
YJL197W	1.144	1.099
YJL198W	1.074	1.461
YJL199C	0.944	0.907
YJL201W	1.128	0.963
YJL204C	0.766	0.627
YJL205C	1.124	1.500
YJL207C	1.064	0.973
YJL208C	1.086	0.838
YJL209W	1.406	1.361
YJL210W	1.174	1.220
YJL211C	1.122	1.647
YJL212C	1.138	1.170
YJL213W	1.004	0.831
YJL214W	0.920	1.056
YJL215C	1.024	0.851
YJL216C	1.060	1.203
YJL217W	1.144	0.837
YJL218W	1.106	1.102
YJR001W	1.340	1.115
YJR003C	0.996	1.447
YJR004C	1.038	1.125
YJR005W	1.136	0.814
YJR008W	1.052	1.100
YJR009C	1.138	1.002
YJR010C-A	NaN	1.094
YJR010W	1.004	0.941
YJR011C	1.086	0.943
YJR014W	0.822	0.763
YJR015W	1.034	0.954
YJR018W	NaN	1.326
YJR019C	1.194	1.130
YJR020W	1.170	0.998
YJR021C	1.122	1.054
YJR024C	1.286	0.964
YJR025C	1.132	1.156
YJR026W	1.092	1.030
YJR031C	1.126	1.234
YJR033C	1.044	0.768
YJR034W	NaN	1.684
YJR035W	1.112	1.104
YJR036C	1.070	1.122
YJR037W	1.110	1.174
YJR038C	1.138	1.354
YJR039W	1.088	1.156
YJR040W	0.732	0.587
YJR043C	0.870	2.995
YJR044C	1.082	1.024
YJR048W	1.282	1.303
YJR049C	1.278	1.372
YJR050W	1.156	1.578
YJR051W	1.214	1.045
YJR052W	1.164	0.956
YJR053W	0.916	0.599
YJR054W	0.870	0.628
YJR056C	1.340	0.647
YJR058C	1.144	0.948
YJR059W	0.922	1.499
YJR061W	1.212	1.202
YJR062C	1.258	1.157
YJR066W	1.206	0.523
YJR069C	1.282	1.792
YJR070C	1.198	2.209
YJR073C	0.818	0.277
YJR075W	1.404	1.447
YJR077C	1.650	1.508
YJR078W	1.388	1.308
YJR079W	1.404	1.344
YJR080C	1.200	1.210
YJR082C	1.192	1.863
YJR083C	1.154	0.722
YJR084W	1.138	0.745
YJR087W	1.262	0.882
YJR088C	0.848	1.070
YJR091C	1.090	1.000
YJR092W	1.212	1.323
YJR094C	1.146	0.964
YJR094W-A	1.396	1.163
YJR095W	1.462	1.092
YJR096W	1.298	1.158
YJR097W	1.186	0.710
YJR098C	1.282	0.918
YJR099W	1.244	0.921
YJR100C	1.256	1.063
YJR103W	1.162	1.033
YJR105W	NaN	1.780
YJR106W	1.232	0.977
YJR107W	1.420	1.028
YJR108W	1.102	1.049
YJR109C	1.172	1.131
YJR110W	1.150	1.085
YJR111C	0.886	0.501
YJR113C	NaN	4.618
YJR115W	1.146	0.965
YJR116W	1.272	1.043
YJR117W	1.342	1.695
YJR119C	1.206	1.059
YJR120W	1.324	1.416
YJR121W	1.832	2.054
YJR122W	1.532	NaN
YJR124C	1.206	0.963
YJR125C	1.236	0.850
YJR126C	1.256	1.029
YJR127C	1.306	1.093
YJR128W	1.486	1.345
YJR129C	1.432	0.713
YJR130C	1.496	1.188
YJR131W	1.316	1.102
YJR133W	1.436	0.978
YJR134C	1.366	1.138
YJR137C	1.116	1.013
YJR139C	1.186	0.652
YJR140C	0.936	0.861
YJR142W	1.084	0.598
YJR144W	1.908	2.195
YJR145C	NaN	2.626
YJR146W	1.146	1.159
YJR147W	1.222	1.016
YJR148W	1.070	0.838
YJR149W	0.902	0.958
YJR150C	1.116	1.002
YJR152W	1.028	0.830
YJR153W	1.128	1.116
YJR154W	1.124	1.280
YKL001C	1.040	1.058
YKL002W	NaN	0.658
YKL005C	1.256	1.031
YKL007W	1.066	0.955
YKL008C	1.166	1.044
YKL010C	1.378	1.148
YKL011C	1.574	1.316
YKL015W	1.256	1.137
YKL016C	NaN	2.798
YKL017C	1.234	1.172
YKL020C	1.200	0.974
YKL023W	1.140	1.130
YKL025C	0.812	0.517
YKL026C	1.284	0.926
YKL027W	1.114	1.119
YKL029C	1.350	1.085
YKL030W	1.344	1.002
YKL031W	1.344	1.296
YKL032C	1.616	2.587
YKL033W-A	0.916	0.510
YKL034W	1.222	0.973
YKL037W	0.558	0.398
YKL038W	1.458	0.973
YKL039W	1.380	0.943
YKL040C	1.148	1.253
YKL041W	0.672	0.658
YKL043W	1.192	1.003
YKL044W	1.362	1.205
YKL046C	1.118	0.962
YKL047W	1.220	0.871
YKL048C	NaN	2.809
YKL050C	1.086	0.974
YKL051W	1.244	0.953
YKL053C-A	NaN	1.035
YKL053W	1.608	1.497
YKL056C	1.804	1.482
YKL061W	1.242	0.918
YKL062W	0.960	1.101
YKL063C	1.194	1.176
YKL064W	1.218	0.841
YKL065C	1.264	NaN
YKL066W	1.198	0.874
YKL067W	1.160	0.852
YKL068W	1.108	0.807
YKL069W	1.164	0.771
YKL070W	1.078	0.911
YKL071W	1.366	1.082
YKL072W	1.182	0.753
YKL073W	NaN	3.902
YKL074C	1.142	0.716
YKL075C	1.274	1.143
YKL076C	1.300	0.901
YKL077W	0.790	1.973
YKL079W	1.072	0.941
YKL081W	1.262	1.075
YKL082C	NaN	0.998
YKL084W	1.194	0.718
YKL085W	1.212	0.970
YKL086W	1.050	0.852
YKL087C	1.382	1.091
YKL090W	1.148	0.963
YKL091C	1.194	0.823
YKL092C	1.068	1.083
YKL093W	1.518	0.892
YKL094W	1.456	0.890
YKL096W	1.090	0.969
YKL096W-A	1.296	1.285
YKL097C	1.154	1.104
YKL098W	1.106	0.958
YKL100C	0.922	0.924
YKL101W	1.206	0.999
YKL102C	1.122	0.988
YKL103C	1.178	1.082
YKL105C	1.144	0.983
YKL106W	1.030	0.837
YKL107W	1.130	1.070
YKL109W	1.130	1.014
YKL110C	1.664	2.015
YKL115C	0.980	0.598
YKL116C	0.996	1.318
YKL117W	0.884	0.543
YKL120W	1.042	1.398
YKL121W	1.088	0.740
YKL123W	1.050	1.006
YKL124W	1.174	1.029
YKL126W	NaN	0.280
YKL127W	1.142	0.926
YKL128C	1.016	0.993
YKL129C	1.058	1.081
YKL130C	1.012	0.993
YKL131W	1.136	1.053
YKL132C	1.122	1.112
YKL133C	1.010	1.064
YKL135C	0.704	0.795
YKL136W	1.184	1.131
YKL137W	1.130	1.218
YKL138C	NaN	3.739
YKL140W	1.050	1.234
YKL142W	1.242	0.922
YKL146W	1.276	0.991
YKL147C	1.272	1.054
YKL148C	NaN	1.167
YKL149C	1.380	2.513
YKL150W	1.172	1.251
YKL151C	1.112	0.937
YKL156W	1.346	1.092
YKL157W	1.266	1.171
YKL159C	1.226	1.125
YKL160W	1.118	0.739
YKL161C	1.174	1.000
YKL162C	1.206	1.058
YKL162C-A	1.208	1.220
YKL163W	1.184	0.966
YKL164C	1.398	1.460
YKL166C	1.028	0.903
YKL167C	1.642	1.236
YKL168C	1.368	1.370
YKL171W	1.394	1.381
YKL174C	1.056	1.027
YKL175W	1.062	1.004
YKL176C	1.156	1.207
YKL177W	1.260	1.351
YKL179C	1.382	1.128
YKL183W	1.544	1.045
YKL184W	1.338	1.278
YKL185W	1.288	1.128
YKL187C	1.518	1.177
YKL188C	1.466	1.116
YKL190W	1.366	1.075
YKL191W	0.810	0.684
YKL193C	1.166	1.272
YKL194C	1.750	0.984
YKL197C	1.110	1.652
YKL198C	1.067	0.994
YKL201C	1.216	1.329
YKL202W	1.326	1.077
YKL205W	1.202	0.895
YKL206C	1.270	3.589
YKL207W	0.990	1.082
YKL208W	1.294	1.005
YKL211C	1.026	1.023
YKL212W	NaN	0.267
YKL213C	1.278	1.573
YKL214C	1.178	1.326
YKL215C	1.326	1.087
YKL216W	NaN	1.665
YKL217W	1.360	1.269
YKL218C	1.014	1.169
YKL220C	1.074	1.151
YKL221W	1.200	1.250
YKL222C	1.140	0.921
YKR003W	1.180	1.744
YKR005C	1.128	1.197
YKR006C	1.088	0.741
YKR007W	1.050	0.983
YKR009C	1.212	1.134
YKR010C	1.116	0.964
YKR011C	1.152	1.228
YKR012C	1.188	1.057
YKR013W	1.202	1.228
YKR014C	1.132	0.980
YKR015C	1.178	1.073
YKR016W	1.218	1.452
YKR017C	1.264	0.939
YKR018C	1.166	0.872
YKR019C	0.794	1.581
YKR021W	1.146	1.152
YKR023W	1.136	1.032
YKR026C	1.268	0.977
YKR027W	1.412	1.431
YKR028W	1.682	1.881
YKR029C	1.570	1.883
YKR030W	1.220	1.421
YKR031C	2.070	1.459
YKR032W	1.236	1.321
YKR033C	1.486	1.125
YKR034W	1.244	1.236
YKR035C	1.034	0.592
YKR035W-A	0.770	0.611
YKR036C	1.180	1.054
YKR039W	1.312	1.073
YKR040C	1.314	1.223
YKR041W	1.362	0.969
YKR042W	1.146	0.666
YKR043C	1.336	1.074
YKR044W	1.010	1.004
YKR045C	1.244	1.178
YKR046C	1.216	0.882
YKR047W	1.416	1.496
YKR048C	1.826	2.090
YKR049C	1.140	1.001
YKR050W	1.030	1.081
YKR051W	1.148	1.036
YKR052C	1.014	0.976
YKR053C	1.160	0.945
YKR054C	0.900	0.652
YKR055W	1.116	0.939
YKR056W	1.016	0.875
YKR057W	NaN	2.452
YKR058W	1.088	1.053
YKR059W	1.288	1.663
YKR060W	1.084	2.200
YKR061W	1.076	1.034
YKR064W	1.288	1.409
YKR065C	1.182	0.983
YKR066C	1.192	1.108
YKR067W	1.254	1.191
YKR069W	1.168	1.056
YKR070W	1.130	0.894
YKR072C	1.064	0.727
YKR073C	1.180	0.782
YKR075C	1.062	1.159
YKR076W	1.204	0.950
YKR077W	1.442	1.047
YKR078W	0.988	1.026
YKR080W	1.222	0.832
YKR084C	1.240	0.964
YKR085C	NaN	4.639
YKR087C	1.296	0.982
YKR088C	1.342	1.021
YKR089C	1.176	1.188
YKR090W	1.482	0.890
YKR091W	1.260	1.395
YKR092C	NaN	4.492
YKR093W	0.174	0.152
YKR094C	1.312	0.760
YKR095W	1.224	1.115
YKR096W	1.272	1.264
YKR097W	1.464	1.062
YKR098C	1.152	1.186
YKR100C	1.302	1.290
YKR101W	1.260	1.769
YKR102W	1.336	1.021
YKR103W	1.234	1.173
YKR104W	1.310	1.059
YKR105C	1.010	1.446
YKR106W	1.020	1.088
YLL001W	0.984	0.908
YLL005C	1.106	0.971
YLL007C	1.220	1.163
YLL009C	1.278	1.104
YLL010C	1.106	0.694
YLL012W	1.128	0.963
YLL013C	1.348	1.408
YLL014W	0.928	0.914
YLL015W	1.004	1.353
YLL017W	1.072	1.166
YLL018C-A	2.032	1.221
YLL019C	1.118	1.048
YLL020C	1.034	0.977
YLL021W	0.852	0.834
YLL023C	1.148	0.844
YLL024C	1.094	0.959
YLL025W	1.096	0.891
YLL026W	1.124	0.996
YLL028W	1.166	1.080
YLL029W	1.206	0.902
YLL030C	1.134	1.260
YLL032C	0.992	0.847
YLL033W	NaN	19.079
YLL038C	1.046	0.849
YLL039C	1.162	1.178
YLL040C	0.922	0.618
YLL041C	1.100	0.869
YLL042C	1.136	0.890
YLL044W	NaN	2.196
YLL045C	NaN	3.371
YLL046C	0.986	0.953
YLL047W	1.110	0.887
YLL048C	0.998	0.843
YLL049W	1.150	0.962
YLL051C	1.414	1.185
YLL052C	2.368	1.150
YLL053C	2.628	0.998
YLL054C	1.534	1.029
YLL055W	1.286	1.136
YLL056C	1.180	0.989
YLL057C	1.092	0.949
YLL058W	1.384	0.988
YLL059C	1.284	1.152
YLL060C	1.050	1.201
YLL061W	1.424	1.087
YLL062C	1.124	1.008
YLL063C	1.386	0.937
YLR001C	1.542	0.963
YLR003C	1.708	0.829
YLR004C	1.778	1.288
YLR006C	1.804	1.005
YLR011W	1.042	1.001
YLR012C	0.994	1.025
YLR013W	1.184	0.990
YLR014C	1.302	1.603
YLR015W	1.342	0.985
YLR016C	1.126	1.600
YLR017W	1.376	1.151
YLR018C	1.438	0.754
YLR019W	1.114	0.907
YLR020C	0.992	0.663
YLR021W	1.696	2.474
YLR023C	0.956	0.713
YLR024C	1.108	2.256
YLR025W	NaN	0.259
YLR027C	1.270	0.982
YLR028C	1.206	1.230
YLR030W	1.284	0.938
YLR031W	1.102	0.933
YLR032W	1.514	1.660
YLR034C	1.156	0.834
YLR035C	1.216	0.899
YLR036C	1.250	0.990
YLR037C	1.182	1.041
YLR038C	1.278	1.427
YLR040C	1.068	1.239
YLR041W	1.116	0.947
YLR042C	1.156	1.159
YLR043C	1.174	1.522
YLR044C	1.100	0.554
YLR046C	1.344	1.279
YLR047C	1.126	1.265
YLR048W	NaN	3.872
YLR049C	1.060	0.973
YLR050C	1.274	1.146
YLR053C	1.120	1.082
YLR054C	1.374	1.028
YLR055C	0.676	0.299
YLR057W	0.928	1.060
YLR058C	1.092	1.241
YLR059C	1.054	1.095
YLR061W	NaN	2.309
YLR063W	1.084	1.003
YLR064W	1.066	0.934
YLR065C	1.560	1.031
YLR067C	NaN	1.452
YLR068W	NaN	5.353
YLR069C	NaN	8.161
YLR070C	1.304	0.992
YLR072W	1.096	1.045
YLR073C	1.192	1.076
YLR077W	1.244	1.277
YLR079W	NaN	3.696
YLR080W	0.916	0.784
YLR081W	1.074	1.042
YLR082C	1.124	0.930
YLR083C	1.102	1.944
YLR084C	1.076	NaN
YLR085C	NaN	2.089
YLR087C	0.638	0.423
YLR089C	1.182	0.976
YLR090W	1.232	0.925
YLR091W	NaN	5.107
YLR092W	1.166	1.073
YLR093C	1.130	0.913
YLR094C	1.126	0.999
YLR095C	1.226	0.873
YLR096W	1.210	0.795
YLR097C	1.220	0.995
YLR098C	1.162	0.908
YLR099C	1.374	0.927
YLR102C	1.100	1.250
YLR104W	0.994	0.936
YLR107W	1.022	0.912
YLR108C	1.146	1.177
YLR109W	1.178	0.970
YLR110C	NaN	0.256
YLR111W	NaN	0.258
YLR112W	1.104	0.997
YLR113W	1.564	1.090
YLR118C	1.050	0.838
YLR119W	0.576	0.329
YLR120C	1.282	0.905
YLR121C	1.062	0.965
YLR122C	1.150	1.224
YLR123C	1.200	1.120
YLR124W	1.048	0.937
YLR125W	1.176	1.125
YLR126C	1.140	0.997
YLR128W	1.094	0.823
YLR130C	1.044	1.016
YLR133W	1.546	1.812
YLR134W	1.076	0.930
YLR135W	1.204	1.060
YLR136C	1.314	1.030
YLR137W	1.132	1.016
YLR138W	1.290	0.911
YLR139C	NaN	3.422
YLR142W	1.082	0.914
YLR143W	0.972	0.653
YLR144C	0.994	1.031
YLR146C	1.206	1.101
YLR150W	0.940	1.422
YLR151C	1.000	1.045
YLR152C	1.166	0.955
YLR154C	1.196	1.184
YLR164W	1.186	1.220
YLR165C	0.992	0.846
YLR169W	1.034	0.831
YLR170C	1.000	0.931
YLR171W	0.870	0.731
YLR172C	1.016	0.754
YLR173W	1.196	1.029
YLR174W	1.268	0.877
YLR176C	1.118	1.077
YLR177W	1.310	1.018
YLR178C	1.124	1.018
YLR179C	1.106	1.076
YLR180W	1.040	0.365
YLR181C	1.214	2.148
YLR183C	1.234	1.506
YLR184W	NaN	7.356
YLR185W	NaN	2.634
YLR187W	1.220	1.010
YLR188W	1.214	1.407
YLR189C	1.078	0.955
YLR190W	NaN	0.918
YLR191W	1.168	1.212
YLR193C	NaN	1.987
YLR194C	0.990	0.976
YLR199C	1.284	1.426
YLR201C	1.650	1.821
YLR202C	1.538	1.772
YLR203C	1.310	0.968
YLR205C	1.090	0.947
YLR206W	1.366	0.978
YLR207W	1.160	0.931
YLR209C	1.182	1.006
YLR210W	1.240	0.879
YLR211C	1.266	0.968
YLR213C	1.134	0.845
YLR214W	1.148	0.821
YLR216C	0.728	1.679
YLR217W	1.242	1.882
YLR218C	1.104	0.984
YLR219W	1.376	1.012
YLR220W	1.354	0.961
YLR221C	1.142	2.209
YLR224W	1.172	1.173
YLR225C	1.270	0.928
YLR227C	1.156	1.051
YLR228C	1.024	0.738
YLR231C	1.240	0.944
YLR232W	1.336	0.701
YLR236C	1.322	0.902
YLR237W	1.208	1.023
YLR238W	1.270	0.707
YLR241W	1.148	0.828
YLR246W	1.108	1.390
YLR247C	1.226	1.176
YLR248W	1.296	1.164
YLR250W	1.234	0.956
YLR252W	1.252	1.698
YLR253W	1.076	0.783
YLR254C	1.258	0.832
YLR255C	1.164	0.801
YLR257W	1.440	1.033
YLR258W	1.254	0.894
YLR262C	0.238	NaN
YLR262C-A	1.112	1.083
YLR263W	1.220	1.050
YLR265C	1.186	0.924
YLR266C	1.134	1.100
YLR267W	1.148	0.828
YLR269C	1.266	0.805
YLR271W	1.280	0.989
YLR273C	1.202	0.949
YLR278C	1.248	0.947
YLR279W	1.282	1.134
YLR280C	1.256	0.988
YLR281C	1.214	0.897
YLR282C	1.280	1.014
YLR283W	1.176	0.955
YLR284C	1.190	0.985
YLR285W	1.046	1.032
YLR286C	1.456	0.962
YLR287C	1.184	0.904
YLR287C-A	1.760	2.397
YLR288C	1.054	0.970
YLR289W	1.090	1.012
YLR290C	1.062	0.849
YLR292C	1.148	0.583
YLR294C	1.244	1.234
YLR296W	1.196	0.987
YLR297W	1.154	1.168
YLR299W	1.046	0.964
YLR300W	1.144	1.007
YLR303W	1.278	1.240
YLR306W	1.320	1.029
YLR307W	1.144	1.072
YLR308W	1.010	0.898
YLR309C	1.042	0.992
YLR311C	1.450	1.199
YLR312C	1.090	0.879
YLR313C	1.188	0.993
YLR318W	1.964	2.273
YLR319C	1.236	0.958
YLR324W	1.288	1.513
YLR325C	1.268	1.033
YLR326W	1.124	1.012
YLR327C	1.120	1.170
YLR328W	1.136	1.320
YLR329W	1.116	1.165
YLR330W	0.524	0.389
YLR331C	1.274	0.989
YLR332W	0.930	0.952
YLR334C	1.204	0.934
YLR335W	1.094	1.308
YLR341W	1.110	1.006
YLR343W	1.128	1.077
YLR344W	1.238	2.091
YLR345W	1.242	1.341
YLR346C	1.077	1.080
YLR348C	1.246	0.832
YLR349W	1.222	1.125
YLR350W	1.076	1.100
YLR351C	1.288	1.014
YLR352W	1.250	0.983
YLR353W	1.102	0.993
YLR356W	1.160	0.887
YLR360W	1.364	0.817
YLR361C	1.034	0.719
YLR363C	1.526	1.445
YLR364W	1.318	0.985
YLR365W	1.266	0.986
YLR366W	1.620	1.209
YLR367W	1.734	1.428
YLR375W	NaN	0.838
YLR376C	1.538	1.555
YLR377C	1.534	1.024
YLR380W	1.090	0.634
YLR381W	0.902	0.788
YLR384C	NaN	2.788
YLR385C	1.118	0.984
YLR387C	1.202	1.103
YLR388W	NaN	3.527
YLR389C	1.254	0.983
YLR390W	1.060	1.140
YLR390W-A	0.923	1.044
YLR392C	1.076	1.079
YLR393W	1.218	1.562
YLR394W	1.192	0.923
YLR395C	1.292	1.010
YLR398C	1.420	0.634
YLR400W	1.090	0.832
YLR401C	1.112	0.833
YLR402W	1.386	2.248
YLR404W	1.028	0.625
YLR405W	1.584	1.116
YLR406C	0.934	1.655
YLR407W	0.400	0.651
YLR408C	1.024	0.740
YLR410W	1.100	0.678
YLR412W	1.700	1.797
YLR413W	1.114	0.925
YLR414C	1.270	0.743
YLR415C	1.206	0.921
YLR416C	1.302	1.096
YLR417W	0.186	0.274
YLR420W	1.256	1.250
YLR421C	1.282	1.102
YLR422W	1.322	1.076
YLR426W	NaN	3.244
YLR427W	1.302	1.296
YLR428C	1.242	1.079
YLR429W	1.188	1.335
YLR431C	1.314	1.095
YLR432W	1.236	1.246
YLR433C	1.176	1.121
YLR434C	1.390	1.561
YLR436C	0.978	1.181
YLR437C	1.072	1.119
YLR438W	1.286	1.115
YLR441C	NaN	3.163
YLR443W	1.028	0.804
YLR444C	1.378	0.476
YLR445W	1.316	1.079
YLR446W	1.214	0.822
YLR448W	NaN	4.017
YLR449W	1.308	0.944
YLR450W	1.188	1.411
YLR451W	1.218	0.931
YLR452C	1.052	1.255
YLR453C	1.228	1.558
YLR454W	1.238	1.036
YLR455W	1.104	1.044
YLR456W	1.090	0.981
YLR460C	1.162	0.969
YLR461W	1.388	1.041
YML001W	0.710	0.614
YML002W	1.054	0.926
YML003W	1.314	0.985
YML004C	1.508	1.304
YML005W	1.144	0.973
YML006C	NaN	0.922
YML007W	0.870	0.759
YML009C	1.130	0.992
YML009W-B	NaN	19.168
YML011C	1.100	1.167
YML012W	1.018	1.179
YML014W	NaN	1.866
YML016C	1.118	1.320
YML017W	0.736	0.515
YML018C	1.198	1.322
YML019W	0.888	0.945
YML020W	1.126	0.908
YML021C	1.080	1.093
YML022W	1.002	1.826
YML026C	NaN	2.562
YML027W	1.098	0.911
YML028W	1.348	1.143
YML029W	1.038	0.876
YML030W	1.158	1.047
YML034C-A	1.126	1.512
YML034W	1.316	1.088
YML035C	1.172	1.589
YML037C	1.034	0.721
YML038C	1.198	1.391
YML041C	NaN	1.301
YML042W	1.184	1.073
YML047C	1.586	1.228
YML047W-A	0.956	1.104
YML048W	1.102	0.901
YML051W	1.094	0.915
YML052W	1.090	1.012
YML053C	1.174	1.036
YML055W	1.154	1.070
YML056C	1.110	1.420
YML057C-A	1.148	1.169
YML057W	1.122	1.357
YML058W	1.054	1.544
YML059C	0.932	0.782
YML060W	1.324	1.234
YML061C	NaN	11.244
YML062C	0.488	NaN
YML066C	1.108	0.979
YML067C	1.064	1.017
YML068W	1.212	0.987
YML070W	1.152	1.016
YML071C	0.206	3.655
YML072C	1.290	1.221
YML073C	NaN	0.639
YML074C	1.192	0.915
YML075C	1.284	1.166
YML076C	1.194	0.874
YML078W	1.278	1.232
YML079W	0.878	0.972
YML080W	0.912	0.955
YML081C-A	1.446	0.916
YML082W	1.160	0.944
YML083C	1.016	1.008
YML084W	1.100	0.968
YML086C	1.364	1.008
YML087C	1.280	1.250
YML088W	1.068	0.915
YML089C	1.160	1.165
YML090W	1.368	1.140
YML095C	1.200	1.192
YML096W	1.336	1.100
YML097C	0.382	NaN
YML099C	1.028	1.147
YML099W-A	1.064	0.983
YML100W	1.092	0.933
YML101C	1.106	0.907
YML101C-A	1.352	1.023
YML103C	1.060	1.075
YML104C	1.062	0.892
YML106W	1.116	0.896
YML107C	1.106	1.008
YML108W	1.002	0.876
YML109W	1.056	1.255
YML110C	1.180	3.227
YML111W	0.992	0.892
YML113W	0.926	0.650
YML116W	1.090	0.824
YML116W-A	1.128	1.035
YML117W	0.790	0.513
YML118W	1.186	1.054
YML119W	0.974	0.890
YML120C	1.040	0.896
YML121W	0.900	0.760
YML123C	NaN	1.094
YML124C	NaN	0.813
YML128C	NaN	2.917
YML129C	1.282	0.987
YML131W	1.078	1.210
YMR003W	1.132	1.123
YMR004W	1.100	0.913
YMR006C	1.106	0.928
YMR007W	1.088	0.884
YMR008C	1.020	0.868
YMR009W	1.056	0.913
YMR010W	1.028	1.254
YMR011W	1.128	1.085
YMR012W	1.176	0.951
YMR015C	0.488	0.479
YMR016C	0.904	1.012
YMR017W	1.128	0.885
YMR018W	1.078	0.915
YMR019W	1.226	0.903
YMR020W	1.280	1.050
YMR022W	1.206	0.766
YMR023C	1.188	1.186
YMR025W	0.992	0.897
YMR026C	1.564	1.548
YMR029C	1.080	1.214
YMR030W	1.052	1.198
YMR031C	1.234	1.003
YMR031W-A	NaN	0.816
YMR033W	1.382	1.108
YMR034C	1.226	1.093
YMR035W	NaN	1.421
YMR036C	1.062	0.859
YMR037C	1.150	0.972
YMR039C	1.348	1.010
YMR040W	1.590	1.336
YMR042W	0.896	1.403
YMR044W	1.058	1.097
YMR048W	1.274	1.498
YMR052C-A	1.038	1.316
YMR052W	0.994	1.240
YMR053C	0.978	0.773
YMR054W	0.864	0.685
YMR055C	1.032	0.619
YMR056C	1.016	0.850
YMR057C	1.068	1.014
YMR058W	1.126	0.881
YMR062C	0.950	0.871
YMR063W	NaN	0.378
YMR064W	NaN	2.485
YMR065W	1.304	1.083
YMR067C	1.428	1.512
YMR069W	1.206	1.422
YMR070W	0.818	0.479
YMR071C	1.014	0.834
YMR072W	NaN	2.598
YMR073C	2.032	0.991
YMR074C	1.144	0.936
YMR075C-A	NaN	2.934
YMR075W	1.180	3.251
YMR080C	NaN	1.426
YMR081C	1.264	1.265
YMR082C	1.348	1.442
YMR083W	1.234	1.213
YMR084W	1.170	1.031
YMR085W	0.988	1.032
YMR086C-A	1.256	1.067
