orf	hom | growth (pooled culture) | macbecin II [200-400 uM], temperature [30 C] | YPD + DMSO | McClellan AJ~Frydman J, 2007	hom | growth (pooled culture) | macbecin II [200-400 uM], temperature [37 C] | YPD + DMSO | McClellan AJ~Frydman J, 2007
YCR004C	1.41	1.124
YCR005C	1.266	1.1279
YCR006C	1.434	1.3438
YCR007C	1.22	1.3069
YCR008W	1.124	0.84319
YCR011C	1.322	1.1148
YCR014C	1.358	1.1411
YCR015C	1.284	1.1472
YCR016W	1.522	1.1736
YCR017C	1.154	0.93072
YCR019W	1.314	0.88896
YCR020C	1.23	0.81163
YCR020C-A	1.214	1.0916
YCR021C	1.322	1.0843
YCR022C	1.24	0.99456
YCR023C	1.244	1.0496
YCR024C	1.874	4.7319
YCR024C-A	0.94	3.3401
YCR025C	1.26	2.7554
YCR026C	0.828	4.7486
YCR030C	1.142	0.9268
YCR031C	1.398	1.9365
YCR032W	1.254	1.5556
YCR033W	1.342	1.325
YCR037C	1.198	0.95263
YCR043C	1.218	1.5039
YCR045C	0.866	0.88969
YCR048W	1.218	1.0014
YCR049C	0.956	1.1957
YCR053W	1.13	0.93554
YCR060W	1.014	0.90837
YCR061W	1.072	0.86672
YCR066W	1.974	3.3928
YCR067C	1.064	0.99372
YCR068W	0.692	0.83817
YCR069W	1.136	1.333
YCR073C	1.154	1.1017
YCR073W-A	1.164	0.99701
YCR075C	1.312	1.1257
YCR076C	1.178	1.2411
YCR079W	0.96	2.0709
YCR082W	0.92	1.528
YCR083W	1.254	1.2686
YCR085W	0.884	1.1364
YCR087W	0.778	
YCR088W	1.116	0.78789
YCR089W	1.266	1.3249
YCR090C	1.306	1.1554
YCR091W	1.51	1.0031
YCR092C	1.302	0.98171
YCR094W	0.96	0.63172
YCR095C	1.14	1.04
YCR098C	1.03	0.65364
YCR099C	1.316	1.0075
YCR100C	1.264	1.0472
YCR101C	1.208	1.3544
YCR102C	1.14	1.1413
YCR102W-A	1.17	0.95823
YCR105W	1.288	0.99461
YCR106W	1.238	0.91944
YCR107W	0.94	1.1782
YDL001W	1.308	1.3434
