Folder	File	Timepoint	Plate	Replicates	Header	Medium	Date	Hour	Header
102	102_11.dat	11	102	3	Filter 8: 620 DiKU+Trp 12:46pm	DiKU+Trp	01-05	12:46pm	DiKU+Trp 12:46pm
102	102_12.dat	12	102	3	Filter 8: 620 DiKU+no Trp 11:21pm	DiKU-Trp	01-05	11:21pm	DiKU+no Trp 11:21pm
102	102_12.dat	12	102	3	Filter 8: 620 DiKU+Trp 11:21pm	DiKU+Trp	01-05	11:21pm	DiKU+Trp 11:21pm
102	102_13.dat	13	102	3	Filter 8: 620 DiKU+no Trp11:35am	DiKU-Trp	01-06	11:35am	DiKU+no Trp11:35am
102	102_13.dat	13	102	3	Filter 8: 620 DiKU+Trp 11:35am	DiKU+Trp	01-06	11:35am	DiKU+Trp 11:35am
102_1	102_1_1.dat	1	102	4	Filter 8: 620 DiKU+noTrp 11:40am	DiKU-Trp	01-01	11:40am	DiKU+noTrp 11:40am
102_1	102_1_1.dat	1	102	4	Filter 8: 620 DiKU+Trp 11:40am	DiKU+Trp	01-01	11:40am	DiKU+Trp 11:40am
102_1	102_1_1.dat	1	102	4	Filter 8: 620 HLKU 11:40am	HLKU	01-01	11:40am	HLKU 11:40am
102_1	102_2_1.dat	2	102	4	Filter 8: 620 DiKU+His+no Trp 11:21pm	DiKU-Trp	01-01	11:21pm	DiKU+His+no Trp 11:21pm
102_1	102_2_1.dat	2	102	4	Filter 8: 620 DiKU+His+Trp 11:21pm	DiKU+Trp	01-01	11:21pm	DiKU+His+Trp 11:21pm
102_1	102_2_1.dat	2	102	4	Filter 8: 620 HLKU 11:21pm	HLKU	01-01	11:21pm	HLKU 11:21pm
102_1	102_3_1.dat	3	102	4	Filter 8: 620 DiKU+His+no Trp 10:54am	DiKU-Trp	01-02	10:54am	DiKU+His+no Trp 10:54am
102_1	102_3_1.dat	3	102	4	Filter 8: 620 DiKU+His+Trp 10:54am	DiKU+Trp	01-02	10:54am	DiKU+His+Trp 10:54am
102_1	102_3_1.dat	3	102	4	Filter 8: 620 HLKU 10:54am	HLKU	01-02	10:54am	HLKU 10:54am
102_1	102_4_1.dat	4	102	4	Filter 8: 620 DiKU+His+no Trp 10:50pm	DiKU-Trp	01-02	10:50pm	DiKU+His+no Trp 10:50pm
102_1	102_4_1.dat	4	102	4	Filter 8: 620 DiKU++His+Trp 10:50pm	DiKU+Trp	01-02	10:50pm	DiKU++His+Trp 10:50pm
102_1	102_4_1.dat	4	102	4	Filter 8: 620 HLKU 10:50pm 	HLKU	01-02	10:50pm	HLKU 10:50pm 
102_1	102_5_1.dat	5	102	4	Filter 8: 620 DiKU+His+no Trp 11:45am	DiKU-Trp	01-03	11:45am	DiKU+His+no Trp 11:45am
102_1	102_5_1.dat	5	102	4	Filter 8: 620 DiKU+His+Trp 11:45am	DiKU+Trp	01-03	11:45am	DiKU+His+Trp 11:45am
102_1	102_5_1.dat	5	102	4	Filter 8: 620 HLKU 11:45am	HLKU	01-03	11:45am	HLKU 11:45am
102_1	102_6_1.dat	6	102	4	Filter 8: 620 DiKU+His+no Trp 11:30pm	DiKU-Trp	01-03	11:30pm	DiKU+His+no Trp 11:30pm
102_1	102_6_1.dat	6	102	4	Filter 8: 620 DiKU+His+Trp 11:30pm	DiKU+Trp	01-03	11:30pm	DiKU+His+Trp 11:30pm
102_1	102_6_1.dat	6	102	4	Filter 8: 620 HLKU 11:29pm	HLKU	01-03	11:29pm	HLKU 11:29pm
102_1	102_7_1.dat	7	102	4	Filter 8: 620 DiKU+His+no Trp 9:48am	DiKU-Trp	01-04	9:48am	DiKU+His+no Trp 9:48am
102_1	102_7_1.dat	7	102	4	Filter 8: 620 DiKU+His+Trp 10:48am	DiKU+Trp	01-04	10:48am	DiKU+His+Trp 10:48am
102_1	102_8_1.dat	8	102	4	Filter 8: 620 DiKU+His+no Trp 11:12pm	DiKU-Trp	01-04	11:12pm	DiKU+His+no Trp 11:12pm
102_1	102_8_1.dat	8	102	4	Filter 8: 620 DiKU+His+Trp 11:12pm	DiKU+Trp	01-04	11:12pm	DiKU+His+Trp 11:12pm
102_1	102_9_1.dat	9	102	4	Filter 8: 620 DiKU+His+No Trp 10:05am	DiKU-Trp	01-05	10:05am	DiKU+His+No Trp 10:05am
102_1	102_9_1.dat	9	102	4	Filter 8: 620 DiKU+His+Trp 10:05am	DiKU+Trp	01-05	10:05am	DiKU+His+Trp 10:05am
103	103_1.dat	1	103	2	Filter 8: 620 DiKU+His+no Trp 1:21pm	DiKU-Trp	06-02	1:21pm	DiKU+His+no Trp 1:21pm
103	103_1.dat	1	103	2	Filter 8: 620 DiKU+His+Trp 1:21pm	DiKU+Trp	06-02	1:21pm	DiKU+His+Trp 1:21pm
103	103_1.dat	1	103	2	Filter 8: 620 HLKU 1:21pm June2(sun)	HLKU	06-02	1:21pm	HLKU 1:21pm June2(sun)
103	103_2.dat	2	103	2	Filter 8: 620 DiKU+His+no Trp 9:07am	DiKU-Trp	06-03	9:07am	DiKU+His+no Trp 9:07am
103	103_2.dat	2	103	2	Filter 8: 620 DiKU+His+Trp 9:07am	DiKU+Trp	06-03	9:07am	DiKU+His+Trp 9:07am
103	103_2.dat	2	103	2	Filter 8: 620 HLKU 9:07am (Mon)	HLKU	06-03	9:07am	HLKU 9:07am (Mon)
103	103_3.dat	3	103	2	Filter 8: 620 DiKU+His+no Trp 11:37pm(mon)	DiKU-Trp	06-03	11:37pm	DiKU+His+no Trp 11:37pm(mon)
103	103_3.dat	3	103	2	Filter 8: 620 DiKU+His+Trp 11:37pm	DiKU+Trp	06-03	11:37pm	DiKU+His+Trp 11:37pm
103	103_3.dat	3	103	2	Filter 8: 620 HLKU 11:27pm (mon)	HLKU	06-03	11:27pm	HLKU 11:27pm (mon)
103	103_4.dat	4	103	2	Filter 8: 620 DiKU+His+no Trp 11:56am (Tue)	DiKU-Trp	06-04	11:56am	DiKU+His+no Trp 11:56am (Tue)
103	103_4.dat	4	103	2	Filter 8: 620 DiKU +His +Trp 11:56am (Tue)	DiKU+Trp	06-04	11:56am	DiKU +His +Trp 11:56am (Tue)
103	103_4.dat	4	103	2	Filter 8: 620 HLKU 11:56am (Tue)	HLKU	06-04	11:56am	HLKU 11:56am (Tue)
103	103_5.dat	5	103	2	Filter 8: 620 DiKU+His+no Trp 11:41pm(Tue)	DiKU-Trp	06-04	11:41pm	DiKU+His+no Trp 11:41pm(Tue)
103	103_5.dat	5	103	2	Filter 8: 620 DiKU+His+Trp 11:41pm (Tue)	DiKU+Trp	06-04	11:41pm	DiKU+His+Trp 11:41pm (Tue)
103	103_5.dat	5	103	2	Filter 8: 620 HLKU 11:41pm(Tue)	HLKU	06-04	11:41pm	HLKU 11:41pm(Tue)
103	103_6.dat	6	103	2	Filter 8: 620 DiKU+His+bno Trp 12:00pm (Wed)	DiKU-Trp	06-05	12:00pm	DiKU+His+bno Trp 12:00pm (Wed)
103	103_6.dat	6	103	2	Filter 8: 620 DiKU+His+Trp 12:00pm (Wed)	DiKU+Trp	06-05	12:00pm	DiKU+His+Trp 12:00pm (Wed)
104	104_1.dat	1	104	2	Filter 8: 620 DiKU+His+no Trp 1:21pm	DiKU-Trp	06-02	1:21pm	DiKU+His+no Trp 1:21pm
104	104_1.dat	1	104	2	Filter 8: 620 DiKU+His+Trp 1:21pm	DiKU+Trp	06-02	1:21pm	DiKU+His+Trp 1:21pm
104	104_1.dat	1	104	2	Filter 8: 620 HLKU 1:20pm June2(sun)	HLKU	06-02	1:20pm	HLKU 1:20pm June2(sun)
104	104_2.dat	2	104	2	Filter 8: 620 DiKU+His+no Trp 9:27am	DiKU-Trp	06-03	9:27am	DiKU+His+no Trp 9:27am
104	104_2.dat	2	104	2	Filter 8: 620 DiKU+His+Trp 9:27am	DiKU+Trp	06-03	9:27am	DiKU+His+Trp 9:27am
104	104_2.dat	2	104	2	Filter 8: 620 HLKU 9:27am (mon)	HLKU	06-03	9:27am	HLKU 9:27am (mon)
104	104_3.dat	3	104	2	Filter 8: 620 DiKU+His+no Trp 11:30pm(mon)	DiKU-Trp	06-03	11:30pm	DiKU+His+no Trp 11:30pm(mon)
104	104_3.dat	3	104	2	Filter 8: 620 DiKU+His+Trp 11:30pm (Mon)	DiKU+Trp	06-03	11:30pm	DiKU+His+Trp 11:30pm (Mon)
104	104_3.dat	3	104	2	Filter 8: 620 HLKU 11:30pm (Mon)	HLKU	06-03	11:30pm	HLKU 11:30pm (Mon)
104	104_4.dat	4	104	2	Filter 8: 620 DiKU +His+no Trp 12:18pm	DiKU-Trp	06-04	12:18pm	DiKU +His+no Trp 12:18pm
104	104_4.dat	4	104	2	Filter 8: 620 DiKU+His+Trp 12:18pm (Tue)	DiKU+Trp	06-04	12:18pm	DiKU+His+Trp 12:18pm (Tue)
104	104_4.dat	4	104	2	Filter 8: 620 HLKU 12:18pm (Tue)	HLKU	06-04	12:18pm	HLKU 12:18pm (Tue)
104	104_5.dat	5	104	2	Filter 8: 620 DiKU+His+no Trp 11:41pm	DiKU-Trp	06-04	11:41pm	DiKU+His+no Trp 11:41pm
104	104_5.dat	5	104	2	Filter 8: 620 DiKU+His+Trp 11:41pm(Tue)	DiKU+Trp	06-04	11:41pm	DiKU+His+Trp 11:41pm(Tue)
104	104_5.dat	5	104	2	Filter 8: 620 HLKU 11:41pm(Tue)	HLKU	06-04	11:41pm	HLKU 11:41pm(Tue)
104	104_6.dat	6	104	2	Filter 8: 620 DiKU+his+no Trp 12:00pm(wed)	DiKU-Trp	06-05	12:00pm	DiKU+his+no Trp 12:00pm(wed)
104	104_6.dat	6	104	2	Filter 8: 620 DiKU+HIs+Trp 12:00pm(Wed)	DiKU+Trp	06-05	12:00pm	DiKU+HIs+Trp 12:00pm(Wed)
105	105_1.dat	1	105	2	Filter 8: 620 DiKU+His+noTrp 12:21am (Tue)	DiKU-Trp	06-04	12:21am	DiKU+His+noTrp 12:21am (Tue)
105	105_1.dat	1	105	2	Filter 8: 620 DiKU+His+Trp 12:21am (Tue)	DiKU+Trp	06-04	12:21am	DiKU+His+Trp 12:21am (Tue)
105	105_1.dat	1	105	2	Filter 8: 620 HLKU 12:21am (Tue)	HLKU	06-04	12:21am	HLKU 12:21am (Tue)
105	105_2.dat	2	105	2	Filter 8: 620 DiKU+His+noTrp 11:51am (Tue)	DiKU-Trp	06-04	11:51am	DiKU+His+noTrp 11:51am (Tue)
105	105_2.dat	2	105	2	Filter 8: 620 DiKU+His+Trp 11:51am (Tue)	DiKU+Trp	06-04	11:51am	DiKU+His+Trp 11:51am (Tue)
105	105_2.dat	2	105	2	Filter 8: 620 HLKU 11:50am (Tue)	HLKU	06-04	11:50am	HLKU 11:50am (Tue)
105	105_3.dat	3	105	2	Filter 8: 620 DiKU+His+noTrp 11:41pm (Tue)	DiKU-Trp	06-04	11:41pm	DiKU+His+noTrp 11:41pm (Tue)
105	105_3.dat	3	105	2	Filter 8: 620 DiKU+His+Trp 11:41pm (Tue)	DiKU+Trp	06-04	11:41pm	DiKU+His+Trp 11:41pm (Tue)
105	105_3.dat	3	105	2	Filter 8: 620 HLKU 11:40pm (Tue)	HLKU	06-04	11:40pm	HLKU 11:40pm (Tue)
105	105_4.dat	4	105	2	Filter 8: 620 DiKU+His+noTrp 12:36pm (Wed)	DiKU-Trp	06-05	12:36pm	DiKU+His+noTrp 12:36pm (Wed)
105	105_4.dat	4	105	2	Filter 8: 620 DiKU+His+Trp 12:36pm	DiKU+Trp	06-05	12:36pm	DiKU+His+Trp 12:36pm
105	105_4.dat	4	105	2	Filter 8: 620 HLKU 12:36pm (Wed)	HLKU	06-05	12:36pm	HLKU 12:36pm (Wed)
105	105_5.dat	5	105	2	Filter 8: 620 DiKU+his+no Trp 1:29pm (Thu)	DiKU-Trp	06-06	1:29pm	DiKU+his+no Trp 1:29pm (Thu)
105	105_5.dat	5	105	2	Filter 8: 620 DiKU+His+Trp 1:29pm (Thu)	DiKU+Trp	06-06	1:29pm	DiKU+His+Trp 1:29pm (Thu)
105	105_5.dat	5	105	2	Filter 8: 620 HLKU 1:29pm (Thu)	HLKU	06-06	1:29pm	HLKU 1:29pm (Thu)
105	105_6.dat	6	105	2	Filter 8: 620 DiKU+His+noTrp 2:40pm (Fri)	DiKU-Trp	06-07	2:40pm	DiKU+His+noTrp 2:40pm (Fri)
105	105_6.dat	6	105	2	Filter 8: 620 DiKU+His+Trp 2:40pm (Fri)	DiKU+Trp	06-07	2:40pm	DiKU+His+Trp 2:40pm (Fri)
105	105_6.dat	6	105	2	Filter 8: 620 HLKU 2:40pm (Fri)	HLKU	06-07	2:40pm	HLKU 2:40pm (Fri)
106	106_1.dat	1	106	2	Filter 8: 620 DiKU+His+noTrp 12:21am (Tue)	DiKU-Trp	06-04	12:21am	DiKU+His+noTrp 12:21am (Tue)
106	106_1.dat	1	106	2	Filter 8: 620 DiKU+His+Trp 12:21am (Tue)	DiKU+Trp	06-04	12:21am	DiKU+His+Trp 12:21am (Tue)
106	106_1.dat	1	106	2	Filter 8: 620 HLKU 12:21am (Tue)	HLKU	06-04	12:21am	HLKU 12:21am (Tue)
106	106_2.dat	2	106	2	Filter 8: 620 DiKU+His+no Trp  11:51am (Tue)	DiKU-Trp	06-04	11:51am	DiKU+His+no Trp  11:51am (Tue)
106	106_2.dat	2	106	2	Filter 8: 620 DiKU+His+Trp 11:51am (Tue)	DiKU+Trp	06-04	11:51am	DiKU+His+Trp 11:51am (Tue)
106	106_2.dat	2	106	2	Filter 8: 620 HLKU 11:51am (Tue)	HLKU	06-04	11:51am	HLKU 11:51am (Tue)
106	106_3.dat	3	106	2	Filter 8: 620 DiKU+His+noTrp 11:42pm (Tue)	DiKU-Trp	06-04	11:42pm	DiKU+His+noTrp 11:42pm (Tue)
106	106_3.dat	3	106	2	Filter 8: 620 DiKU+His+Trp 11:41pm (Tue)	DiKU+Trp	06-04	11:41pm	DiKU+His+Trp 11:41pm (Tue)
106	106_3.dat	3	106	2	Filter 8: 620 HLKU 11:41pm (Tue)	HLKU	06-04	11:41pm	HLKU 11:41pm (Tue)
106	106_4.dat	4	106	2	Filter 8: 620 DiKU+His+noTrp 12:36pm(Wed)	DiKU-Trp	06-05	12:36pm	DiKU+His+noTrp 12:36pm(Wed)
106	106_4.dat	4	106	2	Filter 8: 620 DiKU+His+Trp 12:36pm (Wed)	DiKU+Trp	06-05	12:36pm	DiKU+His+Trp 12:36pm (Wed)
106	106_4.dat	4	106	2	Filter 8: 620 HLKU 12:36pm (Wed)	HLKU	06-05	12:36pm	HLKU 12:36pm (Wed)
106	106_5.dat	5	106	2	Filter 8: 620 DiKU+His+noTrp 1:29pm (Thu)	DiKU-Trp	06-06	1:29pm	DiKU+His+noTrp 1:29pm (Thu)
106	106_5.dat	5	106	2	Filter 8: 620 DiKU+His+Trp 1:29pm (Thu)	DiKU+Trp	06-06	1:29pm	DiKU+His+Trp 1:29pm (Thu)
106	106_5.dat	5	106	2	Filter 8: 620 HLKU 1:29pm (Thu)	HLKU	06-06	1:29pm	HLKU 1:29pm (Thu)
106	106_6.dat	6	106	2	Filter 8: 620 DiKU+His+noTrp 2:40pm (Fri)	DiKU-Trp	06-07	2:40pm	DiKU+His+noTrp 2:40pm (Fri)
106	106_6.dat	6	106	2	Filter 8: 620 DiKU+His+Trp 2:40pm (Fri)	DiKU+Trp	06-07	2:40pm	DiKU+His+Trp 2:40pm (Fri)
106	106_6.dat	6	106	2	Filter 8: 620 HLKU 2:40pm(Fri)	HLKU	06-07	2:40pm	HLKU 2:40pm(Fri)
107	107_1.dat	1	107	2	Filter 8: 620 H-LKU+no Trp	DiKU-Trp	09-27	5:30pm	H-LKU+no Trp
107	107_1.dat	1	107	2	Filter 8: 620 H-LKU+Trp	DiKU+Trp	09-27	5:30pm	H-LKU+Trp
107	107_1.dat	1	107	2	Filter 8: 620  Sep/27 HLKU 5:30pm	HLKU	09-27	5:30pm	 Sep/27 HLKU 5:30pm
107	107_2.dat	2	107	2	Filter 8: 620 H-LKU+no Trp	DiKU-Trp	09-29	12:30pm	H-LKU+no Trp
107	107_2.dat	2	107	2	Filter 8: 620 H-LKU+Trp	DiKU+Trp	09-29	12:30pm	H-LKU+Trp
107	107_2.dat	2	107	2	Filter 8: 620 Sep/29 12:30pm HLKU	HLKU	09-29	12:30pm	Sep/29 12:30pm HLKU
107	107_3.dat	3	107	2	Filter 8: 620  H-LKU + no Trp	DiKU-Trp	09-29	1:00am	 H-LKU + no Trp
107	107_3.dat	3	107	2	Filter 8: 620	DiKU+Trp	09-29	1:00am	
107	107_3.dat	3	107	2	Filter 8: 620 Sep/29 1:00am HLKU	HLKU	09-29	1:00am	Sep/29 1:00am HLKU
107	107_4.dat	4	107	2	Filter 8: 620 H-LKU+ no Trp	DiKU-Trp	09-29	5:30pm	H-LKU+ no Trp
107	107_4.dat	4	107	2	Filter 8: 620 H-LKU+Trp	DiKU+Trp	09-29	5:30pm	H-LKU+Trp
107	107_4.dat	4	107	2	Filter 8: 620 Sep/29 5:30pm HLKU	HLKU	09-29	5:30pm	Sep/29 5:30pm HLKU
107	107_5.dat	5	107	2	Filter 8: 620 H-LKU+ no Trp	DiKU-Trp	09-30	12:30pm	H-LKU+ no Trp
107	107_5.dat	5	107	2	Filter 8: 620 H-LKU+Trp	DiKU+Trp	09-30	12:30pm	H-LKU+Trp
