ORF	hom | growth (relative abundance in pooled culture) | MUC7 peptide [5 uM], time [24 h] | Lis M~Bobek LA, 2009	hom | growth (relative abundance in pooled culture) | MUC7 peptide [5 uM], time [48 h] | Lis M~Bobek LA, 2009
YBR101C	0.042	0.597
YBR103W	0.157	0.171
YBR104W	0.239	-0.055
YBR105C	0.139	1.280
YBR106W	-0.136	-0.731
YBR107C	-0.066	-0.357
YBR108W	0.147	0.086
YBR113W	0.051	1.126
YBR114W	-0.122	1.005
YBR116C	0.454	0.015
YBR119W	0.223	0.229
YBR120C	0.169	0.350
YBR125C	-0.222	0.073
YBR126C	-0.192	-0.177
YBR127C	-0.157	-0.288
YBR128C	-0.123	-0.216
YBR129C	0.332	0.182
YBR130C	-0.035	-0.153
YBR131W	0.402	-0.103
YBR133C	0.098	0.110
YBR134W	-0.050	-1.852
YBR137W	0.391	0.508
YBR138C	0.379	0.700
YBR139W	0.021	0.153
YBR141C	0.103	0.304
YBR144C	0.322	0.848
YBR145W	-0.235	-0.303
YBR146W	0.232	0.139
YBR147W	0.488	0.444
YBR148W	0.174	0.822
YBR149W	0.292	0.478
YBR150C	-0.139	0.373
YBR151W	0.325	0.766
YBR156C	0.233	1.069
YBR157C	0.376	0.780
YBR158W	0.710	1.026
YBR159W	0.109	-0.020
YBR161W	-0.153	-0.094
YBR162C	0.231	0.812
YBR162W-A	-0.152	0.076
YBR163W	-0.245	0.365
YBR164C	0.112	-0.353
YBR168W	0.244	0.523
YBR169C	-0.064	-0.360
YBR170C	-0.376	-0.364
YBR171W	-1.496	-0.532
YBR172C	-0.154	0.098
YBR173C	0.516	-0.033
YBR174C	0.609	-0.157
YBR175W	0.664	-0.163
YBR176W	-0.062	0.187
YBR177C	0.403	-0.008
YBR178W	0.073	0.061
YBR179C	-0.345	-0.358
YBR180W	-0.131	0.278
YBR181C	-0.826	-0.441
YBR182C	0.218	0.080
YBR183W	0.032	0.105
YBR184W	0.467	-0.152
YBR185C	-0.055	-0.259
YBR186W	0.151	0.198
YBR187W	0.624	0.413
YBR188C	0.245	0.231
YBR189W	-0.081	-0.171
YBR191W	0.361	0.048
YBR194W	0.645	0.584
YBR195C	0.203	0.232
YBR197C	0.130	0.350
YBR199W	0.111	-0.358
YBR200W	0.041	-0.029
YBR201W	0.019	0.085
YBR203W	0.125	0.141
YBR204C	0.251	-0.124
YBR205W	0.113	0.372
YBR206W	0.089	0.025
YBR207W	0.109	0.110
YBR208C	0.356	0.965
YBR210W	-0.047	-0.505
YBR212W	0.378	0.223
YBR213W	0.597	0.239
YBR214W	-0.194	-0.614
YBR215W	0.057	-0.433
YBR216C	0.350	-0.725
YBR217W	0.246	-0.876
YBR218C	-0.259	0.043
YBR219C	0.126	-0.338
YBR220C	0.005	-0.164
YBR221C	0.024	-0.196
YBR222C	0.631	0.376
YBR223C	-0.117	-0.151
YBR224W	0.150	0.105
YBR225W	0.570	0.614
YBR226C	0.001	0.419
YBR227C	0.511	0.302
YBR228W	0.353	0.257
YBR229C	0.126	0.187
YBR230C	0.021	0.127
YBR231C	-0.120	-0.812
YBR232C	0.068	0.030
YBR233W	0.303	0.036
YBR235W	0.232	0.100
YBR238C	0.169	0.189
YBR239C	0.362	0.265
YBR240C	0.089	0.245
YBR241C	0.257	0.047
YBR242W	-0.258	0.086
YBR244W	0.256	0.081
YBR245C	-0.279	-0.189
YBR246W	-0.045	-0.233
YBR248C	0.321	0.390
YBR249C	-0.025	0.122
YBR250W	-0.006	0.135
YBR251W	0.247	0.638
YBR255W	0.130	-0.172
YBR258C	0.314	0.307
YBR259W	0.498	0.372
YBR260C	0.167	0.980
YBR261C	-0.335	-0.328
YBR262C	0.119	0.152
YBR263W	0.502	0.120
YBR264C	0.384	0.364
YBR266C	0.483	0.533
YBR267W	-0.565	-0.242
YBR268W	0.386	-0.374
YBR269C	-0.459	-1.311
YBR270C	-0.340	0.402
YBR271W	-0.318	0.211
YBR272C	0.519	0.174
YBR273C	0.627	0.489
YBR274W	0.348	0.001
YBR275C	0.110	-0.087
YBR276C	-0.114	0.310
YBR277C	-1.272	-1.925
YBR278W	-0.687	-1.985
YBR279W	0.062	-0.044
YBR280C	0.544	0.164
YBR281C	-0.683	-1.594
YBR282W	-0.518	-1.215
YBR283C	-0.745	-2.276
YBR284W	-0.177	-0.945
YBR285W	0.148	-0.279
YBR286W	-0.617	-2.222
YBR287W	0.031	-0.375
YBR288C	-0.473	-1.347
YBR289W	-0.433	-0.391
YBR290W	-1.360	-2.922
YBR291C	-1.305	-3.721
YBR292C	-0.737	-1.552
YBR293W	-0.848	-0.245
YBR294W	-0.438	-0.053
YBR295W	-0.426	-1.731
YBR296C	-0.315	-0.824
YBR297W	-0.317	-1.845
YBR298C	-1.580	-2.677
YBR299W	-0.231	0.260
YBR300C	-0.423	-1.391
YBR301W	-0.211	0.070
YCL001W	-0.145	-0.051
YCL001W-A	-0.984	-2.773
YCL002C	0.184	0.234
YCL005W	0.385	-0.049
YCL007C	-0.133	0.156
YCL008C	-3.830	-4.487
YCL009C	0.098	0.430
YCL010C	-0.590	-0.368
YCL011C	-0.094	-0.115
YCL012W	0.385	0.695
YCL014W	0.003	0.124
YCL016C	-0.249	-0.436
YCL022C	0.168	-0.003
YCL023C	-0.049	0.555
YCL024W	0.252	0.158
YCL025C	-0.022	0.337
YCL026C-A	-0.358	-0.046
YCL027W	0.493	-0.021
YCL028W	0.467	0.427
YCL029C	0.165	0.062
YCL030C	0.106	0.306
YCL032W	0.203	0.242
YCL033C	0.228	0.116
YCL034W	0.296	0.188
YCL035C	0.403	0.248
YCL036W	0.281	0.405
YCL037C	-0.473	-0.268
YCL038C	-0.070	0.335
YCL039W	0.036	0.194
YCL040W	-0.373	-0.104
YCL042W	0.111	0.371
YCL044C	0.023	-0.412
YCL045C	0.039	-0.454
YCL046W	-0.448	-0.799
YCL047C	0.447	0.336
YCL048W	0.027	0.274
YCL049C	0.181	0.388
YCL050C	0.079	-0.111
YCL051W	-0.055	-0.067
YCL055W	0.517	0.138
YCL056C	0.145	-0.042
YCL057W	-0.104	0.308
YCL058C	-0.858	-0.491
YCL060C	-0.612	-0.559
YCL061C	0.040	-0.462
YCL063W	0.188	0.081
YCL064C	0.087	0.149
YCL069W	-0.392	0.118
YCL074W	0.101	0.156
YCL075W	-0.148	0.439
YCL076W	-0.627	-0.206
YCR001W	-0.041	0.376
YCR004C	0.385	0.333
YCR005C	-0.039	0.094
YCR006C	0.087	0.291
YCR007C	0.389	0.262
YCR008W	-0.287	-0.777
YCR009C	-0.269	-0.106
YCR010C	-0.025	0.382
YCR011C	-0.041	0.096
YCR014C	-0.019	-0.236
YCR015C	-0.556	-0.262
YCR016W	-0.004	0.592
YCR017C	-0.557	-0.963
YCR019W	0.074	0.257
YCR020C	-0.020	0.140
YCR020C-A	-0.485	0.450
YCR020W-B	0.347	0.480
YCR021C	-0.094	0.333
YCR022C	0.110	0.196
YCR023C	0.018	0.233
YCR024C	-0.599	-1.933
YCR024C-A	-0.219	-2.385
YCR025C	-0.455	-2.249
YCR026C	-0.972	-2.049
YCR027C	-0.052	-1.203
YCR028C	0.077	-1.694
YCR028C-A	-0.227	-0.103
YCR030C	-0.320	0.166
YCR031C	-0.675	0.767
YCR032W	0.144	0.049
YCR033W	0.415	-0.210
YCR034W	-1.597	-1.613
YCR036W	-1.746	-3.168
YCR037C	0.143	0.286
YCR043C	-0.027	0.115
YCR044C	-0.342	-0.302
YCR045C	-1.260	-3.163
YCR047C	-0.382	-0.323
YCR048W	-0.119	-0.064
YCR049C	-0.664	-2.529
YCR050C	-1.877	-3.193
YCR051W	-0.698	-1.339
YCR053W	0.053	1.334
YCR059C	-0.438	-1.794
YCR060W	0.114	-0.845
YCR061W	-0.605	-2.391
YCR062W	0.030	0.031
YCR063W	0.047	-0.174
YCR065W	0.053	-1.637
YCR066W	0.285	-0.135
YCR067C	0.617	0.016
YCR068W	-1.505	-3.996
YCR069W	-0.390	-0.131
YCR071C	-0.851	-1.485
YCR073C	-0.243	-0.254
YCR073W-A	0.684	0.291
YCR075C	-0.150	0.340
YCR076C	0.161	0.186
YCR077C	-0.112	-0.462
YCR079W	-1.399	-2.377
YCR081W	-3.056	-4.074
YCR082W	0.306	-0.600
YCR083W	-0.110	-0.038
YCR084C	-0.521	-0.097
YCR085W	-0.903	-1.554
YCR086W	-0.277	-0.717
YCR087C-A	-1.104	-3.214
YCR087W	-1.129	-3.723
YCR088W	-1.457	-1.556
YCR089W	0.220	0.121
YCR090C	0.255	0.064
YCR091W	-0.343	-0.143
YCR092C	0.323	-0.113
YCR094W	-0.080	-0.813
YCR095C	0.117	1.035
YCR098C	-0.233	-0.930
YCR099C	0.238	0.223
YCR100C	-0.429	0.119
YCR101C	0.247	0.136
YCR102C	-0.181	-0.322
YCR102W-A	-0.506	0.002
YCR105W	-0.213	0.164
YCR106W	0.219	0.105
YCR107W	-0.230	-0.101
YDL001W	-0.502	-0.311
YDL002C	-0.291	0.325
YDL006W	-0.288	-0.189
YDL009C	-0.193	0.538
YDL010W	-0.129	0.030
YDL011C	-0.019	-0.443
YDL012C	0.007	0.000
YDL013W	0.261	0.226
YDL018C	-0.386	-0.220
YDL020C	-0.109	0.083
YDL021W	0.218	-0.974
YDL022W	-0.027	-0.065
YDL023C	-0.005	0.619
YDL024C	-0.270	-0.264
YDL025C	-0.811	-1.923
YDL026W	0.101	0.146
YDL027C	0.597	0.323
YDL032W	-1.256	-0.740
YDL033C	-0.498	0.015
YDL034W	0.175	0.237
YDL035C	-0.644	0.118
YDL037C	-0.108	-1.423
YDL038C	-0.001	0.006
YDL040C	0.490	1.178
YDL041W	-0.831	-1.074
YDL044C	-0.295	-0.743
YDL045W-A	-0.321	-0.155
YDL046W	-0.450	0.359
YDL047W	-0.302	-0.628
YDL048C	-0.189	-0.407
YDL049C	-0.477	0.049
YDL050C	-0.223	-0.021
YDL051W	-0.426	-0.251
YDL052C	-0.240	-0.655
YDL054C	-0.264	0.515
YDL056W	0.199	0.806
YDL059C	0.114	-0.064
YDL061C	-0.283	-0.537
YDL062W	-0.117	0.225
YDL063C	0.163	0.188
YDL065C	0.440	0.221
YDL066W	0.067	0.129
YDL067C	-0.308	-0.216
YDL068W	-0.223	-0.372
YDL069C	0.111	0.035
YDL070W	0.209	-0.045
YDL071C	-0.308	-0.459
YDL072C	0.303	-0.132
YDL073W	0.491	0.830
YDL074C	0.275	-0.137
YDL075W	-0.151	-0.090
YDL076C	-0.123	0.636
YDL077C	-0.832	-1.084
YDL078C	0.206	0.345
YDL079C	0.110	0.320
YDL080C	0.184	-0.125
YDL081C	-0.703	-0.243
YDL082W	-0.019	0.489
YDL083C	-0.139	0.132
YDL085W	-0.066	0.153
YDL086W	0.381	0.099
YDL088C	0.001	0.166
YDL089W	-0.535	-0.140
YDL090C	-1.377	-0.843
YDL091C	0.505	0.353
YDL093W	-0.425	-0.025
YDL094C	0.304	0.151
YDL095W	-0.652	-0.601
YDL096C	-0.547	-0.613
YDL099W	0.446	0.643
YDL100C	0.404	-0.449
YDL101C	-0.860	-0.726
YDL104C	-0.156	-0.593
YDL106C	-1.752	-1.279
YDL107W	0.141	-0.496
YDL109C	0.286	0.486
YDL110C	0.025	-0.322
YDL112W	0.075	0.660
YDL113C	0.116	-0.127
YDL114W	-0.138	-0.170
YDL115C	-0.146	0.057
YDL116W	0.005	0.634
YDL117W	-0.427	-0.893
YDL118W	0.564	0.626
YDL121C	0.351	0.233
YDL122W	-0.057	0.358
YDL123W	0.345	0.154
YDL124W	0.213	0.088
YDL125C	0.049	-0.155
YDL127W	-0.153	0.288
YDL128W	0.311	0.335
YDL129W	0.419	0.535
YDL130W	-0.272	-0.284
YDL130W-A	-0.345	0.129
YDL131W	0.224	0.208
YDL133C-A	-0.265	0.009
YDL133W	-0.287	-1.545
YDL134C	-0.039	0.064
YDL135C	-0.252	-0.260
YDL136W	0.207	0.622
YDL137W	-0.495	-0.466
YDL138W	0.330	0.201
YDL142C	0.084	0.122
YDL144C	0.199	0.085
YDL146W	-0.002	-1.064
YDL149W	-0.096	-0.295
YDL151C	-0.223	-0.356
YDL154W	-0.113	0.236
YDL155W	0.487	0.248
YDL156W	0.034	-0.243
YDL157C	0.036	0.104
YDL160C	-0.180	0.155
YDL161W	-0.045	0.512
YDL162C	0.056	0.060
YDL167C	0.196	0.526
YDL168W	0.476	0.469
YDL169C	0.168	0.183
YDL170W	-0.196	0.199
YDL171C	0.093	-0.032
YDL172C	-0.485	-0.580
YDL173W	-0.153	-0.236
YDL174C	0.183	0.161
YDL175C	0.076	0.043
YDL176W	0.185	-0.222
YDL177C	0.189	0.403
YDL178W	0.350	-0.101
YDL179W	-0.474	-0.297
YDL180W	0.171	0.024
YDL182W	0.249	-0.058
YDL183C	0.154	-1.775
YDL184C	0.127	0.230
YDL185W	-0.198	0.043
YDL186W	-0.025	-0.010
YDL187C	0.011	0.344
YDL188C	0.092	-0.164
YDL189W	-0.123	0.582
YDL190C	0.139	-0.164
YDL191W	0.049	-0.118
YDL192W	-1.329	-1.037
YDL194W	-0.329	-0.756
YDL197C	0.365	0.615
YDL198C	-0.564	0.892
YDL199C	0.359	0.402
YDL200C	-0.007	-0.374
YDL201W	0.187	0.477
YDL202W	-0.236	0.181
YDL203C	-0.245	0.422
YDL204W	0.233	0.125
YDL206W	0.054	0.117
YDL210W	-0.342	-0.246
YDL211C	0.331	0.076
YDL213C	-0.658	-0.760
YDL214C	-0.151	0.372
YDL215C	0.261	0.076
YDL216C	-0.094	-0.119
YDL218W	0.195	-0.135
YDL219W	-0.277	0.221
YDL222C	0.002	0.117
YDL223C	0.143	0.105
YDL224C	0.197	1.141
YDL225W	0.116	-0.132
YDL226C	-1.130	-0.285
YDL227C	-0.298	-0.162
YDL229W	0.038	0.346
YDL230W	-0.034	0.204
YDL231C	-0.387	-0.040
YDL232W	-0.102	0.050
YDL233W	0.331	0.210
YDL234C	-0.280	0.079
YDL236W	-0.313	-0.230
YDL237W	-0.038	-0.232
YDL238C	0.050	-0.115
YDL239C	-0.370	0.111
YDL240W	-0.210	0.379
YDL241W	0.264	0.311
YDL242W	-0.359	0.395
YDL243C	-0.229	0.003
YDR001C	-0.058	0.275
YDR003W	0.159	0.040
YDR004W	-0.344	-0.684
YDR005C	0.032	-0.135
YDR006C	-0.019	0.116
YDR007W	0.298	0.054
YDR008C	-0.402	-0.200
YDR009W	-0.116	0.246
YDR010C	-0.314	0.017
YDR011W	0.114	-0.463
YDR014W	-0.173	-0.404
YDR015C	-0.531	0.251
YDR017C	0.836	0.250
YDR018C	-0.080	0.180
YDR019C	0.200	-0.021
YDR020C	-0.112	-0.620
YDR022C	0.143	0.099
YDR024W	-0.159	0.418
YDR025W	0.679	0.400
YDR026C	0.144	0.159
YDR027C	0.096	0.339
YDR028C	0.418	0.078
YDR029W	0.462	0.160
YDR030C	0.282	0.108
YDR031W	-0.014	0.285
YDR032C	0.293	0.483
YDR033W	-0.534	-0.229
YDR034C	0.281	0.263
YDR035W	0.068	0.177
YDR036C	-0.013	0.284
YDR042C	0.021	0.100
YDR043C	-0.195	-0.347
YDR046C	0.055	0.533
YDR048C	-0.071	0.145
YDR049W	-0.520	-0.750
YDR051C	0.134	-0.012
YDR055W	0.138	0.118
YDR056C	0.167	0.094
YDR057W	0.328	0.379
YDR058C	0.441	-0.159
YDR059C	-0.098	0.256
YDR061W	0.290	-0.119
YDR063W	0.199	0.363
YDR065W	-0.901	0.263
YDR066C	0.235	0.618
YDR067C	0.622	1.859
YDR068W	-0.034	0.095
YDR069C	-1.215	-2.837
YDR070C	0.138	-0.075
YDR071C	0.104	0.152
YDR072C	-0.107	-0.995
YDR073W	0.077	0.260
YDR074W	0.252	-0.415
YDR075W	-0.155	-0.577
YDR076W	-0.102	-0.027
YDR077W	0.309	0.396
YDR078C	0.233	0.309
YDR079W	-0.267	-0.121
YDR080W	-0.130	-0.117
YDR083W	-0.786	-0.669
YDR084C	0.082	0.238
YDR085C	0.180	-0.043
YDR089W	0.035	0.274
YDR090C	0.500	0.700
YDR092W	-0.435	-0.573
YDR093W	0.744	0.312
YDR094W	0.192	0.730
YDR095C	-0.431	-0.127
YDR096W	0.667	1.127
YDR097C	-0.034	0.623
YDR098C	0.060	0.311
YDR099W	0.121	0.075
YDR100W	0.338	0.124
YDR101C	-0.611	0.061
YDR102C	-0.352	0.225
YDR104C	-0.055	0.104
YDR105C	0.041	0.495
YDR107C	0.401	0.195
YDR108W	0.044	0.711
YDR109C	-0.069	0.085
YDR110W	-0.090	0.176
YDR111C	0.317	-0.055
YDR112W	0.019	0.230
YDR114C	-1.290	0.054
YDR115W	0.541	0.971
YDR116C	0.298	-0.289
YDR117C	-0.090	0.229
YDR119W	0.408	0.169
YDR120C	-1.119	-1.146
YDR121W	-0.086	0.513
YDR122W	0.368	0.850
YDR123C	0.074	0.414
YDR124W	0.170	0.319
YDR125C	-0.305	0.503
YDR126W	-0.205	-0.357
YDR128W	0.428	0.088
YDR129C	0.973	0.033
YDR130C	0.453	0.522
YDR131C	-0.310	0.077
YDR132C	0.255	-0.206
YDR133C	-0.130	0.112
YDR134C	-0.154	0.075
YDR135C	0.258	-0.083
YDR136C	-0.072	-0.465
YDR138W	-0.018	-0.013
YDR139C	0.199	-0.153
YDR140W	0.047	0.014
YDR142C	0.174	0.429
YDR143C	0.073	0.303
YDR144C	-0.371	-1.296
YDR146C	0.220	0.161
YDR147W	0.355	0.023
YDR148C	0.282	0.806
YDR149C	0.136	-0.254
YDR150W	-0.167	0.608
YDR151C	0.112	-0.351
YDR152W	0.197	0.325
YDR153C	0.314	0.224
YDR154C	0.110	-0.290
YDR155C	0.211	0.285
YDR156W	0.222	0.464
YDR157W	0.372	0.526
YDR159W	0.524	-0.159
YDR161W	0.143	0.814
YDR162C	-0.519	-0.114
YDR163W	0.550	0.325
YDR165W	-0.447	0.256
YDR169C	0.117	0.070
YDR171W	0.365	0.024
YDR173C	-0.225	-0.042
YDR174W	-0.285	-0.441
YDR175C	0.033	0.123
YDR176W	-0.239	-0.162
YDR178W	-0.259	0.041
YDR179C	0.255	0.267
YDR179W-A	0.426	0.245
YDR181C	0.285	0.228
YDR183W	0.300	-0.137
YDR184C	0.493	0.044
YDR185C	0.574	0.417
YDR186C	0.283	-0.010
YDR191W	0.040	0.424
YDR192C	0.503	0.129
YDR193W	0.315	0.232
YDR194C	-0.279	0.205
YDR195W	-0.202	-0.232
YDR197W	-0.461	-1.120
YDR198C	0.486	0.274
YDR199W	-0.256	0.178
YDR200C	-0.103	-0.098
YDR202C	-0.702	-0.966
YDR203W	-0.623	-1.129
YDR204W	0.226	-0.773
YDR205W	0.200	-0.254
YDR206W	0.604	1.262
YDR207C	-0.243	0.285
YDR209C	0.659	0.140
YDR210W	-0.170	-0.397
YDR213W	0.180	0.248
YDR214W	0.257	-0.101
YDR215C	0.282	0.245
YDR216W	0.358	0.152
YDR217C	0.030	-0.008
YDR218C	0.315	-0.053
YDR219C	0.100	0.048
YDR220C	1.095	0.130
YDR221W	0.517	0.440
YDR222W	0.335	-0.062
YDR223W	0.031	0.022
YDR225W	-0.029	-1.146
YDR226W	0.146	0.009
YDR229W	0.144	-0.309
YDR230W	-0.376	-0.569
YDR231C	-0.170	-0.303
YDR233C	0.159	0.360
YDR237W	-0.145	0.265
YDR239C	0.089	1.352
YDR241W	-0.718	0.714
YDR242W	0.039	-0.183
YDR244W	0.209	0.993
YDR245W	0.039	0.157
YDR247W	0.328	0.361
YDR248C	-0.268	-0.291
YDR249C	0.300	-0.060
YDR250C	-0.051	-0.411
YDR251W	-0.044	0.044
YDR252W	-0.297	-0.432
YDR253C	0.179	-0.639
YDR254W	-0.082	-0.771
YDR255C	0.464	0.934
YDR256C	0.500	-0.326
YDR257C	0.519	0.350
YDR258C	0.140	0.111
YDR259C	0.333	0.413
YDR260C	0.581	0.456
YDR261C	0.501	-0.075
YDR262W	0.041	-0.163
YDR263C	0.013	-0.090
YDR264C	0.331	0.059
YDR265W	0.107	0.295
YDR266C	0.327	0.010
YDR268W	0.249	-0.149
YDR269C	-1.114	-0.769
YDR270W	-0.256	-0.389
YDR271C	-0.297	-0.846
YDR272W	0.313	0.077
YDR273W	0.261	0.079
YDR274C	-0.206	-0.154
YDR275W	0.541	0.380
YDR276C	0.533	1.656
YDR277C	0.286	0.429
YDR278C	0.154	0.082
YDR279W	0.501	-0.030
YDR282C	-0.519	-0.444
YDR283C	0.966	0.326
YDR284C	0.298	0.372
YDR285W	0.531	-0.225
YDR286C	0.347	-0.033
YDR287W	0.065	0.418
YDR289C	0.017	-0.142
YDR290W	0.030	-0.401
