orf	hap alpha | utilization of fatty acids (formation of clear zone on agar) | oleic acid [0.1%] | Smith JJ~Aitchison JD, 2006	hap alpha | utilization of fatty acids (formation of clear zone on agar) | tetradecanoic acid [0.125%] | Smith JJ~Aitchison JD, 2006	hap alpha | growth (colony size) | acetate [2%] | Smith JJ~Aitchison JD, 2006
YBR066C	3.0	3.0	3.0
YBR067C	3.0	3.0	3.0
YBR068C	3.0	3.0	3.0
YBR069C	3.0	3.0	3.0
YBR071W	3.0	3.0	3.0
YBR072W	3.0	3.0	3.0
YBR073W	3.0	3.0	3.0
YBR074W	3.0	3.0	3.0
YBR076W	3.0	3.0	3.0
YBR077C	3.0	3.0	3.0
YBR078W	3.0	3.0	3.0
YBR081C	1.0	1.0	2.0
YBR083W	3.0	3.0	3.0
YBR084C-A	3.0	3.0	3.0
YBR084W	3.0	3.0	2.0
YBR085W	3.0	3.0	3.0
YBR089C-A	3.0	3.0	3.0
YBR090C	3.0	3.0	3.0
YBR092C	3.0	3.0	3.0
YBR093C	3.0	3.0	3.0
YBR094W	3.0	3.0	3.0
YBR095C	3.0	3.0	3.0
YBR096W	3.0	3.0	3.0
YBR097W	1.0	1.0	2.0
YBR098W	3.0	3.0	3.0
YBR099C	3.0	3.0	3.0
YBR101C	3.0	3.0	3.0
YBR103W	3.0	3.0	3.0
YBR104W	3.0	3.0	3.0
YBR105C	3.0	3.0	3.0
YBR106W	3.0	3.0	3.0
YBR107C	3.0	3.0	3.0
YBR108W	3.0	3.0	3.0
YBR111C	3.0	3.0	3.0
YBR112C	1.0	1.0	1.0
YBR113W	3.0	3.0	3.0
YBR114W	3.0	3.0	3.0
YBR115C	3.0	3.0	3.0
YBR116C	3.0	3.0	3.0
YBR117C	3.0	3.0	3.0
YBR119W	3.0	3.0	3.0
YBR120C	3.0	3.0	3.0
YBR125C	3.0	3.0	3.0
YBR126C	3.0	3.0	3.0
YBR127C	1.0	1.0	2.0
YBR128C	1.0	1.0	1.0
YBR129C	3.0	3.0	3.0
YBR130C	3.0	3.0	3.0
YBR131W	3.0	2.0	3.0
YBR132C	3.0	3.0	3.0
YBR133C	3.0	3.0	3.0
YBR134W	2.0	1.0	3.0
YBR137W	3.0	3.0	3.0
YBR138C	3.0	3.0	3.0
YBR139W	3.0	3.0	3.0
YBR141C	3.0	3.0	3.0
YBR144C	3.0	3.0	3.0
YBR145W	3.0	3.0	3.0
YBR146W	1.0	1.0	1.0
YBR147W	3.0	3.0	3.0
YBR148W	3.0	3.0	3.0
YBR149W	3.0	3.0	3.0
YBR150C	3.0	3.0	3.0
YBR151W	3.0	3.0	3.0
YBR156C	3.0	3.0	2.5
YBR157C	3.0	3.0	3.0
YBR158W	3.0	3.0	3.0
YBR159W	3.0	3.0	3.0
YBR161W	3.0	3.0	3.0
YBR162C	3.0	3.0	3.0
YBR162W-A	3.0	3.0	3.0
YBR163W	3.0	3.0	3.0
YBR164C	3.0	3.0	3.0
YBR165W	3.0	3.0	3.0
YBR166C	3.0	3.0	3.0
YBR168W	3.0	3.0	3.0
YBR169C	3.0	3.0	3.0
YBR170C	2.0	2.0	3.0
YBR171W	3.0	3.0	3.0
YBR172C	3.0	3.0	3.0
YBR173C	3.0	3.0	3.0
YBR174C	3.0	3.0	3.0
YBR175W	3.0	3.0	3.0
YBR176W	3.0	3.0	3.0
YBR177C	3.0	3.0	3.0
YBR178W	3.0	3.0	3.0
YBR179C	1.0	1.0	2.0
YBR180W	3.0	3.0	3.0
YBR181C	3.0	3.0	3.0
YBR182C	3.0	3.0	3.0
YBR183W	3.0	3.0	3.0
YBR184W	3.0	3.0	3.0
YBR185C	3.0	3.0	3.0
YBR186W	3.0	3.0	3.0
YBR187W	3.0	3.0	3.0
YBR188C	3.0	3.0	3.0
YBR189W	3.0	1.0	1.0
YBR191W	3.0	3.0	2.0
YBR194W	3.0	3.0	3.0
YBR195C	3.0	3.0	3.0
YBR197C	3.0	3.0	3.0
YBR199W	3.0	3.0	3.0
YBR200W	1.0	1.0	2.0
YBR201W	3.0	3.0	3.0
YBR203W	3.0	3.0	3.0
YBR204C	3.0	3.0	3.0
YBR205W	3.0	3.0	3.0
YBR206W	3.0	3.0	3.0
YBR207W	3.0	3.0	3.0
YBR208C	1.0	1.0	1.0
YBR209W	3.0	3.0	3.0
YBR210W	3.0	3.0	3.0
YBR212W	3.0	3.0	3.0
YBR213W	3.0	3.0	3.0
YBR214W	3.0	3.0	3.0
YBR215W	3.0	3.0	3.0
YBR216C	3.0	3.0	3.0
YBR217W	2.0	3.0	3.0
YBR218C	3.0	3.0	3.0
YBR219C	3.0	3.0	3.0
YBR220C	3.0	3.0	3.0
YBR221C	3.0	3.0	3.0
YBR222C	3.0	3.0	3.0
YBR223C	3.0	3.0	3.0
YBR224W	3.0	3.0	3.0
YBR225W	3.0	3.0	3.0
YBR226C	3.0	3.0	3.0
YBR227C	3.0	3.0	3.0
YBR228W	3.0	3.0	3.0
YBR229C	3.0	3.0	3.0
YBR230C	3.0	3.0	3.0
YBR231C	3.0	3.0	3.0
YBR232C	3.0	3.0	3.0
YBR233W	3.0	3.0	3.0
YBR235W	3.0	3.0	3.0
YBR238C	3.0	3.0	3.0
YBR239C	3.0	3.0	3.0
YBR240C	3.0	3.0	3.0
YBR241C	3.0	3.0	3.0
YBR242W	3.0	3.0	3.0
YBR244W	3.0	3.0	3.0
YBR245C	3.0	3.0	3.0
YBR246W	3.0	3.0	3.0
YBR248C	3.0	3.0	3.0
YBR249C	3.0	3.0	3.0
YBR250W	3.0	3.0	3.0
YBR251W	1.0	1.0	2.0
YBR255W	3.0	3.0	3.0
YBR258C	3.0	3.0	3.0
YBR259W	3.0	3.0	3.0
YBR260C	3.0	3.0	3.0
YBR261C	3.0	3.0	3.0
YBR262C	3.0	3.0	3.0
YBR263W	3.0	3.0	3.0
YBR264C	3.0	3.0	3.0
YBR266C	3.0	3.0	3.0
YBR267W	3.0	3.0	2.5
YBR268W	1.0	1.0	2.0
YBR269C	3.0	3.0	2.0
YBR270C	3.0	3.0	3.0
YBR271W	3.0	3.0	3.0
YBR272C	3.0	3.0	3.0
YBR273C	3.0	3.0	3.0
YBR274W	3.0	3.0	3.0
YBR275C	3.0	3.0	3.0
YBR276C	3.0	3.0	3.0
YBR277C	3.0	3.0	3.0
YBR278W	3.0	3.0	3.0
YBR279W	1.0	1.0	1.0
YBR280C	3.0	3.0	3.0
YBR281C	3.0	3.0	3.0
YBR282W	1.0	1.0	1.0
YBR283C	3.0	3.0	3.0
YBR284W	3.0	3.0	3.0
YBR285W	3.0	3.0	3.0
YBR286W	3.0	3.0	3.0
YBR287W	3.0	3.0	3.0
YBR288C	3.0	3.0	3.0
YBR289W	1.0	1.0	2.0
YBR290W	3.0	3.0	3.0
YBR291C	3.0	3.0	3.0
YBR292C	3.0	3.0	3.0
YBR293W	3.0	3.0	3.0
YBR294W	3.0	3.0	3.0
YBR295W	3.0	3.0	3.0
YBR296C	3.0	3.0	3.0
YBR297W	3.0	3.0	3.0
YBR298C	3.0	3.0	3.0
YBR299W	3.0	3.0	3.0
YBR300C	3.0	3.0	3.0
YBR301W	3.0	3.0	3.0
YCL001W	3.0	3.0	3.0
YCL001W-A	3.0	3.0	3.0
YCL002C	3.0	3.0	3.0
YCL004W	1.0	1.0	1.0
YCL005W	2.0	1.0	3.0
YCL007C	1.0	1.0	1.0
YCL008C	3.0	3.0	3.0
YCL009C	3.0	3.0	3.0
YCL010C	1.0	1.0	2.0
YCL011C	3.0	3.0	3.0
YCL014W	3.0	3.0	3.0
YCL016C	3.0	3.0	3.0
YCL022C	3.0	3.0	3.0
YCL023C	3.0	3.0	3.0
YCL024W	3.0	3.0	3.0
YCL025C	3.0	3.0	3.0
YCL026C-A	3.0	3.0	3.0
YCL027W	3.0	3.0	3.0
YCL028W	3.0	3.0	3.0
YCL029C	3.0	3.0	3.0
YCL030C	3.0	3.0	3.0
YCL032W	3.0	3.0	3.0
YCL033C	3.0	3.0	3.0
YCL034W	3.0	3.0	3.0
YCL035C	3.0	3.0	3.0
YCL036W	3.0	3.0	3.0
YCL037C	3.0	3.0	3.0
YCL038C	3.0	3.0	3.0
YCL039W	3.0	3.0	3.0
YCL040W	3.0	3.0	3.0
YCL042W	3.0	3.0	3.0
YCL044C	3.0	3.0	3.0
YCL045C	3.0	3.0	3.0
YCL046W	3.0	3.0	3.0
YCL047C	3.0	3.0	3.0
YCL048W	3.0	3.0	3.0
YCL049C	3.0	3.0	3.0
YCL050C	3.0	3.0	3.0
YCL051W	3.0	3.0	3.0
YCL055W	3.0	3.0	3.0
YCL056C	3.0	3.0	3.0
YCL057W	3.0	3.0	3.0
YCL058C	3.0	3.0	3.0
YCL061C	3.0	3.0	3.0
YCL063W	3.0	3.0	3.0
YCL064C	3.0	3.0	3.0
YCL069W	3.0	3.0	3.0
YCL076W	3.0	3.0	3.0
YCR001W	3.0	3.0	3.0
YCR002C	1.0	1.0	3.0
YCR003W	1.0	1.0	2.0
YCR004C	3.0	3.0	3.0
YCR005C	3.0	3.0	3.0
YCR006C	3.0	3.0	3.0
YCR007C	3.0	3.0	3.0
YCR008W	3.0	3.0	3.0
YCR009C	2.0	1.0	3.0
YCR010C	3.0	3.0	3.0
YCR011C	3.0	3.0	3.0
YCR014C	3.0	3.0	3.0
YCR015C	3.0	3.0	3.0
YCR016W	3.0	3.0	3.0
YCR017C	3.0	3.0	3.0
YCR019W	3.0	3.0	3.0
YCR020C	3.0	3.0	3.0
YCR020C-A	3.0	3.0	3.0
YCR020W-B	3.0	3.0	3.0
YCR021C	3.0	3.0	3.0
YCR022C	3.0	3.0	3.0
YCR023C	3.0	3.0	3.0
YCR024C	1.0	1.0	1.0
YCR024C-A	3.0	3.0	3.0
YCR025C	3.0	3.0	3.0
YCR026C	3.0	3.0	3.0
YCR027C	3.0	3.0	3.0
YCR028C	3.0	3.0	3.0
YCR028C-A	1.0	1.0	1.0
YCR030C	3.0	3.0	3.0
YCR031C	3.0	3.0	3.0
YCR032W	3.0	3.0	3.0
YCR033W	3.0	3.0	3.0
YCR034W	1.0	2.0	3.0
YCR036W	3.0	3.0	3.0
YCR037C	3.0	3.0	3.0
YCR043C	3.0	3.0	3.0
YCR044C	1.0	1.0	1.0
YCR045C	3.0	3.0	3.0
YCR046C	1.0	1.0	2.0
YCR047C	3.0	3.0	3.0
YCR048W	3.0	3.0	3.0
YCR049C	3.0	3.0	3.0
YCR050C	3.0	3.0	3.0
YCR051W	3.0	3.0	3.0
YCR053W	3.0	3.0	3.0
YCR059C	3.0	3.0	3.0
YCR060W	3.0	3.0	3.0
YCR061W	3.0	3.0	3.0
YCR063W	2.0	2.0	2.0
YCR065W	3.0	3.0	3.0
YCR066W	3.0	3.0	3.0
YCR067C	3.0	3.0	3.0
YCR068W	3.0	3.0	3.0
YCR069W	3.0	3.0	3.0
YCR071C	1.0	1.0	1.0
YCR073C	3.0	3.0	3.0
YCR073W-A	3.0	3.0	3.0
YCR075C	3.0	3.0	3.0
YCR076C	3.0	3.0	3.0
YCR077C	3.0	3.0	3.0
YCR079W	3.0	1.0	1.0
YCR081W	1.0	1.0	1.0
YCR082W	3.0	3.0	3.0
YCR083W	3.0	3.0	3.0
YCR084C	1.0	1.0	1.0
YCR085W	3.0	3.0	3.0
YCR086W	3.0	2.0	3.0
YCR087C-A	3.0	3.0	3.0
YCR087W	3.0	3.0	3.0
YCR088W	3.0	3.0	3.0
YCR089W	3.0	3.0	3.0
YCR090C	3.0	3.0	3.0
YCR091W	3.0	3.0	3.0
YCR092C	3.0	3.0	3.0
YCR094W	3.0	3.0	3.0
YCR095C	3.0	3.0	3.0
YCR098C	3.0	3.0	3.0
YCR099C	3.0	3.0	3.0
YCR100C	3.0	3.0	3.0
YCR101C	3.0	3.0	3.0
YCR102C	3.0	3.0	3.0
YCR102W-A	3.0	3.0	3.0
YCR105W	3.0	3.0	3.0
YCR106W	3.0	3.0	3.0
YCR107W	3.0	3.0	3.0
YDL001W	2.0	2.0	3.0
YDL002C	3.0	3.0	3.0
YDL005C	3.0	2.0	2.0
YDL006W	1.0	2.0	2.0
YDL009C	3.0	3.0	3.0
YDL010W	3.0	3.0	3.0
YDL011C	3.0	3.0	3.0
YDL012C	1.0	1.0	1.0
YDL013W	3.0	3.0	3.0
YDL018C	3.0	3.0	3.0
YDL019C	2.0	2.0	3.0
YDL020C	3.0	3.0	3.0
YDL021W	3.0	3.0	3.0
YDL022W	3.0	3.0	3.0
YDL023C	3.0	3.0	3.0
YDL024C	3.0	3.0	3.0
YDL025C	3.0	3.0	3.0
YDL026W	3.0	3.0	3.0
YDL027C	3.0	3.0	3.0
YDL032W	1.0	1.0	2.0
YDL033C	3.0	2.0	2.0
YDL034W	3.0	3.0	3.0
YDL035C	3.0	3.0	3.0
YDL036C	3.0	3.0	3.0
YDL037C	3.0	3.0	3.0
YDL039C	2.0	2.0	2.0
YDL040C	3.0	3.0	3.0
YDL041W	3.0	3.0	3.0
YDL042C	3.0	3.0	3.0
YDL044C	1.0	1.0	1.0
YDL045W-A	1.0	1.0	1.0
YDL046W	3.0	3.0	3.0
YDL047W	1.0	1.0	1.0
YDL048C	3.0	3.0	3.0
YDL049C	3.0	3.0	3.0
YDL050C	3.0	3.0	3.0
YDL051W	3.0	3.0	3.0
YDL052C	3.0	3.0	3.0
YDL053C	3.0	3.0	3.0
YDL054C	3.0	3.0	3.0
YDL056W	1.0	1.0	1.0
YDL057W	3.0	3.0	3.0
YDL059C	3.0	3.0	3.0
YDL061C	3.0	3.0	3.0
YDL062W	3.0	3.0	3.0
YDL063C	3.0	3.0	3.0
YDL065C	1.0	2.0	3.0
YDL066W	3.0	3.0	3.0
YDL067C	1.0	1.0	1.0
YDL068W	1.0	1.0	1.0
YDL069C	1.0	1.0	3.0
YDL070W	3.0	3.0	3.0
YDL071C	3.0	3.0	3.0
YDL072C	3.0	3.0	3.0
YDL073W	3.0	3.0	3.0
YDL074C	3.0	2.0	2.5
YDL075W	1.0	2.0	3.0
YDL076C	3.0	3.0	3.0
YDL077C	1.0	1.0	1.0
YDL078C	1.0	2.0	3.0
YDL079C	3.0	3.0	3.0
YDL080C	3.0	3.0	3.0
YDL081C	3.0	3.0	3.0
YDL082W	3.0	3.0	3.0
YDL083C	3.0	3.0	3.0
YDL085W	1.0	1.0	1.0
YDL086W	3.0	3.0	3.0
YDL088C	3.0	3.0	3.0
YDL089W	3.0	3.0	3.0
YDL090C	2.0	2.0	3.0
YDL091C	1.0	1.0	1.0
YDL093W	1.0	1.0	1.0
YDL094C	3.0	3.0	3.0
YDL095W	3.0	3.0	2.5
YDL096C	3.0	3.0	3.0
YDL099W	1.0	1.0	1.0
YDL100C	3.0	3.0	3.0
YDL101C	3.0	2.0	3.0
YDL104C	3.0	3.0	3.0
YDL106C	3.0	3.0	2.0
YDL107W	1.0	1.0	1.0
YDL109C	3.0	3.0	3.0
YDL110C	3.0	3.0	3.0
YDL112W	3.0	3.0	3.0
YDL113C	3.0	3.0	3.0
YDL114W	1.0	1.0	1.0
YDL115C	3.0	3.0	3.0
YDL116W	3.0	3.0	3.0
YDL117W	3.0	3.0	3.0
YDL118W	1.0	1.0	1.0
YDL119C	1.0	1.0	1.0
YDL121C	3.0	3.0	3.0
YDL122W	3.0	3.0	3.0
YDL123W	3.0	3.0	3.0
YDL124W	3.0	3.0	3.0
YDL125C	3.0	2.0	3.0
YDL127W	3.0	3.0	3.0
YDL128W	3.0	3.0	3.0
YDL129W	1.0	1.0	1.0
YDL130W	3.0	3.0	3.0
YDL130W-A	3.0	3.0	3.0
YDL131W	3.0	3.0	3.0
YDL133C-A	3.0	3.0	3.0
YDL133W	1.0	1.0	1.0
YDL134C	3.0	3.0	3.0
YDL135C	3.0	3.0	3.0
YDL136W	3.0	3.0	3.0
YDL137W	3.0	3.0	3.0
YDL138W	3.0	3.0	3.0
YDL142C	3.0	3.0	3.0
YDL144C	3.0	3.0	3.0
YDL146W	3.0	3.0	3.0
YDL149W	3.0	3.0	3.0
YDL151C	3.0	3.0	3.0
YDL154W	3.0	3.0	3.0
YDL155W	3.0	3.0	3.0
YDL156W	3.0	3.0	3.0
YDL157C	1.0	1.0	1.0
YDL158C	3.0	3.0	3.0
YDL159W	3.0	3.0	3.0
YDL160C	1.0	1.0	1.0
YDL161W	3.0	3.0	3.0
YDL162C	3.0	3.0	3.0
YDL167C	3.0	3.0	3.0
YDL168W	3.0	3.0	3.0
YDL169C	3.0	3.0	3.0
YDL170W	3.0	2.0	3.0
YDL171C	3.0	3.0	3.0
YDL172C	3.0	3.0	2.5
YDL173W	3.0	3.0	3.0
YDL174C	3.0	3.0	3.0
YDL175C	3.0	3.0	3.0
YDL176W	3.0	3.0	3.0
YDL177C	3.0	3.0	3.0
YDL178W	3.0	3.0	3.0
YDL179W	3.0	3.0	3.0
YDL180W	3.0	3.0	3.0
YDL181W	3.0	3.0	3.0
YDL182W	3.0	3.0	3.0
YDL183C	3.0	3.0	3.0
YDL184C	3.0	3.0	3.0
YDL185W	1.0	1.0	2.0
YDL186W	3.0	3.0	3.0
YDL187C	3.0	3.0	3.0
YDL188C	3.0	3.0	3.0
YDL189W	3.0	3.0	3.0
YDL190C	3.0	3.0	3.0
YDL191W	3.0	3.0	3.0
YDL192W	3.0	2.0	3.0
YDL194W	3.0	3.0	3.0
YDL197C	3.0	3.0	3.0
YDL198C	3.0	3.0	3.0
YDL199C	3.0	3.0	3.0
YDL200C	3.0	3.0	3.0
YDL201W	3.0	3.0	3.0
YDL202W	3.0	3.0	3.0
YDL203C	3.0	3.0	3.0
YDL204W	3.0	3.0	3.0
YDL206W	3.0	3.0	3.0
YDL210W	3.0	3.0	3.0
YDL211C	1.0	1.0	1.0
YDL213C	3.0	2.0	3.0
YDL214C	3.0	3.0	3.0
YDL215C	3.0	3.0	1.0
YDL216C	3.0	3.0	3.0
YDL218W	3.0	3.0	3.0
YDL219W	3.0	3.0	3.0
YDL222C	3.0	3.0	3.0
YDL223C	3.0	3.0	3.0
YDL224C	3.0	2.0	3.0
YDL225W	2.0	2.0	2.5
YDL226C	3.0	2.0	2.5
YDL227C	3.0	3.0	3.0
YDL229W	3.0	3.0	3.0
YDL230W	3.0	3.0	3.0
YDL231C	1.0	1.0	1.0
YDL232W	3.0	3.0	3.0
YDL233W	3.0	3.0	3.0
YDL234C	3.0	3.0	3.0
YDL236W	3.0	3.0	3.0
YDL237W	3.0	3.0	3.0
YDL238C	3.0	3.0	3.0
YDL239C	3.0	2.0	3.0
YDL240W	3.0	3.0	3.0
YDL241W	3.0	3.0	3.0
YDL242W	3.0	3.0	3.0
YDL243C	3.0	3.0	3.0
YDR001C	3.0	3.0	3.0
YDR003W	3.0	3.0	3.0
YDR004W	3.0	3.0	3.0
YDR005C	3.0	3.0	3.0
YDR006C	3.0	2.0	3.0
YDR007W	3.0	3.0	3.0
YDR008C	3.0	3.0	3.0
YDR009W	3.0	3.0	3.0
YDR010C	1.0	1.0	1.0
YDR011W	3.0	3.0	3.0
YDR014W	3.0	3.0	3.0
YDR015C	3.0	3.0	3.0
YDR017C	1.0	1.0	1.0
YDR018C	3.0	3.0	3.0
YDR019C	3.0	3.0	3.0
YDR020C	3.0	3.0	3.0
YDR022C	3.0	3.0	3.0
YDR024W	3.0	3.0	3.0
YDR025W	3.0	3.0	3.0
YDR026C	3.0	3.0	3.0
YDR027C	1.0	1.0	1.0
YDR028C	3.0	3.0	3.0
YDR029W	3.0	3.0	3.0
YDR030C	3.0	3.0	3.0
YDR031W	3.0	3.0	3.0
YDR032C	3.0	3.0	3.0
YDR033W	3.0	3.0	3.0
YDR034C	3.0	3.0	3.0
