ORF	hap alpha | utilization of fatty acids (formation of clear zone on agar) | oleic acid [0.1%] | Smith JJ~Aitchison JD, 2006	hap alpha | utilization of fatty acids (formation of clear zone on agar) | tetradecanoic acid [0.125%] | Smith JJ~Aitchison JD, 2006	hap alpha | growth (colony size) | acetate [2%] | Smith JJ~Aitchison JD, 2006
YHL047C	3.000	3.000	3.000
YDR127W	3.000	3.000	3.000
YDR380W	3.000	3.000	3.000
YGL148W	3.000	3.000	3.000
YDR035W	3.000	3.000	3.000
YBR249C	3.000	3.000	3.000
YPR060C	3.000	3.000	3.000
YGL202W	3.000	3.000	3.000
YDR421W	3.000	3.000	3.000
YHR137W	3.000	3.000	3.000
YHR129C	2.000	2.000	3.000
YNL059C	3.000	2.000	3.000
YLR085C	3.000	3.000	3.000
YOR141C	1.000	1.000	2.000
YPR199C	3.000	3.000	3.000
YPR200C	3.000	3.000	3.000
YPR201W	3.000	3.000	3.000
YDL100C	3.000	3.000	3.000
YLR242C	3.000	3.000	3.000
YDR101C	3.000	3.000	3.000
YMR116C	2.000	2.000	2.500
YOR058C	3.000	3.000	3.000
YJL115W	3.000	3.000	3.000
YDL197C	3.000	3.000	3.000
YIL130W	3.000	3.000	3.000
YJL170C	3.000	3.000	3.000
YKL185W	3.000	3.000	3.000
YMR119W	3.000	3.000	3.000
YNL159C	1.000	1.000	1.000
YNL008C	3.000	3.000	3.000
YGR097W	3.000	3.000	3.000
YDL088C	3.000	3.000	3.000
YPR145W	3.000	3.000	3.000
YGR124W	3.000	3.000	3.000
YDR321W	3.000	3.000	3.000
YPR093C	2.000	2.000	3.000
YBL069W	3.000	3.000	3.000
YER101C	3.000	3.000	3.000
YDR184C	3.000	3.000	3.000
YGL017W	1.000	1.000	1.000
YOR377W	3.000	3.000	3.000
YGR177C	3.000	3.000	3.000
YGL180W	3.000	3.000	3.000
YLL042C	1.000	1.000	2.000
YPR049C	3.000	3.000	3.000
YBR217W	2.000	3.000	3.000
YPR185W	3.000	3.000	3.000
YBR128C	1.000	1.000	1.000
YCR068W	3.000	3.000	3.000
YMR159C	3.000	3.000	3.000
YLR423C	3.000	3.000	3.000
YFR021W	3.000	3.000	3.000
YOL082W	3.000	3.000	3.000
YNL242W	3.000	3.000	3.000
YDL113C	3.000	3.000	3.000
YPL100W	3.000	3.000	3.000
YCL038C	3.000	3.000	3.000
YLR431C	3.000	3.000	3.000
YLR189C	3.000	3.000	3.000
YJL178C	3.000	3.000	3.000
YNR007C	3.000	3.000	3.000
YPL149W	3.000	3.000	3.000
YHR171W	3.000	3.000	3.000
YBL078C	3.000	3.000	3.000
YDL149W	3.000	3.000	3.000
YPR026W	3.000	3.000	3.000
YDR384C	3.000	3.000	3.000
YBL099W	1.000	1.000	1.000
YLR393W	1.000	1.000	1.000
YNL315C	1.000	1.000	1.000
YJL180C	1.000	1.000	2.000
YLR295C	1.000	1.000	1.000
YPL271W	1.000	1.000	2.000
YDR377W	1.000	1.000	1.000
YML081C-A	3.000	2.000	2.000
YJR121W	3.000	3.000	3.000
YPR020W	3.000	3.000	3.000
YBR039W	1.000	1.000	1.000
YPL078C	3.000	3.000	3.000
YDR298C	1.000	1.000	2.000
YKL016C	1.000	1.000	2.000
YML116W	3.000	3.000	3.000
YAL020C	3.000	3.000	3.000
YNL259C	3.000	3.000	2.500
YOR079C	3.000	3.000	3.000
YFL010W-A	3.000	3.000	3.000
YOR011W	3.000	3.000	3.000
YLR114C	3.000	2.000	3.000
YMR068W	3.000	3.000	3.000
YJR001W	3.000	3.000	3.000
YEL064C	3.000	3.000	3.000
YKL146W	3.000	3.000	3.000
YNL101W	3.000	3.000	3.000
YBL089W	3.000	3.000	2.500
YER119C	3.000	3.000	3.000
YIL088C	3.000	3.000	3.000
YPR122W	3.000	3.000	3.000
YIL140W	3.000	3.000	3.000
YIL124W	3.000	3.000	3.000
YLL063C	3.000	3.000	3.000
YOR113W	3.000	3.000	3.000
YGR224W	3.000	3.000	3.000
YOR134W	3.000	3.000	3.000
YBR068C	3.000	3.000	3.000
YDR046C	3.000	3.000	3.000
YIL015W	3.000	3.000	3.000
YKR099W	3.000	3.000	3.000
YJR148W	3.000	3.000	3.000
YJL020C	3.000	3.000	3.000
YMR237W	3.000	3.000	3.000
YJL095W	1.000	2.000	3.000
YER167W	3.000	3.000	3.000
YDR375C	1.000	1.000	2.000
YLR399C	3.000	2.000	3.000
YDL070W	3.000	3.000	3.000
YAL060W	3.000	3.000	3.000
YBR200W	1.000	1.000	2.000
YER155C	1.000	1.000	1.000
YPL115C	3.000	3.000	3.000
YPL161C	3.000	3.000	3.000
YJR053W	3.000	3.000	3.000
YOR198C	3.000	3.000	3.000
YGR282C	3.000	3.000	3.000
YCL029C	3.000	3.000	3.000
YER016W	3.000	3.000	3.000
YGR286C	3.000	3.000	3.000
YNR058W	3.000	3.000	3.000
YNR057C	3.000	3.000	3.000
YNR056C	3.000	3.000	3.000
YBR270C	3.000	3.000	3.000
YJL058C	3.000	3.000	3.000
YFL007W	3.000	2.000	3.000
YER177W	3.000	3.000	3.000
YDR099W	3.000	3.000	3.000
YJR025C	3.000	3.000	3.000
YJR078W	3.000	3.000	3.000
YJL060W	3.000	3.000	3.000
YBL098W	3.000	3.000	3.000
YLR231C	3.000	3.000	3.000
YFR047C	3.000	3.000	3.000
YNL271C	3.000	3.000	3.000
YNL233W	3.000	3.000	3.000
YIL159W	3.000	3.000	3.000
YGR230W	3.000	3.000	3.000
YBL085W	3.000	3.000	3.000
YER114C	1.000	1.000	1.000
YPL221W	3.000	3.000	3.000
YLR267W	3.000	3.000	3.000
YNL042W	3.000	3.000	3.000
YNL275W	2.000	2.000	3.000
YCR032W	3.000	3.000	3.000
YLL015W	2.000	2.000	3.000
YDL074C	3.000	2.000	2.500
YLR015W	3.000	3.000	3.000
YDL231C	1.000	1.000	1.000
YNR051C	3.000	3.000	3.000
YPL084W	1.000	1.000	1.000
YPR057W	3.000	3.000	3.000
YDL037C	3.000	3.000	3.000
YDR275W	3.000	3.000	3.000
YNL269W	3.000	3.000	3.000
YNR069C	3.000	3.000	3.000
YOL137W	3.000	3.000	3.000
YBR290W	3.000	3.000	3.000
YPR171W	3.000	3.000	3.000
YFL025C	3.000	3.000	3.000
YGR142W	3.000	3.000	3.000
YPL069C	3.000	3.000	2.000
YDR252W	3.000	3.000	3.000
YGR188C	3.000	3.000	3.000
YMR055C	3.000	3.000	3.000
YOR026W	3.000	2.000	3.000
YGL174W	3.000	3.000	3.000
YAR014C	3.000	3.000	3.000
YEL029C	3.000	3.000	3.000
YNR027W	3.000	3.000	3.000
YJL188C	3.000	3.000	2.000
YKL092C	3.000	3.000	3.000
YLR074C	3.000	3.000	3.000
YOR078W	3.000	3.000	3.000
YMR014W	3.000	3.000	3.000
YCR047C	3.000	3.000	3.000
YER014C-A	3.000	3.000	3.000
YDR241W	3.000	3.000	3.000
YFL023W	3.000	3.000	3.000
YLR062C	1.000	1.000	1.000
YCL014W	3.000	3.000	3.000
YDL151C	3.000	3.000	3.000
YCR063W	2.000	2.000	2.000
YGR262C	3.000	2.000	2.000
YJR092W	3.000	3.000	3.000
YLR319C	3.000	3.000	3.000
YOR299W	3.000	3.000	3.000
YLR353W	3.000	3.000	3.000
YGR041W	3.000	3.000	3.000
YMR275C	3.000	3.000	3.000
YML111W	3.000	3.000	3.000
YLR226W	1.000	1.000	1.000
YKL005C	3.000	3.000	3.000
YHR114W	3.000	3.000	3.000
YML102W	3.000	3.000	3.000
YDR423C	3.000	3.000	3.000
YNL278W	3.000	3.000	3.000
YGR134W	3.000	3.000	3.000
YFL028C	3.000	3.000	3.000
YJR122W	3.000	3.000	3.000
YOR276W	3.000	3.000	3.000
YKR036C	3.000	3.000	3.000
YNL288W	3.000	3.000	3.000
YER048C	3.000	3.000	3.000
YPL048W	3.000	3.000	3.000
YEL063C	3.000	3.000	3.000
YKL007W	3.000	2.000	3.000
YIL034C	3.000	3.000	3.000
YPL111W	3.000	3.000	3.000
YLR438W	3.000	3.000	3.000
YML042W	3.000	3.000	3.000
YOR125C	1.000	1.000	1.000
YMR280C	3.000	2.000	2.000
YGR036C	1.000	1.000	1.000
YPL178W	3.000	2.000	3.000
YJR060W	3.000	2.000	3.000
YJL209W	1.000	1.000	2.000
YHL038C	1.000	1.000	2.000
YPL215W	3.000	3.000	2.000
YGR174C	1.000	1.000	2.000
YBR120C	3.000	3.000	3.000
YIL043C	3.000	3.000	3.000
YDL069C	1.000	1.000	3.000
YDR197W	1.000	1.000	2.000
YKL208W	3.000	2.000	2.000
YLR220W	3.000	3.000	3.000
YDR270W	3.000	3.000	2.000
YKL011C	3.000	3.000	3.000
YGR217W	3.000	2.000	3.000
YKR066C	3.000	3.000	3.000
YAL021C	3.000	3.000	3.000
YMR038C	3.000	3.000	3.000
YLR110C	3.000	3.000	3.000
YLR390W-A	3.000	3.000	3.000
YBR131W	3.000	2.000	3.000
YLR307W	3.000	3.000	3.000
YLR308W	3.000	3.000	3.000
YCR002C	1.000	1.000	3.000
YFR036W	3.000	3.000	3.000
YDR364C	1.000	1.000	2.500
YCR094W	3.000	3.000	3.000
YLR418C	3.000	3.000	2.500
YGL003C	3.000	3.000	3.000
YER061C	1.000	1.000	1.000
YML036W	3.000	3.000	3.000
YGL029W	3.000	3.000	3.000
YCL064C	3.000	3.000	3.000
YLR098C	3.000	3.000	3.000
YGL206C	1.000	1.000	1.000
YER164W	3.000	3.000	3.000
YBR274W	3.000	3.000	3.000
YPL008W	3.000	3.000	3.000
YDR254W	3.000	3.000	3.000
YGR157W	3.000	3.000	3.000
YBR023C	3.000	3.000	3.000
YLR330W	2.000	2.000	2.500
YJL099W	3.000	3.000	3.000
YHR142W	3.000	3.000	3.000
YMR198W	3.000	3.000	3.000
YOR349W	3.000	3.000	3.000
YPL241C	3.000	3.000	3.000
YMR138W	3.000	3.000	3.000
YOR028C	3.000	3.000	3.000
YEL061C	3.000	2.000	3.000
YDR022C	3.000	3.000	3.000
YJL158C	3.000	3.000	2.500
YNR001C	3.000	3.000	2.000
YCR005C	3.000	3.000	3.000
YPR001W	3.000	3.000	3.000
YIL035C	3.000	3.000	3.000
YOR061W	3.000	3.000	3.000
YGL019W	3.000	3.000	3.000
YOR039W	2.000	1.000	3.000
YLR133W	3.000	3.000	3.000
YNL298W	2.000	2.000	3.000
YGR108W	3.000	3.000	3.000
YPR119W	3.000	3.000	3.000
YDL155W	3.000	3.000	3.000
YLR210W	3.000	3.000	3.000
YPR120C	3.000	3.000	3.000
YGR109C	3.000	3.000	3.000
YGR167W	1.000	1.000	2.000
YGL215W	3.000	2.000	3.000
YMR199W	3.000	3.000	3.000
YPL256C	3.000	3.000	3.000
YAL040C	3.000	3.000	3.000
YMR012W	3.000	3.000	3.000
YFR014C	3.000	3.000	3.000
YOL016C	3.000	3.000	3.000
YML057W	3.000	3.000	3.000
YLR433C	3.000	3.000	3.000
YKL190W	3.000	3.000	3.000
YAL058W	3.000	3.000	3.000
YNL225C	3.000	3.000	3.000
YFR046C	3.000	3.000	3.000
YGL223C	3.000	3.000	3.000
YNL051W	3.000	2.000	2.500
YNL041C	3.000	3.000	3.000
YGL005C	3.000	3.000	3.000
YML071C	3.000	3.000	3.000
YBR003W	1.000	1.000	1.000
YNR041C	1.000	1.000	1.000
YOL096C	1.000	1.000	1.000
YDR204W	1.000	1.000	1.000
YML110C	1.000	1.000	1.000
YGR255C	1.000	1.000	1.000
YBL045C	1.000	1.000	1.000
YNL336W	3.000	3.000	3.000
YNR075W	3.000	3.000	3.000
YBR203W	3.000	3.000	3.000
YGL263W	3.000	3.000	3.000
YGR295C	3.000	3.000	3.000
YOR316C	3.000	3.000	3.000
YPL172C	1.000	1.000	2.000
YPL132W	1.000	1.000	1.000
YLR038C	1.000	1.000	2.000
YML129C	1.000	1.000	1.000
YER141W	1.000	1.000	1.000
YJL003W	1.000	1.000	1.000
YLL009C	1.000	1.000	2.000
YGR062C	1.000	1.000	2.000
YLL018C-A	1.000	1.000	1.000
YDR231C	1.000	1.000	1.000
YHR116W	3.000	3.000	2.500
YNL052W	1.000	2.000	2.000
YIL111W	1.000	1.000	1.000
YHR051W	1.000	1.000	2.000
YMR256C	1.000	1.000	2.000
YLR395C	3.000	3.000	3.000
YDL067C	1.000	1.000	1.000
YKL179C	3.000	3.000	3.000
YOR303W	3.000	3.000	3.000
YJR109C	3.000	3.000	3.000
YGR247W	3.000	3.000	3.000
YDR155C	3.000	3.000	3.000
YHR057C	3.000	3.000	3.000
YML078W	3.000	3.000	3.000
YCR069W	3.000	3.000	3.000
YDR304C	3.000	3.000	3.000
YLR216C	3.000	3.000	3.000
YJR032W	3.000	3.000	3.000
YNR028W	3.000	3.000	3.000
YJL172W	3.000	3.000	3.000
YNL130C	3.000	3.000	3.000
YOR100C	3.000	3.000	3.000
YDL142C	3.000	3.000	3.000
YDR223W	3.000	3.000	3.000
YGR189C	3.000	3.000	3.000
YLR429W	3.000	3.000	3.000
YHR146W	3.000	3.000	3.000
YLR213C	3.000	3.000	3.000
YOR031W	3.000	3.000	3.000
YNL027W	3.000	3.000	3.000
YNR010W	3.000	3.000	3.000
YLR087C	3.000	3.000	3.000
YBR036C	1.000	1.000	1.000
YBR161W	3.000	3.000	3.000
YMR025W	3.000	3.000	3.000
YCR086W	3.000	2.000	3.000
YIL132C	3.000	3.000	3.000
YMR048W	3.000	3.000	3.000
YPL200W	3.000	3.000	3.000
YJR084W	1.000	1.000	1.000
YDR179C	3.000	3.000	3.000
YLR380W	3.000	3.000	3.000
YPR030W	3.000	3.000	3.000
YIL036W	3.000	3.000	3.000
YLR394W	3.000	3.000	3.000
YDR256C	3.000	3.000	3.000
YMR078C	3.000	3.000	3.000
YPL018W	3.000	3.000	3.000
YLR381W	3.000	3.000	3.000
YPR135W	3.000	3.000	3.000
YHR191C	3.000	3.000	3.000
YDR151C	3.000	3.000	3.000
YPL181W	3.000	3.000	3.000
YKL139W	1.000	1.000	1.000
YJL006C	3.000	3.000	3.000
YML112W	1.000	1.000	2.000
YMR180C	3.000	3.000	3.000
YHR109W	3.000	3.000	3.000
YBR291C	3.000	3.000	3.000
YPR124W	1.000	1.000	1.000
YLR286C	3.000	3.000	3.000
YDR371W	3.000	3.000	3.000
YGR088W	3.000	3.000	3.000
YMR264W	3.000	3.000	3.000
YKL090W	3.000	3.000	3.000
YGL110C	3.000	3.000	3.000
YML101C	3.000	3.000	3.000
YOR042W	3.000	3.000	3.000
YGR003W	3.000	3.000	3.000
YGL166W	3.000	3.000	3.000
YEL027W	3.000	3.000	3.000
YPL177C	3.000	3.000	3.000
YNL286W	3.000	3.000	3.000
YDR163W	3.000	3.000	3.000
YDR482C	3.000	3.000	3.000
YPL064C	3.000	3.000	3.000
YGL027C	3.000	3.000	3.000
YCR017C	3.000	3.000	3.000
YKL096W	3.000	3.000	3.000
YKL096W-A	3.000	3.000	3.000
YML054C	3.000	3.000	3.000
YNL111C	3.000	3.000	3.000
YJR048W	1.000	1.000	2.000
YOR037W	3.000	3.000	2.500
YAL039C	1.000	1.000	2.000
YEL039C	3.000	3.000	3.000
YBR112C	1.000	1.000	1.000
YDL117W	3.000	3.000	3.000
YDR430C	3.000	3.000	3.000
YAL012W	3.000	3.000	3.000
YGR155W	3.000	2.000	2.000
YOR065W	1.000	1.000	2.000
YKL087C	1.000	3.000	2.000
YML070W	3.000	3.000	3.000
YFL053W	3.000	3.000	3.000
YIR027C	3.000	3.000	3.000
YIR029W	3.000	3.000	3.000
YIR032C	3.000	3.000	3.000
YIR028W	3.000	3.000	3.000
YJR152W	3.000	3.000	3.000
YIR031C	3.000	3.000	3.000
YKR034W	3.000	3.000	3.000
YIR023W	3.000	3.000	3.000
YNL314W	3.000	3.000	3.000
YJR150C	3.000	3.000	3.000
YLR037C	3.000	3.000	3.000
YBR301W	3.000	3.000	3.000
YPL170W	3.000	3.000	3.000
YHR028C	3.000	3.000	3.000
YML113W	3.000	3.000	3.000
YGR092W	3.000	3.000	3.000
YPR111W	3.000	3.000	3.000
YPL119C	1.000	1.000	1.000
YGL078C	3.000	3.000	3.000
YKR024C	3.000	3.000	3.000
YKL149C	3.000	3.000	3.000
YCL016C	3.000	3.000	3.000
YIR030C	3.000	3.000	3.000
YOR180C	3.000	3.000	3.000
YLR128W	3.000	3.000	3.000
YLR361C	3.000	3.000	3.000
YLR270W	1.000	1.000	1.000
YOR173W	3.000	3.000	3.000
YKL046C	3.000	3.000	3.000
YPL194W	3.000	3.000	3.000
YER143W	3.000	3.000	3.000
YOR163W	3.000	3.000	3.000
YOL052C-A	3.000	3.000	3.000
YMR173W	3.000	3.000	3.000
YKL054C	1.000	1.000	2.000
YFL001W	3.000	3.000	3.000
YBR163W	3.000	3.000	3.000
YAL013W	3.000	3.000	3.000
YBR201W	3.000	3.000	3.000
YIL049W	3.000	3.000	3.000
YOR030W	3.000	3.000	3.000
YMR238W	2.000	3.000	2.500
YDR411C	3.000	3.000	3.000
YOR245C	3.000	3.000	3.000
YDL160C	1.000	1.000	1.000
YMR316W	3.000	3.000	3.000
YOR080W	3.000	3.000	3.000
YDL024C	3.000	3.000	3.000
YHR011W	1.000	1.000	2.000
YLR348C	3.000	3.000	3.000
YKR035W-A	1.000	1.000	3.000
YKL002W	1.000	3.000	2.000
YGR227W	3.000	3.000	3.000
YPL049C	3.000	3.000	3.000
YDR480W	3.000	3.000	3.000
YDR263C	3.000	3.000	3.000
YPL265W	3.000	3.000	3.000
YDR403W	3.000	3.000	3.000
YDR402C	3.000	3.000	3.000
YIR004W	2.000	2.000	3.000
YDL174C	3.000	3.000	3.000
YDL178W	3.000	3.000	3.000
YEL071W	3.000	3.000	3.000
YJL065C	3.000	3.000	3.000
YMR126C	3.000	3.000	3.000
YHR115C	3.000	4.000	3.000
YNL116W	3.000	3.000	3.000
YER179W	3.000	3.000	3.000
YER166W	3.000	3.000	3.000
YDR093W	3.000	3.000	3.000
YMR162C	3.000	3.000	3.000
YOR005C	3.000	3.000	3.000
YLL001W	3.000	3.000	3.000
YKL213C	1.000	1.000	1.000
YDR069C	1.000	1.000	1.000
YGL240W	1.000	1.000	1.000
YHR044C	3.000	3.000	3.000
YHR043C	3.000	3.000	3.000
YNL001W	3.000	3.000	3.000
YDR273W	3.000	3.000	3.000
YDR068W	3.000	3.000	3.000
YDR440W	3.000	3.000	3.000
YIL010W	3.000	3.000	3.000
YER088C	3.000	3.000	3.000
YBR278W	3.000	3.000	3.000
YDR121W	3.000	3.000	3.000
YIL103W	3.000	3.000	3.000
YKL191W	3.000	3.000	3.000
YLR172C	3.000	3.000	3.000
YDR294C	3.000	3.000	3.000
YDR284C	3.000	3.000	3.000
YAL026C	1.000	1.000	1.000
YER124C	3.000	3.000	3.000
YHR143W	3.000	3.000	3.000
YOR264W	3.000	3.000	3.000
YNR067C	3.000	3.000	3.000
YBR007C	3.000	3.000	3.000
YMR276W	3.000	3.000	3.000
YPR017C	3.000	3.000	3.000
YGL043W	3.000	3.000	3.000
YDL219W	3.000	3.000	3.000
YBR180W	3.000	3.000	3.000
YDL101C	3.000	2.000	3.000
YBR208C	1.000	1.000	1.000
YHL016C	3.000	3.000	3.000
YML080W	3.000	3.000	3.000
YLR401C	3.000	3.000	3.000
YLR405W	3.000	3.000	3.000
YKR054C	3.000	3.000	3.000
YDR424C	1.000	1.000	3.000
YMR299C	3.000	3.000	3.000
YPR023C	3.000	3.000	3.000
YEL018W	3.000	3.000	3.000
YJR082C	3.000	3.000	3.000
YNL136W	3.000	2.000	3.000
YKL204W	3.000	2.000	3.000
YDR206W	3.000	3.000	3.000
YLR284C	1.000	3.000	3.000
YAL059W	3.000	3.000	3.000
YEL030W	3.000	3.000	3.000
YDR446W	3.000	3.000	3.000
YHR021W-A	3.000	3.000	3.000
YBL043W	3.000	3.000	3.000
YHR132C	3.000	3.000	3.000
YBL001C	3.000	3.000	3.000
YJR137C	3.000	3.000	3.000
YDR125C	3.000	3.000	3.000
YLR390W	3.000	3.000	3.000
YBR065C	3.000	3.000	3.000
YBL101C	3.000	3.000	3.000
YLR228C	3.000	3.000	3.000
YPL021W	3.000	3.000	3.000
YJL201W	3.000	3.000	3.000
YJR106W	3.000	3.000	3.000
YHL030W	3.000	3.000	3.000
YOR092W	3.000	3.000	3.000
YLR436C	3.000	3.000	3.000
YBR176W	3.000	3.000	3.000
YER176W	3.000	3.000	3.000
YBR078W	3.000	3.000	3.000
YHL043W	3.000	3.000	3.000
YIL146C	3.000	3.000	3.000
YLR299W	3.000	3.000	3.000
YKR076W	3.000	3.000	3.000
YMR062C	3.000	3.000	3.000
YMR176W	3.000	3.000	3.000
YLR443W	3.000	3.000	3.000
YBR076W	3.000	3.000	3.000
YGL222C	3.000	3.000	3.000
YER035W	3.000	3.000	3.000
YEL015W	3.000	3.000	3.000
YBL047C	3.000	3.000	3.000
YBR033W	3.000	3.000	3.000
YPL095C	3.000	3.000	3.000
YOR133W	3.000	3.000	3.000
YDR385W	3.000	3.000	3.000
YPL037C	3.000	3.000	3.000
YHR193C	3.000	3.000	3.000
YNL327W	3.000	3.000	3.000
YDR036C	3.000	3.000	3.000
YBR177C	3.000	3.000	3.000
YDR147W	3.000	3.000	3.000
YNL230C	3.000	3.000	3.000
YPL046C	3.000	3.000	3.000
YKL160W	3.000	1.000	3.000
YOR144C	3.000	3.000	3.000
YKL048C	3.000	2.000	3.000
YJL196C	3.000	3.000	3.000
YGR200C	3.000	3.000	3.000
YPL086C	2.000	1.000	3.000
YPL101W	3.000	3.000	3.000
YMR312W	3.000	3.000	3.000
YDR512C	2.000	2.000	2.000
YDR516C	3.000	3.000	3.000
YOL071W	1.000	1.000	2.000
YGL200C	3.000	3.000	3.000
YLR080W	3.000	3.000	3.000
YFL048C	3.000	3.000	3.000
