orf	hap a | growth (spot assay) | sodium arsenite [0.075-1 mM] | Zhou X~Costa M, 2009
YHR004C	-3.7653814275507664
YHR013C	-4.862981976714926
YHR026W	-4.340054714035419
YHR066W	-3.4844017896899078
YHR082C	-4.352768724798353
YHR178W	-3.147480504472136
YIL148W	-3.9840624126732447
YJL029C	-3.709439780193853
YJL036W	-4.256142243000049
YJL047C	-4.273941858068158
YJL062W	-4.221814413940125
YJL063C	-3.9840624126732447
YJL080C	-4.55034445205436
YJL102W	-3.9942336212835925
YJL112W	-4.03364705464869
YJL121C	-4.0107618352754075
YJL128C	-5.0494965146071795
YJL136C	-4.857642092194493
YJL172W	-3.769195630779647
YJL179W	-5.3744666297077925
YJL189W	-4.299369879594027
YJL204C	-4.342597516188006
YJR073C	-4.622687173295459
YJR075W	-4.235799825779353
YJR090C	-5.244783719925858
YJR102C	-4.115016723531473
YJR104C	-4.0120332363517015
YJR113C	-4.220543012863831
YJR145C	-4.273941858068158
YKL006W	-4.809837411725859
YKL009W	-4.141716146133636
YKL041W	-4.3985391635449185
YKL067W	-4.073060488013788
YKL119C	-4.680663062374442
YKL134C	-4.453845110363685
YKL135C	-4.257413644076342
YKL143W	-4.225628617169006
YKL160W	-3.9777054072917775
YKL190W	-2.7940310052625486
YKL191W	-3.1423949001669618
YKL197C	-4.032375653572397
YKL211C	-3.931934968545212
YKL212W	-4.337511911882832
YKL213C	-4.70621822400794
YKR007W	-4.480417392858219
YKR020W	-4.001862027741353
YKR031C	-4.3362405108065385
YKR042W	0.6718083287134734
YKR055W	-3.956091588994788
YKR099W	-3.9204923588585707
YKR100C	-4.305726884975495
YLL039C	-4.486647258132057
YLL043W	0.6718083287134734
YLR024C	-2.5066943620202227
YLR025W	-4.575136773042082
YLR061W	-3.2288501733549184
YLR068W	-3.8378512888994942
YLR079W	-4.864889078329367
YLR113W	-5.296275463515744
YLR119W	-3.8963357384089945
YLR148W	-4.0107618352754075
YLR200W	-4.412524575384147
YLR268W	-4.148073151515103
YLR335W	-4.38073954847681
YLR388W	-3.0177975946902014
YLR417W	-4.4810530933963655
YLR447C	-4.4782560110285194
YML014W	-4.5305105952641815
YML016C	-3.926849364240038
YML026C	-3.8887073319512333
YML032C	-4.019661642809462
YML034W	-3.8747219201120053
YML057C-A	-4.273941858068158
YML057W	-4.385825152781983
YML081C-A	-4.019661642809462
YML106W	-1.574757373097103
YML121W	-4.881417292321181
YML124C	-4.702149740563801
YMR004W	-4.308269687128082
YMR039C	-3.8238658770602663
YMR052C-A	-4.1061169159974185
YMR060C	-3.785723844771462
YMR100W	0.21664674340040857
YMR116C	-4.018390241733169
YMR145C	-3.933206369621505
YMR198W	-4.00440482989394
YMR214W	-0.6720626089287333
YMR219W	-3.6687549457524615
YMR234W	-3.816237470602506
YMR304W	-2.5066943620202227
YNL021W	-4.35912573017982
YNL022C	-3.934477770697799
YNL087W	-4.711685248636003
YNL091W	-4.085774498776723
YNL097C	-4.286655868831092
YNL107W	-4.5873422233745
YNL201C	-4.595733470478037
YNL215W	-4.317169494662136
YNL229C	-5.1125580079913355
YNL246W	-2.5066943620202227
YNL248C	-3.456430966011451
YNL298W	-4.327340703272483
YNL299W	-3.8747219201120053
YNL302C	-3.4513453617062777
YNL307C	-5.0494965146071795
YNL329C	-3.7819096415425815
YNR006W	-4.14298754720993
YNR010W	-4.6130245251156285
YNR031C	-4.9833836586399185
YNR032W	-3.500930003681723
YNR051C	-4.259956446228929
YNR052C	-3.8009806576869836
YNR071C	-4.111202520302593
YOL001W	-4.754404324799463
YOL008W	-1.2518214997185593
YOL012C	-4.658159263324047
YOL039W	-4.404896168926387
YOL051W	-3.804794860915864
YOL072W	-4.244699633313408
YOL081W	-5.156802765446349
YOR027W	-3.909049749171929
YOR039W	-1.111967381326277
YOR084W	-1.1094245791736896
YOR089C	-4.067974883708614
YOR123C	-3.8798075244171795
YOR124C	-4.53483335892358
YOR201C	-4.229442820397886
YOR258W	-4.00440482989394
YOR265W	-4.356582928027234
YOR290C	-4.821025741197242
YOR295W	-4.032375653572397
YOR322C	-4.407438971078973
YOR332W	-4.112473921378886
YOR359W	-3.8976071394852885
YOR360C	-4.753514344046057
YOR371C	-4.465796280480844
YPL002C	-4.317169494662136
YPL032C	-4.177315376269854
YPL042C	-5.0505136354682145
YPL045W	-3.9789768083680706
YPL059W	-4.836155414005134
YPL079W	-4.122645129989234
YPL084W	-4.770169698145502
YPL105C	-5.157311325876867
YPL158C	-4.4023533667737995
YPL165C	-4.91688938234977
YPL174C	-4.816830117645473
YPL247C	-4.1061169159974185
YPL254W	-3.9077783480956363
YPL262W	-4.759108508781749
YPR024W	-3.9599057922236685
YPR030W	-4.2726704569918645
YPR051W	-4.1442589482862235
YPR179C	-4.605268978550238
