orf	hap a | growth (culture turbidity) | edelfosine [60 uM] | CSM | Cuesta-Marban A~Mollinedo F, 2013
YMR109W	1.9462086287276594
YMR125W	5.838625886182978
YMR158W	5.838625886182978
YMR167W	3.892417257455319
YMR201C	3.892417257455319
YMR223W	3.892417257455319
YMR228W	5.838625886182978
YMR267W	1.9462086287276594
YMR269W	1.9462086287276594
YMR282C	1.9462086287276594
YMR286W	5.838625886182978
YMR316W	1.9462086287276594
YNL003C	3.892417257455319
YNL005C	5.838625886182978
YNL050C	1.9462086287276594
YNL055C	1.9462086287276594
YNL067W	1.9462086287276594
YNL076W	1.9462086287276594
YNL077W	1.9462086287276594
YNL082W	3.892417257455319
YNL084C	3.892417257455319
YNL091W	3.892417257455319
YNL145W	1.9462086287276594
YNL160W	5.838625886182978
YNL162W	5.838625886182978
YNL170W	1.9462086287276594
YNL171C	3.892417257455319
YNL184C	5.838625886182978
YNL213C	5.838625886182978
YNL225C	1.9462086287276594
YNL228W	5.838625886182978
YNL238W	1.9462086287276594
YNL284C	5.838625886182978
YNL323W	5.838625886182978
YNR004W	3.892417257455319
YNR005C	3.892417257455319
YNR006W	3.892417257455319
YNR020C	1.9462086287276594
YNR027W	1.9462086287276594
YNR037C	5.838625886182978
YOL018C	1.9462086287276594
YOL023W	1.9462086287276594
YOL027C	3.892417257455319
YOL028C	1.9462086287276594
YOL041C	1.9462086287276594
YOL056W	5.838625886182978
YOL090W	3.892417257455319
YOL095C	5.838625886182978
YOL096C	1.9462086287276594
YOL117W	1.9462086287276594
YOR002W	1.9462086287276594
YOR010C	3.892417257455319
YOR033C	3.892417257455319
YOR065W	1.9462086287276594
YOR067C	1.9462086287276594
YOR068C	3.892417257455319
YOR124C	1.9462086287276594
YOR125C	1.9462086287276594
YOR132W	3.892417257455319
YOR186W	1.9462086287276594
YOR187W	5.838625886182978
YOR188W	3.892417257455319
YOR191W	1.9462086287276594
YOR197W	5.838625886182978
YOR234C	1.9462086287276594
YOR295W	3.892417257455319
YOR360C	3.892417257455319
YPL003W	3.892417257455319
YPL047W	3.892417257455319
YPL078C	1.9462086287276594
YPL080C	3.892417257455319
YPL084W	3.892417257455319
YPL089C	5.838625886182978
YPL097W	3.892417257455319
YPL144W	5.838625886182978
YPL157W	3.892417257455319
YPL189W	5.838625886182978
YPR009W	5.838625886182978
YPR020W	1.9462086287276594
