orf	hap a | growth (pooled culture, barseq) | ethanol [24.5%], time [2 min] | SC | Yang J~Tavazoie S, 2020
YBL071W-A	-3.6716119953770603
YBL072C	0.55147634338789
YBL075C	0.0689352043932693
YBL078C	0.308872208776956
YBL079W	0.3706135489342629
YBL082C	-0.450305856933788
YBL083C	-0.0779408351509817
YBL085W	-0.00532481458140821
YBL086C	0.186267027434409
YBL087C	-0.372761575392855
YBL088C	-3.92696618556324
YBL089W	-0.7159920582642301
YBL091C-A	0.13780969149304598
YBL093C	-0.0947119374654412
YBL094C	-1.13200182715128
YBL095W	0.162567873164876
YBL096C	-5.107927928694799
YBL098W	0.0868622680937399
YBL100W-C	-0.335628133047042
YBL102W	0.337670792273401
YBL103C	0.303282738632077
YBL104C	0.026647474997137995
YBL106C	-1.8081927814938998
YBL107C	-0.25684878756623103
YBR001C	-0.0401807053798896
YBR006W	0.37864697712048606
YBR007C	-1.2369933841361398
YBR008C	1.15053904154533
YBR009C	-0.609104112378136
YBR010W	0.0402695065997123
YBR012C	-0.0766328670575407
YBR013C	-0.240764102677872
YBR014C	0.526965004472841
YBR016W	-0.27210487894867896
YBR018C	-0.16117472207042402
YBR020W	-1.016527927331286
YBR021W	-0.224608732270938
YBR022W	0.44800146331354795
YBR024W	-0.8403310500837241
YBR027C	0.426314555806154
YBR028C	0.7988012756689091
YBR030W	-4.08905307317016
YBR031W	-2.86471747628793
YBR033W	-0.199346577428214
YBR034C	0.0100273856067539
YBR035C	0.13953663139912198
YBR037C	0.577433920981066
YBR041W	-0.49083667179248497
YBR043C	0.10212362700989601
YBR044C	-2.2144119719162
YBR045C	-2.4359955870018997
YBR047W	-0.714943482890155
YBR050C	0.21897378676087398
YBR051W	-4.461743726920839
YBR052C	-0.629948114954228
YBR053C	-0.829947949236865
YBR054W	-2.6962383897373505
YBR056W	-4.5482380150261505
YBR057C	-0.246964354388857
YBR058C	-0.46221231195877394
YBR058C-A	0.0576385558053263
YBR059C	-0.51677734254871
YBR062C	-0.49150179424638
YBR063C	0.141780797080704
YBR064W	-0.19395152911150199
YBR065C	-0.319255553955322
YBR066C	0.125744488494696
YBR068C	0.55798937703447
YBR069C	-3.08485844656724
YBR071W	0.42971354186726707
YBR072C-A	0.976650977246911
YBR072W	0.722618603048602
YBR073W	-0.474211035023652
YBR074W	-1.0117166809409293
YBR077C	0.429306077360843
YBR078W	-0.896771171466251
YBR083W	1.54674445829559
YBR084C-A	0.0111815324988891
YBR084W	-0.678458745300457
YBR085C-A	-2.02859270461383
YBR085W	-0.562218698398213
YBR089C-A	-4.4254309353075705
YBR090C	-1.07955059313408
YBR092C	-0.157962186778658
YBR095C	0.808570559276976
YBR098W	0.4593166652608295
