ORF	hap a | growth (colony size) | chitosan [1.75 mg/ml] | Galvan Marquez I~Smith ML, 2013
YKR003W	0.737
YLR017W	0.703
YKR005C	0.763
YLR018C	0.620
YKR006C	0.690
YLR019W	0.713
YKR007W	0.577
YLR020C	0.720
YKR009C	0.743
YLR021W	0.620
YKR011C	0.440
YLR023C	0.767
YKR012C	0.623
YLR024C	0.623
YKR013W	0.557
YLR025W	0.647
YKR014C	0.673
YKL084W	0.373
YJL179W	0.503
YKL085W	0.540
YJL178C	0.640
YKL086W	0.700
YJL176C	0.803
YKL090W	0.663
YJL172W	0.497
YKL091C	0.727
YJL171C	0.720
YKL092C	0.677
YJL170C	0.687
YKL093W	0.763
YJL169W	0.697
YKL094W	0.623
YJL168C	0.620
YKL096W	0.610
YJL166W	0.372
YKL097C	0.000
