ORF	het | growth (culture turbidity) | bovine pancreatic trypsin inhibitor [1.75 uM] | Bleackley MR~Anderson MA, 2014
YPL061W	2.311
YDR257C	2.719
YGR084C	2.268
YOR348C	1.691
YCR059C	2.743
YBL071W-A	2.488
YKR105C	2.466
YLR234W	2.317
YGR209C	2.925
YNL275W	2.828
YOR231W	2.208
YOR247W	2.208
YPL055C	2.296
YHL005C	2.921
YKL110C	2.646
YOR192C	2.206
YBR133C	2.621
YPR193C	2.960
YHR075C	2.795
YML083C	3.290
YNL056W	3.302
YBL070C	2.759
YMR263W	1.363
YHR003C	2.439
YOR255W	2.191
YDR198C	2.380
YML005W	3.281
YPR158W	2.271
YJR154W	2.432
YMR116C	2.642
YOR243C	2.185
YOR112W	2.216
YHR021C	1.357
YMR127C	2.638
YPL109C	2.966
YBL082C	2.746
YNL034W	2.343
YOR240W	2.180
YOR263C	2.180
YPL111W	2.964
YHR105W	2.755
YMR100W	2.631
YLR264W	2.277
YMR029C	3.267
YDR174W	3.008
YDR447C	3.004
YNR007C	2.334
YIL116W	3.264
YKR065C	2.667
YBL007C	2.733
YOR338W	1.667
YPL137C	3.527
YHR077C	2.736
YKR051W	2.658
YNR048W	2.326
YBL086C	2.720
YCL056C	3.142
YDR181C	2.344
YPR124W	2.235
YLR200W	2.773
YHR095W	2.716
YHR134W	2.716
YML081W	3.246
YCR024C-A	2.663
YJL060W	2.594
YEL037C	2.654
YKL037W	2.748
YCR049C	2.649
YJL117W	2.576
YOR377W	1.653
YGR012W	2.470
YLR372W	2.234
YMR143W	2.485
YOR238W	2.137
YNL194C	2.202
YLR380W	2.231
YNL276C	2.744
YFR048W	2.874
YGL224C	1.819
YLR413W	2.231
YOR173W	2.131
YOR277C	2.131
YPL249C	2.006
YGR016W	2.461
YHR147C	2.672
YGL083W	2.196
YGR025W	2.383
YGR109C	2.128
YJL160C	1.307
YPL006W	2.195
YDL104C	2.780
YOR239W	1.971
YMR156C	2.733
YOR313C	1.647
YGR044C	2.115
YHR098C	2.108
YHR155W	2.652
YKR101W	2.350
YMR153C-A	2.728
YNL162W	1.955
YPL064C	2.174
YLR271W	2.206
YPR128C	2.174
YNL092W	2.935
YOR193W	2.108
YCR020C-A	3.062
YMR193C-A	2.716
YGR003W	2.432
YHR093W	2.627
YKR020W	2.593
YPR097W	2.529
YPR100W	2.529
YGR052W	2.080
YJL045W	2.326
YNR037C	2.260
YNL201C	2.163
YOR301W	1.635
YNL192W	2.160
YOR016C	2.698
YDL025C	3.129
YFR011C	3.147
YDR192C	2.259
YLR287C	2.184
YKR103W	2.315
YJR111C	2.315
YNL119W	3.142
YKL156W	2.485
YER064C	2.081
YDR241W	2.248
YDR446W	2.925
YNR009W	2.243
YGR118W	2.049
YNR005C	2.240
YBL083C	2.625
YGR071C	2.049
YOR234C	2.077
YML094W	2.503
YNL187W	2.139
YDL183C	2.722
YJL209W	2.632
YML048W	3.165
YMR183C	2.690
YMR207C	2.690
YJL077C	2.493
YJL118W	2.493
YIL023C	2.824
YML117W-A	2.496
YOR105W	2.036
YKL065C	2.090
YOR323C	1.620
YNL202W	2.127
YDR441C	2.910
YNL032W	2.226
YNL184C	2.124
YML054C	3.147
YMR102C	2.482
YHR092C	2.548
YKR019C	2.870
YEL023C	2.567
YDR497C	2.903
YER040W	2.946
YPL133C	2.866
YFR038W	2.071
YBR283C	2.534
YMR246W	2.669
YNL175C	2.532
YOR162C	2.045
YER087W	1.281
YLR180W	2.603
YML029W	3.130
YPR127W	2.083
YMR237W	2.665
YHR137W	2.519
YKL109W	2.420
YLR252W	2.126
YMR125W	2.457
YOR152C	2.036
YOR064C	2.630
YHL021C	2.686
YLR020C	3.133
YJR127C	2.244
YCR017C	2.938
YMR251W-A	2.655
YGR269W	3.031
YKL102C	2.405
YGL056C	2.087
YJR077C	2.880
YBR279W	2.488
YJL023C	2.506
YDR244W	2.504
YBL094C	2.557
YBR084C-A	2.823
YKR049C	2.501
YLR049C	3.116
YDR346C	3.044
YBR048W	2.807
YHR001W-A	2.659
YIR042C	2.534
YKR097W	2.223
YOR120W	1.944
YHR066W	2.464
YNL235C	2.069
YDR250C	2.492
YIL008W	3.011
YPR148C	2.040
YMR204C	2.634
YLR172C	2.543
YMR062C	2.523
YOR115C	1.931
YOL035C	1.922
YOR283W	1.993
YMR209C	2.007
YOR067C	2.584
YNL200C	2.054
YGR066C	1.918
YJL022W	2.467
YLR361C	2.758
YNL266W	2.581
YOR092W	1.585
YOR104W	1.914
YPL107W	2.821
YPL179W	2.821
YNL120C	2.996
YHR153C	2.425
YNL168C	2.467
YOR178C	1.985
YGL012W	2.521
YHR010W	1.250
YDL061C	3.025
YHR034C	2.420
YDR226W	2.123
YOR161C	1.982
YOL046C	1.913
YOR219C	1.979
YNL069C	1.913
YKR058W	2.461
YOR228C	1.979
YPL105C	2.815
YPR050C	3.285
YMR140W	2.615
YDR121W	3.005
YLR287C-A	2.061
YHR193C	1.993
YLR139C	2.858
YOR237W	1.976
YLR255C	2.061
YBR162W-A	3.020
YOR131C	1.892
YOR327C	1.579
YJL165C	2.087
YHR047C	2.400
YER077C	1.988
YGL237C	1.819
YLR023C	3.072
YOR242C	1.968
YMR259C	2.813
YLR184W	2.487
YOR175C	1.965
YGR157W	2.598
YOL056W	1.904
YDR175C	2.098
YCL076W	2.844
YDR336W	2.743
YKR089C	2.162
YLR366W	2.042
YOL060C	1.901
YOR156C	1.959
YPR017C	2.362
YJL073W	2.348
YKL006W	2.474
YJL093C	2.345
YKL184W	1.861
YBR196C-A	2.343
YCR021C	2.823
YGR124W	2.842
YGR161C	2.583
YGR176W	2.583
YOL015W	1.570
YDL096C	2.589
YDL160C	2.456
YHL014C	2.583
YNR024W	2.115
YDL219W	3.240
YGR201C	2.151
YPR134W	1.971
YOR246C	1.948
YOR351C	1.567
YJL063C	2.334
YPR015C	2.344
YGR045C	1.844
YKR090W	2.141
YKR099C-A	2.335
YNL047C	2.794
YOL075C	1.889
YPL018W	1.953
YPL263C	1.887
YOL088C	2.458
YPR018W	2.326
YPR020W	2.326
YGL081W	1.570
YKR001C	2.409
YGL066W	1.982
YPL014W	1.939
YHL003C	2.544
YMR153W	2.571
YOR053W	2.506
YOR154W	1.925
YGL063W	1.982
YGR096W	1.813
YNL213C	1.979
YKL055C	2.423
YHR189W	2.311
YEL007W	2.434
YLR288C	1.996
YMR202W	2.281
YIL057C	2.709
YMR244W	2.561
YDR316W	2.709
YGR192C	2.529
YGR275W	2.918
YKL056C	2.410
YPR156C	1.921
YKL032C	2.406
YER037W	2.675
YJL190C	2.445
YMR166C	2.554
YGL026C	2.430
YOR031W	2.480
YIL153W	2.866
YKR059W	2.375
YOL114C	1.929
YPR096C	2.276
YOL132W	1.927
YDR231C	2.016
YNL098C	2.656
YMR011W	2.984
YGR049W	1.769
YJL071W	2.269
YPL248C	1.861
YPR189W	2.557
YGL027C	2.413
YOL042W	1.859
YBR191W	2.652
YGR108W	1.761
YGR159C	2.494
YDR216W	2.005
YGR069W	1.761
YGR102C	1.761
YNL241C	1.939
YPL072W	2.188
YBL053W	2.407
YDL116W	2.513
YNL080C	2.845
YNL195C	1.939
YPL029W	1.888
YPR012W	2.270
YCL026C	2.716
YFL047W	2.886
YGL246C	2.185
YGR107W	1.752
YPL022W	1.884
YJL059W	1.733
YKR084C	2.409
YGR111W	1.747
YMR247W-A	2.304
YAR015W	2.867
YGL090W	1.930
YLR268W	1.953
YIL037C	2.681
YDR165W	1.987
YPL025C	1.874
YHR045W	1.905
YPL150W	2.734
YJR082C	2.055
YLR126C	2.694
YER095W	1.905
YPR153W	1.870
YCL063W	2.690
YDR254W	2.342
YLR289W	1.943
YML120C	2.249
YNL223W	1.918
YLR452C	2.792
YOR201C	1.864
YDR210W	1.977
YLR311C	1.977
YCL060C	2.681
YOL025W	1.841
YNL091W	2.811
YHR025W	2.042
YKL093W	2.183
YMR262W	2.741
YOR292C	1.526
YMR099C	2.234
YKL176C	2.179
YDR214W	1.966
YJR115W	2.038
YJL115W	2.222
YBL059W	2.371
YGR011W	1.874
YJR011C	2.300
YJR103W	2.035
YLR395C	1.928
YHR011W	2.444
YOR030W	2.421
YNL250W	2.227
YOR137C	1.704
YDR255C	2.323
YKL009W	2.316
YNL082W	2.790
YDL182W	2.472
YDR191W	1.955
YEL042W	2.367
YOR015W	2.418
YOR225W	1.847
YCL032W	2.654
YHR203C	2.654
YKL044W	2.308
YPR131C	1.175
YGR031W	1.691
YOR019W	2.412
YBL006C	2.355
YJL067W	2.200
YOR202W	1.836
YHR048W	2.168
YGL062W	1.888
YLR296W	1.941
YJL065C	2.193
YNL231C	1.885
YPL258C	1.824
YPR095C	2.193
YDR085C	2.855
YGL261C	2.131
YIR033W	2.366
YKL010C	2.286
YDL151C	2.453
YMR048W	2.590
YNL005C	1.993
YOR114W	1.669
YPR009W	2.199
YCL001W	2.627
YKL188C	1.664
YNR020C	1.990
YJL106W	2.182
YLR177W	2.278
YOR041C	2.392
YNL293W	2.718
YCL030C	2.618
YHL026C	2.406
YOR014W	2.389
YDR220C	1.923
YIL011W	2.640
YOR006C	2.389
YDR528W	2.701
YLR165C	2.269
YOR163W	1.819
YOR264W	1.819
YOR094W	1.508
YKL169C	2.125
YOR054C	2.382
YHR152W	2.134
YHR154W	2.134
YJL144W	2.339
YLR218C	2.261
YLR388W	1.885
YMR124W	2.181
YBR266C	3.081
YOR205C	1.813
YJL079C	2.164
YJL166W	2.335
YOR245C	1.810
YHR183W	2.124
YJR008W	2.244
YDR420W	2.328
YEL005C	2.328
YJL096W	1.959
YPR141C	1.834
YLR356W	1.878
YPL232W	1.808
YIL133C	2.728
YGR188C	1.977
YMR129W	2.171
YNL043C	1.970
YOR051C	2.369
YPR005C	1.787
YGR039W	1.629
YGL242C	2.095
YML113W	2.167
YNL046W	1.968
YOR211C	1.801
YPL182C	2.681
YGR061C	1.625
YKL134C	2.102
YNL123W	2.528
YOL037C	1.803
YOR342C	1.498
YPR004C	1.776
YDL188C	2.415
YPR069C	2.146
YMR306C-A	2.697
YGR097W	1.616
YMR042W	2.463
YGR121C	1.616
YGR227W	2.427
YGL251C	2.082
YKR064W	2.259
YLR236C	1.860
YPL066W	1.765
YPL164C	2.673
YOR130C	1.607
YDR169C	1.877
YLR035C	1.834
YPL116W	2.671
YER088C	1.834
YDR426C	2.305
YDR513W	2.671
YGR051C	1.603
YKL062W	2.218
YKR057W	2.249
YGL232W	2.073
YJL151C	2.155
YJR054W	2.399
YGL195W	1.873
YHR167W	2.074
YHR038W	2.074
YKL016C	2.209
YPL056C	1.754
YBR122C	2.056
YNR031C	1.945
YDR194C	1.866
YGR135W	2.653
YDR450W	2.664
YGL079W	1.825
YGL178W	2.252
YHR082C	2.065
YDR127W	2.795
YGR067C	1.585
YJR021C	2.202
YJL099W	2.117
YOR177C	1.773
YPL047W	1.747
YDR144C	2.789
YKR050W	2.237
YMR160W	2.530
YMR173W-A	2.444
YDR234W	1.859
YJL183W	2.287
YLR416C	1.835
YNL107W	2.673
YNL214W	1.815
YGR035C	1.577
YIL084C	2.769
YHR017W	1.818
YKL117W	2.056
YNL324W	2.678
YGL003C	2.270
YJL058C	2.106
YNR052C	2.479
YPL067C	2.054
YGR018C	2.154
YKR092C	1.929
YLR415C	1.829
YDR230W	1.845
YKL074C	2.049
YLR187W	2.180
YLR257W	1.826
YMR130W	2.114
YBL061C	2.263
YER033C	2.635
YLR241W	1.826
YOL012C	1.481
YGL249W	2.044
YHR157W	2.030
YKL047W	2.175
YBL056W	2.260
YKL027W	2.175
YGR088W	1.559
YGR263C	2.758
YOL009C	1.479
YNL147W	1.664
YOL121C	1.808
YOR109W	1.555
YER123W	2.835
YGR019W	2.038
YLR324W	2.268
YDR395W	2.272
YER130C	2.835
YLR148W	1.124
YDR213W	1.830
YDR258C	2.213
YJL218W	2.264
YGR112W	1.546
YDR477W	3.269
YGR017W	2.034
YJR032W	2.360
YPL053C	1.714
YCL005W	2.499
YDR204W	1.827
YGR054W	1.542
YKR056W	2.210
YPL103C	2.641
YDR079C-A	2.226
YDR392W	2.266
YJL119C	2.081
YML117W	2.096
YPL260W	1.770
YNL015W	1.908
YNL028W	1.908
YOR118W	1.537
YGR027C	1.533
YEL013W	2.261
YKL040C	2.150
YJR078W	1.898
YOR208W	1.735
YGR070W	1.529
YLR304C	1.816
YJR005W	2.157
YPR116W	1.696
YLR185W	2.141
YKL204W	2.491
YNR030W	1.899
YPR145W	1.696
YLR094C	2.843
YOR233W	1.730
YDR199W	1.809
YER066W	1.888
YMR279C	1.789
YOR052C	2.285
YOR133W	1.520
YBR292C	2.146
YLR364W	1.792
YKL107W	2.006
YML108W	2.075
YML128C	2.075
YMR294W-A	2.653
YAL059W	2.742
YHR126C	1.976
YGL076C	1.770
YKL120W	2.003
YLR121C	2.810
YPR079W	2.056
YAR042W	2.221
YGL218W	1.611
YBR095C	2.955
YMR122C	2.068
YGR033C	1.507
YPR027C	2.068
YPR155C	1.678
YJL116C	2.049
YJL135W	2.232
YGR141W	2.592
YPR063C	2.045
YOR170W	1.715
YDR185C	1.791
YJL089W	2.045
YJL088W	1.768
YOR108W	1.494
YLR043C	2.826
YPL071C	1.996
YHR086W	1.956
YPL226W	1.750
YCL034W	2.445
YCR082W	2.126
YGR008C	1.993
YGR077C	1.489
YKL160W	1.983
YNL226W	1.755
YDR265W	2.557
YNR021W	1.877
YGL260W	1.993
YGL021W	2.205
YDR197W	1.780
YGL087C	1.752
YML102W	2.050
YDR193W	1.777
YDR262W	2.553
YDR369C	2.720
YKL197C	2.167
YNL173C	2.167
YDR378C	2.720
YKL132C	1.976
YDR155C	1.777
YKL011C	2.098
YJR098C	2.703
YMR181C	1.766
YOR330C	1.455
YDR147W	1.470
YCR088W	2.459
YJL134W	2.213
YLR297W	1.773
YGL041C	1.743
YPL244C	1.742
YEL050C	2.222
YLR213C	2.090
YJL149W	2.210
YNL218W	1.743
YAR014C	2.718
YKL124W	1.964
YNL246W	2.246
YAL013W	2.718
YHR142W	1.926
YGR153W	2.233
YLR273C	1.755
YFR031C-A	2.694
YOR144C	1.692
YPL008W	1.646
YPR149W	1.646
YGR203W	2.233
YPR083W	2.216
YKR098C	1.840
YDR505C	2.590
YER063W	1.840
YHR029C	2.229
YBR221C	2.944
YOR078W	2.239
YOR135C	1.459
YDR006C	3.059
YGR237C	2.293
YPL224C	2.444
YIL029C	2.540
YDR202C	2.437
