orf	het | growth (culture turbidity) | bovine pancreatic trypsin inhibitor [1.75 uM] | Bleackley MR~Anderson MA, 2014
YCR084C	-0.0010000000000000009
YCR085W	-0.12369999999999998
YCR086W	-0.08159999999999999
YCR087C-A	-0.1201
YCR087W	-0.1226
YCR088W	-0.10940000000000003
YCR089W	-0.1262
YCR090C	-0.13790000000000002
YCR091W	-0.12369999999999999
YCR092C	-0.1236
YCR094W	-0.05399999999999999
YCR095C	-0.11989999999999996
YCR095W-A	-0.17980000000000002
YCR098C	-0.12269999999999998
YCR099C	-0.13
YCR100C	-0.1276
YCR101C	-0.12479999999999998
YCR102C	-0.1244
YCR102W-A	-0.1337
YCR105W	-0.13019999999999998
YCR106W	-0.13740000000000002
YCR107W	-0.15850000000000003
YDL001W	-0.13739999999999997
YDL002C	-0.11769999999999999
YDL006W	-0.1548
YDL009C	-0.1642
YDL010W	-0.1466
YDL011C	-0.1505
YDL012C	-0.1429
YDL013W	-0.1436
YDL018C	-0.14229999999999998
YDL019C	-0.142
YDL020C	-0.13640000000000002
YDL021W	-0.15629999999999997
YDL022W	-0.1281
YDL023C	-0.15610000000000002
YDL024C	-0.15639999999999998
YDL025C	-0.09579999999999997
YDL026W	-0.165
YDL027C	-0.1446
YDL032W	-0.15500000000000003
YDL033C	-0.14339999999999997
YDL034W	-0.1149
YDL035C	-0.1254
YDL036C	-0.16199999999999998
YDL037C	-0.13990000000000002
YDL039C	-0.14934999999999998
YDL040C	-0.15940000000000001
YDL041W	-0.1517
YDL042C	-0.31679999999999997
YDL044C	-0.14980000000000004
YDL045W-A	-0.12560000000000004
YDL046W	-0.14450000000000002
YDL047W	-0.08169999999999998
YDL048C	-0.1421
YDL049C	-0.1325
YDL050C	-0.12990000000000002
YDL051W	-0.1342
YDL052C	-0.1488
YDL053C	-0.1533
YDL054C	-0.154
YDL056W	-0.1634
YDL057W	-0.14049999999999996
YDL059C	-0.1391
YDL061C	-0.0996
YDL062W	-0.14329999999999998
YDL063C	-0.132
YDL065C	-0.11830000000000002
YDL066W	-0.1461
YDL067C	-0.17060000000000003
YDL068W	-0.12519999999999998
YDL069C	-0.1473
YDL070W	-0.1532
YDL071C	-0.15020000000000003
YDL072C	-0.1432
YDL073W	-0.137
YDL074C	-0.1387
YDL075W	-0.050600000000000006
YDL076C	-0.1166
YDL077C	-0.16485
YDL078C	-0.1276
YDL079C	-0.13419999999999999
YDL080C	-0.1415
YDL081C	-0.12480000000000001
YDL082W	-0.1426
YDL083C	-0.1432
YDL085C-A	-0.1842
YDL085W	-0.1532
YDL086W	-0.1638
YDL088C	-0.17009999999999997
YDL089W	-0.1556
YDL090C	-0.1436
YDL091C	-0.1405
YDL093W	-0.1483
YDL094C	-0.15280000000000002
YDL095W	-0.1225
YDL096C	-0.10060000000000001
YDL099W	-0.13339999999999996
YDL100C	-0.1356
YDL101C	-0.11259999999999999
YDL104C	-0.09459999999999998
YDL106C	-0.0773
YDL107W	-0.1219
YDL109C	-0.13
YDL110C	-0.1336
YDL112W	-0.11230000000000001
YDL113C	-0.12120000000000002
YDL114W	-0.12880000000000003
YDL115C	-0.11660000000000001
YDL116W	-0.10300000000000001
YDL117W	-0.11510000000000001
YDL118W	-0.15610000000000002
YDL119C	-0.1486
YDL121C	-0.1256
YDL122W	-0.16529999999999997
YDL123W	-0.1377
YDL124W	-0.12419999999999999
YDL125C	-0.1255
YDL127W	-0.12909999999999996
YDL128W	-0.1285
YDL129W	-0.11180000000000001
YDL130W	-0.17760000000000004
YDL130W-A	-0.13779999999999998
YDL131W	-0.1461
YDL133C-A	-0.12880000000000003
YDL133W	-0.1347
YDL134C	-0.11389999999999999
YDL135C	-0.0861
YDL136W	-0.14359999999999998
YDL137W	-0.12549999999999997
YDL138W	-0.11830000000000002
YDL142C	-0.12399999999999999
YDL144C	-0.1346
YDL146W	-0.05349999999999998
YDL149W	-0.1106
YDL151C	-0.1049
YDL154W	-0.1367
YDL155W	-0.14250000000000002
YDL156W	-0.1274
YDL157C	-0.1263
YDL159W	-0.1284
YDL159W-A	-0.14539999999999997
YDL160C	-0.10060000000000001
YDL160C-A	-0.1407
YDL161W	-0.12990000000000002
YDL162C	-0.11949999999999997
YDL167C	-0.13489999999999996
YDL168W	-0.1254
YDL169C	-0.1235
YDL170W	-0.12059999999999998
YDL171C	-0.1209
YDL172C	-0.0713
YDL173W	-0.0605
YDL174C	-0.11450000000000002
YDL175C	-0.11470000000000002
YDL176W	-0.11900000000000001
YDL177C	-0.1247
YDL178W	-0.12730000000000002
YDL179W	-0.1271
YDL180W	-0.126
YDL181W	-0.044199999999999996
YDL182W	-0.1043
YDL183C	-0.09640000000000001
YDL184C	-0.1321
YDL185W	-0.03360000000000003
YDL186W	-0.12819999999999998
YDL187C	-0.08190000000000001
YDL188C	-0.10610000000000001
YDL189W	-0.039400000000000004
YDL190C	-0.1465
YDL191W	-0.26439999999999997
YDL192W	-0.21389999999999998
YDL194W	-0.11620000000000001
YDL197C	-0.19290000000000002
YDL198C	-0.17360000000000003
YDL199C	-0.16509999999999997
YDL200C	-0.14750000000000002
YDL201W	-0.1547
YDL202W	-0.1483
YDL203C	-0.12429999999999998
YDL204W	-0.12719999999999998
YDL206W	-0.16659999999999997
YDL210W	-0.18679999999999997
YDL211C	-0.2053
YDL213C	-0.2564
YDL214C	-0.23789999999999997
YDL215C	-0.16750000000000004
YDL216C	-0.17159999999999997
YDL218W	-0.1482
YDL219W	-0.1007
YDL222C	-0.162
YDL223C	-0.1441
YDL224C	-0.1275
YDL225W	-0.12459999999999997
YDL226C	-0.2035
YDL227C	-0.20220000000000005
YDL229W	-0.23199999999999998
YDL230W	-0.2462
YDL231C	-0.1794
YDL232W	-0.1724
YDL233W	-0.1376
YDL234C	-0.12519999999999998
YDL236W	-0.1426
YDL237W	-0.1348
YDL238C	-0.11359999999999998
YDL239C	-0.1798
YDL240W	-0.1705
YDL241W	-0.22799999999999998
YDL242W	-0.2602
YDL243C	-0.2707
YDR001C	-0.18810000000000002
YDR003W	-0.1411
YDR003W-A	-0.1492
YDR004W	-0.1337
YDR005C	-0.11979999999999999
YDR006C	-0.10989999999999998
YDR007W	-0.1275
YDR008C	-0.1426
YDR009W	-0.1206
YDR010C	-0.14930000000000004
YDR011W	-0.19899999999999998
YDR014W	-0.20739999999999997
YDR015C	-0.2026
YDR017C	-0.15780000000000002
YDR018C	-0.13990000000000002
YDR019C	-0.1217
YDR020C	-0.1282
YDR022C	-0.1136
YDR024W	-0.12830000000000003
YDR025W	-0.1807
YDR026C	-0.1509
YDR027C	-0.1104
YDR028C	-0.1909
YDR029W	-0.14759999999999998
YDR030C	-0.08109999999999998
YDR031W	-0.13640000000000002
YDR032C	-0.13179999999999997
YDR033W	-0.1221
YDR034C	-0.13140000000000002
YDR034W-B	-0.13399999999999998
YDR035W	-0.13179999999999997
YDR036C	-0.1255
YDR042C	-0.1235
YDR043C	-0.1549
YDR046C	-0.1467
YDR048C	-0.07799999999999999
YDR049W	-0.13319999999999999
YDR050C	0.006100000000000008
YDR051C	-0.1538
YDR055W	-0.15100000000000002
YDR056C	-0.1396
YDR057W	-0.12340000000000001
YDR058C	-0.13709999999999994
YDR059C	-0.1467
YDR061W	-0.1249
YDR063W	-0.11719999999999998
YDR065W	-0.15660000000000002
YDR066C	-0.1477
YDR067C	-0.11910000000000001
YDR068W	-0.14600000000000002
YDR069C	-0.08449999999999999
YDR070C	-0.14830000000000002
YDR071C	-0.12100000000000002
YDR072C	-0.1678
YDR073W	-0.15419999999999998
YDR074W	-0.08040000000000003
YDR075W	-0.14759999999999998
YDR076W	-0.17619999999999997
YDR077W	-0.18379999999999996
YDR078C	-0.1844
YDR079C-A	-0.10790000000000001
YDR079W	-0.18
YDR080W	-0.19079999999999997
YDR083W	-0.121
YDR084C	-0.15749999999999997
YDR085C	-0.1048
YDR089W	-0.1638
YDR090C	-0.15665
YDR092W	-0.12490000000000001
YDR093W	-0.1558
YDR094W	-0.1538
YDR095C	-0.127
YDR096W	-0.15360000000000001
YDR097C	-0.14089999999999997
YDR098C	-0.1643
YDR099W	-0.1573
YDR100W	-0.1496
YDR101C	-0.1198
YDR102C	-0.1452
YDR103W	-0.1538
YDR104C	-0.1408
YDR105C	-0.09040000000000002
YDR107C	-0.13490000000000002
YDR108W	-0.15689999999999998
YDR109C	-0.1203
YDR110W	-0.14959999999999998
YDR111C	-0.15960000000000002
YDR112W	-0.14
YDR114C	-0.1438
YDR115W	-0.126
YDR116C	-0.1517
YDR117C	-0.1465
YDR119W	-0.1528
YDR120C	-0.1505
YDR121W	-0.09979999999999997
YDR122W	-0.1592
YDR123C	-0.033600000000000005
YDR124W	-0.1392
YDR125C	-0.14490000000000003
YDR126W	-0.12610000000000002
YDR127W	-0.10680000000000002
YDR128W	-0.1512
YDR129C	-0.1403
YDR130C	-0.14070000000000002
YDR131C	-0.11609999999999998
YDR132C	-0.1264
YDR133C	-0.14070000000000005
YDR135C	-0.1411
YDR136C	-0.1242
YDR137W	-0.1403
YDR138W	-0.11610000000000001
YDR139C	-0.12949999999999998
YDR140W	-0.13689999999999997
YDR142C	-0.14129999999999998
YDR143C	-0.1381
YDR144C	-0.10699999999999998
YDR146C	-0.1738
YDR147W	-0.1368
YDR148C	-0.1391
YDR149C	-0.11519999999999998
YDR150W	-0.11870000000000003
YDR151C	-0.1186
YDR152W	-0.11469999999999997
YDR153C	-0.12459999999999999
YDR154C	-0.11579999999999999
YDR155C	-0.10930000000000002
YDR156W	-0.11750000000000002
YDR157W	-0.1343
YDR158W	-0.12260000000000003
YDR159W	-0.05940000000000001
YDR161W	-0.12350000000000001
YDR162C	-0.1223
YDR163W	-0.08830000000000002
YDR165W	-0.10339999999999999
YDR169C	-0.10649999999999998
YDR169C-A	-0.13290000000000002
YDR171W	-0.12310000000000001
YDR173C	-0.11989999999999998
YDR174W	-0.09289999999999998
YDR175C	-0.10029999999999999
YDR176W	-0.084
YDR178W	-0.1274
YDR179C	-0.12819999999999998
YDR179W-A	-0.11624999999999999
YDR181C	-0.09340000000000001
YDR182W-A	-0.1293
YDR183W	-0.12159999999999999
YDR184C	-0.1119
YDR185C	-0.10890000000000002
YDR186C	-0.05079999999999997
YDR191W	-0.1043
YDR192C	-0.0958
YDR193W	-0.10929999999999998
YDR194C	-0.10679999999999999
YDR194W-A	-0.17320000000000002
YDR195W	-0.11470000000000002
YDR197W	-0.10919999999999999
YDR198C	-0.0924
YDR199W	-0.10840000000000001
YDR200C	-0.0753
YDR202C	-0.10990000000000003
YDR203W	-0.0789
YDR204W	-0.10789999999999998
YDR205W	-0.1388
YDR206W	-0.0649
YDR207C	-0.09079999999999999
YDR209C	-0.11829999999999999
YDR210W	-0.10370000000000003
YDR213W	-0.10779999999999999
YDR214W	-0.104
YDR215C	-0.11210000000000002
YDR216W	-0.1029
YDR217C	-0.1428
YDR218C	-0.11950000000000001
YDR219C	-0.126
YDR220C	-0.1052
YDR221W	-0.05619999999999997
YDR222W	-0.0858
YDR223W	-0.08420000000000001
YDR225W	-0.03900000000000001
YDR226W	-0.09960000000000001
YDR227W	-0.1319
YDR229W	0.0015000000000000013
YDR230W	-0.1074
YDR231C	-0.10260000000000001
YDR233C	-0.1213
YDR234W	-0.10700000000000001
YDR237W	-0.1196
YDR239C	-0.08600000000000002
YDR241W	-0.09609999999999999
YDR242W	-0.1866
YDR244W	-0.09829999999999998
YDR245W	-0.1248
YDR246W-A	-0.13829999999999998
YDR247W	-0.08259999999999999
YDR248C	-0.1305
YDR249C	-0.11229999999999998
YDR250C	-0.09870000000000002
YDR251W	-0.08900000000000001
YDR252W	-0.11110000000000002
YDR253C	-0.11039999999999998
YDR254W	-0.10360000000000001
YDR255C	-0.10420000000000001
YDR256C	-0.12480000000000001
YDR257C	-0.0913
YDR258C	-0.10779999999999999
