orf	het | growth (culture turbidity) | bovine pancreatic trypsin inhibitor [1.75 uM] | Bleackley MR~Anderson MA, 2014
YBL003C	-0.2774784812258647
YBL005W	0.047123303489305726
YBL006C	0.49250714763337766
YBL007C	0.7843971245865539
YBL008W	-0.26489701670202226
YBL008W-A	-0.18689193665419002
YBL009W	-0.02081660493945083
YBL010C	-0.1365660785588146
YBL011W	-0.559303286559967
YBL012C	-0.29005994574970856
YBL013W	0.062221060917918763
YBL015W	-0.17682676503511396
YBL016W	-0.788285940893924
YBL017C	-0.16927788632080848
YBL019W	0.08486769706083797
YBL021C	0.01692778863208071
YBL022C	0.1553238983943623
YBL024W	2.721942661258505
YBL025W	3.195005727355034
YBL027W	-0.8159651628463815
YBL028C	-0.1365660785588146
YBL029C-A	-0.19947340117803317
YBL029W	0.0018300312034683734
YBL031W	-0.09378909917774401
YBL032W	-0.08372392755867006
YBL033C	0.15784019129913185
YBL036C	-0.3051577031783209
YBL037W	-0.38567907613092234
YBL038W	0.10499804029898728
YBL039C	0.15029131258482498
YBL039W-B	-0.6272431949887239
YBL042C	-0.40329312646430315
YBL043W	-0.8209977486559186
YBL044W	-0.16927788632080848
YBL045C	-0.11140314951112623
YBL046W	0.01692778863208036
YBL047C	-0.013267726225144312
YBL048W	0.16287277710866951
YBL049W	-0.008235140415606633
YBL051C	-0.19695710827326465
YBL052C	0.21319863520404492
YBL053W	0.5327678341096777
YBL054W	-0.12398461403497009
YBL055C	-0.7656393047510062
YBL056W	0.41953465339508345
YBL057C	-0.01830031203468234
YBL058W	2.9886697091639944
YBL059W	0.5050886121572215
YBL060W	-0.16927788632080848
YBL061C	0.4220509462998519
YBL062W	-0.0510121197966755
YBL063W	0.2484267358708069
YBL064C	0.029509253155924554
YBL065W	-0.23973408765433388
YBL066C	0.3465621591567895
YBL067C	-0.10637056370158855
YBL068W	0.02196037444161804
YBL069W	0.2081660493945069
YBL070C	0.8045274678247046
YBL071C	-0.12650090693973928
YBL071C-B	-1.3569681373716669
YBL071W-A	0.8221415181580864
YBL072C	-0.8335792131797625
YBL075C	0.07983511125129994
YBL078C	0.03202554606069304
YBL079W	-0.4838144994169039
YBL080C	0.03705813187023107
YBL081W	0.3289481088234087
YBL082C	0.7944622962056292
YBL083C	0.7013594587291854
YBL085W	0.05215588929884271
YBL086C	0.7743319529674796
YBL087C	0.14274243387051883
YBL088C	0.21068234229927538
YBL089W	-0.13404978565404543
YBL090W	0.3213992301091015
YBL091C	0.1351935551562123
YBL091C-A	-0.212054865701877
YBL093C	0.9227932343488369
YBL094C	0.6485173077290411
YBL095W	-0.09127280627297692
YBL096C	-0.12398461403497009
YBL098W	-0.17934305793988245
YBL099W	0.2811385436328008
YBL100C	0.07983511125129959
YBL100W-C	-0.7253786182747047
YBL101C	-0.048495826891907005
YBL102W	-0.11391944241589473
YBL103C	-0.14663125017788928
YBL104C	-0.6272431949887239
YBL106C	-0.38316278322615316
YBL107C	1.6122574902554792
YBR001C	-0.023332897844219318
YBR003W	0.3465621591567895
YBR005W	0.15280760548959418
YBR006W	-0.3378695109403155
YBR007C	-0.27496218832109626
YBR008C	-0.539172943321817
YBR009C	-0.21708745151141468
YBR010W	-0.6649875885602554
YBR012C	-0.26238072379725236
YBR013C	-0.5039448426550539
YBR014C	-0.8084162841320747
YBR015C	-0.4435538129406039
YBR016W	-0.4007768335595347
YBR018C	-0.4460701058453724
YBR019C	-0.2372177947495647
YBR020W	-0.876356192560831
YBR021W	2.7949151554967995
YBR022W	-0.08120763465390157
YBR023C	0.0546721822036119
YBR024W	-0.08875651336820703
YBR025C	0.014411495727312219
YBR026C	0.28868742234710765
YBR027C	-0.37813019741661547
YBR028C	-0.18689193665418932
YBR030W	-0.3680650257975415
YBR031W	-0.1441149572731201
YBR032W	-0.38316278322615316
YBR033W	-0.2598644308924839
YBR034C	-0.5114937213693601
YBR035C	-0.03843065527283235
YBR036C	-0.12901719984450707
YBR037C	0.3063014726804888
YBR040W	-0.01075143332037582
YBR041W	0.328948108823408
YBR042C	-0.4360049342262977
YBR043C	-0.2372177947495647
YBR044C	-0.5140100142741286
YBR045C	-0.3026414102735524
YBR046C	-0.34541838965462235
YBR047W	-0.056044705606212476
YBR048W	0.6434847219195041
YBR050C	-0.16424530051127012
YBR051W	-0.08875651336820774
YBR052C	-0.1189520282254331
YBR053C	-0.41084200517861
YBR054W	-0.15166383598742628
YBR056W	-0.29257623865447846
YBR056W-A	-1.1330180688472455
YBR057C	0.14274243387051916
YBR058C	0.2811385436328011
YBR058C-A	3.0767399608309014
YBR059C	-0.30012511736878394
YBR061C	-0.32025546060693394
YBR062C	-0.6083709982029581
YBR063C	-0.212054865701877
YBR064W	-0.000686261701301513
YBR065C	-0.36303243998800316
YBR066C	-0.4435538129406039
YBR067C	-0.4234234697024532
YBR068C	-0.33786951094031614
YBR069C	-0.5366566504170485
YBR071W	0.06473735382268656
YBR072C-A	-0.5819499227028855
YBR072W	-0.15166383598742628
YBR073W	-0.3907116619404593
YBR074W	-0.5699975314052338
YBR076W	-0.375613904511847
YBR077C	-0.06610987722528854
YBR078W	0.21319863520404456
YBR081C	1.4059214720644397
YBR082C	1.7909142864940615
YBR083W	0.14022614096574998
YBR084C-A	0.6485173077290408
YBR084W	-0.4259397626072224
YBR085C-A	1.69026257030331
YBR085W	-0.18689193665418932
