orf	hap a | growth (spot assay) | visible light [35 W/m2] | YPD | Molin M~Blomberg A, 2020
YBR206W	0.7441643323996265
YBR207W	0.771798477305261
YBR208C	0.8158442581443763
YBR209W	0.9679719205879127
YBR210W	0.9008549102888727
YBR212W	0.9288285150354115
YBR213W	0.9778289060865927
YBR214W	0.8626252938076885
YBR215W	0.8668434082798724
YBR216C	0.6709180284309818
YBR217W	0.7525684097769988
YBR218C	0.7004451427075151
YBR219C	0.851673147526076
YBR220C	0.8440629470672388
YBR221C	1.1731286321450256
YBR222C	0.8579054397559736
YBR223C	1.054773082942097
YBR224W	1.175586854460094
YBR225W	0.6192801591607886
YBR226C	0.8306463995086749
YBR227C	1.2402715681404206
YBR228W	0.5882535254920193
YBR229C	0.6321568627450981
YBR230C	0.5975115740740741
YBR231C	0.8039017827110663
YBR232C	0.8054725273164879
YBR233W	0.4971235194585448
YBR235W	0.9643813053325098
YBR238C	0.8892278044017894
YBR239C	1.0105970180005082
YBR240C	0.8253296326617546
YBR241C	0.8635066279077431
YBR242W	0.6315273803860872
YBR244W	0.6717912746679008
YBR245C	0.5292776840559927
YBR246W	0.1266904783710352
YBR248C	1.0558368445278477
YBR249C	0.6109656977545117
YBR250W	0.552212307763252
YBR251W	0.9556878306878308
YBR255W	0.7818204961578916
YBR258C	0.8263442689672197
YBR259W	0.9087466868610374
YBR260C	0.685278866025129
YBR261C	0.5941247662009022
YBR262C	0.4069835680751173
YBR263W	0.7236116096951325
YBR264C	
YBR266C	0.7934133726882321
YBR267W	0.5155066385983523
YBR268W	0.46939916906359863
YBR269C	0.29430051813471503
YBR270C	0.8386240879370795
YBR271W	0.7382600007401103
YBR272C	0.786081710345191
YBR273C	0.6874363338416081
YBR274W	0.8320673281676085
YBR275C	0.8312561914805228
YBR276C	0.7498253831299561
YBR277C	0.7281001920945187
YBR278W	0.7312206963056562
YBR280C	0.6513175855748105
YBR281C	0.5080731969860065
YBR282W	0.4962492787074438
YBR283C	0.8951443769548401
YBR284W	0.5492727720941699
YBR285W	0.5302553340328786
YBR286W	0.5932933940873496
YBR287W	0.9802375508039023
YBR288C	0.6745627108008471
YBR289W	2.2372227579556414
YBR290W	0.8337293910528888
YBR291C	0.8340007788905953
YBR292C	0.9520657295276664
YBR293W	0.5542955326460481
YBR294W	0.9768364040814352
YBR295W	0.6692259804938784
YBR296C	0.7716176510970152
YBR297W	0.6633184876338483
YBR298C	0.8494140140919874
YBR299W	1.5955901769210459
YBR300C	0.8008078357104812
YBR301W	1.1140641782502685
YCL001W	0.7396514161220044
YCL001W-A	0.9376240367261044
YCL002C	0.9973855285472019
YCL005W	0.3235626412252071
YCL007C	0.028063970475165314
YCL008C	0.020891866580217567
