orf	hom | chronological lifespan | time [1 week] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [2 weeks] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [5 weeks] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [7 weeks] | Powers RW 3rd~Fields S, 2006
YBL072C	0.777372199	1.028260814	0.541049255	0.64325577
YBL075C	1.26975554	1.046393421	0.445821221	0.151518352
YBL078C	1.145998382	0.067177288	0.015441468	0.100888329
YBL079W	0.069282366	0.043663305	0.017246633	0.139567948
YBL080C	0.000934231	0.001081453	0.005585549	-0.360646718
YBL081W	2.065961059	2.046773108	3.658484351	2.149385109
YBL082C	1.842051626	0.774486257	0.414368546	0.307146427
YBL083C	1.667864144	1.26631863	0.065552737	0.726874008
YBL085W	2.236942689	2.167178682	1.817059868	0.83748407
YBL086C	1.570232352	1.625482785	0.955096416	1.02542762
YBL087C	1.695064463	2.863762908	4.764471538	1.661500568
YBL088C	1.453582755	1.962610421	0.937762921	0.793701173
YBL089W	1.504533231	2.569867709	1.151644244	0.395951965
YBL090W	0.001989242	0.025909637	0.016747248	0.402008283
YBL091C	1.169802565	1.232874476	0.259834552	0.464080392
YBL091C-A	1.492594032	1.686322005	1.91172677	1.200414534
YBL093C	0.004678321	0.012045068	0.016923946	-0.058688246
YBL094C	0.579870142	0.857250414	0.571425256	1.112735973
YBL095W	1.153877569	1.556397979	3.620798071	0.564313615
YBL096C	1.144695363	1.386818428	3.479010301	1.533307113
YBL098W	1.292703689	1.542366399	0.942517128	1.306587935
YBL099W	0.003931872	0.062237545	0.021328919	0.076788416
YBL100C	0.001656561	0.015020462	0.005220244	0.649651684
YBL101C	0.723782658	0.36187184	0.142174437	-0.350413344
YBL102W	2.20466874	2.92756306	7.921592513	6.151485395
YBL103C	1.278957443	2.530839272	7.129273981	2.8219578
YBL104C	2.404719156	2.468212071	1.484023722	0.068975658
YBL106C	2.250264377	2.677111224	3.723067104	0.312782317
YBL107C	2.24645082	2.275963112	7.312443706	1.547336896
YBR001C	1.883977279	2.289549779	1.354540231	2.762072074
YBR003W	0.00298462	0.008686381	0.004064537	1.649316095
YBR005W	1.219199372	1.62425235	4.051628192	0.55291789
YBR006W	0.703257825	0.390177751	0.405287337	1.707280877
YBR007C	1.06094814	1.424104266	4.475043085	3.28083755
YBR008C	0.959468271	1.666867169	4.560985466	2.087395431
YBR009C	0.93285713	0.907084132	0.606354162	-0.042378677
YBR010W	0.71426558	0.844743759	1.5732027	-0.570159887
YBR012C	1.960379661	5.644431242	6.454463106	0.270660319
YBR013C	2.060892794	4.819475151	4.961152025	0.585122527
