ORF	hom | chronological lifespan | time [1 week] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [2 weeks] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [5 weeks] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [7 weeks] | Powers RW 3rd~Fields S, 2006
YFR041C	1.576	1.295	2.002	12.042
YGL033W	1.696	1.454	5.069	8.753
YGR237C	2.172	8.565	0.366	6.322
YKL027W	2.357	2.366	3.358	9.350
YGR054W	1.190	1.167	2.650	11.173
YNL021W	1.055	2.764	4.753	7.459
YKL015W	1.389	1.262	2.447	11.217
YDR262W	1.671	1.743	4.682	8.378
YBR019C	1.311	3.605	6.303	4.878
YHR126C	2.193	2.338	4.518	7.817
YML066C	1.521	1.797	4.952	7.895
YBL042C	2.300	4.258	4.372	5.714
YPR031W	0.881	0.947	1.170	12.180
YBR030W	1.661	4.928	7.986	1.338
YHR003C	1.410	2.081	0.845	11.307
YBR248C	2.306	2.687	6.921	4.563
YKL001C	0.162	0.328	0.612	13.200
YKL081W	1.145	1.484	1.235	11.237
YHR064C	0.207	0.482	0.460	13.005
YER132C	1.653	3.588	4.089	6.196
YGR289C	1.517	2.702	7.597	3.176
YPL042C	0.309	0.021	0.017	13.280
YGR153W	1.961	1.497	2.437	9.329
YNL014W	1.997	1.519	7.126	4.540
YDR515W	1.649	1.380	6.044	5.700
YGL195W	1.145	5.251	7.656	0.179
YGR045C	1.781	2.868	3.660	6.506
YIL056W	1.310	1.862	3.607	7.549
YKL068W	1.445	1.285	1.574	10.086
YGR059W	1.401	1.839	3.478	7.175
YBL103C	1.279	2.531	7.129	2.822
YKL216W	2.266	4.160	2.969	5.332
YHR111W	1.325	1.547	1.563	9.349
YGL083W	1.419	1.209	6.376	4.842
YNL016W	1.963	5.240	4.796	2.375
YLR455W	1.536	1.237	3.693	4.982
YBR012C	1.960	5.644	6.454	0.271
YGR108W	1.618	2.207	2.558	7.553
YMR015C	1.909	4.753	2.877	4.658
YDL034W	1.885	2.234	6.478	3.537
YML062C	1.785	3.382	3.293	5.547
YCR048W	2.038	3.474	5.944	2.769
YHR161C	2.002	2.024	2.200	7.926
YGL057C	1.139	1.463	5.931	4.750
YIL173W	1.472	4.201	7.415	0.482
YGR107W	1.802	2.357	1.761	7.856
YKR009C	1.567	2.269	2.191	7.457
YHR159W	1.885	2.293	2.483	7.101
YER137C	2.235	3.901	3.849	4.118
YKL044W	1.772	2.308	3.733	5.774
YPR156C	2.053	3.791	5.271	2.724
YHR157W	1.912	2.506	3.284	5.957
YBR028C	1.720	5.689	8.042	-2.174
YPR011C	1.498	2.592	5.944	2.946
YIL157C	2.174	3.805	7.130	0.486
YPR114W	2.110	4.122	4.553	2.710
YIL058W	1.669	2.681	6.083	2.581
YDL215C	2.390	5.220	5.067	1.037
YBR220C	2.327	4.589	5.623	1.096
YPL145C	1.767	4.871	2.508	3.885
YBL066C	1.840	1.963	5.573	3.691
YNR049C	1.627	2.385	5.504	3.305
YPR157W	1.580	1.681	3.383	6.129
YER059W	2.138	2.714	7.438	1.023
YBR018C	1.650	2.766	7.269	1.135
YBR072W	2.188	2.483	5.463	3.220
YBL107C	2.246	2.276	7.312	1.547
YJL132W	1.764	1.844	3.671	2.344
YLR187W	1.093	1.024	1.307	8.667
YIL168W	1.529	3.741	6.747	0.457
YIL121W	2.277	4.182	6.610	0.149
YNR056C	1.997	2.203	1.287	7.450
YPR151C	1.263	1.802	6.334	2.753
YGL079W	2.198	1.978	5.731	3.139
YIR023W	1.527	4.669	5.293	0.779
YGR291C	1.987	1.478	6.804	2.451
YCL013W	2.159	5.429	4.419	0.779
YOL106W	2.186	1.236	1.031	8.326
YBR015C	1.780	2.442	7.319	0.764
YMR326C	1.793	2.751	3.687	4.053
YKL176C	1.133	1.703	2.278	6.463
YPL017C	1.332	3.188	6.119	1.104
YLR327C	1.222	1.088	1.504	7.820
YBR013C	2.061	4.819	4.961	0.585
YBR071W	1.835	2.742	5.932	1.691
YPL150W	2.365	4.074	5.242	1.048
YBR114W	1.739	1.685	4.572	4.103
YGL248W	1.980	3.769	4.644	1.932
YPR009W	2.231	3.830	3.057	3.453
YDL053C	1.160	1.904	3.288	5.133
YKR087C	1.946	3.464	2.763	4.025
YIL159W	2.180	2.598	7.420	0.225
YIL131C	1.490	1.643	4.210	4.375
YLL015W	1.977	2.295	3.082	4.803
YIL030C	1.823	4.497	4.130	1.536
YJL105W	1.681	2.074	5.080	3.005
YJL130C	1.487	1.660	3.224	5.248
YPR030W	1.478	1.099	3.756	5.257
YGR292W	1.908	1.592	6.315	2.194
YPL071C	1.397	2.525	2.715	4.852
YDR143C	1.459	2.170	3.865	4.051
YDL182W	1.651	0.721	0.537	8.810
YEL049W	1.926	3.980	6.062	0.012
YKR015C	1.900	2.103	2.615	5.271
YPL034W	0.916	2.475	5.852	1.620
YIL140W	2.184	2.725	6.485	0.715
YDL216C	2.186	3.732	5.636	0.534
YNL268W	1.678	0.993	6.548	2.341
YLR461W	2.229	2.530	2.054	5.290
YEL037C	1.701	2.660	5.454	1.750
YDR229W	1.792	2.033	3.966	3.817
YOR155C	1.876	1.637	6.005	2.159
YNL011C	1.281	1.343	7.011	1.436
YJL078C	0.958	1.928	1.962	5.892
YHR113W	1.123	1.477	1.284	7.015
YIL100W	1.619	3.191	6.617	-0.049
YOR268C	1.106	2.654	4.975	2.122
YAL067C	1.868	1.920	3.600	4.229
YDR018C	1.630	2.932	5.436	1.368
YBR016W	1.662	1.615	6.603	1.509
YPR005C	1.964	2.786	5.088	1.851
YLR278C	1.075	1.502	2.390	5.783
YKL034W	1.467	1.029	2.115	6.515
YJL096W	0.003	0.037	0.051	9.571
YPR029C	0.778	3.724	4.637	1.281
YDL049C	1.719	1.862	4.224	3.536
YKL150W	2.361	2.231	1.704	5.653
YMR118C	1.991	1.432	6.056	2.085
YDR357C	2.018	2.923	4.880	1.748
YKL184W	2.280	2.701	2.942	3.864
YBR116C	1.637	1.350	4.690	3.434
YFR017C	1.163	4.504	4.285	0.665
YNR070W	2.253	1.671	1.707	6.064
YJL094C	1.165	0.640	1.607	7.152
YFL055W	1.931	4.338	4.080	0.978
YLR422W	1.397	1.725	1.269	6.384
YPL026C	2.170	3.051	4.905	1.411
YDR443C	0.561	0.182	0.023	9.147
YPL009C	2.300	1.842	3.020	4.482
YER170W	2.025	2.084	5.388	1.862
YGR250C	1.578	2.456	6.672	0.201
YBL087C	1.695	2.864	4.764	1.662
YBR040W	1.116	5.476	2.926	0.857
YPR091C	1.974	1.606	7.329	0.312
YJL103C	1.225	0.697	4.424	4.125
YEL008W	2.220	3.119	5.664	0.451
YLR104W	0.507	2.711	2.880	3.640
YGL156W	1.110	1.920	4.180	3.125
YJL037W	1.266	0.951	1.236	7.031
YAR030C	1.132	2.589	4.443	2.183
YDL046W	1.504	2.785	4.172	2.235
YBR007C	1.061	1.424	4.475	3.281
YJL098W	0.896	1.526	0.877	6.771
YGL165C	2.005	1.845	5.208	2.095
YDL019C	1.734	2.795	6.201	0.125
YOL153C	2.000	1.369	5.763	1.968
YBR100W	1.519	1.194	2.503	2.850
YGL243W	1.261	2.515	5.267	1.287
YDL226C	1.594	2.893	4.005	2.168
YGL076C	1.521	1.342	4.488	3.224
YMR074C	1.723	1.597	5.261	2.145
YJL134W	2.136	4.470	2.085	2.444
YJL210W	1.911	2.408	2.917	3.666
YGL081W	1.545	1.162	3.876	3.900
YBL043W	2.311	3.774	2.734	2.425
YDL230W	2.173	2.533	6.192	0.196
YPR172W	1.759	4.715	2.934	1.265
YAL030W	2.144	2.336	5.645	0.926
YIL138C	2.024	2.254	6.654	-0.014
YIL108W	1.987	2.868	5.473	0.549
YFR020W	1.447	3.488	4.740	0.654
YIL105C	2.378	5.263	3.488	0.130
YKR017C	1.343	1.608	1.445	5.821
YOR304W	2.044	3.389	2.761	2.722
YIL044C	1.732	2.818	4.108	1.933
YGR295C	1.152	2.531	5.231	1.094
YLR178C	1.737	1.713	3.451	3.671
YDR260C	1.190	1.853	4.705	2.274
YML002W	1.544	3.246	2.583	2.983
YEL060C	1.670	1.912	3.856	2.980
YOR226C	1.685	1.600	2.275	4.870
YKR013W	1.980	2.349	2.850	3.528
YPR032W	0.505	1.042	1.268	6.412
YLL054C	0.785	1.696	1.460	5.528
YDR261C	1.276	1.939	2.337	4.399
YJL163C	1.320	2.787	5.509	0.370
YJL007C	0.659	0.833	2.232	1.280
YFL025C	1.863	3.377	4.929	0.341
YGR192C	1.187	0.978	2.063	5.599
YDR274C	0.864	2.915	3.317	2.392
YMR191W	1.843	1.693	2.756	0.789
YOR374W	2.117	3.481	3.249	1.860
YGR143W	1.063	0.618	0.244	7.723
YGR042W	1.709	2.692	2.908	2.985
YOR375C	1.060	1.256	1.280	6.028
YGR230W	1.612	1.789	1.327	5.426
YDL036C	1.787	2.219	3.900	2.403
YKL010C	1.463	1.534	0.962	6.003
YHR045W	1.635	1.348	1.885	5.261
YNL035C	1.478	4.679	3.272	0.538
YDR476C	2.090	1.665	4.824	1.935
YDL091C	2.136	1.934	4.488	1.985
YNL106C	0.653	0.916	2.115	5.359
YLR136C	1.668	1.434	1.427	5.521
YPR015C	1.338	2.459	1.533	4.377
YJR147W	1.875	4.498	2.348	1.507
YLL016W	1.712	2.216	2.367	3.768
YDR457W	1.671	1.306	2.297	4.739
YIR002C	1.161	2.906	5.440	-0.012
YBR008C	0.959	1.667	4.561	2.087
YGL213C	2.080	2.042	4.095	2.156
YPL115C	1.661	3.020	3.464	1.786
YHL016C	2.286	2.805	4.795	0.645
YKL008C	1.869	2.164	2.280	3.799
YIL162W	1.474	3.165	4.591	0.477
YML119W	1.639	1.508	1.897	4.819
YMR109W	2.061	2.844	3.498	1.864
YPR154W	2.010	2.212	4.931	1.054
YER134C	2.006	2.555	4.366	1.273
YNL078W	1.662	3.788	2.904	1.500
YDR474C	2.171	1.786	5.694	0.695
YPL176C	1.535	2.966	2.041	3.167
YKL148C	2.210	3.400	2.396	2.374
YLR225C	1.365	1.437	1.955	4.772
YHR028C	2.214	2.360	6.226	-0.425
YBR057C	1.908	2.556	5.558	0.039
YPL189W	1.909	1.826	3.651	2.674
YKL158W	1.491	1.926	1.889	4.318
YGL249W	1.238	2.121	4.607	1.361
YKL057C	1.898	2.589	2.773	2.712
YBR235W	2.398	3.983	2.542	1.523
YIL137C	1.736	2.211	6.239	-0.404
YGR170W	1.928	0.793	0.839	6.406
YDR438W	1.539	1.417	5.876	0.735
YDR453C	1.701	1.616	5.211	1.185
YIL102C	2.064	1.234	4.606	2.168
YPR014C	1.608	1.873	2.433	3.698
YPR006C	1.838	2.409	2.641	2.935
YGL140C	1.194	2.766	4.086	1.133
YOR223W	1.759	3.430	3.466	1.070
YGR178C	0.468	0.575	0.763	6.587
YDR340W	1.766	1.698	2.861	3.359
YMR037C	1.444	1.350	2.817	3.740
YHR075C	2.018	3.367	4.412	0.126
YJR152W	1.045	1.137	1.290	5.459
YDR283C	0.428	1.750	5.876	0.246
YGR122C-A	1.883	1.438	5.896	0.536
YHR114W	0.902	1.487	1.015	5.362
YLR164W	1.913	1.214	2.070	4.572
YBL081W	2.066	2.047	3.658	2.149
YGL118C	1.264	3.849	2.806	1.182
YGL229C	2.147	2.238	4.752	0.831
YDR524C	0.799	1.017	3.366	3.415
YNL167C	1.723	1.563	5.650	0.566
YPR155C	1.921	3.077	3.346	1.352
YDR249C	1.884	1.623	4.317	1.831
YMR119W	1.148	0.855	2.766	3.514
YDR430C	2.113	2.185	4.111	1.469
YER060W-A	1.739	2.280	3.608	1.866
YJR110W	1.918	2.865	2.061	2.825
YNL327W	1.659	1.912	4.248	1.580
YDR492W	1.911	1.483	5.288	0.965
YIL161W	1.545	1.819	5.670	0.247
YGL230C	2.070	1.850	4.762	1.112
YHR046C	2.100	2.739	5.351	-0.373
YCR102C	1.360	1.592	1.382	4.711
YGL170C	1.799	1.831	3.467	2.355
YHR185C	1.656	1.467	1.290	4.884
YNL127W	1.707	2.576	3.816	1.239
YLR279W	1.477	1.409	2.054	4.164
YKR055W	1.922	1.946	2.326	3.353
YAL053W	1.024	0.994	2.778	3.848
YOR255W	1.463	4.399	1.221	2.000
YDR521W	2.052	2.700	4.396	0.510
YML118W	1.932	1.837	2.418	3.351
YCL001W	2.146	1.592	2.388	3.621
YPL081W	1.446	2.081	1.705	3.810
YOR042W	1.852	1.241	2.996	3.355
YKL062W	1.821	2.843	2.172	2.561
YGR187C	1.753	1.097	1.924	4.550
YJL135W	2.061	3.412	2.067	2.088
YGR224W	0.558	0.521	0.208	6.836
YGR096W	0.710	1.364	1.154	5.035
YGR205W	1.480	4.179	2.707	0.665
YGL133W	0.741	1.150	1.755	4.645
YJL089W	0.584	0.950	1.167	5.430
YBR020W	1.011	0.918	2.466	0.660
YBR133C	1.705	1.087	3.923	2.510
YDR440W	1.870	1.410	4.442	1.654
YJR146W	1.842	3.979	2.619	0.894
YPL113C	2.056	5.200	1.324	0.949
YBR233W	2.352	3.879	2.602	0.985
YDR214W	1.626	1.456	1.804	4.200
YLR043C	1.226	1.194	1.870	4.395
YER153C	2.071	1.896	4.893	0.670
YGR235C	1.184	1.434	1.963	4.058
YDR391C	1.162	1.680	4.769	1.006
YHL035C	1.309	2.562	2.562	2.309
YKR051W	2.203	2.688	1.602	3.140
YGL164C	1.227	2.771	4.510	0.146
YKL162C-A	1.616	1.334	1.207	4.885
YKL143W	0.911	0.866	2.466	4.075
YPR124W	2.310	2.925	3.477	1.001
YBR014C	2.249	3.316	3.365	0.711
YJL191W	1.180	1.334	3.295	2.754
YJR043C	1.442	1.445	4.982	0.952
YLL048C	0.752	1.479	2.109	3.787
YDR358W	1.904	1.426	3.386	2.560
YBR222C	2.398	2.749	2.925	1.688
YPL046C	1.865	2.769	3.013	1.563
YPR179C	1.226	1.907	3.724	1.713
YGL196W	2.158	2.028	4.838	0.477
YDR506C	1.235	1.471	1.927	0.452
YPR126C	1.780	1.938	2.987	2.383
YBR062C	1.353	1.969	4.411	0.910
YFR009W	0.954	3.567	2.843	0.869
YPR122W	2.362	3.475	2.250	1.551
YCR060W	1.879	2.536	3.796	0.922
YJL172W	1.660	2.419	4.556	0.271
YKL222C	1.791	1.767	2.475	3.002
YER144C	2.003	1.314	1.745	4.177
YLR269C	1.955	1.484	1.618	4.130
YGL063W	1.570	1.510	4.013	1.704
YNL012W	1.232	5.458	1.450	0.315
YGR136W	1.605	1.565	4.013	1.641
YDL090C	1.644	1.012	3.328	2.861
YIL120W	2.333	4.058	3.439	-0.306
YML115C	0.984	0.446	0.134	6.605
YLR040C	1.700	1.586	2.316	3.279
YDL130W-A	1.521	1.349	0.781	5.048
YGL101W	1.357	1.670	4.359	1.144
YGR031W	1.715	1.710	2.660	2.789
YPR012W	1.748	1.923	1.811	3.421
YDL038C	1.515	1.777	3.385	1.992
YPR132W	0.059	0.059	0.016	7.073
YBL044W	2.103	3.156	2.456	1.530
YER186C	1.927	1.713	3.894	1.533
YOR344C	1.824	1.729	2.584	2.823
YIR001C	1.634	2.746	4.479	-0.116
YER106W	1.981	3.206	2.837	1.059
YLR445W	1.832	1.583	1.958	3.555
YPR003C	0.660	0.849	0.784	5.462
YAL065C	1.958	1.697	3.169	2.225
YPR170C	1.277	2.853	2.895	1.340
YEL039C	2.114	2.678	3.875	0.531
YHL006C	1.869	2.878	4.553	-0.350
YML003W	1.817	3.312	2.260	1.506
YIR003W	1.010	1.267	5.206	0.579
YOR238W	1.648	2.353	0.784	3.895
YIL163C	1.434	1.812	5.036	0.180
YDR210W	0.760	1.590	1.741	3.692
YMR057C	1.623	1.913	4.810	0.296
YNL311C	2.226	4.131	2.131	0.755
YNL034W	0.761	4.687	1.621	0.707
YKR020W	0.006	0.025	0.005	6.983
YGR182C	1.313	2.496	3.494	1.023
YNR014W	2.263	2.101	3.900	1.009
YIL103W	2.028	3.079	3.711	0.196
YKR050W	1.556	2.444	2.126	2.414
YLR385C	1.664	2.784	2.007	2.189
YLR361C	1.991	1.782	4.271	0.925
YKL157W	1.692	1.359	1.894	3.701
YPR004C	1.757	3.824	1.992	1.134
YPR054W	1.901	2.205	1.760	2.982
YPR130C	1.776	2.658	3.788	0.497
YBR068C	0.288	1.518	5.750	-0.326
YER011W	2.230	3.910	2.438	0.592
YGR154C	1.565	1.268	2.003	3.668
YKL163W	2.269	4.544	1.942	0.448
YHR094C	1.433	2.969	1.422	2.535
YIL145C	1.410	1.719	5.327	-0.130
YCR105W	2.104	1.573	2.148	3.185
YFL034C-A	1.525	1.021	0.588	5.288
YDR522C	1.621	2.310	4.782	-0.203
YJL116C	1.551	0.843	0.491	5.544
YPL179W	2.280	4.159	1.894	0.823
YNL093W	1.978	1.775	3.421	1.677
YOR269W	1.847	2.946	2.525	1.394
YGL027C	1.984	1.857	4.133	0.869
YJR092W	2.195	4.070	1.953	0.828
YKR045C	1.427	1.299	1.537	4.014
YFR053C	0.915	0.777	0.492	5.563
YBL027W	1.559	2.025	3.393	1.409
YNL095C	2.011	1.903	4.018	0.892
YNL138W	1.458	1.434	3.696	1.679
YLR407W	1.706	1.573	2.216	3.018
YKR090W	1.598	1.513	1.484	3.805
YCR088W	1.618	1.832	3.730	1.218
YNR048W	1.607	2.269	3.887	0.621
YJL095W	0.001	0.036	0.033	6.703
YOR208W	2.084	3.249	2.709	0.809
YPR089W	2.330	2.451	3.002	1.309
YBL045C	2.272	3.476	2.070	1.207
YBR134W	2.273	2.774	3.345	0.634
YJR040W	1.691	2.932	2.744	1.076
YCL033C	1.133	0.707	4.463	1.581
YJL115W	0.111	0.089	0.072	6.581
YMR304W	1.679	2.157	4.515	0.069
YGR033C	1.593	1.595	2.664	2.478
YDR215C	1.673	1.318	2.250	3.169
YBL068W	2.329	2.390	3.082	1.260
YAL024C	0.696	1.962	3.814	0.952
YOR172W	1.265	1.866	0.358	4.504
YBR022W	1.022	1.176	5.364	0.186
YBL106C	2.250	2.677	3.723	0.313
YPR008W	1.502	1.552	4.979	0.179
YDR250C	1.666	1.330	3.271	2.091
YCL035C	1.246	2.077	3.611	0.982
YGL214W	1.662	1.338	3.485	1.388
YPR125W	2.101	2.357	2.795	1.477
YBR031W	0.917	1.964	4.110	0.545
YHR032W	1.834	1.241	1.063	4.287
YBR043C	1.056	3.095	2.998	0.488
YDR179C	1.677	2.201	3.154	1.224
YDR107C	1.884	1.494	3.987	1.094
YHR112C	0.595	0.382	0.374	5.815
YBR264C	1.953	1.362	3.878	1.325
YIR029W	1.597	1.417	1.472	3.673
YLR061W	0.989	1.177	0.804	4.577
YOR105W	2.009	1.325	4.000	1.210
YGR189C	1.518	0.864	2.384	3.279
YDR445C	1.748	1.823	4.014	0.669
YNR067C	2.253	2.213	2.995	1.293
YMR086C-A	1.170	1.436	1.725	3.318
YJR115W	1.537	1.292	1.143	4.039
YHL046C	2.049	2.978	3.365	0.123
YKL100C	0.760	1.230	1.008	4.197
YOR121C	1.988	1.793	3.402	1.236
YDR259C	1.186	2.121	3.064	1.246
YER096W	1.676	1.082	0.839	4.498
YMR322C	1.679	1.936	4.060	0.410
YBR001C	1.884	2.290	1.355	2.762
YBL057C	2.205	2.655	2.568	1.180
YBL096C	1.145	1.387	3.479	1.533
YGL198W	2.092	1.759	3.564	1.075
YAR014C	1.297	1.092	1.337	3.966
YGL166W	1.837	1.455	3.770	1.170
YML029W	0.989	1.153	0.889	4.344
YER173W	1.659	1.335	3.486	1.552
YNR057C	1.765	1.894	1.355	3.113
YBR113W	1.812	1.570	2.892	1.894
YKL142W	1.057	0.936	2.444	2.975
YER081W	1.785	3.020	1.876	1.454
YDR491C	2.217	3.046	2.594	0.706
YNL090W	2.038	1.753	4.181	0.411
YGR121C	0.566	1.029	0.932	4.373
YPL099C	0.966	2.742	1.974	1.615
YOL014W	1.634	2.788	2.420	1.120
YFL056C	2.136	3.774	0.320	2.232
YMR095C	1.289	1.833	1.359	3.116
YER010C	2.129	2.853	2.707	0.730
YJL064W	0.903	1.582	1.382	3.320
YER101C	0.876	3.042	1.351	1.885
YMR114C	1.046	1.706	1.865	2.707
YDR344C	1.792	1.497	3.434	1.343
YLR179C	1.664	1.232	2.502	2.539
YPR084W	1.925	2.186	2.439	1.641
YGL028C	2.005	1.719	3.685	0.859
YNL047C	1.983	2.006	3.957	0.294
YPR013C	1.507	1.360	3.539	1.358
YDR309C	1.815	1.761	2.947	1.547
YMR041C	2.112	2.099	3.632	0.522
YIR025W	2.116	2.014	2.301	1.935
YPL087W	2.173	2.732	2.836	0.673
YBR005W	1.219	1.624	4.052	0.553
YLR030W	0.914	1.723	0.992	3.499
YOR233W	1.110	1.180	0.098	4.929
YOL131W	0.967	1.342	1.396	3.469
YJL013C	2.069	2.349	3.028	0.805
YLR408C	1.482	1.788	2.558	1.816
YPR064W	1.256	1.786	2.874	1.496
YER154W	2.029	2.040	2.899	1.216
YBL024W	0.757	1.443	1.960	2.749
YIL152W	1.019	1.718	4.431	-0.001
YIL012W	1.022	1.736	4.285	0.124
YDR534C	1.585	2.526	2.468	1.148
YEL040W	2.388	2.088	3.980	0.062
YJL137C	1.632	1.719	3.550	0.856
YHR156C	1.424	2.115	1.743	2.252
YML086C	1.960	1.502	3.219	1.380
YJL110C	0.720	0.951	0.817	4.327
YGR288W	1.596	1.559	1.049	3.485
YFR006W	2.126	2.439	2.697	0.942
YMR107W	1.320	1.786	2.305	1.979
YGR088W	1.210	1.034	1.583	3.445
YIL155C	1.569	1.570	5.193	-0.703
YHR092C	0.661	1.674	4.425	-0.042
YHR093W	1.814	1.580	4.008	0.468
YOL104C	2.096	1.483	1.698	2.873
YOL151W	0.567	0.392	2.345	0.495
YLR137W	1.837	1.317	1.838	2.890
YMR066W	1.052	2.165	2.734	1.135
YLR224W	1.787	1.974	3.641	0.418
YGR055W	1.259	1.250	1.079	3.700
YNR013C	2.123	3.299	2.437	0.284
YCL014W	2.296	3.187	1.995	0.836
YLR227C	1.115	1.006	2.085	2.927
YGR037C	0.754	0.506	0.522	4.986
YBR047W	1.090	3.591	2.182	0.229
YKL138C	1.400	1.163	1.816	3.022
YKL017C	1.261	1.937	1.986	2.076
YEL041W	2.054	2.798	2.792	0.392
YBR130C	2.155	2.439	2.955	0.573
YKR014C	1.717	1.958	1.382	2.625
YBR052C	0.621	4.271	2.042	-0.358
YKL164C	2.174	2.159	2.602	1.190
YBR232C	2.005	1.220	1.257	3.470
YOR120W	1.679	1.038	4.105	0.802
YER185W	2.061	1.834	3.356	0.754
YIL025C	1.488	1.692	3.580	0.671
YGR248W	1.537	2.516	2.773	0.631
YIR013C	0.742	1.356	4.484	0.077
YPR160W	1.080	1.228	2.326	2.361
YBR147W	1.533	1.057	4.127	0.727
YPL197C	1.511	1.486	2.444	1.976
YMR317W	1.046	0.833	0.481	4.590
YDR523C	0.912	1.552	3.276	1.077
YEL015W	1.871	1.220	3.378	1.294
YDR275W	1.208	1.201	1.974	2.708
YDR015C	1.336	2.185	3.430	0.267
YLR345W	1.100	1.256	1.385	3.235
YPR129W	1.668	1.577	2.616	1.680
YOR209C	0.588	0.413	0.145	5.314
YIL113W	1.208	1.732	3.921	0.211
YLL005C	1.092	1.238	1.632	2.990
YNL176C	0.926	1.128	0.933	3.796
YDL214C	2.294	3.233	2.352	0.272
YKL188C	1.705	1.506	1.868	2.476
YNL072W	1.813	1.966	3.528	0.355
YER119C	1.955	1.534	3.460	0.841
YDL242W	1.830	1.446	3.589	0.780
YBR063C	1.681	1.690	3.761	0.351
YLR390W	1.008	1.782	1.193	2.826
YNL328C	1.785	1.466	3.765	0.562
YBL022C	2.008	2.049	3.056	0.682
YDR198C	1.921	1.496	2.675	1.615
YKR011C	2.160	2.552	2.544	0.688
YBR032W	0.947	2.188	3.540	0.050
YFR038W	0.533	1.053	0.462	4.263
YKR012C	2.181	3.080	1.677	1.019
YHR095W	1.483	2.240	3.777	-0.243
YPR092W	1.737	2.041	1.164	2.568
YKL117W	1.551	1.985	2.116	1.661
YIL141W	2.084	2.725	2.959	0.074
YHR121W	0.597	1.915	1.764	2.078
YKR024C	0.006	0.019	0.001	5.732
YPR118W	1.048	0.985	4.506	0.256
YDR132C	2.085	1.934	3.075	0.734
YBL095W	1.154	1.556	3.621	0.564
YPL014W	1.422	2.439	2.995	0.293
YKL166C	2.276	1.846	1.362	2.519
YIL166C	0.982	1.506	3.927	0.293
YPL186C	1.255	1.763	1.640	2.314
YBR226C	1.502	2.339	1.034	2.341
YKL051W	1.945	1.769	0.608	3.335
YER174C	1.587	1.865	3.401	0.442
YOL107W	1.980	1.156	1.755	2.796
YAL031C	2.396	3.478	2.323	-0.101
YCR015C	1.787	1.988	2.700	1.003
YKL220C	0.892	2.751	1.989	0.948
YEL020C	1.627	2.994	2.663	0.016
YNR027W	2.358	1.398	1.863	2.409
YPL114W	1.912	3.314	1.736	0.616
YPR068C	2.282	2.523	2.148	0.992
YOL160W	1.323	1.587	0.499	3.574
YBR225W	1.980	2.544	0.909	2.206
YML054C	1.699	1.634	2.868	1.156
YOR076C	1.966	1.450	3.188	1.018
YPR152C	0.839	1.430	0.613	3.605
