orf	hap a | growth (colony size) | expression of clogging-prone Pdi1-DHFR [standard] | Ast T~Schuldiner M, 2016
YBL083C	2.7393590366465603
YBL085W	0.35329586339949365
YBL086C	0.4718690597041694
YBL087C	1.9642075738986673
YBL088C	0.7343706338197489
YBL089W	-0.40570924893846716
YBL091C	0.12118173864330975
YBL091C-A	0.7100715822344287
YBL094C	0.6536388536643535
YBL095W	-0.07017290519727022
YBL096C	0.592434146612792
YBL098W	-0.28667691151975006
YBL099W	0.934257442353375
YBL100C	1.0752398050134861
YBL100W-C	0.848338608381147
YBL101C	-0.097150566687687
YBL102W	0.5785753568222555
YBL103C	0.216320912905853
YBL104C	0.05112841632120006
YBL106C	-0.3700952613432367
YBL107C	-0.01642795071465701
YBR001C	-0.21648091382538984
YBR003W	1.2980709053626371
YBR005W	0.8646379868222395
YBR006W	-0.18022483399047015
YBR007C	0.030146217434101362
YBR008C	0.17316670825824138
YBR009C	0.7586387298689139
YBR010W	0.25635264257225954
YBR012C	0.03744972225884298
YBR013C	-0.9060535684509097
YBR014C	0.11940488084438104
YBR015C	1.3780022869784763
YBR016W	-0.38747320681217745
YBR018C	2.927223169381114
YBR020W	-0.7174400679811369
YBR021W	2.202143990658134
YBR022W	-0.06274909773147773
YBR023C	0.8024269516055079
YBR024W	-0.07444895698588753
YBR025C	1.3503450797415595
YBR027C	-0.25834230489509835
YBR028C	-0.13427651029475093
YBR031W	1.4218651361192363
YBR032W	0.49855192102951795
YBR033W	0.23655653230606752
YBR034C	0.6127696708022552
YBR036C	1.267384134094391
YBR037C	2.365923096600398
YBR040W	-0.02827954342622129
YBR041W	0.9216917334511511
YBR042C	-0.5676189421060182
YBR043C	-0.3974098965412098
YBR044C	2.2896802389515147
YBR045C	0.6335464330383511
YBR046C	-0.20847609183066965
YBR047W	-0.0980008772918076
YBR048W	2.08085363430647
YBR050C	0.19535766511719063
YBR051W	-0.19980134115684178
YBR052C	-0.2304436445445046
YBR053C	-0.1560138260790781
YBR054W	0.07996044444448258
YBR056W	-0.6169364391370556
YBR056W-A	-0.23792807035839955
YBR057C	-0.4983752249128817
YBR058C	0.8479438822051335
YBR059C	1.3985054583822922
YBR061C	0.007174706192063362
YBR062C	0.14866775006366034
YBR063C	-0.2644913265673896
YBR064W	-0.11069622037497488
YBR065C	0.2832271879065744
YBR066C	0.4811324949417068
YBR067C	0.25923772512406457
YBR068C	-0.7549111369881326
YBR069C	-0.3928566862503434
YBR071W	0.1182827138777955
YBR072W	-0.5335114517034704
YBR073W	0.7199751923052171
YBR074W	-0.18026684895341744
YBR076W	0.39745602820256526
YBR077C	1.0239190044939777
YBR081C	-1.136791239296966
YBR082C	-0.10177329896922513
YBR083W	-1.17449269098662
YBR084C-A	2.0950680565602045
YBR084W	-0.647554479883386
YBR089C-A	-0.20238858287434452
YBR090C	-0.2218981086543814
YBR092C	-0.4240541967059523
YBR093C	1.2748492870830777
YBR094W	0.3009000207079608
YBR098W	0.7429486896209673
YBR099C	0.3557740942960467
YBR103W	1.500092187163452
YBR104W	-0.1772216013471894
YBR107C	0.1999043449589925
YBR108W	-0.21743566061477815
YBR113W	0.03955111161564654
YBR114W	0.6107584941045141
