ORF	hap a | growth (colony size) | expression of clogging-prone Pdi1-DHFR [standard] | Ast T~Schuldiner M, 2016
YLR436C	0.763
YDL006W	1.262
YGR234W	0.684
YMR058W	0.780
YMR001C-A	0.825
YPR166C	0.727
YHR067W	1.112
YKR057W	0.757
YOL052C-A	0.882
YIR004W	0.704
YNL114C	1.062
YAR035C-A	0.733
YBL049W	0.782
YJR033C	0.970
YDR441C	0.808
YKR007W	0.843
YGL181W	0.681
YKL081W	1.459
YMR284W	0.735
YGR088W	0.768
YDL130W-A	0.718
YOR084W	0.754
YER053C-A	0.781
YKL068W-A	0.834
YDR494W	0.756
YER124C	0.708
YDR316W	0.796
YDR358W	0.759
YNL212W	0.757
YFL011W	0.770
YML057W	0.715
YOR094W	0.766
YLR054C	0.760
YDR408C	1.079
YJR135W-A	0.846
YOR086C	0.752
YEL003W	1.492
YDR209C	0.796
YMR057C	0.733
YKR016W	1.016
YKL106W	0.936
YJL036W	0.904
YDR246W-A	0.829
YMR174C	0.840
YCL026C-B	0.842
YDR126W	1.256
YGL025C	0.731
YBR222C	0.758
YDR502C	0.792
YFR035C	0.765
YGR114C	0.804
YIR020W-A	0.736
YIL029C	0.810
YLR432W	0.785
YOR038C	1.020
YDR099W	0.757
YFL034C-A	0.924
YBL057C	0.791
YKL056C	0.923
YBR013C	0.717
YMR013W-A	0.839
YMR310C	0.803
YDL104C	1.052
YLR021W	0.892
YPL184C	0.785
YLR171W	0.774
YJL116C	0.773
YDR326C	0.707
YGR121W-A	0.883
YMR300C	0.952
YKR020W	1.098
YLL006W	1.092
YNL130C	0.688
YOL091W	0.817
YKL216W	0.801
YML048W	1.264
YNL316C	0.644
YCR034W	1.394
YBR185C	0.950
YNL196C	0.798
YKL011C	0.952
YDR179W-A	0.784
YGR292W	0.821
YJR151W-A	0.981
YCR068W	0.834
YMR188C	0.785
YBL080C	2.059
YLR217W	0.741
YPR160W	0.768
YDR321W	0.814
YKL010C	0.813
YNL249C	0.767
YOR221C	0.905
YLR386W	0.721
YKL053C-A	0.989
YER123W	0.823
YDL057W	0.700
YJL168C	0.764
YNL121C	0.776
YGR040W	0.869
YEL041W	0.814
YGL226W	0.941
YOL036W	0.977
YMR182W-A	0.817
YOR083W	0.851
YER038W-A	0.763
YDR523C	0.756
YER128W	0.744
YOR062C	0.804
YGR035W-A	0.809
YML006C	0.987
YGL077C	0.824
YDR169C-A	0.953
YML008C	1.531
YGR174W-A	0.921
YKR014C	0.769
YIL117C	0.790
YBR290W	0.775
YER119C	0.714
YFL041W-A	0.784
YMR294W-A	0.781
YER188W	0.824
YEL031W	0.976
YLR081W	1.552
YGR124W	0.715
YKR035W-A	0.830
YGL002W	0.783
YGR290W	0.829
YDR368W	0.783
YKL159C	0.787
YDR486C	0.793
YGL170C	0.840
YER180C-A	0.863
YKL029C	0.802
YKL065C	0.783
YML020W	0.735
YMR282C	0.858
YIL046W-A	0.780
YER096W	0.747
YLR114C	0.854
YMR295C	0.742
YDR057W	0.735
YGR249W	0.829
YGL179C	0.809
YOR092W	0.836
YLL061W	0.771
YLR364W	0.794
YBR056W	0.794
YKL106C-A	1.055
YDL237W	0.860
YMR173W-A	0.811
YER055C	0.808
YER181C	0.726
YPL119C-A	0.788
YDR380W	0.719
YGL258W	0.809
YDR207C	1.258
YGL162W	0.722
YIL162W	0.813
YGL138C	0.858
YDR003W-A	0.889
YBL043W	0.758
YOR197W	0.861
YGR146C-A	0.844
YNR074C	0.738
YKL123W	0.822
YDR520C	0.844
YPR023C	0.746
YOR241W	1.083
YNL254C	0.833
YNL160W	0.732
YMR285C	0.952
YBR161W	0.725
YDR218C	0.759
YLR192C	1.194
YLL060C	0.786
YBR285W	0.797
YDR140W	0.841
YPL039W	0.851
YKL150W	0.840
YGR061C	1.077
YDL239C	0.812
YLR099C	0.830
YKL105C	0.748
YER132C	0.899
YGL032C	0.812
YNL076W	0.769
YLR059C	0.826
YHR202W	0.837
YGR178C	0.837
YOR179C	0.884
YFL051C	0.792
YFR057W	0.792
YFL012W	0.775
YNR072W	0.780
YML081W	0.784
YOR219C	0.880
YNL283C	0.780
YNL305C	0.849
YPL248C	1.680
YJR054W	0.845
YDL039C	0.898
YDR506C	0.921
YBR146W	0.837
YGL017W	0.796
YER074W	0.821
YGR149W	0.838
YDR431W	0.920
YNR006W	0.880
YMR132C	0.834
YER083C	1.211
YKL090W	0.773
YDR098C	0.852
YBR084W	0.786
YOR333C	1.011
YIL014W	0.787
YDR008C	0.921
YOR297C	0.797
YER081W	0.764
YLR130C	0.781
YIR037W	0.762
YBR043C	0.853
YLR372W	1.277
YOL075C	0.805
YPL113C	0.786
YGR080W	0.773
YGL220W	0.911
YJL047C-A	0.793
YNL143C	0.816
YGR285C	1.424
YBR130C	0.849
YLR098C	0.782
YLR084C	0.781
YBR182C-A	0.857
YOL107W	0.831
YFR053C	0.774
YDR424C	0.778
YDR428C	0.854
YJL152W	0.877
YMR175W-A	0.873
YMR194C-B	0.865
YFR024C-A	0.873
YKL027W	0.803
YEL015W	0.826
YEL023C	0.795
YBR194W	0.767
YLL055W	0.734
YPL216W	0.797
YKL038W	0.910
YCR106W	0.801
YKL217W	0.757
YMR261C	0.810
YJR130C	0.818
YPR028W	0.783
YOR208W	0.812
YMR315W	0.895
YJL051W	0.812
YOR239W	0.840
YGL232W	0.723
YBR072W	0.817
YBR068C	0.758
YKL198C	0.788
YDR430C	0.788
YBL029C-A	0.818
YBR196C-B	0.749
YBR200W-A	0.767
YER175W-A	0.886
YGR042W	0.829
YEL039C	0.833
YCL006C	0.873
YIL164C	0.839
YGR256W	0.831
YOR005C	0.862
YDR370C	0.858
YOR311C	0.815
YCR105W	0.813
YOR136W	1.713
YOR285W	0.859
YMR274C	0.807
YPL165C	0.783
YBR082C	0.932
YLR263W	0.835
YCL023C	0.940
YMR225C	0.915
YNL023C	0.894
YAR028W	0.772
YHR046C	0.814
YNR059W	0.844
YML038C	0.840
YER117W	0.917
YDR261C	0.818
YPR170C	0.796
YKR033C	0.849
YEL008W	0.789
YEL040W	0.841
YBL007C	0.912
YBR267W	1.027
YIL002C	0.837
YGL013C	0.840
YMR245W	0.902
YHL020C	0.759
YER062C	0.853
YDR194W-A	0.829
YML096W	0.824
YGR265W	0.864
YDL051W	0.763
YGR206W	0.753
YDR466W	0.800
YOR242C	0.864
YGR004W	0.780
YBR145W	0.835
YDL232W	0.850
YOR288C	0.760
