orf	hap a | growth (colony size) | lanthanum(3+) [4.5 mM] | YPD | Grosjean N~Blaudez D, 2022	hap a | growth (colony size) | ytterbium [3.8 mM] | YPD | Grosjean N~Blaudez D, 2022
YDL106C	-2.0	0.0
YDL119C	2.0	1.0
YDL133W	-1.0	1.0
YDL146W	2.0	0.0
YDL151C	-2.0	-1.0
YDL159W	0.0	1.0
YDL160C	-3.0	0.0
YDL161W	1.0	0.0
YDL176W	3.0	0.0
YDL181W	2.0	2.0
YDL185W	-3.0	0.0
YDL191W	3.0	0.0
YDL192W	-2.0	-2.0
YDL232W	2.0	1.0
YDR027C	-3.0	-3.0
YDR028C	0.0	2.0
YDR067C	2.0	0.0
YDR069C	2.0	2.0
YDR094W	3.0	0.0
YDR103W	3.0	0.0
YDR105C	3.0	0.0
YDR108W	-2.0	0.0
YDR127W	2.0	1.0
YDR129C	2.0	0.0
YDR136C	-2.0	0.0
YDR137W	-2.0	0.0
YDR140W	-2.0	0.0
YDR144C	0.0	1.0
YDR153C	2.0	0.0
YDR159W	0.0	2.0
YDR162C	-1.0	2.0
YDR173C	-2.0	0.0
YDR195W	-2.0	0.0
YDR200C	0.0	1.0
YDR202C	-2.0	1.0
YDR207C	-1.0	0.0
YDR227W	0.0	1.0
YDR237W	1.0	0.0
YDR245W	-1.0	0.0
YDR264C	0.0	2.0
YDR268W	1.0	0.0
YDR294C	1.0	1.0
YDR297W	2.0	2.0
YDR300C	1.0	1.0
YDR320C	-2.0	0.0
YDR326C	1.0	1.0
YDR346C	2.0	0.0
YDR357C	1.0	0.0
YDR360W	2.0	0.0
YDR363W-A	0.0	1.0
YDR364C	-1.0	0.0
YDR372C	-1.0	-1.0
YDR378C	2.0	0.0
YDR382W	-2.0	-2.0
YDR389W	-2.0	2.0
YDR391C	1.0	0.0
YDR414C	-2.0	0.0
YDR417C	-2.0	0.0
YDR418W	-1.0	0.0
YDR431W	1.0	0.0
YDR432W	1.0	1.0
YDR433W	0.0	1.0
YDR435C	2.0	0.0
YDR442W	2.0	0.0
YDR444W	-3.0	0.0
YDR445C	-3.0	0.0
YDR450W	-2.0	0.0
YDR456W	-1.0	0.0
YDR457W	-1.0	0.0
YDR461W	0.0	2.0
YDR462W	0.0	1.0
YDR463W	2.0	0.0
YDR475C	-1.0	0.0
YDR477W	-2.0	0.0
YDR484W	-2.0	-3.0
YDR486C	-1.0	0.0
YDR505C	-1.0	0.0
YEL027W	-2.0	0.0
YEL029C	1.0	0.0
YEL036C	-2.0	0.0
YEL045C	1.0	0.0
YEL046C	1.0	0.0
YEL048C	1.0	0.0
YEL053C	1.0	0.0
YEL054C	2.0	0.0
YEL061C	2.0	0.0
YEL062W	2.0	0.0
YER019W	2.0	2.0
YER031C	-1.0	0.0
YER037W	2.0	3.0
YER074W	-2.0	0.0
YER077C	0.0	1.0
YER083C	0.0	1.0
YER087W	2.0	1.0
YER090W	2.0	0.0
YER119C-A	-1.0	0.0
YER130C	2.0	0.0
YER151C	-2.0	0.0
YER155C	1.0	0.0
YER174C	0.0	1.0
YFL012W-A	1.0	0.0
YFL016C	0.0	1.0
YFL025C	0.0	1.0
YFR001W	-2.0	0.0
YFR010W	3.0	2.0
YFR013W	1.0	0.0
YFR034C	-2.0	-2.0
YFR035C	1.0	0.0
YFR044C	1.0	0.0
YFR057W	1.0	0.0
YGL005C	-2.0	0.0
YGL007C-A	1.0	0.0
YGL007W	2.0	0.0
YGL012W	-2.0	0.0
YGL014W	2.0	0.0
YGL020C	2.0	2.0
YGL031C	-1.0	0.0
YGL045W	0.0	1.0
YGL054C	-2.0	0.0
YGL058W	-1.0	0.0
YGL064C	1.0	0.0
YGL070C	2.0	-3.0
YGL079W	1.0	1.0
YGL100W	-1.0	0.0
YGL105W	-3.0	0.0
YGL115W	-2.0	0.0
YGL124C	-2.0	0.0
YGL135W	-2.0	0.0
YGL140C	0.0	1.0
YGL173C	-3.0	1.0
YGL188C-A	-2.0	0.0
YGL203C	-2.0	1.0
YGL211W	-2.0	0.0
YGL212W	-2.0	0.0
YGL218W	-1.0	0.0
YGL223C	0.0	-3.0
YGL246C	-1.0	0.0
YGL253W	0.0	1.0
YGR004W	-1.0	1.0
YGR020C	-3.0	0.0
YGR025W	2.0	0.0
YGR026W	3.0	0.0
YGR028W	0.0	1.0
YGR036C	-2.0	1.0
YGR037C	1.0	0.0
YGR056W	-3.0	0.0
YGR064W	2.0	0.0
YGR072W	1.0	0.0
YGR086C	-2.0	0.0
YGR089W	-2.0	0.0
YGR096W	1.0	0.0
YGR097W	1.0	0.0
YGR102C	1.0	0.0
YGR105W	-3.0	0.0
YGR118W	-2.0	0.0
YGR139W	0.0	1.0
YGR155W	-2.0	0.0
YGR157W	-2.0	0.0
YGR159C	-2.0	0.0
YGR160W	-3.0	-3.0
YGR162W	-2.0	0.0
YGR163W	-2.0	0.0
YGR192C	2.0	0.0
YGR200C	-2.0	0.0
YGR206W	2.0	0.0
YGR208W	-2.0	3.0
YGR214W	-3.0	0.0
YGR227W	1.0	1.0
YGR228W	2.0	0.0
YGR229C	2.0	2.0
YGR252W	-2.0	0.0
YGR258C	0.0	1.0
YGR270W	-1.0	0.0
YGR271C-A	-2.5	-1.5
YHL011C	-1.0	0.0
YHR004C	-1.0	0.0
YHR008C	3.0	0.0
YHR010W	0.0	1.0
YHR012W	-2.0	0.0
YHR021C	-2.0	0.0
YHR026W	-3.0	0.0
YHR045W	1.0	0.0
YHR050W	0.0	-1.0
YHR060W	-2.0	0.0
YHR064C	-3.0	0.0
YHR090C	-1.0	1.0
YHR098C	2.0	0.0
YHR111W	-2.0	-1.0
YHR135C	0.0	2.0
YHR153C	0.0	2.0
YHR191C	0.0	2.0
YHR193C	0.0	2.0
YHR203C	-1.0	0.0
YHR205W	-1.0	0.0
YIL008W	-2.0	0.0
YIL010W	-2.0	0.0
YIL027C	2.0	0.0
YIL034C	2.0	0.0
YIL047C	0.0	2.0
YIL049W	0.0	2.0
YIL052C	-1.0	0.0
YIL054W	0.0	1.0
YIL084C	2.0	2.0
YIL093C	0.0	1.0
YIL097W	0.0	2.0
YIL128W	0.0	1.0
YIL134W	0.0	2.0
YIL148W	0.0	1.0
YIL153W	1.0	0.0
YIL157C	0.0	1.0
YIR009W	0.0	1.0
YIR033W	1.0	1.0
YIR042C	1.0	0.0
YJL006C	-2.0	0.0
YJL024C	0.0	1.0
YJL029C	0.0	1.0
YJL053W	-2.0	0.0
YJL062W	2.0	0.0
YJL063C	2.0	0.0
YJL064W	2.0	0.0
YJL065C	2.0	0.0
YJL075C	-2.0	-2.0
YJL095W	-1.0	-2.0
YJL102W	2.0	0.0
YJL110C	1.0	0.0
YJL117W	-2.0	0.0
YJL120W	2.0	0.0
YJL121C	-3.0	0.0
YJL124C	3.0	0.0
YJL128C	2.0	0.0
YJL131C	2.0	0.0
YJL134W	0.0	2.0
YJL140W	2.0	0.0
YJL154C	-1.0	0.0
YJL165C	-1.0	0.0
YJL188C	-3.0	-3.0
YJL189W	-2.0	0.0
YJL190C	1.0	0.0
YJL198W	-2.0	0.0
YJL204C	-3.0	-3.0
YJL207C	2.0	0.0
YJL209W	2.0	0.0
YJL211C	1.0	0.0
YJR018W	-2.0	0.0
YJR033C	-2.0	0.0
YJR040W	-2.0	0.0
YJR055W	-3.0	1.0
YJR056C	0.0	1.0
YJR060W	-2.0	0.0
YJR074W	0.0	1.0
YJR086W	0.0	1.0
YJR087W	1.0	0.0
YJR090C	-3.0	2.0
YJR102C	0.0	2.0
YJR105W	-3.0	-3.0
YJR118C	0.0	1.0
YKL002W	1.0	2.0
YKL007W	1.0	0.0
YKL037W	0.0	2.0
YKL041W	2.0	1.0
YKL056C	-1.0	0.0
YKL061W	2.0	0.0
YKL080W	-3.0	0.0
YKL081W	-2.0	0.0
YKL096C-B	0.0	2.0
YKL096W	0.0	1.0
YKL101W	2.0	0.0
YKL118W	-2.0	0.0
YKL119C	-3.0	0.0
YKL126W	1.0	0.0
YKL135C	-2.0	-2.0
YKL139W	-2.0	0.0
YKL143W	-3.0	-2.0
YKL157W	-2.0	0.0
YKL176C	-2.0	-2.0
YKL204W	-2.0	0.0
YKL212W	-3.0	-2.0
YKL213C	1.0	0.0
YKR001C	-3.0	0.0
YKR004C	-1.0	0.0
YKR007W	-2.0	0.0
YKR019C	-3.0	0.0
YKR020W	-3.0	-2.0
YKR024C	-3.0	-1.0
YKR028W	2.0	0.0
YKR035C	0.0	1.0
YKR035W-A	0.0	2.0
YKR042W	0.0	2.0
YKR055W	-2.0	3.0
YKR057W	-2.0	0.0
YKR085C	1.0	0.0
YKR092C	-2.0	1.0
YKR099W	0.0	-1.0
YKR101W	0.0	2.0
YLL013C	1.0	0.0
YLL028W	2.0	0.0
YLL030C	0.0	2.0
YLL033W	2.0	0.0
YLL038C	3.0	2.0
YLL045C	2.0	0.0
YLR006C	2.0	0.0
YLR020C	-2.0	0.0
YLR025W	0.0	2.0
YLR027C	2.0	0.0
YLR039C	-3.0	0.0
YLR047C	2.0	0.0
YLR056W	2.0	3.0
YLR062C	-2.0	-1.0
YLR087C	0.0	1.0
YLR119W	2.0	2.0
YLR138W	1.0	0.0
YLR148W	-2.0	-2.0
YLR169W	1.0	0.0
YLR176C	2.0	0.0
YLR182W	-1.0	0.0
YLR184W	0.0	1.0
YLR185W	0.0	1.0
YLR206W	3.0	0.0
YLR216C	2.0	0.0
YLR217W	2.0	0.0
YLR224W	2.0	0.0
YLR226W	-2.0	-1.0
YLR233C	-2.0	0.0
YLR240W	-3.0	0.0
YLR242C	1.0	0.0
YLR244C	-2.0	-1.0
YLR261C	-3.0	0.0
YLR262C	-3.0	0.0
YLR264C-A	-1.0	0.0
YLR264W	-2.0	0.0
YLR322W	-2.0	0.0
YLR332W	1.0	0.0
YLR337C	3.0	0.0
YLR342W	2.0	1.0
YLR350W	3.0	3.0
YLR357W	-2.0	0.0
YLR360W	-2.0	0.0
YLR361C	-2.0	0.0
YLR362W	0.0	2.0
YLR370C	2.0	0.0
YLR371W	1.0	0.0
YLR372W	2.0	3.0
YLR374C	-2.0	0.0
YLR380W	-2.0	0.0
YLR396C	-2.0	-2.0
YLR403W	-2.0	-3.0
YLR407W	2.0	0.0
YLR408C	2.0	0.0
YLR414C	-1.0	0.0
YLR417W	0.0	3.0
YLR425W	2.0	0.0
YLR441C	-1.0	0.0
YLR442C	0.0	2.0
YML007C-A	1.0	0.0
YML012C-A	2.0	2.0
YML017W	2.0	0.0
YML024W	-2.0	0.0
YML026C	-1.0	0.0
YML057C-A	-2.0	-1.0
YML057W	-2.0	-1.0
YML063W	-3.0	-2.0
YML071C	-2.0	0.0
YML072C	2.0	0.0
YML097C	-2.0	0.0
YML111W	2.0	0.0
YML116W	2.0	0.0
YML121W	-1.0	0.0
YML128C	-1.0	0.0
YMR004W	-2.0	0.0
YMR010W	2.0	2.0
YMR031C	1.0	0.0
YMR035W	0.0	1.0
YMR060C	1.0	1.0
YMR077C	1.0	2.0
YMR102C	1.0	0.0
YMR106C	1.0	0.0
YMR109W	2.0	0.0
YMR110C	0.0	1.0
YMR123W	-3.0	0.0
YMR124W	1.0	0.0
YMR127C	1.0	0.0
YMR143W	-2.0	0.0
YMR154C	1.0	0.0
YMR158W	2.0	0.0
YMR174C	0.0	2.0
YMR183C	-2.0	0.0
YMR202W	-1.0	1.0
YMR216C	2.0	1.0
YMR230W	-1.0	0.0
YMR231W	0.0	1.0
YMR238W	-2.0	0.0
YMR242C	-2.0	0.0
YMR242W-A	-1.0	0.0
YMR266W	0.0	2.0
YMR267W	0.0	2.0
YMR269W	-2.0	0.0
YMR272C	-1.0	2.0
YMR275C	3.0	0.0
YMR307W	-1.0	2.0
YMR313C	2.0	0.0
YNL032W	0.0	1.0
YNL037C	1.0	0.0
YNL041C	-2.0	0.0
YNL051W	-3.0	0.0
YNL055C	-1.0	0.0
YNL059C	0.0	-1.0
YNL080C	2.0	2.0
YNL084C	1.0	0.0
YNL090W	1.0	0.0
YNL097C	1.0	2.0
YNL099C	0.0	2.0
YNL105W	2.0	0.0
YNL106C	2.0	0.0
YNL107W	-2.0	0.0
YNL111C	2.0	0.0
YNL119W	-2.0	0.0
YNL136W	2.0	0.0
YNL138W	0.0	2.0
YNL139C	1.0	1.0
YNL147W	1.0	1.0
YNL153C	2.0	1.0
YNL177C	1.0	0.0
YNL192W	0.0	2.0
YNL197C	0.0	2.0
YNL198C	2.0	0.0
YNL215W	1.0	0.0
YNL235C	1.0	-1.0
YNL236W	0.0	-3.0
YNL238W	-3.0	3.0
YNL248C	-2.0	0.0
YNL264C	0.0	1.0
YNL273W	2.0	1.0
YNL280C	-2.0	0.0
YNL291C	2.0	0.0
YNL293W	2.0	0.0
YNL296W	1.0	1.0
YNL298W	2.0	0.0
YNL302C	-2.0	0.0
YNL307C	-2.0	0.0
YNL322C	-1.0	3.0
YNL323W	-2.0	0.0
YNL326C	-1.0	0.0
YNR005C	2.0	3.0
YNR006W	3.0	2.0
YNR031C	0.0	2.0
YNR032C-A	0.0	2.0
YNR047W	-2.0	0.0
YNR049C	-3.0	0.0
YNR052C	-2.0	3.0
YNR058W	-2.0	0.0
YNR067C	1.0	0.0
YOL004W	0.0	2.0
YOL006C	-1.0	2.0
YOL012C	-1.0	0.0
YOL013C	0.0	1.0
YOL018C	-2.0	-2.0
YOL044W	1.0	0.0
YOL050C	2.0	0.0
YOL072W	-1.0	1.0
YOL087C	-1.0	0.0
YOL090W	2.0	2.0
YOL107W	2.0	0.0
YOL110W	2.0	0.0
YOL111C	1.0	2.0
YOL115W	1.0	2.0
YOL122C	-1.0	0.0
YOL129W	1.0	0.0
YOL162W	1.0	0.0
YOR002W	0.0	2.0
YOR008C	3.0	2.0
YOR026W	1.0	0.0
YOR035C	2.0	1.0
YOR036W	-1.0	0.0
YOR061W	3.0	1.0
YOR067C	0.0	2.0
YOR068C	-2.0	0.0
YOR069W	-2.0	1.0
YOR085W	0.0	2.0
YOR086C	1.0	0.0
YOR096W	-3.0	0.0
YOR101W	1.0	2.0
YOR105W	0.0	2.0
YOR106W	-2.0	0.0
YOR109W	0.0	2.0
YOR112W	0.0	2.0
YOR124C	0.0	2.0
YOR132W	0.0	1.0
YOR135C	0.0	2.0
YOR136W	0.0	2.0
YOR150W	0.0	1.0
YOR199W	2.0	0.0
YOR208W	0.0	1.0
YOR212W	0.0	1.0
YOR220W	1.0	1.0
YOR235W	-1.0	0.0
YOR251C	1.0	0.0
YOR265W	0.0	2.0
YOR295W	-2.0	0.0
YOR317W	2.0	0.0
YOR331C	-2.0	0.0
YOR369C	0.0	2.0
YPL002C	0.0	2.0
YPL031C	-2.0	-1.0
YPL045W	-2.0	-2.0
YPL050C	-2.0	0.0
YPL051W	-2.0	0.0
YPL056C	-1.0	-3.0
YPL057C	-3.0	-3.0
YPL065W	2.0	1.0
YPL084W	2.0	2.0
YPL120W	-2.0	0.0
YPL129W	-2.0	0.0
YPL136W	3.0	3.0
YPL138C	3.0	3.0
YPL139C	2.0	0.0
YPL145C	-1.0	0.0
YPL152W	2.0	0.0
YPL157W	-2.0	-2.0
YPL180W	2.0	0.0
YPL181W	2.0	0.0
YPL183W-A	0.0	2.0
YPL193W	-2.0	0.0
YPL205C	0.0	2.0
YPL226W	-2.0	0.0
YPL232W	-2.0	0.0
YPL249C-A	-2.0	0.0
YPL259C	-1.0	0.0
YPR018W	0.0	1.0
YPR036W	-3.0	0.0
YPR039W	1.0	0.0
YPR046W	1.0	1.0
YPR049C	0.0	2.0
YPR067W	1.0	0.0
YPR074C	1.0	0.0
YPR095C	-2.0	0.0
YPR099C	-1.0	0.0
YPR101W	1.0	0.0
YPR119W	1.0	1.0
YPR126C	1.0	2.0
YPR141C	1.0	2.0
YPR159W	-1.0	3.0
YPR160W	1.0	2.0
YPR163C	-3.0	-3.0
YPR173C	3.0	1.0
