orf	hap a | growth (spot assay) | acetic acid [70-110 mM], pH [4.5] | Mira NP~Sa Correia I, 2010
YMR300C	-2.0
YMR304W	-1.0
YMR307W	-2.0
YMR312W	-2.0
YMR326C	-2.0
YNL005C	-2.0
YNL021W	-2.0
YNL051W	-2.0
YNL055C	-2.0
YNL084C	-2.0
YNL089C	-1.0
YNL098C	-1.0
YNL147W	-2.0
YNL148C	-2.0
YNL160W	-2.0
YNL177C	-1.0
YNL192W	-2.0
YNL199C	-2.0
YNL200C	-2.0
YNL208W	-2.0
YNL215W	-1.0
YNL229C	-2.0
YNL236W	-2.0
YNL241C	-2.0
YNL250W	-1.0
YNL255C	-1.0
YNL294C	-1.0
YNL296W	-2.0
YNL307C	-2.0
YNL315C	-2.0
YNR005C	-2.0
YNR006W	-2.0
YNR030W	-1.0
YNR047W	-1.0
YNR051C	-2.0
YNR052C	-2.0
YOL004W	-2.0
YOL006C	-2.0
YOL012C	-2.0
YOL018C	-2.0
YOL023W	-1.0
YOL033W	-2.0
YOL049W	-2.0
YOL050C	-1.0
YOL068C	-1.0
YOL072W	-2.0
YOL081W	-1.0
YOL090W	-1.0
YOL095C	-1.0
YOL110W	-1.0
YOL111C	-1.0
YOL121C	-1.0
YOR026W	-2.0
YOR043W	-2.0
YOR068C	-2.0
YOR069W	-2.0
YOR070C	-1.0
YOR078W	-1.0
YOR089C	-1.0
YOR132W	-2.0
YOR141C	-2.0
YOR147W	-1.0
YOR164C	-1.0
YOR183W	-1.0
YOR196C	-1.0
YOR211C	-1.0
YOR241W	-1.0
YOR267C	-2.0
YOR292C	-1.0
YOR293W	-1.0
YOR304C-A	-1.0
YOR306C	-1.0
YOR307C	-1.0
YOR308C	-1.0
YOR309C	-1.0
YOR320C	-1.0
YOR324C	-1.0
YOR343C	-1.0
YOR344C	-1.0
YOR345C	-1.0
YOR346W	-1.0
YOR360C	-2.0
YOR371C	-2.0
YOR375C	-2.0
YOR378W	-1.0
YOR381W	-1.0
YOR382W	-1.0
YOR383C	-1.0
YPL002C	-2.0
YPL013C	-2.0
YPL029W	-2.0
YPL031C	-2.0
YPL042C	-1.0
YPL047W	-1.0
YPL050C	-2.0
YPL051W	-1.0
YPL055C	-1.0
YPL057C	-1.0
YPL062W	-1.0
YPL065W	-2.0
YPL078C	0.0
YPL079W	-1.0
YPL097W	-2.0
YPL104W	-2.0
YPL105C	-1.0
YPL106C	-1.0
YPL118W	-2.0
YPL132W	-1.0
YPL148C	-1.0
YPL157W	-2.0
YPL161C	-2.0
YPL172C	-2.0
YPL173W	-2.0
YPL174C	-1.0
YPL180W	-2.0
YPL193W	-2.0
YPL203W	-1.0
YPL205C	-2.0
YPL213W	-2.0
YPL214C	-2.0
YPL215W	-1.0
YPL249C-A	-2.0
YPL262W	-1.0
YPR008W	-2.0
YPR036W	-2.0
YPR043W	-1.0
YPR049C	-2.0
YPR070W	-1.0
YPR087W	0.0
YPR131C	-2.0
YPR138C	-1.0
YPR139C	0.0
YPR141C	-1.0
YPR156C	-1.0
YPR159W	-1.0
YPR160W	-2.0
YPR170C	-1.0
YPR173C	-1.0
YPR194C	-1.0
YPR197C	-1.0
