orf	hap a | growth (spot assay) | acetic acid [70-110 mM], pH [4.5] | Mira NP~Sa Correia I, 2010
YHR158C	-1.7196498667485454
YHR167W	-1.7196498667485454
YHR168W	-1.7196498667485454
YHR178W	-3.4392997334970907
YHR200W	-1.7196498667485454
YHR203C	-1.7196498667485454
YHR205W	-3.4392997334970907
YHR206W	-1.7196498667485454
YHR207C	-1.7196498667485454
YIL005W	-3.4392997334970907
YIL006W	-3.4392997334970907
YIL007C	-3.4392997334970907
YIL010W	-3.4392997334970907
YIL017C	-3.4392997334970907
YIL028W	-3.4392997334970907
YIL029C	-3.4392997334970907
YIL036W	-3.4392997334970907
YIL040W	-3.4392997334970907
YIL041W	-3.4392997334970907
YIL042C	-3.4392997334970907
YIL050W	-3.4392997334970907
YIL053W	-3.4392997334970907
YIL064W	-3.4392997334970907
YIL065C	-3.4392997334970907
YIL073C	-3.4392997334970907
YIL077C	-3.4392997334970907
YIL084C	-1.7196498667485454
YIL092W	-3.4392997334970907
YIL097W	-1.7196498667485454
YIL098C	-3.4392997334970907
YIL128W	-3.4392997334970907
YIL130W	-3.4392997334970907
YIL148W	-1.7196498667485454
YJL004C	-3.4392997334970907
YJL006C	-3.4392997334970907
YJL024C	-3.4392997334970907
YJL046W	-1.7196498667485454
YJL053W	-3.4392997334970907
YJL062W	-3.4392997334970907
YJL063C	-1.7196498667485454
YJL096W	-2.2928664889980603
YJL102W	-1.7196498667485454
YJL120W	-3.4392997334970907
YJL121C	-3.4392997334970907
YJL127C	-1.7196498667485454
YJL128C	-3.4392997334970907
YJL129C	-3.4392997334970907
YJL136C	-1.7196498667485454
YJL140W	-3.4392997334970907
YJL154C	-1.7196498667485454
YJL166W	-1.7196498667485454
YJL175W	-3.4392997334970907
YJL183W	-3.4392997334970907
YJL184W	-3.4392997334970907
YJL188C	-1.7196498667485454
YJL189W	-3.4392997334970907
YJR032W	-3.4392997334970907
YJR033C	-3.4392997334970907
YJR059W	-3.4392997334970907
YJR060W	-3.4392997334970907
YJR096W	-1.7196498667485454
YJR114W	-3.4392997334970907
YJR144W	-1.7196498667485454
YJR145C	-1.7196498667485454
YKL006W	-1.7196498667485454
YKL032C	-3.4392997334970907
YKL056C	-1.7196498667485454
YKL074C	-3.4392997334970907
YKL077W	-1.7196498667485454
YKL081W	-3.4392997334970907
YKL087C	-3.4392997334970907
YKL096C-B	-3.4392997334970907
YKL118W	-3.4392997334970907
YKL119C	-1.7196498667485454
YKL121W	-1.7196498667485454
YKL126W	-3.4392997334970907
YKL139W	-1.7196498667485454
YKL143W	-3.4392997334970907
YKL212W	-3.4392997334970907
YKL213C	-3.4392997334970907
YKR001C	-3.4392997334970907
YKR006C	-3.4392997334970907
YKR019C	-3.4392997334970907
YKR023W	-3.4392997334970907
YKR035C	-3.4392997334970907
YKR035W-A	-1.7196498667485454
YKR055W	-3.4392997334970907
YLL014W	-1.7196498667485454
YLL028W	-1.7196498667485454
YLL029W	-1.7196498667485454
YLL033W	-1.7196498667485454
YLL043W	-1.7196498667485454
YLL049W	-3.4392997334970907
YLL061W	-1.7196498667485454
YLR006C	-3.4392997334970907
YLR014C	-1.7196498667485454
YLR015W	-3.4392997334970907
YLR017W	-1.7196498667485454
YLR018C	-1.7196498667485454
YLR025W	-3.4392997334970907
YLR038C	-3.4392997334970907
YLR039C	-3.4392997334970907
YLR044C	0.0
YLR047C	-1.7196498667485454
YLR052W	-3.4392997334970907
YLR055C	-3.4392997334970907
YLR056W	-3.4392997334970907
YLR065C	-1.7196498667485454
YLR068W	-1.7196498667485454
YLR085C	-1.7196498667485454
YLR087C	-1.7196498667485454
YLR113W	-3.4392997334970907
YLR119W	-3.4392997334970907
YLR131C	-1.7196498667485454
YLR138W	-3.4392997334970907
YLR139C	-3.4392997334970907
YLR148W	-1.7196498667485454
YLR177W	-1.7196498667485454
YLR182W	-3.4392997334970907
YLR184W	-3.4392997334970907
YLR185W	-1.7196498667485454
YLR188W	-1.7196498667485454
YLR190W	-1.7196498667485454
YLR191W	-1.7196498667485454
YLR192C	-1.7196498667485454
YLR200W	-3.4392997334970907
YLR202C	-3.4392997334970907
YLR203C	-3.4392997334970907
YLR216C	-1.7196498667485454
YLR239C	-1.7196498667485454
YLR240W	-3.4392997334970907
YLR242C	-1.7196498667485454
YLR261C	-3.4392997334970907
YLR262C	-3.4392997334970907
YLR268W	-2.579474800122818
YLR295C	-1.7196498667485454
YLR318W	-1.7196498667485454
YLR330W	-1.7196498667485454
YLR337C	-1.7196498667485454
YLR338W	-1.7196498667485454
YLR342W	-3.4392997334970907
YLR357W	-1.7196498667485454
YLR358C	-3.4392997334970907
YLR370C	-3.4392997334970907
YLR371W	-3.4392997334970907
YLR372W	-3.4392997334970907
YLR373C	-3.4392997334970907
YLR374C	-3.4392997334970907
YLR414C	-3.4392997334970907
YLR417W	0.0
YLR427W	-3.4392997334970907
YML008C	-3.4392997334970907
YML038C	-1.7196498667485454
YML041C	-3.4392997334970907
YML042W	-1.7196498667485454
YML048W	-3.4392997334970907
YML063W	-1.7196498667485454
YML071C	-1.7196498667485454
YML110C	-1.7196498667485454
YML121W	-1.7196498667485454
YML128C	-1.7196498667485454
YMR004W	-1.7196498667485454
YMR032W	-1.7196498667485454
YMR037C	-3.4392997334970907
YMR038C	-1.7196498667485454
YMR058W	-1.7196498667485454
YMR060C	-1.7196498667485454
YMR063W	-3.4392997334970907
YMR067C	-1.7196498667485454
YMR070W	-1.7196498667485454
YMR071C	-1.7196498667485454
YMR077C	-1.7196498667485454
YMR078C	-1.7196498667485454
YMR082C	-1.7196498667485454
YMR123W	-3.4392997334970907
YMR145C	-1.7196498667485454
YMR154C	-3.4392997334970907
YMR180C	-1.7196498667485454
YMR183C	-3.4392997334970907
YMR202W	-3.4392997334970907
YMR213W	-3.4392997334970907
YMR241W	-1.7196498667485454
YMR242C	-1.7196498667485454
YMR251W-A	-1.7196498667485454
YMR263W	-3.4392997334970907
YMR269W	-3.4392997334970907
YMR272C	-1.7196498667485454
YMR275C	-1.7196498667485454
YMR282C	-1.7196498667485454
YMR285C	-1.7196498667485454
YMR286W	-1.7196498667485454
YMR287C	-1.7196498667485454
YMR289W	-1.7196498667485454
YMR297W	-1.7196498667485454
YMR300C	-3.4392997334970907
YMR304W	-1.7196498667485454
YMR307W	-3.4392997334970907
YMR312W	-3.4392997334970907
YMR326C	-3.4392997334970907
YNL005C	-3.4392997334970907
YNL021W	-3.4392997334970907
YNL051W	-3.4392997334970907
YNL055C	-3.4392997334970907
YNL084C	-3.4392997334970907
YNL089C	-1.7196498667485454
YNL098C	-1.7196498667485454
YNL147W	-3.4392997334970907
YNL148C	-3.4392997334970907
YNL160W	-3.4392997334970907
YNL177C	-1.7196498667485454
YNL192W	-3.4392997334970907
YNL199C	-3.4392997334970907
YNL200C	-3.4392997334970907
YNL208W	-3.4392997334970907
YNL215W	-1.7196498667485454
YNL229C	-3.4392997334970907
YNL236W	-3.4392997334970907
YNL241C	-3.4392997334970907
YNL250W	-1.7196498667485454
YNL255C	-1.7196498667485454
YNL294C	-1.7196498667485454
YNL296W	-3.4392997334970907
YNL307C	-3.4392997334970907
YNL315C	-3.4392997334970907
YNR005C	-3.4392997334970907
YNR006W	-3.4392997334970907
YNR030W	-1.7196498667485454
YNR047W	-1.7196498667485454
YNR051C	-3.4392997334970907
YNR052C	-3.4392997334970907
YOL004W	-3.4392997334970907
YOL006C	-3.4392997334970907
YOL012C	-3.4392997334970907
YOL018C	-3.4392997334970907
YOL023W	-1.7196498667485454
YOL033W	-3.4392997334970907
YOL049W	-3.4392997334970907
YOL050C	-1.7196498667485454
YOL068C	-1.7196498667485454
YOL072W	-3.4392997334970907
YOL081W	-1.7196498667485454
YOL090W	-1.7196498667485454
YOL095C	-1.7196498667485454
YOL110W	-1.7196498667485454
YOL111C	-1.7196498667485454
YOL121C	-1.7196498667485454
YOR026W	-3.4392997334970907
YOR043W	-3.4392997334970907
YOR068C	-3.4392997334970907
YOR069W	-3.4392997334970907
YOR070C	-1.7196498667485454
YOR078W	-1.7196498667485454
YOR089C	-1.7196498667485454
YOR132W	-3.4392997334970907
YOR141C	-3.4392997334970907
YOR147W	-1.7196498667485454
YOR164C	-1.7196498667485454
YOR183W	-1.7196498667485454
YOR196C	-1.7196498667485454
YOR211C	-1.7196498667485454
YOR241W	-1.7196498667485454
YOR267C	-3.4392997334970907
YOR292C	-1.7196498667485454
YOR293W	-1.7196498667485454
YOR304C-A	-1.7196498667485454
YOR306C	-1.7196498667485454
YOR307C	-1.7196498667485454
YOR308C	-1.7196498667485454
YOR309C	-1.7196498667485454
YOR320C	-1.7196498667485454
YOR324C	-1.7196498667485454
YOR343C	-1.7196498667485454
YOR344C	-1.7196498667485454
YOR345C	-1.7196498667485454
YOR346W	-1.7196498667485454
YOR360C	-3.4392997334970907
YOR371C	-3.4392997334970907
YOR375C	-3.4392997334970907
YOR378W	-1.7196498667485454
YOR381W	-1.7196498667485454
YOR382W	-1.7196498667485454
YOR383C	-1.7196498667485454
YPL002C	-3.4392997334970907
YPL013C	-3.4392997334970907
YPL029W	-3.4392997334970907
YPL031C	-3.4392997334970907
YPL042C	-1.7196498667485454
YPL047W	-1.7196498667485454
YPL050C	-3.4392997334970907
YPL051W	-1.7196498667485454
YPL055C	-1.7196498667485454
YPL057C	-1.7196498667485454
YPL062W	-1.7196498667485454
YPL065W	-3.4392997334970907
YPL078C	0.0
YPL079W	-1.7196498667485454
YPL097W	-3.4392997334970907
YPL104W	-3.4392997334970907
YPL105C	-1.7196498667485454
YPL106C	-1.7196498667485454
YPL118W	-3.4392997334970907
YPL132W	-1.7196498667485454
YPL148C	-1.7196498667485454
YPL157W	-3.4392997334970907
YPL161C	-3.4392997334970907
YPL172C	-3.4392997334970907
YPL173W	-3.4392997334970907
YPL174C	-1.7196498667485454
YPL180W	-3.4392997334970907
YPL193W	-3.4392997334970907
YPL203W	-1.7196498667485454
YPL205C	-3.4392997334970907
YPL213W	-3.4392997334970907
YPL214C	-3.4392997334970907
YPL215W	-1.7196498667485454
YPL249C-A	-3.4392997334970907
YPL262W	-1.7196498667485454
YPR008W	-3.4392997334970907
YPR036W	-3.4392997334970907
YPR043W	-1.7196498667485454
YPR049C	-3.4392997334970907
YPR070W	-1.7196498667485454
YPR087W	0.0
YPR131C	-3.4392997334970907
YPR138C	-1.7196498667485454
YPR139C	0.0
YPR141C	-1.7196498667485454
YPR156C	-1.7196498667485454
YPR159W	-1.7196498667485454
YPR160W	-3.4392997334970907
YPR170C	-1.7196498667485454
YPR173C	-1.7196498667485454
YPR194C	-1.7196498667485454
YPR197C	-1.7196498667485454
