Line,Ca44,Cd111,Co59,Cu65,Fe57,K39,Mg25,Mn55,Mo95,Na23,Ni60,P31,S34,Zn66
YBR095C_ko,-3.155913978,5.336283486,1.573412676,1.399691878,-0.139606569,0.833198496,-0.768479725,-3.726314308,-4.005357442,-3.563226794,-2.556950308,-1.721492374,-0.224148612,-1.499560016
YBR096W_ko,-0.637008113,1.053591589,1.558675527,1.94563154,0.008507501,0.29889562,-0.28584872,2.293392153,-1.237018319,0.078100633,1.187359481,-1.690305254,0.293444274,-0.278119454
YBR097W_ko,-1.950273568,0.393535945,-0.126720995,0.268193756,-2.405109746,-3.347588767,-3.540868121,-6.989589603,-2.692178011,-5.960605683,-0.634624465,-2.954051657,0.587366027,-1.380899765
YBR102C_ko,-0.562019103,-1.051037628,-0.517207648,-0.64139685,-0.700564229,-0.410430092,-1.113085604,-1.613906384,-0.20289241,0.601277653,-0.025966875,-0.59301594,-0.805567736,-0.297856176
YBR109C_ko,-0.226655336,0.074847059,-0.294423501,-0.395729837,-3.911370649,0.121255847,-0.853064003,-1.41724776,-1.573620323,-1.655523885,0.654730727,-1.475707654,-0.113313335,-0.74634394
YBR110W_ko,-0.642129408,-0.60060432,-0.134536464,0.991096904,0.540699339,0.647085796,0.308906668,-1.008932911,-0.931011216,0.468439535,0.543384768,-1.144137699,-0.382322553,1.02896955
YBR117C_ko,-1.021125707,-1.36984781,-0.070431191,0.386037139,-0.710411897,-0.078484621,-1.233366878,-1.032110292,-1.437901882,0.096298985,0.588250246,-2.025164012,-0.0295784,-2.240195496
YBR118W_ko,-2.158928593,0.517454058,1.133345397,0.397580625,0.459757517,-2.822455891,-3.203446991,-7.541374482,.,-5.796798092,1.5802143,-3.511145208,0.825902069,-0.861754464
YBR121C_ko,-0.830950829,0.134349725,0.126443661,-0.031855476,-2.888346907,0.870200359,0.042477405,-0.128642561,0.271941919,0.543573845,0.513381067,-0.338698086,0.285791211,0.499217168
YBR123C_ko,-0.252539278,1.14548126,0.430603265,0.996451236,-0.157544639,-0.403843253,-0.944361623,-1.969751893,1.11525114,-2.46617815,-0.503126006,-0.268695393,-3.734039608,0.530516112
YBR124W_ko,1.126951136,-0.473266105,-0.030208157,-0.441731693,-0.94928636,-0.201589754,-0.169923529,-0.340166712,-1.392622739,-0.17864814,-1.665738328,-1.2197671,1.505546652,-2.862726542
YBR135W_ko,-0.403872707,-0.702968394,-0.493592008,0.124763479,-0.355913213,0.057130772,-0.494804298,-0.330318136,-0.993587387,0.212826175,-1.735733815,-0.931566986,-0.506251051,-0.226228753
YBR136W_ko,-0.478779011,-0.683945787,0.01512962,0.697942738,0.722567058,-0.268099442,-0.404681927,-0.489437134,-2.081010269,-0.831621605,0.727285377,-1.539936638,-0.218753021,-0.362971573
YBR140C_ko,0.922641759,-0.366369779,0.709867018,0.802782009,2.01257103,0.241402584,0.747552477,-0.974723491,-1.792757564,-1.810738442,1.712782851,-0.419347835,-0.178867416,0.392514787
YBR142W_ko,-0.168093251,0.395921003,0.862966899,1.414397872,0.751031692,0.249864892,0.607585998,0.512134427,0.502526684,0.524496197,0.850077044,0.188902162,0.153568708,1.078917142
YBR143C_ko,-0.477833412,-0.015676824,0.456111186,1.597879983,0.770710079,0.333865936,0.579418222,-0.570366864,-0.955087967,-0.300094097,0.957268429,-0.607052669,-0.109897529,0.208205108
