orf	hap a | growth (colony size) | SGEPH E. purpurea extract [2.1 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPH E. purpurea extract [0.8 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPR E. purpurea extract [4.5 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPR E. purpurea extract [2.3 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SG1 E. purpurea extract [5.2 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SG1 E. purpurea extract [4.5 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SG7a E. pallida extract [1.8 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SG7a E. pallida extract [1.8 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPF E. purpurea extract [1.3 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPF E. purpurea extract [0.8 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPLS E. purpurea extract [4.0 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPLS E. purpurea extract [2.1 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEARa E. pallida extract [0.6 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEARa E. pallida extract [0.6 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEARb E. pallida extract [1.3 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEARb E. pallida extract [0.3 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010
YAR002W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-31.522	0.0	0.0
YAR003W	0.0	0.0	0.0	-38.428	0.0	0.0	-77.084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAR014C	-35.659	0.0	0.0	0.0	0.0	-54.347	-40.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAR015W	0.0	0.0	0.0	0.0	0.0	0.0	-41.627	0.0	0.0	0.0	0.0	0.0	0.0	-30.921	0.0	0.0
YAR018C	-32.563	0.0	0.0	0.0	0.0	0.0	-54.826	-62.729	0.0	0.0	-58.919	0.0	0.0	0.0	0.0	0.0
YAR023C	0.0	0.0	0.0	0.0	0.0	0.0	-38.973	-38.209	0.0	0.0	-74.733	0.0	0.0	-50.507	0.0	0.0
YAR027W	0.0	0.0	0.0	0.0	0.0	0.0	-40.709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAR031W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-61.701	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAR035W	0.0	0.0	0.0	0.0	0.0	0.0	-39.328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAR040C	0.0	0.0	0.0	0.0	0.0	0.0	-49.339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAR042W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAR050W	0.0	0.0	0.0	0.0	0.0	-39.257	0.0	0.0	-77.002	0.0	-50.358	0.0	0.0	0.0	0.0	0.0
YBL002W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-41.343	0.0	0.0	0.0	0.0
YBL008W	0.0	0.0	0.0	0.0	0.0	0.0	-41.629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-54.308
YBL010C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-43.073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL011W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-66.531	0.0	0.0	-90.771
YBL019W	0.0	0.0	-39.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL024W	0.0	0.0	0.0	0.0	0.0	0.0	-53.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL025W	0.0	0.0	0.0	0.0	0.0	0.0	-66.221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-88.133
YBL027W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-73.178
YBL028C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-80.812
YBL031W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-33.179	0.0	0.0	0.0	-130.7
YBL036C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-55.227
YBL037W	0.0	0.0	-33.944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-44.725
YBL057C	0.0	-35.1	0.0	0.0	-39.087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL058W	-28.791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL059W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-34.167	0.0
YBL060W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-37.415	0.0
YBL061C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-176.27	0.0	0.0	0.0
YBL063W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-48.16	0.0	0.0	0.0	0.0	0.0	0.0
YBL065W	-50.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL067C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-38.046	0.0
YBL069W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-63.833	0.0	0.0	0.0	0.0	0.0
YBL070C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-46.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL078C	0.0	0.0	0.0	0.0	0.0	0.0	-62.142	0.0	0.0	-47.499	0.0	0.0	0.0	0.0	0.0	0.0
YBL083C	0.0	-34.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL089W	0.0	0.0	0.0	0.0	0.0	0.0	-39.434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL091C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-45.781	0.0	0.0	0.0	0.0	0.0
YBL091C-A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-48.131	0.0	0.0	0.0	0.0	0.0	0.0
YBL093C	-27.076	-29.015	-57.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL094C	0.0	-41.208	0.0	0.0	-34.539	0.0	0.0	0.0	0.0	-64.724	0.0	0.0	0.0	0.0	0.0	0.0
YBL096C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-51.091	0.0	0.0	-80.072	0.0	0.0	0.0	0.0	0.0
YBL100C	0.0	0.0	-40.059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-52.35
YBL101C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-38.592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL103C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBL106C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-36.765	0.0	0.0	0.0	0.0	-77.448	0.0	-40.005	-45.36
YBR001C	-22.826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-54.083	0.0	0.0	0.0	0.0	0.0
YBR006W	0.0	0.0	0.0	0.0	0.0	0.0	-42.561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR007C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-32.011	0.0	0.0
YBR008C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-56.922	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR010W	0.0	0.0	0.0	0.0	0.0	0.0	-40.455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-41.484	0.0
YBR016W	0.0	-33.149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR018C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-58.825	-46.57	0.0	0.0	-36.095	0.0
YBR020W	0.0	0.0	0.0	-30.817	-34.214	0.0	0.0	0.0	0.0	0.0	-94.568	0.0	0.0	0.0	0.0	0.0
YBR021W	0.0	0.0	0.0	0.0	-42.818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR022W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-36.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR023C	0.0	-29.178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR024W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-47.436	0.0
YBR031W	0.0	0.0	0.0	0.0	0.0	-81.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR036C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-40.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR041W	0.0	0.0	0.0	-30.747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-68.676	0.0	0.0	0.0
YBR042C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-47.725	0.0	0.0	0.0	0.0	0.0
YBR043C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-95.688	0.0	-35.686	0.0
YBR045C	0.0	0.0	0.0	0.0	0.0	0.0	-54.879	0.0	0.0	0.0	0.0	-34.378	0.0	0.0	0.0	0.0
YBR047W	0.0	0.0	0.0	0.0	0.0	0.0	-45.312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR048W	0.0	-31.303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR050C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-70.292	0.0	0.0	0.0
YBR051W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-87.225	0.0	0.0	0.0
YBR053C	-36.008	0.0	0.0	0.0	0.0	-37.561	0.0	0.0	0.0	-72.746	0.0	-43.054	0.0	0.0	0.0	0.0
YBR061C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-72.589
YBR064W	0.0	0.0	0.0	0.0	0.0	-89.609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR065C	0.0	-34.331	0.0	0.0	0.0	0.0	-47.636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-49.292	-41.021
YBR066C	0.0	0.0	0.0	0.0	0.0	-39.793	0.0	-47.823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR067C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-39.367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR068C	0.0	0.0	0.0	0.0	-85.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-50.597	0.0
YBR069C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-72.44	0.0	0.0	0.0
YBR071W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-48.857	0.0	0.0	0.0	0.0	0.0
YBR074W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-62.246	0.0	0.0	0.0	0.0	0.0	0.0
YBR076W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-69.995	-62.548	0.0	0.0	0.0	0.0	0.0	0.0
YBR077C	0.0	0.0	-44.739	-55.229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-37.121	0.0	-45.242
YBR082C	0.0	0.0	0.0	0.0	0.0	-85.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR083W	0.0	0.0	0.0	0.0	0.0	-89.698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR084C-A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-36.219	0.0
YBR085W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-32.301	0.0	0.0
YBR092C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-46.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR095C	0.0	0.0	-39.654	0.0	0.0	0.0	0.0	-45.493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-47.301
YBR098W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR099C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-74.501	0.0	0.0	0.0
YBR101C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-38.754	0.0	0.0
YBR104W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-47.965	0.0	0.0	0.0	0.0
YBR105C	0.0	0.0	0.0	0.0	0.0	-36.884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR108W	0.0	0.0	0.0	0.0	0.0	-33.407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR119W	-23.533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR121C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-44.347	0.0	0.0	0.0	0.0	0.0
YBR125C	0.0	-38.597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-38.357	0.0	0.0
YBR126C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-56.436	-56.361	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR129C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-33.203	0.0	0.0	0.0	0.0
YBR130C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-114.29	0.0	0.0	0.0
YBR131W	0.0	-41.704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR134W	0.0	0.0	0.0	0.0	-38.458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR139W	0.0	-30.387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-38.379	0.0
YBR141C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-75.757	0.0	0.0	0.0	0.0	0.0
YBR144C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-35.434	0.0
YBR146W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-114.07	0.0	0.0	0.0
YBR149W	0.0	0.0	0.0	-32.279	0.0	0.0	-68.572	0.0	0.0	0.0	-77.411	0.0	0.0	0.0	0.0	0.0
YBR151W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-94.658	0.0	0.0	0.0
YBR157C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-69.4	0.0	0.0	0.0
YBR159W	0.0	-31.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR162C	0.0	0.0	-32.192	0.0	0.0	0.0	-38.009	-48.831	0.0	0.0	-51.967	0.0	0.0	0.0	0.0	0.0
YBR164C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-73.952	0.0	0.0	0.0
YBR165W	0.0	0.0	-35.969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR166C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-68.766	0.0	0.0	0.0	0.0	0.0	0.0
YBR168W	-33.904	-32.712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR171W	0.0	0.0	0.0	-30.639	0.0	0.0	0.0	0.0	0.0	-79.803	-56.971	0.0	-109.42	0.0	0.0	0.0
YBR172C	0.0	0.0	0.0	0.0	0.0	0.0	-98.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR173C	0.0	0.0	-35.62	0.0	0.0	0.0	0.0	0.0	-75.151	-53.282	0.0	0.0	0.0	-38.644	0.0	0.0
YBR174C	0.0	0.0	0.0	-34.195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR176W	0.0	0.0	0.0	0.0	-39.513	0.0	-114.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR177C	0.0	0.0	0.0	0.0	-36.769	0.0	0.0	-59.489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR178W	0.0	0.0	0.0	-37.857	0.0	0.0	0.0	-42.297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-62.659
YBR179C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-51.819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR180W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-41.285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR181C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-52.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR182C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-61.273	-49.274	-79.284	0.0	0.0	0.0	0.0	0.0
YBR186W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-56.332	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR187W	0.0	0.0	0.0	-59.976	0.0	0.0	0.0	-111.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR188C	0.0	0.0	0.0	0.0	0.0	0.0	-47.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR189W	0.0	-42.725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR194W	-43.36	0.0	0.0	0.0	0.0	0.0	-37.882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR195C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-38.952	0.0	0.0	0.0	-67.005
YBR197C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-42.793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR199W	0.0	0.0	0.0	0.0	0.0	0.0	-74.216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR200W	0.0	0.0	0.0	0.0	0.0	0.0	-37.493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR206W	-36.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR208C	0.0	-40.799	0.0	0.0	0.0	0.0	-42.987	0.0	0.0	0.0	0.0	-33.443	0.0	0.0	0.0	-43.409
YBR209W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-47.111	0.0	0.0	0.0	0.0	0.0	0.0
YBR210W	0.0	0.0	0.0	0.0	0.0	0.0	-75.656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-50.911
YBR212W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-46.106
YBR213W	0.0	0.0	0.0	0.0	0.0	0.0	-45.593	-95.57	-84.231	0.0	0.0	0.0	0.0	0.0	0.0	-69.303
YBR214W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-44.275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR216C	0.0	0.0	0.0	0.0	0.0	0.0	-43.123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR217W	0.0	0.0	-36.75	0.0	-33.846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR219C	-36.239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR220C	0.0	-32.341	0.0	0.0	0.0	0.0	-42.73	0.0	0.0	0.0	0.0	-42.588	0.0	0.0	0.0	0.0
YBR221C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-41.043
YBR222C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-61.565
YBR223C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-56.757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-70.901
