orf	hap a | growth (colony size) | SGEPH E. purpurea extract [2.1 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPH E. purpurea extract [0.8 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPR E. purpurea extract [4.5 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPR E. purpurea extract [2.3 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SG1 E. purpurea extract [5.2 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SG1 E. purpurea extract [4.5 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SG7a E. pallida extract [1.8 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SG7a E. pallida extract [1.8 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPF E. purpurea extract [1.3 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPF E. purpurea extract [0.8 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPLS E. purpurea extract [4.0 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEPLS E. purpurea extract [2.1 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEARa E. pallida extract [0.6 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEARa E. pallida extract [0.6 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEARb E. pallida extract [1.3 mg/mL] | YPD | Mir-Rashed N~Smith ML, 2010	hap a | growth (colony size) | SGEARb E. pallida extract [0.3 mg/mL], UV [10 W/m2] | YPD | Mir-Rashed N~Smith ML, 2010
YDR392W	-4.459671702289322	-5.865148285275905	0.0	-6.806878963888483	0.0	-2.9470233475290186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.942702358071442	0.0	0.0
YDR405W	-4.58480139898106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.401520615111485	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR438W	-4.293397142276531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.69435646549845	0.0	0.0	0.0
YDR441C	-4.7786599684862425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.091237735745518	0.0	0.0	0.0
YDR452W	-3.808134316066818	0.0	0.0	-4.562407522874269	0.0	0.0	-3.029151957970517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR453C	-3.653571402542416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDR455C	-4.805319374308497	0.0	0.0	-4.934115221583647	0.0	0.0	0.0	0.0	0.0	-5.746907731371823	0.0	0.0	-4.949684695377479	-3.5215422772278844	0.0	-3.384633280125783
YDR475C	-4.079043191416667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.798293199367348	0.0	-4.1574280642631285	0.0
YDR490C	-3.792261953062817	0.0	0.0	0.0	0.0	0.0	0.0	-9.742158313224483	0.0	0.0	0.0	0.0	-4.000298264235798	0.0	0.0	0.0
YEL046C	-5.769064599813591	-4.283871222524897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YER044C	-4.906255274965011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.531052245189952	0.0	-3.551813383861812	-8.926994515170538	0.0	0.0
YER049W	-3.815685246039595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.246184461808725	0.0	-5.608419804698421	0.0	0.0	0.0	0.0
YER060W-A	-4.346407752697661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YER066W	-3.6623551374087078	0.0	0.0	0.0	0.0	0.0	-3.0757415994877473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YER120W	-4.473078455506293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YER121W	-5.59816702145012	0.0	0.0	-3.669237280654382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YER123W	-4.461829110852972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YFL049W	-4.724570653783286	0.0	0.0	-4.262313234007982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.4952388848896345	0.0	-3.658189859361816	-4.975595644206354
YFL053W	-3.9025979910323794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.970240252394619	0.0	0.0	-4.927956703936489
YFR010W	-4.789909313139564	-7.942357276205502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.997793073445617	0.0	0.0
YFR015C	-4.372604856684847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.133694667263148	0.0	0.0	0.0
YFR040W	-3.514264449575258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YFR041C	-4.216963238878621	0.0	0.0	0.0	0.0	0.0	-3.123981759706071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YGL054C	-8.37398133981009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.385132044398889
YGL084C	-4.3017185753077545	0.0	0.0	-3.2824274342910185	0.0	-6.081449273707357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.2813138211363	0.0	0.0
YGL104C	-4.4686095377673025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.141757870253759	0.0	0.0	0.0
YGL173C	-3.8158393466512845	-4.326716808373544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YGL228W	-4.436248409312543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YGL253W	-3.5484747853702907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.560694434145742	0.0	0.0	0.0	0.0
YGR036C	-5.651794034318009	0.0	-3.4867335611167736	-3.101104229232525	-3.6081337157149047	0.0	0.0	-3.503065610367807	0.0	0.0	0.0	0.0	0.0	0.0	-3.8482905690627693	0.0
YGR059W	-3.729543004105258	0.0	0.0	0.0	0.0	0.0	-4.211523536572046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YGR161C	-5.597704719615052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YGR202C	-4.048068968467111	0.0	0.0	0.0	-2.8110337691055793	-2.798390865653642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.062645172076207	0.0
YGR208W	-4.995479529133135	0.0	0.0	-8.522872670223888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YHL042W	-3.58792454196276	0.0	0.0	0.0	0.0	0.0	0.0	-8.422040973429189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YHR003C	-8.879585446762794	0.0	-2.705851269632009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YHR009C	-3.4359813388370766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.9759044564643333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YHR025W	-7.424875672415483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YHR134W	-3.701650793389488	0.0	-2.385309432500395	-3.4482587588528433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.925123376466871	-3.53679684295387	0.0
YHR171W	-4.880058170977824	0.0	0.0	-3.621300141004313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YIL006W	-5.705266946574207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YIL008W	-3.458788229367098	0.0	0.0	-4.3044043810177985	0.0	0.0	0.0	0.0	0.0	-6.02171600251737	0.0	0.0	-5.616805954933783	-3.7886851107299546	-3.5702553218551283	-4.110478970394044
YIL014W	-4.097227063596009	0.0	0.0	-3.709477196661452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YIL029C	-3.5859212340107987	0.0	0.0	0.0	0.0	0.0	0.0	-3.5054429403229466	0.0	0.0	0.0	0.0	-3.5216340887866457	0.0	0.0	0.0
YIL030C	-7.8173699303882165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YIL053W	-3.968398952223725	0.0	0.0	-11.687113619971138	-3.243889743985853	-3.6165308395805624	0.0	-3.0585049087566585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YIL057C	-5.649328424530978	0.0	0.0	0.0	0.0	-3.0721788411660156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YIL058W	-3.514880852022016	0.0	-3.03963567931149	0.0	0.0	0.0	-3.8351302491454047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YIL065C	-5.48474897124677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YIL066C	-3.9287950950195665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.38887155290804
YIL120W	-3.4936149676088872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.232790776113557	0.0	-5.192473177766284	0.0
YIL133C	-3.707968918468751	-5.278140847071445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.212366390028751	0.0	0.0	0.0
YIL134W	-4.76756472444461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YIL135C	-3.5979410817225665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YIL154C	-4.503436276009092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.616469954115728	-4.748825870832785	0.0	0.0
YJL030W	-3.717214955170111	0.0	-2.5828742986199247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YJL137C	-3.524280989335065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YJL139C	-3.87701728949195	0.0	0.0	-2.9824305786354026	-3.2901170811089893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YJL168C	-3.88626332619331	0.0	0.0	0.0	0.0	0.0	0.0	-2.551154727742112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YJR035W	-4.9279834612132065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YJR054W	-3.507638123272617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YJR083C	-3.5743636881340985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.7780646625754795	0.0	-6.502066316732441	0.0
YJR087W	-3.830478904761771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YJR107W	-6.554823618817505	0.0	0.0	0.0	0.0	0.0	-4.235756152047192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YJR115W	-3.5950131701004695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.432099708690076	0.0	0.0	0.0	-4.233708269969669
YJR125C	-4.1388342287521285	0.0	0.0	-4.545649010638879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.184681695981753	0.0
YJR131W	-4.108014106414262	-4.035733417850647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.849059686845645	0.0	0.0	-6.184729137970364	0.0
YKL006W	-3.519657970984385	0.0	0.0	0.0	0.0	-3.6266986901204237	0.0	0.0	0.0	0.0	-4.1227736985343775	0.0	0.0	0.0	0.0	0.0
YKL137W	-3.68038490897636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YKR011C	-3.996137062327805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YKR024C	-4.127584884098807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.4359145392050983	0.0	0.0	0.0	0.0
YKR074W	-4.866805518372542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YKR076W	-3.9596152173574333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YKR077W	-4.523931657363773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.4997607191112943
YKR095W	-4.019868556527962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YKR102W	-3.9512937843262086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YKR106W	-5.463483086833642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLL030C	-3.854364499573618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.4984215204149205	0.0	0.0	0.0	0.0	0.0	0.0
YLL053C	-4.77234184340698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR003C	-3.9784154919835317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR048W	-4.122653664524749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR142W	-3.6282989022253656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR146C	-6.430310324572523	0.0	0.0	0.0	0.0	0.0	-4.075130672999864	0.0	0.0	0.0	0.0	-4.0877482784547015	0.0	0.0	0.0	0.0
YLR169W	-5.006728873786457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR184W	-3.9278704913494304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR185W	-3.431050119263018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR205C	-5.086398890029842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR224W	-4.484019598936236	0.0	0.0	0.0	0.0	-3.3374522751693987	-4.541027088172168	0.0	0.0	-4.265415900048878	0.0	0.0	-5.87935647865272	0.0	0.0	-3.9753399357509522
YLR263W	-3.4811328180620515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.617316916639638	0.0	0.0
YLR297W	-3.8038194989395167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR315W	-3.9321853084767318	0.0	0.0	0.0	-2.8016853836762254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR329W	-3.715673949053217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR331C	-3.440758457799446	-3.381822711903914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR361C	-4.502665772950646	-4.401639303413692	-2.965477273043434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR392C	-4.045757459291771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR395C	-3.7486514799547352	0.0	0.0	-3.3950602258265468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
